@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
BBOB_dim02_fid10_iid01,1,1
BBOB_dim02_fid13_iid01,1,1
BBOB_dim02_fid11_iid02,1,1
BBOB_dim02_fid24_iid03,1,1
BBOB_dim02_fid04_iid04,1,1
BBOB_dim02_fid10_iid04,1,1
BBOB_dim02_fid18_iid04,1,1
BBOB_dim02_fid02_iid05,1,1
BBOB_dim02_fid03_iid05,1,1
BBOB_dim02_fid22_iid05,1,1
BBOB_dim02_fid19_iid06,1,1
BBOB_dim02_fid23_iid06,1,1
BBOB_dim02_fid04_iid07,1,1
BBOB_dim02_fid19_iid07,1,1
BBOB_dim02_fid03_iid08,1,1
BBOB_dim02_fid22_iid08,1,1
BBOB_dim02_fid15_iid09,1,1
BBOB_dim02_fid20_iid09,1,1
BBOB_dim02_fid06_iid10,1,1
BBOB_dim02_fid09_iid10,1,1
BBOB_dim03_fid11_iid01,1,1
BBOB_dim03_fid14_iid01,1,1
BBOB_dim03_fid19_iid01,1,1
BBOB_dim03_fid24_iid01,1,1
BBOB_dim03_fid02_iid02,1,1
BBOB_dim03_fid05_iid03,1,1
BBOB_dim03_fid18_iid03,1,1
BBOB_dim03_fid19_iid04,1,1
BBOB_dim03_fid01_iid05,1,1
BBOB_dim03_fid03_iid05,1,1
BBOB_dim03_fid10_iid05,1,1
BBOB_dim03_fid14_iid05,1,1
BBOB_dim03_fid21_iid05,1,1
BBOB_dim03_fid22_iid05,1,1
BBOB_dim03_fid07_iid06,1,1
BBOB_dim03_fid10_iid06,1,1
BBOB_dim03_fid13_iid06,1,1
BBOB_dim03_fid05_iid07,1,1
BBOB_dim03_fid13_iid07,1,1
BBOB_dim03_fid14_iid07,1,1
BBOB_dim03_fid16_iid07,1,1
BBOB_dim03_fid24_iid08,1,1
BBOB_dim03_fid02_iid09,1,1
BBOB_dim03_fid24_iid09,1,1
BBOB_dim03_fid05_iid10,1,1
BBOB_dim03_fid07_iid10,1,1
BBOB_dim03_fid16_iid10,1,1
BBOB_dim03_fid17_iid10,1,1
BBOB_dim03_fid24_iid10,1,1
BBOB_dim05_fid22_iid01,1,1
BBOB_dim05_fid03_iid03,1,1
BBOB_dim05_fid14_iid03,1,1
BBOB_dim05_fid19_iid03,1,1
BBOB_dim05_fid02_iid04,1,1
BBOB_dim05_fid12_iid04,1,1
BBOB_dim05_fid13_iid04,1,1
BBOB_dim05_fid20_iid04,1,1
BBOB_dim05_fid23_iid04,1,1
BBOB_dim05_fid11_iid05,1,1
BBOB_dim05_fid23_iid05,1,1
BBOB_dim05_fid19_iid06,1,1
BBOB_dim05_fid09_iid07,1,1
BBOB_dim05_fid10_iid07,1,1
BBOB_dim05_fid16_iid07,1,1
BBOB_dim05_fid17_iid07,1,1
BBOB_dim05_fid02_iid08,1,1
BBOB_dim05_fid08_iid08,1,1
BBOB_dim05_fid15_iid08,1,1
BBOB_dim05_fid23_iid08,1,1
BBOB_dim05_fid03_iid10,1,1
BBOB_dim05_fid06_iid10,1,1
BBOB_dim10_fid20_iid01,1,1
BBOB_dim10_fid04_iid02,1,1
BBOB_dim10_fid07_iid02,1,1
BBOB_dim10_fid01_iid03,1,1
BBOB_dim10_fid16_iid03,1,1
BBOB_dim10_fid19_iid03,1,1
BBOB_dim10_fid04_iid04,1,1
BBOB_dim10_fid09_iid04,1,1
BBOB_dim10_fid10_iid05,1,1
BBOB_dim10_fid15_iid05,1,1
BBOB_dim10_fid18_iid05,1,1
BBOB_dim10_fid22_iid05,1,1
BBOB_dim10_fid23_iid06,1,1
BBOB_dim10_fid05_iid07,1,1
BBOB_dim10_fid15_iid07,1,1
BBOB_dim10_fid06_iid08,1,1
BBOB_dim10_fid21_iid08,1,1
BBOB_dim10_fid24_iid08,1,1
BBOB_dim10_fid03_iid10,1,1
BBOB_dim10_fid19_iid10,1,1
BBOB_dim20_fid06_iid01,1,1
BBOB_dim20_fid20_iid01,1,1
BBOB_dim20_fid04_iid02,1,1
BBOB_dim20_fid11_iid02,1,1
BBOB_dim20_fid18_iid02,1,1
BBOB_dim20_fid24_iid02,1,1
BBOB_dim20_fid19_iid03,1,1
BBOB_dim20_fid06_iid04,1,1
BBOB_dim20_fid21_iid04,1,1
BBOB_dim20_fid24_iid04,1,1
BBOB_dim20_fid02_iid05,1,1
BBOB_dim20_fid14_iid05,1,1
BBOB_dim20_fid10_iid06,1,1
BBOB_dim20_fid04_iid07,1,1
BBOB_dim20_fid06_iid07,1,1
BBOB_dim20_fid10_iid07,1,1
BBOB_dim20_fid11_iid07,1,1
BBOB_dim20_fid18_iid07,1,1
BBOB_dim20_fid08_iid08,1,1
BBOB_dim20_fid15_iid08,1,1
BBOB_dim20_fid05_iid09,1,1
BBOB_dim20_fid10_iid09,1,1
BBOB_dim20_fid11_iid09,1,1
BBOB_dim20_fid22_iid09,1,1
BBOB_dim20_fid04_iid10,1,1
BBOB_dim20_fid06_iid10,1,1
BBOB_dim20_fid11_iid10,1,1
BBOB_dim20_fid14_iid10,1,1
BBOB_dim20_fid24_iid10,1,1
BBOB_dim02_fid01_iid02,1,2
BBOB_dim02_fid09_iid02,1,2
BBOB_dim02_fid07_iid03,1,2
BBOB_dim02_fid10_iid03,1,2
BBOB_dim02_fid13_iid04,1,2
BBOB_dim02_fid16_iid04,1,2
BBOB_dim02_fid24_iid04,1,2
BBOB_dim02_fid12_iid05,1,2
BBOB_dim02_fid13_iid05,1,2
BBOB_dim02_fid23_iid05,1,2
BBOB_dim02_fid11_iid06,1,2
BBOB_dim02_fid12_iid06,1,2
BBOB_dim02_fid03_iid07,1,2
BBOB_dim02_fid09_iid07,1,2
BBOB_dim02_fid18_iid07,1,2
BBOB_dim02_fid04_iid08,1,2
BBOB_dim02_fid07_iid08,1,2
BBOB_dim02_fid08_iid08,1,2
BBOB_dim02_fid23_iid08,1,2
BBOB_dim02_fid13_iid09,1,2
BBOB_dim02_fid22_iid10,1,2
BBOB_dim03_fid07_iid01,1,2
BBOB_dim03_fid13_iid01,1,2
BBOB_dim03_fid03_iid02,1,2
BBOB_dim03_fid17_iid03,1,2
BBOB_dim03_fid24_iid03,1,2
BBOB_dim03_fid05_iid04,1,2
BBOB_dim03_fid05_iid05,1,2
BBOB_dim03_fid01_iid06,1,2
BBOB_dim03_fid02_iid06,1,2
BBOB_dim03_fid11_iid06,1,2
BBOB_dim03_fid23_iid06,1,2
BBOB_dim03_fid01_iid07,1,2
BBOB_dim03_fid12_iid07,1,2
BBOB_dim03_fid23_iid07,1,2
BBOB_dim03_fid24_iid07,1,2
BBOB_dim03_fid04_iid08,1,2
BBOB_dim03_fid09_iid08,1,2
BBOB_dim03_fid04_iid09,1,2
BBOB_dim03_fid09_iid09,1,2
BBOB_dim03_fid14_iid09,1,2
BBOB_dim03_fid18_iid09,1,2
BBOB_dim03_fid06_iid10,1,2
BBOB_dim05_fid04_iid01,1,2
BBOB_dim05_fid15_iid01,1,2
BBOB_dim05_fid23_iid01,1,2
BBOB_dim05_fid24_iid01,1,2
BBOB_dim05_fid02_iid02,1,2
BBOB_dim05_fid06_iid02,1,2
BBOB_dim05_fid11_iid02,1,2
BBOB_dim05_fid18_iid02,1,2
BBOB_dim05_fid12_iid03,1,2
BBOB_dim05_fid17_iid03,1,2
BBOB_dim05_fid07_iid04,1,2
BBOB_dim05_fid15_iid04,1,2
BBOB_dim05_fid19_iid04,1,2
BBOB_dim05_fid09_iid05,1,2
BBOB_dim05_fid24_iid05,1,2
BBOB_dim05_fid04_iid06,1,2
BBOB_dim05_fid23_iid06,1,2
BBOB_dim05_fid02_iid07,1,2
BBOB_dim05_fid23_iid07,1,2
BBOB_dim05_fid24_iid07,1,2
BBOB_dim05_fid24_iid08,1,2
BBOB_dim05_fid02_iid09,1,2
BBOB_dim05_fid12_iid09,1,2
BBOB_dim05_fid17_iid09,1,2
BBOB_dim05_fid09_iid10,1,2
BBOB_dim10_fid02_iid01,1,2
BBOB_dim10_fid03_iid01,1,2
BBOB_dim10_fid09_iid01,1,2
BBOB_dim10_fid14_iid01,1,2
BBOB_dim10_fid16_iid01,1,2
BBOB_dim10_fid13_iid02,1,2
BBOB_dim10_fid14_iid02,1,2
BBOB_dim10_fid09_iid03,1,2
BBOB_dim10_fid17_iid03,1,2
BBOB_dim10_fid18_iid03,1,2
BBOB_dim10_fid22_iid03,1,2
BBOB_dim10_fid03_iid04,1,2
BBOB_dim10_fid16_iid04,1,2
BBOB_dim10_fid18_iid04,1,2
BBOB_dim10_fid06_iid06,1,2
BBOB_dim10_fid07_iid06,1,2
BBOB_dim10_fid11_iid06,1,2
BBOB_dim10_fid03_iid07,1,2
BBOB_dim10_fid18_iid07,1,2
BBOB_dim10_fid09_iid08,1,2
BBOB_dim10_fid10_iid08,1,2
BBOB_dim10_fid18_iid08,1,2
BBOB_dim10_fid04_iid09,1,2
BBOB_dim10_fid05_iid09,1,2
BBOB_dim10_fid06_iid09,1,2
BBOB_dim10_fid13_iid09,1,2
BBOB_dim10_fid11_iid10,1,2
BBOB_dim10_fid13_iid10,1,2
BBOB_dim10_fid21_iid10,1,2
BBOB_dim10_fid22_iid10,1,2
BBOB_dim20_fid12_iid01,1,2
BBOB_dim20_fid13_iid01,1,2
BBOB_dim20_fid15_iid01,1,2
BBOB_dim20_fid18_iid01,1,2
BBOB_dim20_fid01_iid02,1,2
BBOB_dim20_fid03_iid02,1,2
BBOB_dim20_fid07_iid02,1,2
BBOB_dim20_fid21_iid03,1,2
BBOB_dim20_fid08_iid04,1,2
BBOB_dim20_fid09_iid04,1,2
BBOB_dim20_fid04_iid05,1,2
BBOB_dim20_fid12_iid05,1,2
BBOB_dim20_fid24_iid06,1,2
BBOB_dim20_fid08_iid07,1,2
BBOB_dim20_fid09_iid07,1,2
BBOB_dim20_fid16_iid07,1,2
BBOB_dim20_fid19_iid07,1,2
BBOB_dim20_fid20_iid07,1,2
BBOB_dim20_fid10_iid08,1,2
BBOB_dim20_fid21_iid08,1,2
BBOB_dim20_fid08_iid09,1,2
BBOB_dim20_fid09_iid10,1,2
BBOB_dim02_fid03_iid01,1,3
