@RELATION Feature_Costs_BBOB_2013_Master_Thesis

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE initial_design NUMERIC
@ATTRIBUTE meta NUMERIC
@ATTRIBUTE convexity NUMERIC
@ATTRIBUTE y_distr NUMERIC
@ATTRIBUTE levelset NUMERIC
@ATTRIBUTE local_search NUMERIC
@ATTRIBUTE curvature NUMERIC

@DATA
BBOB_dim02_fid01_iid01,1,400,0,1000,0,0,5785,8600
BBOB_dim02_fid01_iid01,2,400,0,1000,0,0,6063,8600
BBOB_dim02_fid01_iid01,3,400,0,1000,0,0,5915,8600
BBOB_dim02_fid01_iid01,4,400,0,1000,0,0,5919,8600
BBOB_dim02_fid01_iid01,5,400,0,1000,0,0,6055,8600
BBOB_dim02_fid01_iid01,6,400,0,1000,0,0,5949,8600
BBOB_dim02_fid01_iid01,7,400,0,1000,0,0,5983,8600
BBOB_dim02_fid01_iid01,8,400,0,1000,0,0,5885,8600
BBOB_dim02_fid01_iid01,9,400,0,1000,0,0,6005,8600
BBOB_dim02_fid01_iid01,10,400,0,1000,0,0,5917,8600
BBOB_dim02_fid02_iid01,1,400,0,1000,0,0,5841,8600
BBOB_dim02_fid02_iid01,2,400,0,1000,0,0,5513,8600
BBOB_dim02_fid02_iid01,3,400,0,1000,0,0,5502,8600
BBOB_dim02_fid02_iid01,4,400,0,1000,0,0,5595,8600
BBOB_dim02_fid02_iid01,5,400,0,1000,0,0,5624,8600
BBOB_dim02_fid02_iid01,6,400,0,1000,0,0,5407,8600
BBOB_dim02_fid02_iid01,7,400,0,1000,0,0,5749,8600
BBOB_dim02_fid02_iid01,8,400,0,1000,0,0,5819,8600
BBOB_dim02_fid02_iid01,9,400,0,1000,0,0,5668,8600
BBOB_dim02_fid02_iid01,10,400,0,1000,0,0,5349,8600
BBOB_dim02_fid03_iid01,1,400,0,1000,0,0,7147,8600
BBOB_dim02_fid03_iid01,2,400,0,1000,0,0,7229,8600
BBOB_dim02_fid03_iid01,3,400,0,1000,0,0,7440,8600
BBOB_dim02_fid03_iid01,4,400,0,1000,0,0,7039,8600
BBOB_dim02_fid03_iid01,5,400,0,1000,0,0,7251,8600
BBOB_dim02_fid03_iid01,6,400,0,1000,0,0,7350,8600
BBOB_dim02_fid03_iid01,7,400,0,1000,0,0,7220,8600
BBOB_dim02_fid03_iid01,8,400,0,1000,0,0,7089,8600
BBOB_dim02_fid03_iid01,9,400,0,1000,0,0,7034,8600
BBOB_dim02_fid03_iid01,10,400,0,1000,0,0,7309,8600
BBOB_dim02_fid04_iid01,1,400,0,1000,0,0,7780,8600
BBOB_dim02_fid04_iid01,2,400,0,1000,0,0,7914,8600
BBOB_dim02_fid04_iid01,3,400,0,1000,0,0,7681,8600
BBOB_dim02_fid04_iid01,4,400,0,1000,0,0,7662,8600
BBOB_dim02_fid04_iid01,5,400,0,1000,0,0,7748,8600
BBOB_dim02_fid04_iid01,6,400,0,1000,0,0,8249,8600
BBOB_dim02_fid04_iid01,7,400,0,1000,0,0,7610,8600
BBOB_dim02_fid04_iid01,8,400,0,1000,0,0,7682,8600
BBOB_dim02_fid04_iid01,9,400,0,1000,0,0,7648,8600
BBOB_dim02_fid04_iid01,10,400,0,1000,0,0,7874,8600
BBOB_dim02_fid05_iid01,1,400,0,1000,0,0,2377,8600
BBOB_dim02_fid05_iid01,2,400,0,1000,0,0,2401,8600
BBOB_dim02_fid05_iid01,3,400,0,1000,0,0,2399,8600
BBOB_dim02_fid05_iid01,4,400,0,1000,0,0,2330,8600
BBOB_dim02_fid05_iid01,5,400,0,1000,0,0,2383,8600
BBOB_dim02_fid05_iid01,6,400,0,1000,0,0,2337,8600
BBOB_dim02_fid05_iid01,7,400,0,1000,0,0,2398,8600
BBOB_dim02_fid05_iid01,8,400,0,1000,0,0,2353,8600
BBOB_dim02_fid05_iid01,9,400,0,1000,0,0,2314,8600
BBOB_dim02_fid05_iid01,10,400,0,1000,0,0,2259,8600
BBOB_dim02_fid06_iid01,1,400,0,1000,0,0,7793,8600
BBOB_dim02_fid06_iid01,2,400,0,1000,0,0,7351,8600
BBOB_dim02_fid06_iid01,3,400,0,1000,0,0,7364,8600
BBOB_dim02_fid06_iid01,4,400,0,1000,0,0,7713,8600
BBOB_dim02_fid06_iid01,5,400,0,1000,0,0,7646,8600
BBOB_dim02_fid06_iid01,6,400,0,1000,0,0,7406,8600
BBOB_dim02_fid06_iid01,7,400,0,1000,0,0,7545,8600
BBOB_dim02_fid06_iid01,8,400,0,1000,0,0,7847,8600
BBOB_dim02_fid06_iid01,9,400,0,1000,0,0,7838,8600
BBOB_dim02_fid06_iid01,10,400,0,1000,0,0,7158,8600
BBOB_dim02_fid07_iid01,1,400,0,1000,0,0,1897,6200
BBOB_dim02_fid07_iid01,2,400,0,1000,0,0,1713,6204
BBOB_dim02_fid07_iid01,3,400,0,1000,0,0,1702,6202
BBOB_dim02_fid07_iid01,4,400,0,1000,0,0,2045,6202
BBOB_dim02_fid07_iid01,5,400,0,1000,0,0,1914,6200
BBOB_dim02_fid07_iid01,6,400,0,1000,0,0,1676,6200
BBOB_dim02_fid07_iid01,7,400,0,1000,0,0,1735,6206
BBOB_dim02_fid07_iid01,8,400,0,1000,0,0,1655,6200
BBOB_dim02_fid07_iid01,9,400,0,1000,0,0,1655,6200
BBOB_dim02_fid07_iid01,10,400,0,1000,0,0,1559,6206
BBOB_dim02_fid08_iid01,1,400,0,1000,0,0,13528,8600
BBOB_dim02_fid08_iid01,2,400,0,1000,0,0,13085,8600
BBOB_dim02_fid08_iid01,3,400,0,1000,0,0,12304,8600
BBOB_dim02_fid08_iid01,4,400,0,1000,0,0,13915,8600
BBOB_dim02_fid08_iid01,5,400,0,1000,0,0,14116,8600
BBOB_dim02_fid08_iid01,6,400,0,1000,0,0,13478,8600
BBOB_dim02_fid08_iid01,7,400,0,1000,0,0,13452,8600
BBOB_dim02_fid08_iid01,8,400,0,1000,0,0,13164,8600
BBOB_dim02_fid08_iid01,9,400,0,1000,0,0,13854,8600
BBOB_dim02_fid08_iid01,10,400,0,1000,0,0,13017,8600
BBOB_dim02_fid09_iid01,1,400,0,1000,0,0,13234,8600
BBOB_dim02_fid09_iid01,2,400,0,1000,0,0,12963,8600
BBOB_dim02_fid09_iid01,3,400,0,1000,0,0,13142,8600
BBOB_dim02_fid09_iid01,4,400,0,1000,0,0,13919,8600
BBOB_dim02_fid09_iid01,5,400,0,1000,0,0,13915,8600
BBOB_dim02_fid09_iid01,6,400,0,1000,0,0,13992,8600
BBOB_dim02_fid09_iid01,7,400,0,1000,0,0,12317,8600
BBOB_dim02_fid09_iid01,8,400,0,1000,0,0,13396,8600
BBOB_dim02_fid09_iid01,9,400,0,1000,0,0,13306,8600
BBOB_dim02_fid09_iid01,10,400,0,1000,0,0,13360,8600
BBOB_dim02_fid10_iid01,1,400,0,1000,0,0,5943,8600
BBOB_dim02_fid10_iid01,2,400,0,1000,0,0,6071,8600
BBOB_dim02_fid10_iid01,3,400,0,1000,0,0,5961,8600
BBOB_dim02_fid10_iid01,4,400,0,1000,0,0,6287,8600
BBOB_dim02_fid10_iid01,5,400,0,1000,0,0,6336,8600
BBOB_dim02_fid10_iid01,6,400,0,1000,0,0,5987,8600
BBOB_dim02_fid10_iid01,7,400,0,1000,0,0,5902,8600
BBOB_dim02_fid10_iid01,8,400,0,1000,0,0,6502,8600
BBOB_dim02_fid10_iid01,9,400,0,1000,0,0,6724,8600
BBOB_dim02_fid10_iid01,10,400,0,1000,0,0,6390,8600
BBOB_dim02_fid11_iid01,1,400,0,1000,0,0,5977,8600
BBOB_dim02_fid11_iid01,2,400,0,1000,0,0,5929,8600
BBOB_dim02_fid11_iid01,3,400,0,1000,0,0,6348,8600
BBOB_dim02_fid11_iid01,4,400,0,1000,0,0,5917,8600
BBOB_dim02_fid11_iid01,5,400,0,1000,0,0,6235,8600
BBOB_dim02_fid11_iid01,6,400,0,1000,0,0,5943,8600
BBOB_dim02_fid11_iid01,7,400,0,1000,0,0,5989,8600
BBOB_dim02_fid11_iid01,8,400,0,1000,0,0,5678,8600
BBOB_dim02_fid11_iid01,9,400,0,1000,0,0,5766,8600
BBOB_dim02_fid11_iid01,10,400,0,1000,0,0,5843,8600
BBOB_dim02_fid12_iid01,1,400,0,1000,0,0,5037,8600
BBOB_dim02_fid12_iid01,2,400,0,1000,0,0,5305,8600
BBOB_dim02_fid12_iid01,3,400,0,1000,0,0,4690,8600
BBOB_dim02_fid12_iid01,4,400,0,1000,0,0,5101,8600
BBOB_dim02_fid12_iid01,5,400,0,1000,0,0,4551,8600
BBOB_dim02_fid12_iid01,6,400,0,1000,0,0,4826,8600
BBOB_dim02_fid12_iid01,7,400,0,1000,0,0,4658,8600
BBOB_dim02_fid12_iid01,8,400,0,1000,0,0,5194,8600
BBOB_dim02_fid12_iid01,9,400,0,1000,0,0,5035,8600
BBOB_dim02_fid12_iid01,10,400,0,1000,0,0,5251,8600
BBOB_dim02_fid13_iid01,1,400,0,1000,0,0,13366,8600
BBOB_dim02_fid13_iid01,2,400,0,1000,0,0,14075,8600
BBOB_dim02_fid13_iid01,3,400,0,1000,0,0,14171,8600
BBOB_dim02_fid13_iid01,4,400,0,1000,0,0,13504,8600
BBOB_dim02_fid13_iid01,5,400,0,1000,0,0,13439,8600
BBOB_dim02_fid13_iid01,6,400,0,1000,0,0,12954,8600
BBOB_dim02_fid13_iid01,7,400,0,1000,0,0,13607,8600
BBOB_dim02_fid13_iid01,8,400,0,1000,0,0,13611,8600
BBOB_dim02_fid13_iid01,9,400,0,1000,0,0,13510,8600
BBOB_dim02_fid13_iid01,10,400,0,1000,0,0,13718,8600
BBOB_dim02_fid14_iid01,1,400,0,1000,0,0,10557,8600
BBOB_dim02_fid14_iid01,2,400,0,1000,0,0,10389,8600
BBOB_dim02_fid14_iid01,3,400,0,1000,0,0,10552,8600
BBOB_dim02_fid14_iid01,4,400,0,1000,0,0,10321,8600
BBOB_dim02_fid14_iid01,5,400,0,1000,0,0,10323,8600
BBOB_dim02_fid14_iid01,6,400,0,1000,0,0,10571,8600
BBOB_dim02_fid14_iid01,7,400,0,1000,0,0,10989,8600
BBOB_dim02_fid14_iid01,8,400,0,1000,0,0,10149,8600
BBOB_dim02_fid14_iid01,9,400,0,1000,0,0,9969,8600
BBOB_dim02_fid14_iid01,10,400,0,1000,0,0,10223,8600
BBOB_dim02_fid15_iid01,1,400,0,1000,0,0,7094,8600
BBOB_dim02_fid15_iid01,2,400,0,1000,0,0,6638,8600
BBOB_dim02_fid15_iid01,3,400,0,1000,0,0,6733,8600
BBOB_dim02_fid15_iid01,4,400,0,1000,0,0,6780,8600
BBOB_dim02_fid15_iid01,5,400,0,1000,0,0,6748,8600
BBOB_dim02_fid15_iid01,6,400,0,1000,0,0,6798,8600
BBOB_dim02_fid15_iid01,7,400,0,1000,0,0,6989,8600
BBOB_dim02_fid15_iid01,8,400,0,1000,0,0,6979,8600
BBOB_dim02_fid15_iid01,9,400,0,1000,0,0,6722,8600
BBOB_dim02_fid15_iid01,10,400,0,1000,0,0,6528,8600
BBOB_dim02_fid16_iid01,1,400,0,1000,0,0,10787,8600
BBOB_dim02_fid16_iid01,2,400,0,1000,0,0,10544,8600
BBOB_dim02_fid16_iid01,3,400,0,1000,0,0,10452,8600
BBOB_dim02_fid16_iid01,4,400,0,1000,0,0,10604,8600
BBOB_dim02_fid16_iid01,5,400,0,1000,0,0,10453,8600
BBOB_dim02_fid16_iid01,6,400,0,1000,0,0,10552,8600
BBOB_dim02_fid16_iid01,7,400,0,1000,0,0,10505,8600
BBOB_dim02_fid16_iid01,8,400,0,1000,0,0,10745,8600
BBOB_dim02_fid16_iid01,9,400,0,1000,0,0,10671,8600
BBOB_dim02_fid16_iid01,10,400,0,1000,0,0,10513,8600
BBOB_dim02_fid17_iid01,1,400,0,1000,0,0,5368,8600
BBOB_dim02_fid17_iid01,2,400,0,1000,0,0,5068,8600
BBOB_dim02_fid17_iid01,3,400,0,1000,0,0,5403,8600
BBOB_dim02_fid17_iid01,4,400,0,1000,0,0,5225,8600
BBOB_dim02_fid17_iid01,5,400,0,1000,0,0,5252,8600
BBOB_dim02_fid17_iid01,6,400,0,1000,0,0,5303,8600
BBOB_dim02_fid17_iid01,7,400,0,1000,0,0,5221,8600
BBOB_dim02_fid17_iid01,8,400,0,1000,0,0,5285,8600
BBOB_dim02_fid17_iid01,9,400,0,1000,0,0,5146,8600
BBOB_dim02_fid17_iid01,10,400,0,1000,0,0,5359,8600
BBOB_dim02_fid18_iid01,1,400,0,1000,0,0,6019,8600
BBOB_dim02_fid18_iid01,2,400,0,1000,0,0,5715,8600
BBOB_dim02_fid18_iid01,3,400,0,1000,0,0,5625,8600
