@RELATION ALGORITHM_RUNS_BNSL-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout}

@DATA
abscisic_bdeu-0.1-2,1,astar-ec,7200.0,memout
abscisic_bdeu-0.1-2,1,astar-ed3,7200.0,memout
abscisic_bdeu-0.1-2,1,astar-comp,51.17,ok
abscisic_bdeu-0.1-2,1,cpbayes,115.09,ok
abscisic_bdeu-0.1-2,1,ilp-141,1564.47,ok
abscisic_bdeu-0.1-2,1,ilp-141-nc,1210.84,ok
abscisic_bdeu-0.1-2,1,ilp-162,1468.74,ok
abscisic_bdeu-0.1-2,1,ilp-162-nc,1270.6,ok
abscisic_bdeu-1-2,1,astar-ec,7200.0,memout
abscisic_bdeu-1-2,1,astar-ed3,7200.0,memout
abscisic_bdeu-1-2,1,astar-comp,62.67,ok
abscisic_bdeu-1-2,1,cpbayes,107.62,ok
abscisic_bdeu-1-2,1,ilp-141,1492.15,ok
abscisic_bdeu-1-2,1,ilp-141-nc,1618.28,ok
abscisic_bdeu-1-2,1,ilp-162,1556.19,ok
abscisic_bdeu-1-2,1,ilp-162-nc,1824.99,ok
abscisic_bdeu-10-2,1,astar-ec,7200.0,memout
abscisic_bdeu-10-2,1,astar-ed3,7200.0,memout
abscisic_bdeu-10-2,1,astar-comp,62.24,ok
abscisic_bdeu-10-2,1,cpbayes,46.5,ok
abscisic_bdeu-10-2,1,ilp-141,1365.57,ok
abscisic_bdeu-10-2,1,ilp-141-nc,1673.04,ok
abscisic_bdeu-10-2,1,ilp-162,1354.81,ok
abscisic_bdeu-10-2,1,ilp-162-nc,2034.13,ok
abscisic_bdeu-100-2,1,astar-ec,7200.0,memout
abscisic_bdeu-100-2,1,astar-ed3,7200.0,memout
abscisic_bdeu-100-2,1,astar-comp,46.13,ok
abscisic_bdeu-100-2,1,cpbayes,7200.0,timeout
abscisic_bdeu-100-2,1,ilp-141,3803.8,ok
abscisic_bdeu-100-2,1,ilp-141-nc,4191.2,ok
abscisic_bdeu-100-2,1,ilp-162,7200.0,timeout
abscisic_bdeu-100-2,1,ilp-162-nc,7200.0,timeout
abscisic_bdeu-100-3,1,astar-ec,7200.0,memout
abscisic_bdeu-100-3,1,astar-ed3,7200.0,memout
abscisic_bdeu-100-3,1,astar-comp,1011.05,ok
abscisic_bdeu-100-3,1,cpbayes,7200.0,timeout
abscisic_bdeu-100-3,1,ilp-141,7200.0,timeout
abscisic_bdeu-100-3,1,ilp-141-nc,7200.0,timeout
abscisic_bdeu-100-3,1,ilp-162,7200.0,timeout
abscisic_bdeu-100-3,1,ilp-162-nc,7200.0,timeout
abscisic_bic-2,1,astar-ec,7200.0,memout
abscisic_bic-2,1,astar-ed3,7200.0,memout
abscisic_bic-2,1,astar-comp,78.04,ok
abscisic_bic-2,1,cpbayes,104.26,ok
abscisic_bic-2,1,ilp-141,1560.42,ok
abscisic_bic-2,1,ilp-141-nc,1621.08,ok
abscisic_bic-2,1,ilp-162,1424.11,ok
abscisic_bic-2,1,ilp-162-nc,1280.33,ok
alarm_100_bdeu-0.1-2,1,astar-ec,7200.0,memout
alarm_100_bdeu-0.1-2,1,astar-ed3,7200.0,memout
alarm_100_bdeu-0.1-2,1,astar-comp,20.48,ok
alarm_100_bdeu-0.1-2,1,cpbayes,1.04,ok
alarm_100_bdeu-0.1-2,1,ilp-141,0.8,ok
alarm_100_bdeu-0.1-2,1,ilp-141-nc,2.6,ok
alarm_100_bdeu-0.1-2,1,ilp-162,1.04,ok
