@RELATION CV_BNSL-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC

@DATA
letter_bdeu-100-2,1,6
letter_bdeu-100-4,1,8
letter_bdeu-100-5,1,1
voting_bdeu-10-2,1,1
voting_bdeu-10-3,1,9
voting_bdeu-10,1,10
voting_bdeu-100-2,1,2
voting_bdeu-100-3,1,6
voting_bdeu-100-4,1,1
voting_bdeu-100,1,10
zoo_bdeu-0.1-2,1,3
zoo_bdeu-0.1-3,1,8
zoo_bdeu-0.1-4,1,9
zoo_bdeu-0.1-5,1,5
zoo_bdeu-0.1-6,1,5
zoo_bdeu-0.1,1,5
zoo_bdeu-1-2,1,2
zoo_bdeu-1-3,1,5
zoo_bdeu-1-4,1,1
zoo_bdeu-1-5,1,9
zoo_bdeu-1-6,1,5
zoo_bdeu-1,1,1
zoo_bdeu-10-2,1,7
zoo_bdeu-10-3,1,9
zoo_bdeu-10-4,1,6
zoo_bdeu-10-5,1,10
zoo_bdeu-10-6,1,1
zoo_bdeu-10,1,5
zoo_bdeu-100-2,1,1
zoo_bdeu-100-3,1,7
zoo_bdeu-100-4,1,2
zoo_bdeu-100-5,1,10
zoo_bdeu-100-6,1,6
zoo_bdeu-100,1,3
lymph_bdeu-100-2,1,6
lymph_bdeu-100-3,1,3
lymph_bdeu-100-4,1,6
lymph_bdeu-100-5,1,9
lymph_bdeu-100-6,1,3
lymph_bdeu-100,1,7
eucalyptus_bdeu-0.1-2,1,5
eucalyptus_bdeu-0.1-3,1,10
eucalyptus_bdeu-0.1-4,1,9
eucalyptus_bdeu-0.1-5,1,4
eucalyptus_bdeu-0.1-6,1,7
eucalyptus_bdeu-0.1,1,6
eucalyptus_bdeu-1-2,1,3
eucalyptus_bdeu-1-3,1,5
eucalyptus_bdeu-1-4,1,5
eucalyptus_bdeu-1-5,1,8
eucalyptus_bdeu-1-6,1,2
eucalyptus_bdeu-1,1,8
eucalyptus_bdeu-10-2,1,7
