@RELATION FEATURE_COSTS_BNSL-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE basic NUMERIC
@ATTRIBUTE basic_extended NUMERIC
@ATTRIBUTE lower_bounding NUMERIC
@ATTRIBUTE greedy_probing NUMERIC
@ATTRIBUTE A*_probing NUMERIC
@ATTRIBUTE ILP_probing NUMERIC
@ATTRIBUTE CP_probing NUMERIC

@DATA
abscisic_bdeu-0.1-2,1,0,0,0,5,5,5,6
abscisic_bdeu-1-2,1,0,0,0,5,5,5,6
abscisic_bdeu-10-2,1,0,0,0,5,5,5,6
abscisic_bdeu-100-2,1,0,0,0,5,5,5,6
abscisic_bdeu-100-3,1,0,0,0,5,5,10,6
abscisic_bic-2,1,0,0,0,5,5,5,6
alarm_100_bdeu-0.1-2,1,0,0,0,1,5,0,0
alarm_100_bdeu-0.1-3,1,0,0,0,1,5,2,6
alarm_100_bdeu-0.1-4,1,0,0,0,1,5,3,6
alarm_100_bdeu-0.1-5,1,0,0,0,2,5,1,6
alarm_100_bdeu-0.1-6,1,0,0,0,2,5,5,6
alarm_100_bdeu-1-2,1,0,0,0,1,5,0,2
alarm_100_bdeu-1-3,1,0,0,0,2,5,1,6
alarm_100_bdeu-1-4,1,0,0,0,2,5,2,6
alarm_100_bdeu-1-5,1,0,0,0,2,5,2,6
alarm_100_bdeu-1-6,1,0,0,0,2,5,2,6
alarm_100_bdeu-10-2,1,0,0,0,3,5,5,6
alarm_100_bdeu-10-3,1,0,0,0,4,5,5,6
alarm_100_bdeu-10-4,1,0,0,0,4,5,5,6
alarm_100_bdeu-10-5,1,0,0,0,4,5,5,6
alarm_100_bdeu-10-6,1,0,0,0,4,5,5,6
alarm_100_bdeu-100-2,1,0,0,0,4,5,5,6
alarm_100_bdeu-100-3,1,0,0,0,5,5,8,6
alarm_100_bic,1,0,0,0,1,5,0,0
alarm_1000_bdeu-0.1-2,1,0,0,0,2,6,1,1
alarm_1000_bdeu-0.1-3,1,0,0,0,3,5,1,6
alarm_1000_bdeu-0.1-4,1,0,0,0,3,5,1,6
alarm_1000_bdeu-0.1-5,1,0,0,0,3,5,0,6
alarm_1000_bdeu-0.1-6,1,0,0,0,3,5,0,6
alarm_1000_bdeu-1-2,1,0,0,0,2,5,3,6
alarm_1000_bdeu-1-3,1,0,0,0,3,5,3,6
alarm_1000_bdeu-1-4,1,0,0,0,3,5,2,6
alarm_1000_bdeu-1-5,1,0,0,0,4,5,3,6
alarm_1000_bdeu-1-6,1,0,0,0,3,5,2,6
alarm_1000_bdeu-10-2,1,0,0,0,3,5,5,6
alarm_1000_bdeu-10-3,1,0,0,0,4,5,5,6
alarm_1000_bdeu-10-4,1,0,0,0,4,5,5,6
alarm_1000_bdeu-10-6,1,0,0,0,5,5,5,6
alarm_1000_bdeu-100-2,1,0,0,0,4,5,5,6
alarm_1000_bdeu-100-3,1,0,0,0,5,5,6,6
alarm_1000_bic,1,0,0,0,2,5,1,6
alarm_1000_bic-2,1,0,0,0,2,5,1,6
alarm_10000_bdeu-0.1-2,1,0,0,0,3,5,5,6
alarm_10000_bdeu-0.1-3,1,0,0,0,5,5,5,6
alarm_10000_bdeu-0.1-4,1,0,0,0,5,5,5,6
alarm_10000_bdeu-0.1-5,1,0,0,0,5,5,5,6
alarm_10000_bdeu-1-2,1,0,0,0,3,5,5,6
alarm_10000_bdeu-1-3,1,0,0,0,5,5,5,6
alarm_10000_bdeu-1-4,1,0,0,0,5,5,5,6
alarm_10000_bdeu-1-5,1,0,0,0,5,5,5,6
alarm_10000_bdeu-10-2,1,0,0,0,4,5,5,6
alarm_10000_bdeu-10-3,1,0,0,0,5,5,5,6
alarm_10000_bdeu-10-4,1,0,0,0,5,5,5,6
alarm_10000_bdeu-10-5,1,0,0,0,5,5,5,6
alarm_10000_bdeu-100-2,1,0,0,0,4,5,5,6
alarm_10000_bic-2,1,0,0,0,3,5,5,6
alarm_10000_bic-3,1,0,0,0,5,5,5,6
alarm_10000_bic-4,1,0,0,0,5,5,5,6
anneal_bdeu-0.1-2,1,0,0,0,2,5,5,1
anneal_bdeu-0.1-3,1,0,0,0,2,5,5,6
anneal_bdeu-0.1-4,1,0,0,0,3,5,5,6
anneal_bdeu-0.1-5,1,0,0,0,3,5,5,6
anneal_bdeu-0.1-6,1,0,0,0,3,5,5,6
anneal_bdeu-1-2,1,0,0,0,2,5,5,6
anneal_bdeu-1-3,1,0,0,0,3,5,5,6
anneal_bdeu-1-4,1,0,0,0,4,5,5,6
anneal_bdeu-1-5,1,0,0,0,3,5,5,6
anneal_bdeu-1-6,1,0,0,0,3,5,9,6
anneal_bdeu-10-2,1,0,0,0,3,5,5,6
anneal_bdeu-10-5,1,0,0,0,5,5,8,6
anneal_bdeu-100-2,1,0,0,0,3,5,5,6
anneal_bdeu-100-3,1,0,0,0,5,5,6,6
anneal_bic,1,0,0,0,1,5,0,0
anneal_bic-2,1,0,0,0,1,5,0,0
audiology_63_bdeu-0.1-2,1,0,0,0,3,5,0,6
audiology_63_bdeu-0.1-3,1,0,0,0,3,5,5,6
audiology_63_bdeu-0.1-4,1,0,0,0,3,5,5,6
audiology_63_bdeu-0.1-5,1,0,0,0,3,5,5,6
audiology_63_bdeu-1-2,1,0,0,0,4,5,4,6
audiology_63_bdeu-1-3,1,0,0,0,4,6,6,6
audiology_63_bdeu-1-4,1,0,0,0,4,5,5,6
audiology_63_bdeu-1-5,1,0,0,0,4,5,5,6
audiology_63_bic,1,0,0,0,2,5,0,6
audiology_63_bic-2,1,0,0,0,2,5,0,6
autos_bdeu-0.1-2,1,0,0,0,1,2,0,6
autos_bdeu-0.1-3,1,0,0,0,0,5,0,6
autos_bdeu-0.1-4,1,0,0,0,1,5,5,1
autos_bdeu-0.1-5,1,0,0,0,1,5,5,5
autos_bdeu-0.1-6,1,0,0,0,1,5,5,6
autos_bdeu-1-2,1,0,0,0,1,3,2,6
autos_bdeu-1-3,1,0,0,0,1,5,1,6
autos_bdeu-1-4,1,0,0,0,1,5,5,6
autos_bdeu-1-5,1,0,0,0,1,5,5,6
autos_bdeu-1-6,1,0,0,0,1,5,5,6
autos_bdeu-10-2,1,0,0,0,1,3,5,6
autos_bdeu-10-3,1,0,0,0,2,5,5,6
autos_bdeu-10-4,1,0,0,0,2,5,5,6
autos_bdeu-10-5,1,0,0,0,2,5,5,6
autos_bdeu-10-6,1,0,0,0,2,5,5,6
autos_bdeu-100-2,1,0,0,0,2,1,5,6
autos_bdeu-100-3,1,0,0,0,3,5,5,6
autos_bdeu-100-4,1,0,0,0,4,5,6,6
autos_bdeu-100-5,1,0,0,0,4,5,6,6
autos_bdeu-100-6,1,0,0,0,4,5,5,6
autos_bic,1,0,0,0,0,5,0,0
backache_bdeu-0.1-2,1,0,0,0,0,5,0,0
backache_bdeu-0.1-3,1,0,0,0,0,5,0,0
backache_bdeu-0.1-4,1,0,0,0,0,5,0,0
backache_bdeu-0.1-5,1,0,0,0,0,7,0,0
backache_bdeu-0.1-6,1,0,0,0,0,5,0,1
backache_bdeu-1-2,1,0,0,0,0,5,0,0
backache_bdeu-1-3,1,0,0,0,0,5,0,0
backache_bdeu-1-4,1,0,0,0,0,5,0,0
backache_bdeu-1-5,1,0,0,0,0,5,1,0
backache_bdeu-1-6,1,0,0,0,0,5,0,0
backache_bdeu-10-2,1,0,0,0,2,5,5,1
backache_bdeu-10-3,1,0,0,0,2,5,5,6
backache_bdeu-10-4,1,0,0,0,3,5,5,6
backache_bdeu-10-5,1,0,0,0,2,5,5,6
backache_bdeu-10-6,1,0,0,0,2,5,5,6
backache_bdeu-100-2,1,0,0,0,3,5,5,1
backache_bdeu-100-3,1,0,0,0,5,5,6,6
backache_bdeu-100-4,1,0,0,0,5,5,10,6
backache_bdeu-100-5,1,0,0,0,5,5,10,6
backache_bdeu-100-6,1,0,0,0,5,5,10,6
backache_bic,1,0,0,0,0,5,0,0
carpo_100_bdeu-0.1-2,1,0,0,0,5,5,5,6
carpo_100_bdeu-0.1-3,1,0,0,0,5,5,5,6
carpo_100_bdeu-0.1-4,1,0,0,0,5,5,6,6
carpo_100_bdeu-1-2,1,0,0,0,5,6,5,6
carpo_100_bdeu-1-3,1,0,0,0,5,5,6,6
carpo_100_bdeu-1-4,1,0,0,0,5,5,5,6
carpo_100_bdeu-10-2,1,0,0,0,6,5,5,6
carpo_100_bic,1,0,0,0,3,5,0,6
carpo_1000_bdeu-0.1-2,1,0,0,0,5,5,5,6
carpo_1000_bdeu-0.1-3,1,0,0,0,5,5,6,6
carpo_1000_bdeu-0.1-4,1,0,0,0,5,5,5,6
carpo_1000_bdeu-0.1-5,1,0,0,0,5,5,5,6
carpo_1000_bdeu-1-2,1,0,0,0,5,5,5,6
carpo_1000_bdeu-1-3,1,0,0,0,5,5,5,6
carpo_1000_bdeu-1-4,1,0,0,0,5,5,5,6
carpo_1000_bdeu-1-5,1,0,0,0,5,5,5,6
carpo_1000_bdeu-10-2,1,0,0,0,5,5,5,6
carpo_1000_bic-2,1,0,0,0,4,5,5,6
carpo_1000_bic-4,1,0,0,0,4,5,5,6
carpo_10000_bdeu-0.1-2,1,0,0,0,5,5,5,6
carpo_10000_bdeu-0.1-3,1,0,0,0,5,5,5,6
carpo_10000_bdeu-0.1-4,1,0,0,0,5,5,5,6
carpo_10000_bdeu-1-2,1,0,0,0,5,5,5,6
carpo_10000_bdeu-1-3,1,0,0,0,5,5,5,6
carpo_10000_bdeu-10-2,1,0,0,0,5,5,5,6
carpo_10000_bdeu-100-2,1,0,0,0,5,5,5,6
carpo_10000_bic-2,1,0,0,0,5,5,5,6
carpo_10000_bic-3,1,0,0,0,5,5,5,6
carpo_10000_bic-4,1,0,0,0,5,5,5,6
colic_bdeu-0.1-2,1,0,0,0,0,5,0,0
colic_bdeu-0.1-3,1,0,0,0,0,5,0,0
colic_bdeu-0.1-4,1,0,0,0,0,5,0,0
colic_bdeu-0.1-5,1,0,0,0,0,5,3,2
colic_bdeu-0.1-6,1,0,0,0,0,5,6,6
colic_bdeu-1-2,1,0,0,0,0,5,0,0
colic_bdeu-1-3,1,0,0,0,0,5,0,1
colic_bdeu-1-4,1,0,0,0,0,5,0,1
colic_bdeu-1-5,1,0,0,0,0,5,3,4
colic_bdeu-1-6,1,0,0,0,0,5,6,6
colic_bdeu-10-2,1,0,0,0,1,5,0,0
colic_bdeu-10-3,1,0,0,0,1,5,1,0
colic_bdeu-10-4,1,0,0,0,1,5,1,0
colic_bdeu-10-5,1,0,0,0,1,5,3,0
colic_bdeu-10-6,1,0,0,0,1,5,5,6
colic_bdeu-100-2,1,0,0,0,2,5,3,0
colic_bdeu-100-3,1,0,0,0,2,5,5,6
colic_bdeu-100-4,1,0,0,0,2,5,5,6
colic_bdeu-100-5,1,0,0,0,2,5,5,6
colic_bdeu-100-6,1,0,0,0,2,5,5,6
colic_bic,1,0,0,0,0,5,0,0
connect-4_6000_bdeu-0.1-2,1,0,0,0,5,6,5,6
connect-4_6000_bdeu-0.1-3,1,0,0,0,5,5,5,6
connect-4_6000_bdeu-1-2,1,0,0,0,4,5,5,6
connect-4_6000_bdeu-1-3,1,0,0,0,5,5,5,6
connect-4_6000_bdeu-10-2,1,0,0,0,5,5,5,6
connect-4_6000_bdeu-100-2,1,0,0,0,5,5,5,6
connect-4_6000_bic-2,1,0,0,0,3,5,5,6
connect-4_6000_bic-3,1,0,0,0,3,6,5,6
connect-4_6000_bic-5,1,0,0,0,3,5,5,6
connect-4_60000_bdeu-0.1-2,1,0,0,0,5,5,5,6
connect-4_60000_bdeu-1-2,1,0,0,0,5,5,5,6
connect-4_60000_bdeu-10-2,1,0,0,0,5,5,5,6
connect-4_60000_bdeu-100-2,1,0,0,0,5,6,5,6
connect-4_60000_bic-2,1,0,0,0,5,5,5,6
connect-4_60000_bic-3,1,0,0,0,5,5,6,6
covtype_60000_bdeu-0.1-2,1,0,0,0,5,5,5,6
covtype_60000_bdeu-1-2,1,0,0,0,4,5,5,6
covtype_60000_bdeu-10-2,1,0,0,0,5,5,5,6
covtype_60000_bdeu-100-2,1,0,0,0,5,5,5,6
covtype_60000_bic-2,1,0,0,0,4,5,5,6
credit-g_bdeu-10,1,0,0,0,0,4,0,0
