@RELATION ALGORITHM_RUNS_COP-MZN-2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm {bprolog, fzn2smt, g12cpx, g12fd, g12lazyfd, g12mip, gecode, izplus, jacop, minisatid, mistral, ortools}
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,izplus,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,g12lazyfd,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,mistral,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,jacop,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,ortools,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,g12cpx,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,gecode,900,0.75,ok
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,g12mip,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,bprolog,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,minisatid,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,fzn2smt,900,0,other
benchmarks/evilshop/evilshop.mzn_AND_benchmarks/evilshop/js-setf3-8.dzn,1,g12fd,900,0.25,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,izplus,172.24,1,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,g12lazyfd,23.96,1,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,mistral,900,0.25,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,jacop,900,0.75,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,ortools,0.16,1,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,g12cpx,0.14,1,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,gecode,900,0.75,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,g12mip,900,0,other
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,bprolog,2.56,1,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,minisatid,900,0.75,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,fzn2smt,900,0,other
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j305_8.dzn,1,g12fd,900,0.75,ok
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,izplus,900,0.484693877551,ok
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,g12lazyfd,900,0,other
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,mistral,900,0.75,ok
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,jacop,900,0,other
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,ortools,900,0.668367346939,ok
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,g12cpx,900,0.25,ok
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,gecode,900,0,other
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,g12mip,900,0,other
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,bprolog,900,0,other
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,minisatid,900,0,other
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,fzn2smt,900,0,other
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_7/Class7_100_2.dzn,1,g12fd,900,0,other
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j3011_8.dzn,1,izplus,36.27,1,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j3011_8.dzn,1,g12lazyfd,16.59,1,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j3011_8.dzn,1,mistral,900,0.75,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j3011_8.dzn,1,jacop,900,0.75,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j3011_8.dzn,1,ortools,900,0.75,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j3011_8.dzn,1,g12cpx,0.12,1,ok
benchmarks/rcpsp/rcpsp.mzn_AND_benchmarks/rcpsp/data_ksd15_d/j3011_8.dzn,1,gecode,900,0.75,ok
