@RELATION FEATURE_COSTS_COP-MZN-2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE static NUMERIC
@ATTRIBUTE dynamic NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,0.06,2.1
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,0.18,2.11
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,0.13,2.1
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.02,2.13
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.01,2.1
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,0.01,2.07
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,0.01,2.06
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,0.31,2.11
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.02,2.14
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.05,2.05
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff58.dzn,1,0.1,2.09
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/5Ships.dzn,1,7.65,2.49
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/09.dzn,1,4.17,2.22
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/10.dzn,1,4.1,2.26
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_05.dzn,1,0.03,2.13
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.2.dzn,1,0.02,2.05
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_6.dzn,1,1.1,2.2
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/6ShipsMixed.dzn,1,7.93,2.54
