@RELATION algorithm_runs_csp_2010

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,standard,0.025995,ok
1-fullins-3-3.xml.watchless.minion.gz,1,learning,0.030995,ok
1-fullins-3-4.xml.watchless.minion.gz,1,standard,0.167974,ok
1-fullins-3-4.xml.watchless.minion.gz,1,learning,0.185972,ok
1-fullins-4-4.xml.watchless.minion.gz,1,standard,0.036994,ok
1-fullins-4-4.xml.watchless.minion.gz,1,learning,0.059991,ok
1-fullins-4-5.xml.watchless.minion.gz,1,standard,0.171973,ok
1-fullins-4-5.xml.watchless.minion.gz,1,learning,0.193971,ok
1-fullins-5-4.xml.watchless.minion.gz,1,standard,0.080988,ok
1-fullins-5-4.xml.watchless.minion.gz,1,learning,0.096985,ok
1-fullins-5-5.xml.watchless.minion.gz,1,standard,6.285043,ok
1-fullins-5-5.xml.watchless.minion.gz,1,learning,887.100994,ok
1-fullins-5-6.xml.watchless.minion.gz,1,standard,0.19997,ok
1-fullins-5-6.xml.watchless.minion.gz,1,learning,0.226965,ok
1-insertions-4-3.xml.watchless.minion.gz,1,standard,0.027994,ok
1-insertions-4-3.xml.watchless.minion.gz,1,learning,0.043993,ok
1-insertions-4-4.xml.watchless.minion.gz,1,standard,5000,timeout
1-insertions-4-4.xml.watchless.minion.gz,1,learning,5000,timeout
1-insertions-5-4.xml.watchless.minion.gz,1,standard,5000,timeout
1-insertions-5-4.xml.watchless.minion.gz,1,learning,5000,timeout
1-insertions-5-5.xml.watchless.minion.gz,1,standard,5000,timeout
1-insertions-5-5.xml.watchless.minion.gz,1,learning,5000,timeout
1-insertions-5-6.xml.watchless.minion.gz,1,standard,0.177973,ok
1-insertions-5-6.xml.watchless.minion.gz,1,learning,0.203969,ok
1-insertions-6-4.xml.watchless.minion.gz,1,standard,5000,timeout
1-insertions-6-4.xml.watchless.minion.gz,1,learning,5000,timeout
1-insertions-6-5.xml.watchless.minion.gz,1,standard,5000,timeout
1-insertions-6-5.xml.watchless.minion.gz,1,learning,5000,timeout
1-insertions-6-6.xml.watchless.minion.gz,1,standard,5000,timeout
1-insertions-6-6.xml.watchless.minion.gz,1,learning,5000,timeout
1-insertions-6-7.xml.watchless.minion.gz,1,standard,0.26496,ok
1-insertions-6-7.xml.watchless.minion.gz,1,learning,0.309952,ok
2-fullins-3-4.xml.watchless.minion.gz,1,standard,0.025996,ok
2-fullins-3-4.xml.watchless.minion.gz,1,learning,0.039994,ok
2-fullins-3-5.xml.watchless.minion.gz,1,standard,0.162975,ok
2-fullins-3-5.xml.watchless.minion.gz,1,learning,0.182972,ok
2-fullins-4-4.xml.watchless.minion.gz,1,standard,0.040994,ok
2-fullins-4-4.xml.watchless.minion.gz,1,learning,0.054992,ok
2-fullins-4-5.xml.watchless.minion.gz,1,standard,0.153977,ok
2-fullins-4-5.xml.watchless.minion.gz,1,learning,0.45993,ok
2-fullins-4-6.xml.watchless.minion.gz,1,standard,0.182972,ok
2-fullins-4-6.xml.watchless.minion.gz,1,learning,0.207968,ok
2-fullins-5-4.xml.watchless.minion.gz,1,standard,0.166974,ok
2-fullins-5-4.xml.watchless.minion.gz,1,learning,0.178972,ok
2-fullins-5-5.xml.watchless.minion.gz,1,standard,0.489926,ok
2-fullins-5-5.xml.watchless.minion.gz,1,learning,0.830874,ok
2-fullins-5-6.xml.watchless.minion.gz,1,standard,256.248044,ok
2-fullins-5-6.xml.watchless.minion.gz,1,learning,5000,timeout
