@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
1-fullins-4-5.xml.watchless.minion.gz,1,1
1-insertions-6-4.xml.watchless.minion.gz,1,1
1-insertions-6-6.xml.watchless.minion.gz,1,1
2-fullins-3-5.xml.watchless.minion.gz,1,1
2-insertions-4-3.xml.watchless.minion.gz,1,1
3-fullins-3-6.xml.watchless.minion.gz,1,1
3-fullins-5-5.xml.watchless.minion.gz,1,1
4-fullins-5-5.xml.watchless.minion.gz,1,1
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,1
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,1
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,1
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,1
ash331GPIA-4.xml.watchless.minion.gz,1,1
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,1
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,1
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,1
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,1
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,1
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,1
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,1
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,1
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,1
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,1
bqwh-15-106-13_glb.xml.minion.conv.minion,1,1
bqwh-15-106-18_glb.xml.minion.conv.minion,1,1
bqwh-15-106-19_glb.xml.minion.conv.minion,1,1
bqwh-15-106-20_glb.xml.minion.conv.minion,1,1
bqwh-15-106-30_glb.xml.minion.conv.minion,1,1
bqwh-15-106-33_ext.xml.minion.converted.minion.gz,1,1
bqwh-15-106-3_glb.xml.minion.conv.minion,1,1
bqwh-15-106-43_ext.xml.minion.converted.minion.gz,1,1
bqwh-15-106-54_glb.xml.minion.conv.minion,1,1
bqwh-15-106-5_ext.xml.minion.converted.minion.gz,1,1
bqwh-15-106-69_ext.xml.minion.converted.minion.gz,1,1
bqwh-15-106-76_glb.xml.minion.conv.minion,1,1
bqwh-15-106-80_glb.xml.minion.conv.minion,1,1
bqwh-15-106-9_glb.xml.minion.conv.minion,1,1
bqwh-18-141-55_ext.xml.minion.converted.minion.gz,1,1
bqwh-18-141-59_ext.xml.minion.converted.minion.gz,1,1
bqwh-18-141-63_ext.xml.minion.converted.minion.gz,1,1
bqwh-18-141-73_ext.xml.minion.converted.minion.gz,1,1
bqwh-18-141-75_ext.xml.minion.converted.minion.gz,1,1
bqwh-18-141-81_ext.xml.minion.converted.minion.gz,1,1
bqwh-18-141-95_ext.xml.minion.converted.minion.gz,1,1
composed-25-10-20-3_ext.xml.minion.gz,1,1
composed-25-10-20-7_ext.xml.minion.gz,1,1
composed-25-1-2-6_ext.xml.minion.gz,1,1
composed-25-1-2-7_ext.xml.minion.gz,1,1
composed-25-1-80-8_ext.xml.minion.gz,1,1
composed-75-1-2-0_ext.xml.minion.gz,1,1
composed-75-1-2-8_ext.xml.minion.gz,1,1
composed-75-1-40-5_ext.xml.minion.gz,1,1
composed-75-1-40-8_ext.xml.minion.gz,1,1
cril-7.ext.xml.minion.converted.minion,1,1
cril-7.ext.xml.minion.converted.minion.gz,1,1
crossword-m1-words-23-05.xml.minion.WOR.minion.gz,1,1
driverlogw-08cc-sat_ext.xml.minion.converted.minion.gz,1,1
dubois-29_ext.xml.minion.converted.minion.gz,1,1
dubois-30_ext.xml.minion.converted.minion.gz,1,1
ehi-85-297-19_ext.xml.minion.gz,1,1
ehi-85-297-2_ext.xml.minion.gz,1,1
ehi-85-297-31_ext.xml.minion.gz,1,1
ehi-85-297-47_ext.xml.minion.gz,1,1
ehi-85-297-50_ext.xml.minion.gz,1,1
ehi-85-297-68_ext.xml.minion.gz,1,1
ehi-85-297-6_ext.xml.minion.gz,1,1
ehi-85-297-74_ext.xml.minion.gz,1,1
ehi-90-315-12_ext.xml.minion.gz,1,1
ehi-90-315-16_ext.xml.minion.gz,1,1
ehi-90-315-26_ext.xml.minion.gz,1,1
ehi-90-315-34_ext.xml.minion.gz,1,1
ehi-90-315-38_ext.xml.minion.gz,1,1
ehi-90-315-4_ext.xml.minion.gz,1,1
ehi-90-315-58_ext.xml.minion.gz,1,1
ehi-90-315-5_ext.xml.minion.gz,1,1
ehi-90-315-63_ext.xml.minion.gz,1,1
ehi-90-315-77_ext.xml.minion.gz,1,1
ehi-90-315-88_ext.xml.minion.gz,1,1
frb35-17-4-mgd_ext.xml.minion.gz,1,1
frb35-17-5-mgd_ext.xml.minion.gz,1,1
frb53-24-5-mgd_ext.xml.minion.gz,1,1
frb56-25-3-mgd_ext.xml.minion.gz,1,1
frb56-25-4-mgd_ext.xml.minion.gz,1,1
frb56-25-5-mgd_ext.xml.minion.gz,1,1
frb59-26-1-mgd_ext.xml.minion.gz,1,1
geo50-20-d4-75-20_ext.xml.minion.gz,1,1
geo50-20-d4-75-34_ext.xml.minion.gz,1,1
geo50-20-d4-75-42_ext.xml.minion.gz,1,1
geo50-20-d4-75-48_ext.xml.minion.gz,1,1
geo50-20-d4-75-50_ext.xml.minion.gz,1,1
geo50-20-d4-75-56_ext.xml.minion.gz,1,1
geo50-20-d4-75-57_ext.xml.minion.gz,1,1
geo50-20-d4-75-61_ext.xml.minion.gz,1,1
geo50-20-d4-75-90_ext.xml.minion.gz,1,1
geo50-20-d4-75-9_ext.xml.minion.gz,1,1
hole-10_ext.xml.minion.converted.minion.gz,1,1
jnh08_ext.xml.minion.converted.minion.gz,1,1
jnh10_ext.xml.minion.converted.minion.gz,1,1
jnh11_ext.xml.minion.converted.minion.gz,1,1
jnh201_ext.xml.minion.converted.minion.gz,1,1
jnh205_ext.xml.minion.converted.minion.gz,1,1
jnh220_ext.xml.minion.converted.minion.gz,1,1
jnh302_ext.xml.minion.converted.minion.gz,1,1
jnh310_ext.xml.minion.converted.minion.gz,1,1
langford-2-11.xml.minion.conv.minion,1,1
langford-2-14.xml.minion.conv.minion,1,1
langford-2-21.xml.minion.conv.minion,1,1
large-80-unsat_ext.xml.minion.gz,1,1
magicSquare-8_glb.xml.minion.conv.minion,1,1
mug100-25-3.xml.watchless.minion.gz,1,1
myciel-5g-6-ext.xml.minion.converted.minion.gz,1,1
myciel6-7.xml.watchless.minion.gz,1,1
nmr_10_8_4.minion,1,1
nmr_10_8_5.minion,1,1
nmr_10_9_5.minion,1,1
nmr_11_9_4.minion,1,1
nmr_12_12_4.minion,1,1
nmr_12_5_3.minion,1,1
nmr_12_8_5.minion,1,1
nmr_6_8_5.minion,1,1
nmr_7_5_3.minion,1,1
nmr_8_6_4.minion,1,1
nmr_8_9_3.minion,1,1
nmr_9_11_4.minion,1,1
nmr_9_8_3.minion,1,1
nmr_9_8_5.minion,1,1
ortholatin-20.xml.conv.minion,1,1
ortholatin-7.xml.minion,1,1
peg12.minion.converted.minion.gz,1,1
peg24.minion.converted.minion.gz,1,1
peg31.minion.converted.minion.gz,1,1
pigeons-35.xml.minion.conv.minion,1,1
pigeons-7.xml.minion.conv.minion,1,1
pigeons-9_ext.xml.minion,1,1
pret-150-40_ext.xml.minion.converted.minion.gz,1,1
pret-60-40_ext.xml.minion.converted.minion.gz,1,1
qcp-10-67-2_ext.xml.minion.gz,1,1
qcp-15-120-3_ext.xml.minion.gz,1,1
qcp-20-187-8_ext.xml.minion.gz,1,1
queens-15.xml.minion.conv.minion,1,1
queens-30.xml.minion.conv.minion,1,1
qwh-10-57-0_ext.xml.minion.gz,1,1
qwh-15-106-0_ext.xml.minion.gz,1,1
qwh-15-106-5_ext.xml.minion.gz,1,1
qwh-25-235-3_ext.xml.minion.gz,1,1
rand-2-30-15-306-230-17_ext.xml.minion.gz,1,1
rand-2-30-15-306-230-19_ext.xml.minion.gz,1,1
rand-2-30-15-306-230-45_ext.xml.minion.gz,1,1
rand-2-30-15-306-230-fcd-17_ext.xml.minion.gz,1,1
rand-2-30-15-306-230-fcd-35_ext.xml.minion.gz,1,1
rand-2-40-11-414-200-1_ext.xml.minion.gz,1,1
rand-2-40-11-414-200-29_ext.xml.minion.gz,1,1
rand-2-40-11-414-200-3_ext.xml.minion.gz,1,1
rand-2-40-11-414-200-57_ext.xml.minion.gz,1,1
rand-2-40-16-250-350-17_ext.xml.minion.gz,1,1
rand-2-40-16-250-350-31_ext.xml.minion.gz,1,1
rand-2-40-16-250-350-41_ext.xml.minion.gz,1,1
rand-2-40-16-250-350-51_ext.xml.minion.gz,1,1
rand-2-40-16-250-350-65_ext.xml.minion.gz,1,1
rand-2-40-180-84-900-29_ext.xml.minion.gz,1,1
rand-2-40-180-84-900-53_ext.xml.minion.gz,1,1
rand-2-40-180-84-900-69_ext.xml.minion.gz,1,1
rand-2-40-180-84-900-79_ext.xml.minion.gz,1,1
rand-2-40-19-443-230-fcd-17_ext.xml.minion.gz,1,1
rand-2-40-19-443-230-fcd-29_ext.xml.minion.gz,1,1
rand-2-40-25-180-500-73_ext.xml.minion.gz,1,1
rand-2-40-25-180-500-79_ext.xml.minion.gz,1,1
rand-2-40-25-180-500-7_ext.xml.minion.gz,1,1
rand-2-40-40-135-650-1_ext.xml.minion.gz,1,1
rand-2-40-40-135-650-33_ext.xml.minion.gz,1,1
rand-2-40-40-135-650-41_ext.xml.minion.gz,1,1
rand-2-40-40-135-650-63_ext.xml.minion.gz,1,1
rand-2-40-80-103-800-11_ext.xml.minion.gz,1,1
rand-2-40-80-103-800-29_ext.xml.minion.gz,1,1
rand-2-40-80-103-800-31_ext.xml.minion.gz,1,1
rand-2-40-80-103-800-5_ext.xml.minion.gz,1,1
rand-2-40-80-103-800-71_ext.xml.minion.gz,1,1
rand-2-40-8-753-100-25_ext.xml.minion.gz,1,1
rand-2-40-8-753-100-63_ext.xml.minion.gz,1,1
rand-2-40-8-753-100-67_ext.xml.minion.gz,1,1
rand-24-24-276-139-50021_ext.xml.minion.gz,1,1
rand-2-50-23-587-230-1_ext.xml.minion.gz,1,1
rand-2-50-23-587-230-34_ext.xml.minion.gz,1,1
