@RELATION Feature_CSP_2010

@attribute instance_id string
@attribute repetition numeric
@attribute stats_varcount numeric
@attribute stats_var_bool numeric
@attribute stats_var_discrete numeric
@attribute stats_var_bound numeric
@attribute stats_var_sparsebound numeric
@attribute stats_dom_0 numeric
@attribute stats_dom_25 numeric
@attribute stats_dom_50 numeric
@attribute stats_dom_75 numeric
@attribute stats_dom_100 numeric
@attribute stats_dom_mean numeric
@attribute stats_dom_not2_2_ratio numeric
@attribute stats_discrete_bool_ratio numeric
@attribute stats_branchingvars numeric
@attribute stats_auxvars numeric
@attribute stats_auxvar_branching_ratio numeric
@attribute stats_conscount numeric
@attribute stats_arity_0 numeric
@attribute stats_arity_25 numeric
@attribute stats_arity_50 numeric
@attribute stats_arity_75 numeric
@attribute stats_arity_100 numeric
@attribute stats_arity_mean numeric
@attribute stats_arity_mean_normalised numeric
@attribute stats_cts_per_var_mean numeric
@attribute stats_cts_per_var_mean_normalised numeric
@attribute stats_alldiff_count numeric
@attribute stats_alldiff_proportion numeric
@attribute stats_sums_count numeric
@attribute stats_sums_proportion numeric
@attribute stats_or_atleastk_count numeric
@attribute stats_or_atleastk_proportion numeric
@attribute stats_ternary_count numeric
@attribute stats_ternary_proportion numeric
@attribute stats_binary_count numeric
@attribute stats_binary_proportion numeric
@attribute stats_reify_count numeric
@attribute stats_reify_proportion numeric
@attribute stats_table_count numeric
@attribute stats_table_proportion numeric
@attribute stats_lex_count numeric
@attribute stats_lex_proportion numeric
@attribute stats_unary_count numeric
@attribute stats_unary_proportion numeric
@attribute stats_nullary_count numeric
@attribute stats_nullary_proportion numeric
@attribute stats_element_count numeric
@attribute stats_element_proportion numeric
@attribute stats_minmax_count numeric
@attribute stats_minmax_proportion numeric
@attribute stats_occurrence_count numeric
@attribute stats_occurrence_proportion numeric
@attribute stats_multi_shared_vars numeric
@attribute stats_edge_density numeric
@attribute stats_Local_Variance numeric
@attribute stats_tightness_0 numeric
@attribute stats_tightness_25 numeric
@attribute stats_tightness_50 numeric
@attribute stats_tightness_75 numeric
@attribute stats_tightness_100 numeric
@attribute stats_tightness_mean numeric
@attribute stats_tightness_mean_normalised numeric
@attribute standard_deviation_of_node_degree numeric
@attribute normalised_standard_deviation_of_node_degree numeric
@attribute clustering_coefficient numeric
@attribute minimum_degree numeric
@attribute normalised_minimum_degree numeric
@attribute maximum_degree numeric
@attribute normalised_maximum_degree numeric
@attribute median_degree numeric
@attribute normalised_median_degree numeric
@attribute mean_degree numeric
@attribute normalised_mean_degree numeric
@attribute width_of_ordering numeric
@attribute normalised_width_of_ordering numeric
@attribute width_of_graph numeric
@attribute normalised_width_of_graph numeric
@attribute SAC_literals numeric
@attribute normalised_SAC_literals numeric
@attribute stats_literal_tightness_0 numeric
@attribute stats_literal_tightness_25 numeric
@attribute stats_literal_tightness_50 numeric
@attribute stats_literal_tightness_75 numeric
@attribute stats_literal_tightness_100 numeric
@attribute stats_literal_tightness_mean numeric
@attribute stats_literal_tightness_coeff_of_variation numeric

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,30,0,30,0,0,3,3,3,3,3,3.000000,0,0,30,0,0.000000,100,2,2,2,2,2,2.000000,0.066667,6.666667,0.066667,0,0.000000,0,0.000000,0,0.000000,0,0.000000,100,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.229885,0.364781,324,324,324,324,324,324.000000,3.240000,2.054804667656325,.06849348892187751,.09182780182780183,4,.1333333333333333,11,.3666666666666666,6.0,0.2,6.666666666666667,.2222222222222222,11,.3666666666666666,5,.1666666666666667,0,0.0,32.000000,32.000000,33.000000,35.000000,35.000000,33.333333,0.037417
1-fullins-3-4.xml.watchless.minion.gz,1,30,0,30,0,0,4,4,4,4,4,4.000000,0,0,30,0,0.000000,100,2,2,2,2,2,2.000000,0.066667,6.666667,0.066667,0,0.000000,0,0.000000,0,0.000000,0,0.000000,100,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.229885,0.364781,263,263,263,263,263,263.000000,2.630000,2.054804667656325,.06849348892187751,.09182780182780183,4,.1333333333333333,11,.3666666666666666,6.0,0.2,6.666666666666667,.2222222222222222,11,.3666666666666666,5,.1666666666666667,0,0.0,20.000000,26.000000,27.000000,27.000000,27.000000,25.000000,0.116619
1-fullins-4-4.xml.watchless.minion.gz,1,93,0,93,0,0,4,4,4,4,4,4.000000,0,0,93,0,0.000000,593,2,2,2,2,2,2.000000,0.021505,12.752688,0.021505,0,0.000000,0,0.000000,0,0.000000,0,0.000000,593,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.138616,0.236605,263,263,263,263,263,263.000000,0.443508,5.523470768716972,0.0593921588034083,.03905599822976483,6,.06451612903225806,32,.3440860215053764,11.0,.1182795698924731,12.75268817204301,.1371256792692797,32,.3440860215053764,9,0.0967741935483871,0,0.0,20.000000,26.000000,27.000000,27.000000,27.000000,25.000000,0.116619
1-fullins-4-5.xml.watchless.minion.gz,1,93,0,93,0,0,5,5,5,5,5,5.000000,0,0,93,0,0.000000,593,2,2,2,2,2,2.000000,0.021505,12.752688,0.021505,0,0.000000,0,0.000000,0,0.000000,0,0.000000,593,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.138616,0.236605,184,184,184,184,184,184.000000,0.310287,5.523470768716972,0.0593921588034083,.03905599822976483,6,.06451612903225806,32,.3440860215053764,11.0,.1182795698924731,12.75268817204301,.1371256792692797,32,.3440860215053764,9,0.0967741935483871,0,0.0,16.000000,17.000000,21.000000,23.000000,23.000000,20.000000,0.148324
1-fullins-5-4.xml.watchless.minion.gz,1,282,0,282,0,0,4,4,4,4,4,4.000000,0,0,282,0,0.000000,3247,2,2,2,2,2,2.000000,0.007092,23.028369,0.007092,0,0.000000,0,0.000000,0,0.000000,0,0.000000,3247,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.081951,0.147531,263,263,263,263,263,263.000000,0.080998,13.20054977493152,.04681046019479263,.01668639543938761,8,.02836879432624113,95,.3368794326241135,20.0,.07092198581560284,23.02836879432624,.08166088224938384,95,.3368794326241135,15,.05319148936170213,0,0.0,20.000000,26.000000,27.000000,27.000000,27.000000,25.000000,0.116619
1-fullins-5-5.xml.watchless.minion.gz,1,282,0,282,0,0,5,5,5,5,5,5.000000,0,0,282,0,0.000000,3247,2,2,2,2,2,2.000000,0.007092,23.028369,0.007092,0,0.000000,0,0.000000,0,0.000000,0,0.000000,3247,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.081951,0.147531,184,184,184,184,184,184.000000,0.056668,13.20054977493152,.04681046019479263,.01668639543938761,8,.02836879432624113,95,.3368794326241135,20.0,.07092198581560284,23.02836879432624,.08166088224938384,95,.3368794326241135,15,.05319148936170213,0,0.0,16.000000,17.000000,21.000000,23.000000,23.000000,20.000000,0.148324
1-fullins-5-6.xml.watchless.minion.gz,1,282,0,282,0,0,6,6,6,6,6,6.000000,0,0,282,0,0.000000,3247,2,2,2,2,2,2.000000,0.007092,23.028369,0.007092,0,0.000000,0,0.000000,0,0.000000,0,0.000000,3247,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.081951,0.147531,169,169,169,169,169,169.000000,0.052048,13.20054977493152,.04681046019479263,.01668639543938761,8,.02836879432624113,95,.3368794326241135,20.0,.07092198581560284,23.02836879432624,.08166088224938384,95,.3368794326241135,15,.05319148936170213,0,0.0,13.000000,14.000000,18.000000,19.000000,20.000000,16.666667,0.153623
1-insertions-4-3.xml.watchless.minion.gz,1,67,0,67,0,0,3,3,3,3,3,3.000000,0,0,67,0,0.000000,232,2,2,2,2,2,2.000000,0.029851,6.925373,0.029851,0,0.000000,0,0.000000,0,0.000000,0,0.000000,232,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.104930,0.352067,324,324,324,324,324,324.000000,1.396552,2.689467754234893,.04014130976469991,0.0,4,.05970149253731343,22,.3283582089552239,6.0,.08955223880597014,6.925373134328358,.1033637781243038,22,.3283582089552239,5,.07462686567164178,0,0.0,32.000000,32.000000,33.000000,35.000000,35.000000,33.333333,0.037417
1-insertions-4-4.xml.watchless.minion.gz,1,67,0,67,0,0,4,4,4,4,4,4.000000,0,0,67,0,0.000000,232,2,2,2,2,2,2.000000,0.029851,6.925373,0.029851,0,0.000000,0,0.000000,0,0.000000,0,0.000000,232,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.104930,0.352067,263,263,263,263,263,263.000000,1.133621,2.689467754234893,.04014130976469991,0.0,4,.05970149253731343,22,.3283582089552239,6.0,.08955223880597014,6.925373134328358,.1033637781243038,22,.3283582089552239,5,.07462686567164178,0,0.0,20.000000,26.000000,27.000000,27.000000,27.000000,25.000000,0.116619
1-insertions-5-4.xml.watchless.minion.gz,1,202,0,202,0,0,4,4,4,4,4,4.000000,0,0,202,0,0.000000,1227,2,2,2,2,2,2.000000,0.009901,12.148515,0.009901,0,0.000000,0,0.000000,0,0.000000,0,0.000000,1227,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,0.060440,0.243809,263,263,263,263,263,263.000000,0.214344,6.657663102947888,.03295872823241528,0.0,5,.02475247524752475,67,.3316831683168317,10.0,.04950495049504951,12.14851485148515,0.0601411626311146,67,.3316831683168317,8,0.0396039603960396,0,0.0,20.000000,26.000000,27.000000,27.000000,27.000000,25.000000,0.116619
