@RELATION ALGORITHM_RUNS_CSP-MZN-2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm {bprolog, fzn2smt, g12cpx, g12fd, g12lazyfd, g12mip, gecode, izplus, minisatid, mistral, ortools}
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE solved NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,other
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,g12cpx,1800,0,other
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,g12mip,1800,0,other
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,bprolog,1800,0,other
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,minisatid,1800,0,timeout
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-fapp06-0500-1.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
langford/langford.mzn_AND_langford/l_3_17.dzn,1,izplus,1.3,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,g12lazyfd,12.76,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,ortools,4.51,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,g12fd,9.1,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,g12cpx,14.56,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,gecode,4.66,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,g12mip,1800,0,timeout
langford/langford.mzn_AND_langford/l_3_17.dzn,1,bprolog,9.22,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,minisatid,83.13,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,mistral,6.28,1,ok
langford/langford.mzn_AND_langford/l_3_17.dzn,1,fzn2smt,1.64,1,ok
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,izplus,309.75,1,ok
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,g12lazyfd,0.03,1,ok
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,g12cpx,0.05,1,ok
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,minisatid,0.06,1,ok
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-mug88-1-3.xml.mzn_AND_NODATA,1,fzn2smt,0.04,1,ok
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,g12lazyfd,549.04,1,ok
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,ortools,81.55,1,ok
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,g12fd,37.33,1,ok
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,g12cpx,121.92,1,ok
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,gecode,15.47,1,ok
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,bprolog,21.82,1,ok
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,minisatid,415.1,1,ok
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,mistral,1800,0,other
normalized-t3002-11tsp11-1900575442.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,g12cpx,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,minisatid,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-mulsol-i-3-20.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,g12cpx,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,g12mip,2.23,1,ok
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,minisatid,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-chnl40-41-pb-cnf-cr.xml.mzn_AND_NODATA,1,fzn2smt,2.43,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,izplus,1586.97,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,g12lazyfd,891.87,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,ortools,94.04,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,g12fd,171.2,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,g12cpx,1016.8,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,gecode,201.59,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,g12mip,1800,0,other
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,bprolog,506.89,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,minisatid,343.45,1,ok
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-rand-2-40-16-250-350-25_ext.xml.mzn_AND_NODATA,1,fzn2smt,79.03,1,ok
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,izplus,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,g12lazyfd,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,ortools,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,g12fd,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,g12cpx,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,gecode,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,g12mip,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,bprolog,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,minisatid,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,mistral,1800,0,timeout
market_split/market_split.mzn_AND_market_split/u5-01.dzn,1,fzn2smt,1800,0,timeout
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,izplus,1800,0,other
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,g12lazyfd,1800,0,other
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,ortools,1800,0,timeout
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,g12fd,1800,0,timeout
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,g12cpx,0.79,1,ok
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,gecode,1800,0,timeout
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,g12mip,1800,0,other
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,bprolog,1800,0,timeout
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,minisatid,1800,0,other
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,mistral,1800,0,timeout
wwtpp-random/wwtpp.mzn_AND_wwtpp-random/ex09500_2600_100.dzn,1,fzn2smt,0.7,1,ok
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,other
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,g12cpx,1800,0,other
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,minisatid,1800,0,timeout
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-fischer-11-9-fair.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,g12lazyfd,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,ortools,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,g12cpx,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,minisatid,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-super-js-taillard-20-11.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,izplus,1800,0,timeout
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,g12lazyfd,23.3,1,ok
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,ortools,1203.98,1,ok
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,g12fd,1800,0,timeout
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,g12cpx,29.29,1,ok
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,gecode,1800,0,timeout
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,bprolog,1800,0,timeout
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,minisatid,26.7,1,ok
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,mistral,1800,0,timeout
normalized-qcp-15-120-10_ext.xml.mzn_AND_NODATA,1,fzn2smt,1800,0,other
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,izplus,1.15,1,ok
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,g12lazyfd,1,1,ok
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,ortools,230.41,1,ok
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,g12fd,379.97,1,ok
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,g12cpx,6.55,1,ok
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,gecode,406.21,1,ok
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,g12mip,1800,0,timeout
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,bprolog,894.71,1,ok
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,minisatid,1.07,1,ok
