@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
black-hole/black-hole.mzn_AND_black-hole/2.dzn,1,1
black-hole/black-hole.mzn_AND_black-hole/20.dzn,1,1
cars/cars.mzn_AND_cars/cars_65_01.dzn,1,1
cars/cars.mzn_AND_cars/cars_70_09.dzn,1,1
cars/cars.mzn_AND_cars/cars_80_09.dzn,1,1
cars/cars.mzn_AND_cars/cars_85_09.dzn,1,1
cars/cars.mzn_AND_cars/cars_90_04.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_0.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_15.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_20.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_36.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_42.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_48.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_49.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_57.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_65.dzn,1,1
carseq/carseq.mzn_AND_carseq/carseq_set_1/car_78.dzn,1,1
golfers/golfers1.mzn_AND_golfers/golfers_5_3_6.dzn,1,1
golfers/golfers3.mzn_AND_golfers/golfers_5_2_8.dzn,1,1
langford/langford.mzn_AND_langford/l_3_18.dzn,1,1
market_split/market_split.mzn_AND_market_split/s4-10.dzn,1,1
market_split/market_split.mzn_AND_market_split/u4-09.dzn,1,1
market_split/market_split.mzn_AND_market_split/u5-03.dzn,1,1
market_split/market_split.mzn_AND_market_split/u5-09.dzn,1,1
mznc12-problems/amaze2/amaze2.mzn_AND_mznc12-problems/amaze2/2012-06-29.dzn,1,1
nmseq/nmseq.mzn_AND_nmseq/150.dzn,1,1
nonogram/non.mzn_AND_nonogram/non_med_3.dzn,1,1
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,1
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1
normalized-abb313GPIA-7.xml.mzn_AND_NODATA,1,1
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,1
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,1
normalized-army13-24bt.xml.mzn_AND_NODATA,1,1
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,1
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,1
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,1
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,1
