@RELATION FEATURE_COSTS_CSP-MZN-2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE static NUMERIC
@ATTRIBUTE dynamic NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0.2,2.05
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,1.19,2.05
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0.05,2.03
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0.02,2.06
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0.02,2.02
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,1.31,2.06
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0.17,2.06
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,1.32,2.06
normalized-37s-smv.xml.mzn_AND_NODATA,1,1.91,2.07
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,3.81,0.05
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,3.79,2.05
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,5.78,2.07
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1.14,1.72
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,3.76,2.06
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,0.38,2.05
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,0.12,2.03
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,0.11,2.04
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,0.2,2.04
normalized-46s-smv.xml.mzn_AND_NODATA,1,2.68,2.08
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,0.18,2.04
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,0.04,2.05
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,0.07,2.03
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.07,2.03
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,3.54,2.06
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,5.82,2.07
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,5.75,2.07
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,5.74,2.07
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,0.07,2.03
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.07,0.07
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.07,2.04
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.07,2.04
