@RELATION ALGORITHM_RUNS_CSP-Minizinc-Obj-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE obj NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
25_04,1,iZplus-free,0.9,0.603,ok
25_04,1,MZN/SCIP-free,0.9,2.8890000000000002,ok
25_04,1,Chuffed-free,0.9,0.084,ok
25_04,1,LCG-Glucose-UC-free,0.9,0.055,ok
25_04,1,Concrete-free,0.9,17.887,ok
25_04,1,JaCoP-fd,0.9,1200.0,ok
25_04,1,Mistral-free,0.9,7.45,ok
25_04,1,OscaR/CBLS-free,0.6,1200.0,ok
25_04,1,HaifaCSP-free,0.9,4.8340000000000005,ok
25_04,1,Gecode-free,0.9,242.45000000000002,ok
25_04,1,OR-Tools-free,0.9,441.721,ok
25_04,1,"SICStus-Prolog-fd",0.6,1200.0,ok
25_04,1,"Picat-CP-fd",0.9,164.806,ok
25_04,1,"Picat-SAT-free",0.9,2.141,ok
25_04,1,MZN/Gurobi-free,0.9,0.153,ok
25_04,1,MZN/CPLEX-free,0.9,0.137,ok
25_04,1,LCG-Glucose-free,0.9,0.113,ok
25_04,1,MZN/Cbc-free,0.9,0.863,ok
25_04,1,Yuck-free,0.0,1200.0,ok
25_04,1,Choco-free,0.9,1200.0,ok
25_04,1,MinisatID-free,0.9,9.832,ok
25_04,1,G12FD-free,0.9,5.182,ok
31_02,1,iZplus-free,0.9,0.41600000000000004,ok
31_02,1,MZN/SCIP-free,0.9,1.351,ok
31_02,1,Chuffed-free,0.9,0.28800000000000003,ok
31_02,1,LCG-Glucose-UC-free,0.9,0.068,ok
31_02,1,Concrete-free,0.9,200.979,ok
31_02,1,JaCoP-fd,0.9,1200.0,ok
31_02,1,Mistral-free,0.9,110.25,ok
31_02,1,OscaR/CBLS-free,0.9,1200.0,ok
31_02,1,HaifaCSP-free,0.9,19.908,ok
31_02,1,Gecode-free,0.9,461.536,ok
31_02,1,OR-Tools-free,0.9,930.361,ok
31_02,1,"SICStus-Prolog-fd",0.675,1200.0,ok
31_02,1,Picat-CP-fd,0.9,520.155,ok
31_02,1,Picat-SAT-free,0.9,10.8,ok
31_02,1,MZN/Gurobi-free,0.9,0.529,ok
31_02,1,MZN/CPLEX-free,0.9,0.9480000000000001,ok
31_02,1,LCG-Glucose-free,0.9,0.316,ok
31_02,1,MZN/Cbc-free,0.9,12.76,ok
31_02,1,Yuck-free,0.0,1200.0,ok
31_02,1,Choco-free,0.0,1200.0,ok
31_02,1,MinisatID-free,0.9,754.929,ok
31_02,1,G12FD-free,0.9,13.769,ok
25_06,1,iZplus-free,0.9,1.901,ok
25_06,1,MZN/SCIP-free,0.9,13.58,ok
25_06,1,Chuffed-free,0.9,0.39,ok
25_06,1,LCG-Glucose-UC-free,0.9,0.081,ok
25_06,1,Concrete-free,0.9,381.97,ok
25_06,1,JaCoP-fd,0.3,1200.0,ok
25_06,1,Mistral-free,0.9,274.64,ok
25_06,1,OscaR/CBLS-free,0.75,1200.0,ok
25_06,1,HaifaCSP-free,0.9,10.726,ok
25_06,1,Gecode-free,0.3,1200.0,ok
25_06,1,OR-Tools-free,0.3,1200.0,ok
25_06,1,SICStus-Prolog-fd,0.0,1200.0,ok
25_06,1,Picat-CP-fd,0.3,1200.0,ok
25_06,1,Picat-SAT-free,0.9,8.203,ok
25_06,1,MZN/Gurobi-free,0.9,0.46900000000000003,ok
25_06,1,MZN/CPLEX-free,0.9,0.559,ok
25_06,1,LCG-Glucose-free,0.9,0.271,ok
25_06,1,MZN/Cbc-free,0.9,17.125,ok
25_06,1,Yuck-free,0.15,1200.0,ok
25_06,1,Choco-free,0.3,1200.0,ok
25_06,1,MinisatID-free,0.9,380.342,ok
25_06,1,G12FD-free,0.9,150.514,ok
25_03,1,iZplus-free,0.9,3.6670000000000003,ok
25_03,1,MZN/SCIP-free,0.9,2.203,ok
25_03,1,Chuffed-free,0.9,0.319,ok
25_03,1,LCG-Glucose-UC-free,0.9,0.065,ok
25_03,1,Concrete-free,0.3,1200.0,ok
25_03,1,JaCoP-fd,0.9,1200.0,ok
25_03,1,Mistral-free,0.9,1200.0,ok
25_03,1,OscaR/CBLS-free,0.6,1200.0,ok
25_03,1,HaifaCSP-free,0.9,13.861,ok
25_03,1,Gecode-free,0.9,1200.0,ok
25_03,1,OR-Tools-free,0.9,1200.0,ok
25_03,1,SICStus-Prolog-fd,1,1200,timeout
25_03,1,Picat-CP-fd,0.9,1200.0,ok
25_03,1,Picat-SAT-free,0.9,10.318,ok
25_03,1,MZN/Gurobi-free,0.9,0.433,ok
25_03,1,MZN/CPLEX-free,0.9,0.505,ok
25_03,1,LCG-Glucose-free,0.9,2.0020000000000002,ok
25_03,1,MZN/Cbc-free,0.9,2.104,ok
25_03,1,Yuck-free,0.0,1200.0,ok
25_03,1,Choco-free,0.9,1200.0,ok
25_03,1,MinisatID-free,0.6,1200.0,ok
25_03,1,G12FD-free,0.9,115.427,ok
25_01,1,iZplus-free,0.9,0.47100000000000003,ok
25_01,1,MZN/SCIP-free,0.9,1.441,ok
25_01,1,Chuffed-free,0.9,0.093,ok
25_01,1,LCG-Glucose-UC-free,0.9,0.06,ok
25_01,1,Concrete-free,0.9,34.026,ok
25_01,1,JaCoP-fd,0.9,1200.0,ok
25_01,1,Mistral-free,0.9,6.075,ok
25_01,1,OscaR/CBLS-free,0.9,1200.0,ok
25_01,1,HaifaCSP-free,0.9,3.1550000000000002,ok
25_01,1,Gecode-free,0.9,653.831,ok
25_01,1,OR-Tools-free,0.9,1200.0,ok
25_01,1,SICStus-Prolog-fd,0.675,1200.0,ok
25_01,1,Picat-CP-fd,0.9,1200.0,ok
25_01,1,Picat-SAT-free,0.9,2.815,ok
25_01,1,MZN/Gurobi-free,0.9,0.14400000000000002,ok
25_01,1,MZN/CPLEX-free,0.9,0.28700000000000003,ok
25_01,1,LCG-Glucose-free,0.9,0.176,ok
25_01,1,MZN/Cbc-free,0.9,0.988,ok
25_01,1,Yuck-free,0.0,1200.0,ok
25_01,1,Choco-free,0.9,1200.0,ok
25_01,1,MinisatID-free,0.9,4.743,ok
25_01,1,G12FD-free,0.9,4.492,ok
handball3,1,iZplus-free,1,1200,timeout
handball3,1,MZN/SCIP-free,1,1200,timeout
handball3,1,Chuffed-free,0.0,4.93,ok
handball3,1,LCG-Glucose-UC-free,0.0,4.946,ok
handball3,1,Concrete-free,1,1200,timeout
handball3,1,JaCoP-fd,0.0,127.789,ok
handball3,1,Mistral-free,1,1200,timeout
handball3,1,OscaR/CBLS-free,1,1200,timeout
handball3,1,HaifaCSP-free,0.0,130.135,ok
handball3,1,Gecode-free,0.0,92.399,ok
handball3,1,OR-Tools-free,1,1200,timeout
handball3,1,SICStus-Prolog-fd,0.0,113.354,ok
handball3,1,Picat-CP-fd,1,1200,timeout
handball3,1,Picat-SAT-free,0.9,1200.0,ok
handball3,1,MZN/Gurobi-free,1,1200,timeout
handball3,1,MZN/CPLEX-free,1,1200,timeout
handball3,1,LCG-Glucose-free,0.0,4.807,ok
handball3,1,MZN/Cbc-free,1,1200,timeout
handball3,1,Yuck-free,1,1200,timeout
handball3,1,Choco-free,0.0,115.95100000000001,ok
handball3,1,MinisatID-free,1,1200,timeout
handball3,1,G12FD-free,1,1200,timeout
handball17,1,iZplus-free,1,1200,timeout
handball17,1,MZN/SCIP-free,1,1200,timeout
handball17,1,Chuffed-free,0.0,1.223,ok
handball17,1,LCG-Glucose-UC-free,0.0,3.702,ok
handball17,1,Concrete-free,1,1200,timeout
handball17,1,JaCoP-fd,0.0,136.887,ok
handball17,1,Mistral-free,1,1200,timeout
handball17,1,OscaR/CBLS-free,1,1200,timeout
handball17,1,HaifaCSP-free,0.0,43.910000000000004,ok
handball17,1,Gecode-free,0.0,103.486,ok
handball17,1,OR-Tools-free,1,1200,timeout
