@RELATION ALGORITHM_RUNS_CSP-Minizinc-Time-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
25_04,1,LCG-Glucose-free,0.113,ok
25_04,1,Chuffed-free,0.084,ok
25_04,1,OR-Tools-free,441.721,ok
25_04,1,MZN/SCIP-free,2.8890000000000002,ok
25_04,1,iZplus-free,0.603,ok
25_04,1,MZN/CPLEX-free,0.137,ok
25_04,1,Gecode-free,242.45000000000002,ok
25_04,1,SICStus-Prolog-fd,12000,timeout
25_04,1,MZN/Cbc-free,0.863,ok
25_04,1,Concrete-free,17.887,ok
25_04,1,HaifaCSP-free,4.8340000000000005,ok
25_04,1,G12FD-free,5.182,ok
25_04,1,Mistral-free,7.45,ok
25_04,1,MinisatID-free,9.832,ok
25_04,1,Picat-SAT-free,2.141,ok
25_04,1,Picat-CP-fd,164.806,ok
25_04,1,LCG-Glucose-UC-free,0.055,ok
25_04,1,MZN/Gurobi-free,0.153,ok
25_04,1,Choco-free,12000,timeout
25_04,1,JaCoP-fd,12000,timeout
31_02,1,LCG-Glucose-free,0.316,ok
31_02,1,Chuffed-free,0.28800000000000003,ok
31_02,1,OR-Tools-free,930.361,ok
31_02,1,MZN/SCIP-free,1.351,ok
31_02,1,iZplus-free,0.41600000000000004,ok
31_02,1,MZN/CPLEX-free,0.9480000000000001,ok
31_02,1,Gecode-free,461.536,ok
31_02,1,SICStus-Prolog-fd,12000,timeout
31_02,1,MZN/Cbc-free,12.76,ok
31_02,1,Concrete-free,200.979,ok
31_02,1,HaifaCSP-free,19.908,ok
31_02,1,G12FD-free,13.769,ok
31_02,1,Mistral-free,110.25,ok
31_02,1,MinisatID-free,754.929,ok
31_02,1,Picat-SAT-free,10.8,ok
31_02,1,Picat-CP-fd,520.155,ok
31_02,1,LCG-Glucose-UC-free,0.068,ok
31_02,1,MZN/Gurobi-free,0.529,ok
31_02,1,Choco-free,12000,timeout
31_02,1,JaCoP-fd,12000,timeout
25_06,1,LCG-Glucose-free,0.271,ok
25_06,1,Chuffed-free,0.39,ok
25_06,1,OR-Tools-free,12000,timeout
25_06,1,MZN/SCIP-free,13.58,ok
25_06,1,iZplus-free,1.901,ok
25_06,1,MZN/CPLEX-free,0.559,ok
25_06,1,Gecode-free,12000,timeout
25_06,1,SICStus-Prolog-fd,12000,timeout
25_06,1,MZN/Cbc-free,17.125,ok
25_06,1,Concrete-free,381.97,ok
25_06,1,HaifaCSP-free,10.726,ok
25_06,1,G12FD-free,150.514,ok
25_06,1,Mistral-free,274.64,ok
25_06,1,MinisatID-free,380.342,ok
25_06,1,Picat-SAT-free,8.203,ok
25_06,1,Picat-CP-fd,12000,timeout
25_06,1,LCG-Glucose-UC-free,0.081,ok
25_06,1,MZN/Gurobi-free,0.46900000000000003,ok
25_06,1,Choco-free,12000,timeout
25_06,1,JaCoP-fd,12000,timeout
25_03,1,LCG-Glucose-free,2.0020000000000002,ok
25_03,1,Chuffed-free,0.319,ok
25_03,1,OR-Tools-free,12000,timeout
25_03,1,MZN/SCIP-free,2.203,ok
25_03,1,iZplus-free,3.6670000000000003,ok
25_03,1,MZN/CPLEX-free,0.505,ok
25_03,1,Gecode-free,12000,timeout
25_03,1,SICStus-Prolog-fd,12000,timeout
25_03,1,MZN/Cbc-free,2.104,ok
25_03,1,Concrete-free,12000,timeout
25_03,1,HaifaCSP-free,13.861,ok
25_03,1,G12FD-free,115.427,ok
25_03,1,Mistral-free,12000,timeout
25_03,1,MinisatID-free,12000,timeout
25_03,1,Picat-SAT-free,10.318,ok
25_03,1,Picat-CP-fd,12000,timeout
25_03,1,LCG-Glucose-UC-free,0.065,ok
25_03,1,MZN/Gurobi-free,0.433,ok
25_03,1,Choco-free,12000,timeout
25_03,1,JaCoP-fd,12000,timeout
25_01,1,LCG-Glucose-free,0.176,ok
25_01,1,Chuffed-free,0.093,ok
25_01,1,OR-Tools-free,12000,timeout
25_01,1,MZN/SCIP-free,1.441,ok
25_01,1,iZplus-free,0.47100000000000003,ok
25_01,1,MZN/CPLEX-free,0.28700000000000003,ok
25_01,1,Gecode-free,653.831,ok
25_01,1,SICStus-Prolog-fd,12000,timeout
25_01,1,MZN/Cbc-free,0.988,ok
25_01,1,Concrete-free,34.026,ok
25_01,1,HaifaCSP-free,3.1550000000000002,ok
25_01,1,G12FD-free,4.492,ok
25_01,1,Mistral-free,6.075,ok
25_01,1,MinisatID-free,4.743,ok
25_01,1,Picat-SAT-free,2.815,ok
25_01,1,Picat-CP-fd,12000,timeout
25_01,1,LCG-Glucose-UC-free,0.06,ok
25_01,1,MZN/Gurobi-free,0.14400000000000002,ok
25_01,1,Choco-free,12000,timeout
25_01,1,JaCoP-fd,12000,timeout
handball3,1,LCG-Glucose-free,4.807,ok
handball3,1,Chuffed-free,4.93,ok
handball3,1,OR-Tools-free,12000,timeout
handball3,1,MZN/SCIP-free,12000,timeout
handball3,1,iZplus-free,12000,timeout
handball3,1,MZN/CPLEX-free,12000,timeout
handball3,1,Gecode-free,92.399,ok
handball3,1,SICStus-Prolog-fd,113.354,ok
handball3,1,MZN/Cbc-free,12000,timeout
handball3,1,Concrete-free,12000,timeout
handball3,1,HaifaCSP-free,130.135,ok
handball3,1,G12FD-free,12000,timeout
handball3,1,Mistral-free,12000,timeout
handball3,1,MinisatID-free,12000,timeout
handball3,1,Picat-SAT-free,12000,timeout
handball3,1,Picat-CP-fd,12000,timeout
handball3,1,LCG-Glucose-UC-free,4.946,ok
handball3,1,MZN/Gurobi-free,12000,timeout
handball3,1,Choco-free,115.95100000000001,ok
handball3,1,JaCoP-fd,127.789,ok
handball17,1,LCG-Glucose-free,5.045,ok
handball17,1,Chuffed-free,1.223,ok
handball17,1,OR-Tools-free,12000,timeout
handball17,1,MZN/SCIP-free,12000,timeout
handball17,1,iZplus-free,12000,timeout
handball17,1,MZN/CPLEX-free,12000,timeout
handball17,1,Gecode-free,103.486,ok
handball17,1,SICStus-Prolog-fd,118.053,ok
handball17,1,MZN/Cbc-free,12000,timeout
handball17,1,Concrete-free,12000,timeout
handball17,1,HaifaCSP-free,43.910000000000004,ok
handball17,1,G12FD-free,12000,timeout
handball17,1,Mistral-free,12000,timeout
handball17,1,MinisatID-free,12000,timeout
handball17,1,Picat-SAT-free,12000,timeout
handball17,1,Picat-CP-fd,12000,timeout
handball17,1,LCG-Glucose-UC-free,3.702,ok
handball17,1,MZN/Gurobi-free,12000,timeout
handball17,1,Choco-free,111.09700000000001,ok
handball17,1,JaCoP-fd,136.887,ok
handball5,1,LCG-Glucose-free,7.582,ok
handball5,1,Chuffed-free,1.569,ok
handball5,1,OR-Tools-free,12000,timeout
handball5,1,MZN/SCIP-free,12000,timeout
handball5,1,iZplus-free,12000,timeout
handball5,1,MZN/CPLEX-free,12000,timeout
handball5,1,Gecode-free,397.92400000000004,ok
handball5,1,SICStus-Prolog-fd,160.044,ok
handball5,1,MZN/Cbc-free,12000,timeout
handball5,1,Concrete-free,12000,timeout
handball5,1,HaifaCSP-free,49.627,ok
handball5,1,G12FD-free,12000,timeout
handball5,1,Mistral-free,12000,timeout
handball5,1,MinisatID-free,12000,timeout
handball5,1,Picat-SAT-free,12000,timeout
handball5,1,Picat-CP-fd,12000,timeout
handball5,1,LCG-Glucose-UC-free,1.219,ok
handball5,1,MZN/Gurobi-free,12000,timeout
handball5,1,Choco-free,110.745,ok
handball5,1,JaCoP-fd,220.376,ok
handball20,1,LCG-Glucose-free,3.607,ok
handball20,1,Chuffed-free,0.847,ok
handball20,1,OR-Tools-free,12000,timeout
handball20,1,MZN/SCIP-free,12000,timeout
handball20,1,iZplus-free,12000,timeout
handball20,1,MZN/CPLEX-free,12000,timeout
handball20,1,Gecode-free,19.267,ok
handball20,1,SICStus-Prolog-fd,29.891000000000002,ok
handball20,1,MZN/Cbc-free,12000,timeout
handball20,1,Concrete-free,12000,timeout
handball20,1,HaifaCSP-free,23.036,ok
handball20,1,G12FD-free,12000,timeout
handball20,1,Mistral-free,12000,timeout
handball20,1,MinisatID-free,12000,timeout
handball20,1,Picat-SAT-free,12000,timeout
handball20,1,Picat-CP-fd,12000,timeout
handball20,1,LCG-Glucose-UC-free,1.316,ok
handball20,1,MZN/Gurobi-free,12000,timeout
handball20,1,Choco-free,12000,timeout
handball20,1,JaCoP-fd,39.376,ok
handball7,1,LCG-Glucose-free,10.367,ok
handball7,1,Chuffed-free,0.923,ok
handball7,1,OR-Tools-free,12000,timeout
handball7,1,MZN/SCIP-free,12000,timeout
handball7,1,iZplus-free,12000,timeout
handball7,1,MZN/CPLEX-free,12000,timeout
handball7,1,Gecode-free,44.644,ok
handball7,1,SICStus-Prolog-fd,52.996,ok
handball7,1,MZN/Cbc-free,12000,timeout
handball7,1,Concrete-free,12000,timeout
handball7,1,HaifaCSP-free,79.516,ok
handball7,1,G12FD-free,12000,timeout
handball7,1,Mistral-free,12000,timeout
handball7,1,MinisatID-free,12000,timeout
handball7,1,Picat-SAT-free,12000,timeout
handball7,1,Picat-CP-fd,12000,timeout
handball7,1,LCG-Glucose-UC-free,4.127,ok
handball7,1,MZN/Gurobi-free,12000,timeout
handball7,1,Choco-free,36.585,ok
handball7,1,JaCoP-fd,72.428,ok
sb_15_15_7_3,1,LCG-Glucose-free,12000,timeout
sb_15_15_7_3,1,Chuffed-free,12000,timeout
sb_15_15_7_3,1,OR-Tools-free,12000,timeout
sb_15_15_7_3,1,MZN/SCIP-free,12000,timeout
sb_15_15_7_3,1,iZplus-free,12000,timeout
sb_15_15_7_3,1,MZN/CPLEX-free,12000,timeout
sb_15_15_7_3,1,Gecode-free,12000,timeout
sb_15_15_7_3,1,SICStus-Prolog-fd,12000,timeout
sb_15_15_7_3,1,MZN/Cbc-free,12000,timeout
sb_15_15_7_3,1,Concrete-free,12000,timeout
sb_15_15_7_3,1,HaifaCSP-free,12000,timeout
sb_15_15_7_3,1,G12FD-free,12000,timeout
sb_15_15_7_3,1,Mistral-free,12000,timeout
sb_15_15_7_3,1,MinisatID-free,12000,timeout
sb_15_15_7_3,1,Picat-SAT-free,12000,timeout
sb_15_15_7_3,1,Picat-CP-fd,12000,timeout
sb_15_15_7_3,1,LCG-Glucose-UC-free,12000,timeout
sb_15_15_7_3,1,MZN/Gurobi-free,12000,timeout
sb_15_15_7_3,1,Choco-free,12000,timeout
sb_15_15_7_3,1,JaCoP-fd,12000,timeout
sb_13_13_5_5,1,LCG-Glucose-free,1.336,ok
sb_13_13_5_5,1,Chuffed-free,3.733,ok
sb_13_13_5_5,1,OR-Tools-free,29.643,ok
sb_13_13_5_5,1,MZN/SCIP-free,8.172,ok
sb_13_13_5_5,1,iZplus-free,12000,timeout
sb_13_13_5_5,1,MZN/CPLEX-free,1.951,ok
sb_13_13_5_5,1,Gecode-free,102.637,ok
sb_13_13_5_5,1,SICStus-Prolog-fd,152.416,ok
sb_13_13_5_5,1,MZN/Cbc-free,2.439,ok
sb_13_13_5_5,1,Concrete-free,12000,timeout
sb_13_13_5_5,1,HaifaCSP-free,2.962,ok
sb_13_13_5_5,1,G12FD-free,380.343,ok
sb_13_13_5_5,1,Mistral-free,326.17400000000004,ok
sb_13_13_5_5,1,MinisatID-free,93.018,ok
sb_13_13_5_5,1,Picat-SAT-free,2.935,ok
sb_13_13_5_5,1,Picat-CP-fd,285.196,ok
sb_13_13_5_5,1,LCG-Glucose-UC-free,1.331,ok
sb_13_13_5_5,1,MZN/Gurobi-free,1.682,ok
sb_13_13_5_5,1,Choco-free,68.657,ok
sb_13_13_5_5,1,JaCoP-fd,157.763,ok
sb_15_15_6_0,1,LCG-Glucose-free,12000,timeout
sb_15_15_6_0,1,Chuffed-free,12000,timeout
sb_15_15_6_0,1,OR-Tools-free,12000,timeout
sb_15_15_6_0,1,MZN/SCIP-free,12000,timeout
sb_15_15_6_0,1,iZplus-free,12000,timeout
sb_15_15_6_0,1,MZN/CPLEX-free,12000,timeout
sb_15_15_6_0,1,Gecode-free,12000,timeout
sb_15_15_6_0,1,SICStus-Prolog-fd,12000,timeout
sb_15_15_6_0,1,MZN/Cbc-free,12000,timeout
sb_15_15_6_0,1,Concrete-free,12000,timeout
sb_15_15_6_0,1,HaifaCSP-free,12000,timeout
sb_15_15_6_0,1,G12FD-free,12000,timeout
sb_15_15_6_0,1,Mistral-free,12000,timeout
sb_15_15_6_0,1,MinisatID-free,12000,timeout
sb_15_15_6_0,1,Picat-SAT-free,12000,timeout
sb_15_15_6_0,1,Picat-CP-fd,12000,timeout
sb_15_15_6_0,1,LCG-Glucose-UC-free,12000,timeout
sb_15_15_6_0,1,MZN/Gurobi-free,12000,timeout
sb_15_15_6_0,1,Choco-free,12000,timeout
sb_15_15_6_0,1,JaCoP-fd,12000,timeout
sb_15_15_7_5,1,LCG-Glucose-free,12000,timeout
sb_15_15_7_5,1,Chuffed-free,12000,timeout
sb_15_15_7_5,1,OR-Tools-free,12000,timeout
sb_15_15_7_5,1,MZN/SCIP-free,12000,timeout
sb_15_15_7_5,1,iZplus-free,12000,timeout
sb_15_15_7_5,1,MZN/CPLEX-free,12000,timeout
sb_15_15_7_5,1,Gecode-free,12000,timeout
sb_15_15_7_5,1,SICStus-Prolog-fd,12000,timeout
sb_15_15_7_5,1,MZN/Cbc-free,12000,timeout
sb_15_15_7_5,1,Concrete-free,12000,timeout
sb_15_15_7_5,1,HaifaCSP-free,12000,timeout
sb_15_15_7_5,1,G12FD-free,12000,timeout
sb_15_15_7_5,1,Mistral-free,12000,timeout
sb_15_15_7_5,1,MinisatID-free,12000,timeout
sb_15_15_7_5,1,Picat-SAT-free,12000,timeout
sb_15_15_7_5,1,Picat-CP-fd,12000,timeout
sb_15_15_7_5,1,LCG-Glucose-UC-free,12000,timeout
sb_15_15_7_5,1,MZN/Gurobi-free,12000,timeout
sb_15_15_7_5,1,Choco-free,12000,timeout
sb_15_15_7_5,1,JaCoP-fd,12000,timeout
sb_13_13_5_1,1,LCG-Glucose-free,12000,timeout
sb_13_13_5_1,1,Chuffed-free,12000,timeout
sb_13_13_5_1,1,OR-Tools-free,12000,timeout
sb_13_13_5_1,1,MZN/SCIP-free,12000,timeout
sb_13_13_5_1,1,iZplus-free,12000,timeout
sb_13_13_5_1,1,MZN/CPLEX-free,12000,timeout
sb_13_13_5_1,1,Gecode-free,12000,timeout
sb_13_13_5_1,1,SICStus-Prolog-fd,12000,timeout
sb_13_13_5_1,1,MZN/Cbc-free,12000,timeout
sb_13_13_5_1,1,Concrete-free,12000,timeout
