@RELATION FEATURE_VALUES_CSP-Minizinc-Time-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE c_bounds_d NUMERIC
@ATTRIBUTE c_bounds_r NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE c_priority NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE d_float_cons NUMERIC
@ATTRIBUTE d_float_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_ratio_float_cons NUMERIC
@ATTRIBUTE d_ratio_float_vars NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE d_ratio_set_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_set_vars NUMERIC
@ATTRIBUTE gc_diff_globs NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE gc_ratio_diff NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE o_dom_avg NUMERIC
@ATTRIBUTE o_dom_deg NUMERIC
@ATTRIBUTE o_dom_std NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE s_first_fail NUMERIC
@ATTRIBUTE s_goal NUMERIC
@ATTRIBUTE s_indomain_max NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE s_other_val NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE s_set_search NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE v_min_deg_vars NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_num_aliases NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC

@DATA
25_04,1,2.77155,9.40247,3.40378,0,0,0,1.77122,0.854076,0.649459,0,1.02863,3.05464,1.57516,298.103,609.242,77,82.2668,6.32193,2,2,1,232,0,0.753247,620,2181.37,789.676,0,0,76,0,0,156,232,0,0,0.246753,0,0,0.672414,0.753247,0,0,0,0,0,0,?,0,1,0.479005,0.00431034,-1.2969,77,2.22351,77,1.12439,5,0,3,5,0,5,0,5,0,0,0,2.08766,34.6299,16.8124,0.401723,1.08816,1.10816,180,1.69256,1.78693,2.29008,308,288.858,1005.99,6,80,77,0,2,0.666667,177,78,308,0.827922,1.32759,643,10666,5178.23
31_02,1,2.76451,9.83904,3.5778,0,0,0,1.9818,0.881417,0.65678,0,1.02082,3.34792,1.61355,374.63,782.904,96,101.585,6.63902,2,2,1,293,0,0.755155,784,2882.84,1048.3,0,0,95,0,0,198,293,0,0,0.244845,0,0,0.675768,0.755155,0,0,0,0,0,0,?,0,1,0.479012,0.00341297,-1.33116,96,2.22018,96,1.11784,5,0,3,5,0,5,0,5,0,0,0,2.08763,43.2397,20.9491,0.391379,1.09155,1.1249,228,1.66396,1.88597,2.46866,388,364.669,1329.38,6,101,96,0,2,0.666667,221,97,388,0.819588,1.32423,810,16777,8128.27
25_06,1,2.78182,10.0799,3.65225,0,0,0,1.88092,0.838245,0.6359,0,1.02796,3.42943,1.79914,355.351,750.758,89,94.4757,6.53916,2,2,1,275,0,0.757576,737,2771.99,1004.37,0,0,88,0,0,187,275,0,0,0.242424,0,0,0.68,0.757576,0,0,0,0,0,0,?,0,1,0.47451,0.00363636,-1.34852,89,2.13163,89,1.0728,5,0,3,5,0,5,0,5,0,0,0,2.10744,41.7521,19.8518,0.389678,1.05484,1.07807,211,1.68971,1.98962,2.51008,363,346.253,1259.52,6,93,89,0,2,0.666667,201,90,363,0.801653,1.32,765,15156,7206.22
25_03,1,2.78519,10.0202,3.61782,0,0,0,1.87401,0.843925,0.639246,0,1.02867,3.63654,1.77733,349.165,733.536,88,93.4594,6.55459,2,2,1,270,0,0.756303,723,2705.45,976.81,0,0,87,0,0,183,270,0,0,0.243697,0,0,0.677778,0.756303,0,0,0,0,0,0,?,0,1,0.474734,0.0037037,-1.28191,88,2.13991,88,1.07334,5,0,3,5,0,5,0,5,0,0,0,2.10644,41.1232,19.6261,0.409751,1.06202,1.07732,207,1.68418,2.10792,2.65545,357,339.135,1229.76,7,94,88,0,2,0.666667,199,89,357,0.806723,1.32222,752,14681,7006.5
25_01,1,2.78059,9.52003,3.42974,0,0,0,1.79325,0.856931,0.650545,0,1.02998,3.18638,1.57639,305.48,625.204,79,84.3038,6.35755,2,2,1,237,0,0.752381,633,2256.25,812.848,0,0,78,0,0,159,237,0,0,0.247619,0,0,0.670886,0.752381,0,0,0,0,0,0,?,0,1,0.477997,0.00421941,-1.31779,79,2.22406,79,1.12315,5,0,3,5,0,5,0,5,0,0,0,2.09206,35.5206,17.2426,0.396121,1.08984,1.12889,183,1.72383,1.83,2.4088,315,295.554,1033.97,5,83,79,0,2,0.666667,181,80,315,0.828571,1.32911,659,11189,5431.42
handball3,1,5.27755,10.4317,1.90543,0,0,0,1.05153,1.26262,0.424879,63,2.02495,3.84367,1.70329,3976.07,5775.2,30,100.846,5.04232,1,1,1,2187,0,1.06631,6583,22814.1,4167.18,420,0,683,0,0,1560,1368,0.192044,0,0.333008,0,0,0.713306,0.666992,0,0,0,0,5,86,0.0581395,0.0393233,1,0.177699,0.000457247,-0.590304,30,3.57359,30,1.84398,0,0,2,0,5,5,5,5,0,0,0,5.6275,8.39493,3.49861,1.39301,1.39567,1.70744,1477,1.68118,2.20218,2.26537,3360,3482.93,4389.9,28,42,30,0,2,0.107143,2438,213,2051,1.29254,0.937814,11542,17218,7175.66
handball17,1,5.267,10.4258,1.90805,0,0,0,1.05231,1.26453,0.424791,63,2.02231,3.84464,1.70526,3951.26,5745.57,28,100.846,5.04232,1,1,1,2176,0,1.06667,6553,22686.5,4151.92,415,0,680,0,0,1557,1360,0.190717,0,0.333333,0,0,0.715533,0.666667,0,0,0,0,5,86,0.0581395,0.0395221,1,0.177995,0.000459559,-0.592791,27,3.20456,27,1.58251,0,0,2,0,5,5,5,5,0,0,0,5.61814,8.42549,3.50835,1.38667,1.39308,1.70469,1466,1.7243,2.20591,2.27169,3346,3469.16,4375.82,29,42,27,0,2,0.103448,2435,210,2040,1.29657,0.9375,11461,17188,7157.03
handball5,1,5.27485,10.4311,1.90633,0,0,0,1.0522,1.26344,0.424876,63,2.0228,3.84485,1.70403,3966.98,5764.23,29,100.846,5.04232,1,1,1,2183,0,1.06644,6572,22771.1,4161.51,418,0,682,0,0,1559,1365,0.19148,0,0.33317,0,0,0.714155,0.66683,0,0,0,0,5,86,0.0581395,0.0393953,1,0.177768,0.000458085,-0.591498,29,3.44993,29,1.75654,0,0,2,0,5,5,5,5,0,0,0,5.62531,8.40596,3.50234,1.39008,1.39475,1.70647,1473,1.69188,2.2035,2.26575,3355,3478.49,4384.68,27,42,29,0,2,0.111111,2437,212,2047,1.29409,0.9377,11515,17207,7169.29
handball20,1,5.26369,10.4239,1.90887,0,0,0,1.05198,1.26475,0.424711,63,2.02318,3.84407,1.70575,3945.02,5738.23,28,100.846,5.04232,1,1,1,2173,0,1.06676,6545,22651.1,4147.98,414,0,679,0,0,1556,1358,0.19052,0,0.333333,0,0,0.716061,0.666667,0,0,0,0,5,86,0.0581395,0.0395766,1,0.178091,0.000460193,-0.593574,26,3.08277,26,1.49588,0,0,2,0,5,5,5,5,0,0,0,5.61512,8.43397,3.51319,1.38468,1.39234,1.70295,1463,1.71473,2.20699,2.27117,3342,3463.81,4372.18,29,42,26,0,2,0.103448,2434,209,2037,1.2975,0.937414,11438,17180,7156.38
handball7,1,5.28433,10.4643,1.91066,0,0,0,1.04929,1.26087,0.424092,63,2.02819,3.84601,1.70562,3950.46,5744.79,28,100.846,5.04232,1,1,1,2170,0,1.06686,6539,22707.5,4146.12,417,0,676,0,0,1553,1358,0.192166,0,0.33235,0,0,0.715668,0.66765,0,0,0,0,5,86,0.0581395,0.0396313,1,0.177379,0.000460829,-0.592475,23,2.724,23,1.23925,0,0,2,0,5,5,5,5,0,0,0,5.63766,8.44346,3.51681,1.38845,1.39116,1.70059,1460,1.69694,2.20874,2.27572,3336,3460.59,4370.76,28,42,23,0,2,0.107143,2431,206,2034,1.29646,0.937327,11467,17174,7153.2
