@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute runtime numeric
@attribute runstatus {ok,timeout,memout,not_applicable,crash,other}

@data
A.01,1,lad,11,ok
A.01,1,supplementallad,8,ok
A.01,1,vf2,1817,ok
A.01,1,glasgow2,13,ok
A.02,1,lad,12,ok
A.02,1,supplementallad,9,ok
A.02,1,vf2,533,ok
A.02,1,glasgow2,14,ok
A.03,1,lad,18,ok
A.03,1,supplementallad,10,ok
A.03,1,vf2,20842,ok
A.03,1,glasgow2,18,ok
A.04,1,lad,12,ok
A.04,1,supplementallad,8,ok
A.04,1,vf2,90,ok
A.04,1,glasgow2,14,ok
A.05,1,lad,10,ok
A.05,1,supplementallad,9,ok
A.05,1,vf2,10962,ok
A.05,1,glasgow2,12,ok
A.06,1,lad,28,ok
A.06,1,supplementallad,11,ok
A.06,1,vf2,5579,ok
A.06,1,glasgow2,14,ok
A.07,1,lad,9,ok
A.07,1,supplementallad,10,ok
A.07,1,vf2,3240,ok
A.07,1,glasgow2,12,ok
A.08,1,lad,11,ok
A.08,1,supplementallad,9,ok
A.08,1,vf2,2115,ok
A.08,1,glasgow2,12,ok
A.09,1,lad,11,ok
A.09,1,supplementallad,8,ok
A.09,1,vf2,70286,ok
A.09,1,glasgow2,12,ok
A.10,1,lad,14,ok
A.10,1,supplementallad,8,ok
A.10,1,vf2,15699,ok
A.10,1,glasgow2,15,ok
A.11,1,lad,12,ok
A.11,1,supplementallad,8,ok
A.11,1,vf2,2104,ok
A.11,1,glasgow2,13,ok
A.12,1,lad,10,ok
A.12,1,supplementallad,15,ok
A.12,1,vf2,1146,ok
A.12,1,glasgow2,13,ok
A.13,1,lad,10,ok
A.13,1,supplementallad,7,ok
A.13,1,vf2,9367,ok
A.13,1,glasgow2,15,ok
A.14,1,lad,42,ok
A.14,1,supplementallad,15,ok
A.14,1,vf2,100000000,timeout
A.14,1,glasgow2,15,ok
A.15,1,lad,19,ok
A.15,1,supplementallad,10,ok
A.15,1,vf2,1356620,ok
A.15,1,glasgow2,15,ok
A.16,1,lad,18,ok
A.16,1,supplementallad,9,ok
A.16,1,vf2,585300,ok
A.16,1,glasgow2,15,ok
A.17,1,lad,24,ok
A.17,1,supplementallad,8,ok
A.17,1,vf2,15206,ok
A.17,1,glasgow2,13,ok
A.18,1,lad,15,ok
A.18,1,supplementallad,10,ok
A.18,1,vf2,2635,ok
A.18,1,glasgow2,13,ok
A.19,1,lad,18,ok
A.19,1,supplementallad,15,ok
A.19,1,vf2,670,ok
A.19,1,glasgow2,16,ok
A.20,1,lad,9,ok
A.20,1,supplementallad,9,ok
A.20,1,vf2,199610,ok
A.20,1,glasgow2,12,ok
B.01,1,lad,104,ok
B.01,1,supplementallad,95,ok
B.01,1,vf2,100000000,timeout
B.01,1,glasgow2,124,ok
B.02,1,lad,217,ok
B.02,1,supplementallad,90,ok
B.02,1,vf2,100000000,timeout
B.02,1,glasgow2,130,ok
B.03,1,lad,187,ok
B.03,1,supplementallad,92,ok
B.03,1,vf2,100000000,timeout
B.03,1,glasgow2,138,ok
B.04,1,lad,98,ok
B.04,1,supplementallad,87,ok
B.04,1,vf2,100000000,timeout
B.04,1,glasgow2,131,ok
B.05,1,lad,244,ok
B.05,1,supplementallad,91,ok
B.05,1,vf2,100000000,timeout
B.05,1,glasgow2,128,ok
B.06,1,lad,106,ok
B.06,1,supplementallad,89,ok
B.06,1,vf2,100000000,timeout
B.06,1,glasgow2,133,ok
B.07,1,lad,114,ok
B.07,1,supplementallad,92,ok
B.07,1,vf2,100000000,timeout
B.07,1,glasgow2,134,ok
B.08,1,lad,108,ok
B.08,1,supplementallad,83,ok
B.08,1,vf2,100000000,timeout
B.08,1,glasgow2,126,ok
B.09,1,lad,193,ok
B.09,1,supplementallad,96,ok
B.09,1,vf2,100000000,timeout
B.09,1,glasgow2,135,ok
B.10,1,lad,112,ok
B.10,1,supplementallad,111,ok
B.10,1,vf2,100000000,timeout
B.10,1,glasgow2,168,ok
B.11,1,lad,339,ok
B.11,1,supplementallad,138,ok
B.11,1,vf2,100000000,timeout
B.11,1,glasgow2,128,ok
B.12,1,lad,141,ok
B.12,1,supplementallad,143,ok
B.12,1,vf2,100000000,timeout
B.12,1,glasgow2,133,ok
B.13,1,lad,107,ok
B.13,1,supplementallad,88,ok
B.13,1,vf2,100000000,timeout
B.13,1,glasgow2,131,ok
B.14,1,lad,189,ok
B.14,1,supplementallad,88,ok
B.14,1,vf2,100000000,timeout
B.14,1,glasgow2,134,ok
B.15,1,lad,107,ok
B.15,1,supplementallad,87,ok
B.15,1,vf2,100000000,timeout
B.15,1,glasgow2,128,ok
B.16,1,lad,106,ok
B.16,1,supplementallad,88,ok
B.16,1,vf2,100000000,timeout
B.16,1,glasgow2,138,ok
B.17,1,lad,103,ok
B.17,1,supplementallad,96,ok
B.17,1,vf2,100000000,timeout
B.17,1,glasgow2,132,ok
B.18,1,lad,191,ok
B.18,1,supplementallad,89,ok
B.18,1,vf2,100000000,timeout
B.18,1,glasgow2,132,ok
B.19,1,lad,175,ok
B.19,1,supplementallad,84,ok
B.19,1,vf2,100000000,timeout
B.19,1,glasgow2,127,ok
B.20,1,lad,112,ok
B.20,1,supplementallad,115,ok
B.20,1,vf2,100000000,timeout
B.20,1,glasgow2,136,ok
C.01,1,lad,374,ok
C.01,1,supplementallad,269,ok
C.01,1,vf2,100000000,timeout
C.01,1,glasgow2,367,ok
C.02,1,lad,287,ok
C.02,1,supplementallad,279,ok
C.02,1,vf2,100000000,timeout
C.02,1,glasgow2,441,ok
C.03,1,lad,267,ok
C.03,1,supplementallad,268,ok
C.03,1,vf2,100000000,timeout
C.03,1,glasgow2,365,ok
C.04,1,lad,314,ok
C.04,1,supplementallad,329,ok
C.04,1,vf2,100000000,timeout
C.04,1,glasgow2,364,ok
C.05,1,lad,292,ok
C.05,1,supplementallad,264,ok
C.05,1,vf2,100000000,timeout
C.05,1,glasgow2,345,ok
C.06,1,lad,416,ok
C.06,1,supplementallad,308,ok
C.06,1,vf2,100000000,timeout
C.06,1,glasgow2,365,ok
C.07,1,lad,408,ok
C.07,1,supplementallad,267,ok
C.07,1,vf2,100000000,timeout
C.07,1,glasgow2,372,ok
C.08,1,lad,341,ok
C.08,1,supplementallad,269,ok
C.08,1,vf2,100000000,timeout
C.08,1,glasgow2,348,ok
C.09,1,lad,282,ok
C.09,1,supplementallad,264,ok
C.09,1,vf2,100000000,timeout
C.09,1,glasgow2,342,ok
C.10,1,lad,502,ok
C.10,1,supplementallad,277,ok
C.10,1,vf2,100000000,timeout
C.10,1,glasgow2,387,ok
C.11,1,lad,613,ok
C.11,1,supplementallad,317,ok
C.11,1,vf2,100000000,timeout
C.11,1,glasgow2,366,ok
C.12,1,lad,275,ok
C.12,1,supplementallad,263,ok
C.12,1,vf2,100000000,timeout
C.12,1,glasgow2,347,ok
C.13,1,lad,682,ok
C.13,1,supplementallad,502,ok
C.13,1,vf2,100000000,timeout
C.13,1,glasgow2,429,ok
C.14,1,lad,558,ok
C.14,1,supplementallad,293,ok
C.14,1,vf2,100000000,timeout
C.14,1,glasgow2,380,ok
C.15,1,lad,277,ok
C.15,1,supplementallad,284,ok
C.15,1,vf2,100000000,timeout
C.15,1,glasgow2,405,ok
C.16,1,lad,309,ok
C.16,1,supplementallad,266,ok
C.16,1,vf2,100000000,timeout
