@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
A.01,1,1
A.07,1,1
B.20,1,1
E.12,1,1
E.18,1,1
E.20,1,1
F.08,1,1
F.16,1,1
F.17,1,1
g10-g112,1,1
g10-g43,1,1
g10-g44,1,1
g10-g69,1,1
g11-g100,1,1
g11-g15,1,1
g11-g28,1,1
g11-g52,1,1
g11-g63,1,1
g11-g75,1,1
g11-g77,1,1
g11-g93-normed,1,1
g12-g102,1,1
g12-g103,1,1
g12-g104,1,1
g12-g108,1,1
g12-g111,1,1
g12-g26,1,1
g12-g27,1,1
g12-g47,1,1
g12-g51,1,1
g12-g63,1,1
g12-g75,1,1
g12-g90,1,1
g13-g15,1,1
g13-g32,1,1
g13-g45,1,1
g13-g51,1,1
g13-g54,1,1
g13-g63,1,1
g13-g68,1,1
g13-g72,1,1
g13-g75,1,1
g13-g85,1,1
g14-g44,1,1
g14-g53,1,1
g14-g61,1,1
g14-g72,1,1
g14-g73-normed,1,1
g15-g111,1,1
g15-g43,1,1
g15-g44,1,1
g15-g68,1,1
g15-g73-normed,1,1
g15-g74,1,1
g15-g75,1,1
g15-g81,1,1
g16-g102,1,1
g16-g30,1,1
g16-g38,1,1
g16-g47,1,1
g16-g53,1,1
g16-g58-normed,1,1
g16-g63,1,1
g16-g65,1,1
g16-g74,1,1
g16-g82-normed,1,1
g16-g91,1,1
g16-g99,1,1
g17-g111,1,1
g17-g26,1,1
g17-g27,1,1
g17-g34,1,1
g17-g67,1,1
g17-g82-normed,1,1
g17-g83,1,1
g17-g96,1,1
g17-g99,1,1
g18-g109,1,1
g18-g110,1,1
g18-g35,1,1
g18-g37,1,1
g18-g42,1,1
g18-g50,1,1
g18-g54,1,1
g18-g96,1,1
g19-g101,1,1
g19-g105,1,1
g19-g44,1,1
g19-g58-normed,1,1
g19-g76,1,1
g19-g78,1,1
g19-g96,1,1
g2-g10,1,1
g2-g111,1,1
g2-g24,1,1
g2-g30,1,1
g2-g32,1,1
g2-g38,1,1
g2-g4,1,1
g2-g45,1,1
g2-g50,1,1
g2-g51,1,1
g2-g75,1,1
g2-g93-normed,1,1
g2-g99,1,1
g20-g106,1,1
g20-g43,1,1
g20-g51,1,1
g20-g54,1,1
g20-g59-normed,1,1
g20-g64,1,1
g20-g68,1,1
g20-g74,1,1
g20-g83,1,1
g21-g102,1,1
g21-g27,1,1
g21-g50,1,1
g21-g53,1,1
g21-g59-normed,1,1
g21-g61,1,1
g21-g81,1,1
