@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute cheap.pattern.time numeric
@attribute cheap.pattern.vertices numeric
@attribute cheap.pattern.edges numeric
@attribute cheap.pattern.loops numeric
@attribute cheap.pattern.meandeg numeric
@attribute cheap.pattern.maxdeg numeric
@attribute cheap.pattern.degisfixed numeric
@attribute cheap.pattern.density numeric
@attribute cheap.target.time numeric
@attribute cheap.target.vertices numeric
@attribute cheap.target.edges numeric
@attribute cheap.target.loops numeric
@attribute cheap.target.meandeg numeric
@attribute cheap.target.maxdeg numeric
@attribute cheap.target.degisfixed numeric
@attribute cheap.target.density numeric
@attribute distance.pattern.time numeric
@attribute distance.pattern.isconnected numeric
@attribute distance.pattern.meandistance numeric
@attribute distance.pattern.maxdistance numeric
@attribute distance.pattern.proportiondistancege2 numeric
@attribute distance.pattern.proportiondistancege3 numeric
@attribute distance.pattern.proportiondistancege4 numeric
@attribute distance.target.time numeric
@attribute distance.target.isconnected numeric
@attribute distance.target.meandistance numeric
@attribute distance.target.maxdistance numeric
@attribute distance.target.proportiondistancege2 numeric
@attribute distance.target.proportiondistancege3 numeric
@attribute distance.target.proportiondistancege4 numeric
@attribute lad.values.removed numeric
@attribute lad.values.removed.percent numeric
@attribute lad.values.removed.min numeric
@attribute lad.values.removed.max numeric
@attribute lad.time numeric

@data
A.01,1,0,180,497,0,5.52222,8,0,0.03085,0,200,612,0,6.12,8,0,0.030754,2,1,3.25357,5,0.963765,0.829383,0.415988,3,1,3.14462,5,0.9644,0.81675,0.34545,15877,44.102778,0,98,0
A.02,1,0,180,491,0,5.45556,8,0,0.030478,0,200,601,0,6.01,8,0,0.030201,2,1,3.27083,5,0.964136,0.833333,0.428395,3,1,3.17457,5,0.96495,0.82225,0.36615,15798,43.883333,0,96.5,0
A.03,1,0,180,503,0,5.58889,8,0,0.031223,0,200,609,0,6.09,8,0,0.030603,2,1,3.21986,5,0.963395,0.825062,0.396358,3,1,3.15266,5,0.96455,0.81745,0.3515,16690,46.361111,0,97.5,0
A.04,1,0,180,496,0,5.51111,8,0,0.030788,0,200,611,0,6.11,8,0,0.030704,2,1,3.24053,5,0.963827,0.82821,0.411667,3,1,3.14085,5,0.96445,0.81575,0.34385,15956,44.322222,0,98,0
A.05,1,0,180,491,0,5.45556,8,0,0.030478,0,200,604,0,6.04,8,0,0.030352,2,1,3.24438,6,0.964136,0.829938,0.412222,3,1,3.14693,5,0.9648,0.8177,0.3467,16816,46.711111,0,98,0
A.06,1,0,180,483,0,5.36667,8,0,0.029981,0,200,604,0,6.04,8,0,0.030352,2,1,3.29212,6,0.96463,0.835802,0.438333,3,1,3.16141,5,0.9648,0.8193,0.3568,14868,41.3,0,91,0
A.07,1,0,180,488,0,5.42222,8,0,0.030292,0,200,592,0,5.92,8,0,0.029749,2,1,3.25798,6,0.964321,0.831667,0.420062,3,1,3.17884,5,0.9654,0.82445,0.3692,19021,52.836111,0,99,0
A.08,1,0,180,491,0,5.45556,8,0,0.030478,0,200,597,0,5.97,8,0,0.03,2,1,3.2712,6,0.964136,0.832778,0.429259,3,1,3.18171,5,0.96515,0.8246,0.37145,19316,53.655556,0,98.5,0
A.09,1,0,180,483,0,5.36667,8,0,0.029981,0,200,596,0,5.96,8,0,0.02995,2,1,3.29013,6,0.96463,0.836049,0.43821,3,1,3.18005,5,0.9652,0.82375,0.3691,17655,49.041667,0,99,0
A.10,1,0,180,493,0,5.47778,8,0,0.030602,0,200,612,0,6.12,8,0,0.030754,2,1,3.245,5,0.964012,0.828951,0.41216,3,1,3.12663,5,0.9644,0.8144,0.3325,15995,44.430556,0,98.5,0
A.11,1,0,180,489,0,5.43333,8,0,0.030354,0,200,599,0,5.99,8,0,0.030101,2,1,3.26561,6,0.964259,0.831481,0.423025,3,1,3.16764,5,0.96505,0.8215,0.3616,17331,48.141667,0,99.5,0
A.12,1,0,180,487,0,5.41111,8,0,0.03023,0,200,600,0,6,8,0,0.030151,2,1,3.28299,6,0.964383,0.83321,0.431975,3,1,3.17583,5,0.965,0.822,0.36655,16985,47.180556,0,98.5,0
A.13,1,0,180,484,0,5.37778,8,0,0.030044,0,200,595,0,5.95,8,0,0.0299,2,1,3.28405,5,0.964568,0.836111,0.434877,3,1,3.16879,5,0.96525,0.8241,0.36025,16739,46.497222,0,99,0
A.14,1,0,180,497,0,5.52222,8,0,0.03085,0,200,617,0,6.17,8,0,0.031005,2,1,3.21924,5,0.963765,0.826728,0.396235,3,1,3.11533,5,0.96415,0.81115,0.3251,14774,41.038889,0,95.5,0
A.15,1,0,180,479,0,5.32222,8,0,0.029733,0,200,596,0,5.96,8,0,0.02995,2,1,3.29243,5,0.964877,0.838025,0.441111,3,1,3.17035,5,0.9652,0.82285,0.36275,15150,42.083333,0,95,0
A.16,1,0,180,486,0,5.4,8,0,0.030168,0,200,610,0,6.1,8,0,0.030653,2,1,3.28957,5,0.964444,0.835802,0.438951,3,1,3.14744,5,0.9645,0.8174,0.3484,13299,36.941667,0,96.5,0
A.17,1,0,180,488,0,5.42222,8,0,0.030292,0,200,602,0,6.02,8,0,0.030251,2,1,3.2851,6,0.964321,0.833889,0.433889,3,1,3.16638,5,0.9649,0.82075,0.3602,16063,44.619444,0,98,0
A.18,1,0,180,493,0,5.47778,8,0,0.030602,0,200,608,0,6.08,8,0,0.030553,2,1,3.26921,6,0.964012,0.831481,0.427593,3,1,3.1695,5,0.9646,0.8194,0.3649,16103,44.730556,0,95,0
A.19,1,0,180,478,0,5.31111,8,0,0.029671,0,200,597,0,5.97,8,0,0.03,2,1,3.31248,5,0.964938,0.839506,0.453272,3,1,3.18698,5,0.96515,0.82395,0.37565,14945,41.513889,0,98.5,0
A.20,1,0,180,485,0,5.38889,8,0,0.030106,0,200,597,0,5.97,8,0,0.03,2,1,3.28386,6,0.964506,0.835309,0.437037,3,1,3.17608,5,0.96515,0.82355,0.36725,18024,50.066667,0,98.5,0
