@relation ALGORITHM_RUNS_GRAPHS-2015
@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute runtime numeric
@attribute runstatus {ok, timeout, memout, not_applicable, crash, other}
@data
F.04,1,lad,387,ok
C.18,1,lad,415,ok
A.04,1,lad,12,ok
C.02,1,lad,287,ok
E.01,1,lad,75,ok
F.20,1,lad,5423,ok
B.20,1,lad,112,ok
C.08,1,lad,341,ok
B.11,1,lad,339,ok
C.10,1,lad,502,ok
B.06,1,lad,106,ok
F.08,1,lad,2609,ok
B.07,1,lad,114,ok
E.04,1,lad,32,ok
C.01,1,lad,374,ok
B.10,1,lad,112,ok
A.15,1,lad,19,ok
C.19,1,lad,308,ok
B.02,1,lad,217,ok
E.06,1,lad,28,ok
E.18,1,lad,32,ok
C.20,1,lad,458,ok
F.02,1,lad,295,ok
F.11,1,lad,163,ok
F.12,1,lad,237,ok
E.05,1,lad,104,ok
B.16,1,lad,106,ok
A.08,1,lad,11,ok
C.14,1,lad,558,ok
F.16,1,lad,212,ok
F.06,1,lad,1051,ok
A.03,1,lad,18,ok
E.19,1,lad,14,ok
C.15,1,lad,277,ok
A.16,1,lad,18,ok
B.14,1,lad,189,ok
A.02,1,lad,12,ok
F.14,1,lad,180,ok
F.05,1,lad,285,ok
B.09,1,lad,193,ok
A.01,1,lad,11,ok
C.05,1,lad,292,ok
B.01,1,lad,104,ok
A.09,1,lad,11,ok
A.07,1,lad,9,ok
F.03,1,lad,175,ok
E.12,1,lad,128,ok
C.06,1,lad,416,ok
C.09,1,lad,282,ok
B.17,1,lad,103,ok
C.07,1,lad,408,ok
E.09,1,lad,140,ok
E.17,1,lad,13,ok
C.11,1,lad,613,ok
F.10,1,lad,5,ok
A.17,1,lad,24,ok
B.15,1,lad,107,ok
E.03,1,lad,42,ok
F.19,1,lad,230,ok
A.12,1,lad,10,ok
B.08,1,lad,108,ok
F.17,1,lad,514,ok
C.04,1,lad,314,ok
B.19,1,lad,175,ok
C.16,1,lad,309,ok
C.17,1,lad,329,ok
E.08,1,lad,58,ok
F.13,1,lad,2018,ok
A.20,1,lad,9,ok
E.02,1,lad,10,ok
E.16,1,lad,24,ok
B.12,1,lad,141,ok
F.09,1,lad,721,ok
A.10,1,lad,14,ok
F.18,1,lad,270,ok
E.10,1,lad,151,ok
A.06,1,lad,28,ok
E.15,1,lad,79,ok
E.07,1,lad,5,ok
E.11,1,lad,22,ok
B.03,1,lad,187,ok
B.18,1,lad,191,ok
C.03,1,lad,267,ok
A.18,1,lad,15,ok
F.15,1,lad,156,ok
A.19,1,lad,18,ok
C.12,1,lad,275,ok
B.05,1,lad,244,ok
A.13,1,lad,10,ok
A.05,1,lad,10,ok
F.01,1,lad,154,ok
E.20,1,lad,16,ok
B.13,1,lad,107,ok
A.14,1,lad,42,ok
B.04,1,lad,98,ok
C.13,1,lad,682,ok
F.07,1,lad,188,ok
E.13,1,lad,15,ok
E.14,1,lad,122,ok
A.11,1,lad,12,ok
si6_r005_m400.07,1,lad,110267,ok
si6_r005_m400.00,1,lad,276021,ok
si6_r005_m400.01,1,lad,225684,ok
si6_r005_m400.02,1,lad,15661,ok
si6_r005_m400.04,1,lad,6254,ok
si6_r005_m400.05,1,lad,336063,ok
si6_r005_m400.09,1,lad,7618,ok
si6_r005_m400.03,1,lad,534986,ok
si6_r005_m400.06,1,lad,5716,ok
si6_r005_m400.08,1,lad,115912,ok
si6_m4Dr6_m625.04,1,lad,102,ok
si6_m4Dr6_m625.01,1,lad,79,ok
si6_m4Dr6_m625.09,1,lad,90,ok
si6_m4Dr6_m625.07,1,lad,79,ok
si6_m4Dr6_m625.00,1,lad,85,ok
si6_m4Dr6_m625.08,1,lad,351,ok
si6_m4Dr6_m625.05,1,lad,76,ok
si6_m4Dr6_m625.06,1,lad,81,ok
si6_m4Dr6_m625.02,1,lad,83,ok
si6_m4Dr6_m625.03,1,lad,78,ok
si4_m4Dr2_m625.09,1,lad,189,ok
si4_m4Dr2_m625.04,1,lad,395,ok
si4_m4Dr2_m625.02,1,lad,44,ok
si4_m4Dr2_m625.07,1,lad,41,ok
si4_m4Dr2_m625.00,1,lad,98,ok
si4_m4Dr2_m625.08,1,lad,147,ok
si4_m4Dr2_m625.01,1,lad,143,ok
si4_m4Dr2_m625.06,1,lad,52,ok
si4_m4Dr2_m625.03,1,lad,386,ok
si4_m4Dr2_m625.05,1,lad,155,ok
si2_r001_m600.00,1,lad,8812,ok
si2_r001_m600.06,1,lad,19380,ok
si2_r001_m600.04,1,lad,3226,ok
si2_r001_m600.07,1,lad,115095,ok
si2_r001_m600.02,1,lad,289686,ok
si2_r001_m600.08,1,lad,35043,ok
si2_r001_m600.03,1,lad,45495389,ok
si2_r001_m600.01,1,lad,36801,ok
si2_r001_m600.05,1,lad,33247,ok
si2_r001_m600.09,1,lad,145968,ok
si2_m4Dr2_m256.09,1,lad,38,ok
si2_m4Dr2_m256.03,1,lad,42,ok
si2_m4Dr2_m256.04,1,lad,88,ok
si2_m4Dr2_m256.07,1,lad,8,ok
si2_m4Dr2_m256.00,1,lad,36,ok
si2_m4Dr2_m256.06,1,lad,83,ok
si2_m4Dr2_m256.08,1,lad,4,ok
si2_m4Dr2_m256.05,1,lad,9,ok
si2_m4Dr2_m256.01,1,lad,33,ok
si2_m4Dr2_m256.02,1,lad,21,ok
si6_r001_m600.09,1,lad,2027,ok
si6_r001_m600.00,1,lad,27539,ok
si6_r001_m600.07,1,lad,10004,ok
si6_r001_m600.03,1,lad,31464,ok
si6_r001_m600.01,1,lad,3029,ok
si6_r001_m600.06,1,lad,2448,ok
si6_r001_m600.08,1,lad,6577,ok
si6_r001_m600.02,1,lad,29743,ok
si6_r001_m600.04,1,lad,4259,ok
si6_r001_m600.05,1,lad,2940,ok
si2_m4Dr2_m1296.05,1,lad,570,ok
si2_m4Dr2_m1296.09,1,lad,744,ok
si2_m4Dr2_m1296.02,1,lad,2244,ok
si2_m4Dr2_m1296.07,1,lad,515,ok
si2_m4Dr2_m1296.00,1,lad,104,ok
si2_m4Dr2_m1296.06,1,lad,2628,ok
si2_m4Dr2_m1296.08,1,lad,1243,ok
si2_m4Dr2_m1296.01,1,lad,2315,ok
si2_m4Dr2_m1296.03,1,lad,1232,ok
si2_m4Dr2_m1296.04,1,lad,121,ok
si4_b06m_m800.08,1,lad,84,ok
si4_b06m_m800.00,1,lad,87,ok
si4_b06m_m800.06,1,lad,84,ok
si4_b06m_m800.05,1,lad,81,ok
si4_b06m_m800.04,1,lad,107,ok
si4_b06m_m800.09,1,lad,83,ok
si4_b06m_m800.01,1,lad,92,ok
si4_b06m_m800.07,1,lad,87,ok
si4_b06m_m800.03,1,lad,91,ok
si4_b06m_m800.02,1,lad,92,ok
si6_m4Dr2_m625.08,1,lad,279,ok
si6_m4Dr2_m625.09,1,lad,269,ok
si6_m4Dr2_m625.05,1,lad,449,ok
si6_m4Dr2_m625.01,1,lad,68,ok
si6_m4Dr2_m625.06,1,lad,68,ok
si6_m4Dr2_m625.00,1,lad,67,ok
si6_m4Dr2_m625.03,1,lad,67,ok
si6_m4Dr2_m625.02,1,lad,464,ok
si6_m4Dr2_m625.07,1,lad,65,ok
si6_m4Dr2_m625.04,1,lad,368,ok
si2_m4D_m1296.01,1,lad,4019,ok
si2_m4D_m1296.08,1,lad,660,ok
si2_m4D_m1296.06,1,lad,3140,ok
si2_m4D_m1296.05,1,lad,782,ok
si2_m4D_m1296.09,1,lad,1003,ok
si2_m4D_m1296.03,1,lad,2695,ok
si2_m4D_m1296.07,1,lad,924,ok
si2_m4D_m1296.02,1,lad,1263,ok
si2_m4D_m1296.04,1,lad,1087,ok
si2_m4D_m1296.00,1,lad,535,ok
si4_b03_m800.05,1,lad,1781,ok
si4_b03_m800.00,1,lad,1695,ok
si4_b03_m800.08,1,lad,1698,ok
si4_b03_m800.09,1,lad,1705,ok
si4_b03_m800.03,1,lad,1713,ok
si4_b03_m800.02,1,lad,1694,ok
si4_b03_m800.04,1,lad,1730,ok
si4_b03_m800.01,1,lad,1714,ok
si4_b03_m800.06,1,lad,1717,ok
si4_b03_m800.07,1,lad,1716,ok
si6_m4D_m1296.02,1,lad,2815,ok
si6_m4D_m1296.07,1,lad,8473,ok
si6_m4D_m1296.05,1,lad,2847,ok
si6_m4D_m1296.09,1,lad,9381,ok
si6_m4D_m1296.00,1,lad,275880,ok
si6_m4D_m1296.08,1,lad,3025,ok
si6_m4D_m1296.04,1,lad,2724,ok
si6_m4D_m1296.06,1,lad,11296,ok
si6_m4D_m1296.01,1,lad,10683,ok
si6_m4D_m1296.03,1,lad,17428,ok
si6_r001_m200.05,1,lad,43,ok
si6_r001_m200.09,1,lad,37,ok
si6_r001_m200.07,1,lad,5,ok
si6_r001_m200.02,1,lad,28,ok
si6_r001_m200.01,1,lad,18,ok
si6_r001_m200.00,1,lad,10,ok
si6_r001_m200.04,1,lad,20,ok
si6_r001_m200.06,1,lad,5,ok
si6_r001_m200.08,1,lad,6,ok
si6_r001_m200.03,1,lad,26,ok
si4_b06_m400.06,1,lad,471,ok
si4_b06_m400.07,1,lad,486,ok
si4_b06_m400.09,1,lad,473,ok
si4_b06_m400.01,1,lad,477,ok
si4_b06_m400.04,1,lad,480,ok
si4_b06_m400.03,1,lad,491,ok
si4_b06_m400.00,1,lad,476,ok
si4_b06_m400.05,1,lad,477,ok
si4_b06_m400.08,1,lad,472,ok
si4_b06_m400.02,1,lad,497,ok
si2_m4Dr6_m256.06,1,lad,22,ok
si2_m4Dr6_m256.05,1,lad,16,ok
si2_m4Dr6_m256.09,1,lad,44,ok
si2_m4Dr6_m256.00,1,lad,23,ok
si2_m4Dr6_m256.07,1,lad,15,ok
si2_m4Dr6_m256.04,1,lad,23,ok
si2_m4Dr6_m256.02,1,lad,37,ok
si2_m4Dr6_m256.01,1,lad,26,ok
si2_m4Dr6_m256.08,1,lad,47,ok
si2_m4Dr6_m256.03,1,lad,29,ok
si6_r01_m200.04,1,lad,1446,ok
si6_r01_m200.08,1,lad,3396,ok
si6_r01_m200.02,1,lad,29005,ok
si6_r01_m200.09,1,lad,12916,ok
si6_r01_m200.07,1,lad,8121,ok
si6_r01_m200.00,1,lad,17650,ok
si6_r01_m200.01,1,lad,96726,ok
si6_r01_m200.03,1,lad,58457,ok
si6_r01_m200.05,1,lad,64344,ok
si6_r01_m200.06,1,lad,39424,ok
si2_b03m_m800.03,1,lad,25,ok
si2_b03m_m800.02,1,lad,23,ok
si2_b03m_m800.09,1,lad,27,ok
si2_b03m_m800.04,1,lad,26,ok
si2_b03m_m800.06,1,lad,24,ok
si2_b03m_m800.05,1,lad,26,ok
si2_b03m_m800.01,1,lad,25,ok
si2_b03m_m800.08,1,lad,28,ok
si2_b03m_m800.07,1,lad,26,ok
si2_b03m_m800.00,1,lad,24,ok
si2_r001_m200.06,1,lad,16,ok
si2_r001_m200.01,1,lad,12,ok
si2_r001_m200.02,1,lad,16,ok
si2_r001_m200.07,1,lad,14,ok
si2_r001_m200.04,1,lad,9,ok
si2_r001_m200.05,1,lad,13,ok
si2_r001_m200.09,1,lad,10,ok
si2_r001_m200.03,1,lad,24,ok
si2_r001_m200.00,1,lad,12,ok
si2_r001_m200.08,1,lad,15,ok
si6_b03m_m800.01,1,lad,76,ok
si6_b03m_m800.08,1,lad,75,ok
si6_b03m_m800.03,1,lad,75,ok
si6_b03m_m800.00,1,lad,82,ok
si6_b03m_m800.04,1,lad,89,ok
si6_b03m_m800.05,1,lad,81,ok
si6_b03m_m800.07,1,lad,75,ok
si6_b03m_m800.06,1,lad,72,ok
si6_b03m_m800.09,1,lad,73,ok
si6_b03m_m800.02,1,lad,72,ok
si4_r005_m200.00,1,lad,31255,ok
si4_r005_m200.08,1,lad,8790,ok
si4_r005_m200.02,1,lad,7087,ok
si4_r005_m200.05,1,lad,328,ok
si4_r005_m200.06,1,lad,221,ok
si4_r005_m200.04,1,lad,34325,ok
si4_r005_m200.07,1,lad,12872,ok
si4_r005_m200.09,1,lad,3794,ok
si4_r005_m200.01,1,lad,10521,ok
si4_r005_m200.03,1,lad,15482,ok
si6_b09m_m400.03,1,lad,47,ok
si6_b09m_m400.07,1,lad,47,ok
si6_b09m_m400.00,1,lad,49,ok
si6_b09m_m400.04,1,lad,48,ok
si6_b09m_m400.06,1,lad,48,ok
si6_b09m_m400.08,1,lad,48,ok
si6_b09m_m400.02,1,lad,48,ok
si6_b09m_m400.05,1,lad,46,ok
si6_b09m_m400.09,1,lad,48,ok
si6_b09m_m400.01,1,lad,49,ok
si2_b09_m200.08,1,lad,47,ok
si2_b09_m200.01,1,lad,49,ok
si2_b09_m200.06,1,lad,48,ok
si2_b09_m200.05,1,lad,50,ok
si2_b09_m200.00,1,lad,48,ok
si2_b09_m200.02,1,lad,81,ok
si2_b09_m200.03,1,lad,48,ok
si2_b09_m200.04,1,lad,51,ok
si2_b09_m200.09,1,lad,65,ok
si2_b09_m200.07,1,lad,47,ok
si6_r01_m600.02,1,lad,52864341,ok
si6_r01_m600.06,1,lad,56811435,ok
si6_r01_m600.09,1,lad,20206954,ok
si6_r01_m600.08,1,lad,19981146,ok
si6_r01_m600.05,1,lad,4984289,ok
si6_r01_m600.07,1,lad,37238221,ok
si6_r01_m600.03,1,lad,100000000,timeout
si6_r01_m600.00,1,lad,31413225,ok
si6_r01_m600.01,1,lad,33384998,ok
si6_r01_m600.04,1,lad,29963646,ok
si2_b06_m200.02,1,lad,36,ok
si2_b06_m200.00,1,lad,32,ok
si2_b06_m200.01,1,lad,32,ok
si2_b06_m200.06,1,lad,34,ok
si2_b06_m200.09,1,lad,35,ok
si2_b06_m200.07,1,lad,34,ok
si2_b06_m200.04,1,lad,35,ok
si2_b06_m200.08,1,lad,34,ok
si2_b06_m200.03,1,lad,36,ok
si2_b06_m200.05,1,lad,33,ok
si6_m4Dr2_m1296.05,1,lad,301,ok
si6_m4Dr2_m1296.09,1,lad,1196,ok
si6_m4Dr2_m1296.01,1,lad,316,ok
si6_m4Dr2_m1296.06,1,lad,340,ok
si6_m4Dr2_m1296.07,1,lad,539,ok
si6_m4Dr2_m1296.03,1,lad,311,ok
si6_m4Dr2_m1296.04,1,lad,303,ok
si6_m4Dr2_m1296.00,1,lad,333,ok
si6_m4Dr2_m1296.08,1,lad,339,ok
si6_m4Dr2_m1296.02,1,lad,302,ok
si2_b09m_m800.09,1,lad,65,ok
si2_b09m_m800.07,1,lad,73,ok
si2_b09m_m800.00,1,lad,85,ok
si2_b09m_m800.04,1,lad,64,ok
si2_b09m_m800.02,1,lad,74,ok
si2_b09m_m800.05,1,lad,64,ok
si2_b09m_m800.03,1,lad,522,ok
si2_b09m_m800.08,1,lad,64,ok
si2_b09m_m800.06,1,lad,454,ok
si2_b09m_m800.01,1,lad,83,ok
si4_b03_m400.01,1,lad,229,ok
si4_b03_m400.02,1,lad,235,ok
si4_b03_m400.05,1,lad,233,ok
si4_b03_m400.07,1,lad,233,ok
si4_b03_m400.06,1,lad,231,ok
si4_b03_m400.00,1,lad,231,ok
si4_b03_m400.03,1,lad,233,ok
si4_b03_m400.04,1,lad,232,ok
si4_b03_m400.09,1,lad,237,ok
si4_b03_m400.08,1,lad,243,ok
si2_b03_m200.05,1,lad,14,ok
si2_b03_m200.09,1,lad,17,ok
si2_b03_m200.07,1,lad,15,ok
