@relation FEATURE_COST_GRAPHS-2015

@attribute instance_id string
@attribute repetition numeric
@attribute cheap_pattern numeric
@attribute cheap_target numeric
@attribute distance_pattern numeric
@attribute distance_target numeric
@attribute lad_features numeric

@data
A.01,1,0,0,3,3,0
A.02,1,0,0,3,3,0
A.03,1,0,0,3,3,0
A.04,1,0,0,3,3,0
A.05,1,0,0,3,3,0
A.06,1,0,0,3,3,0
A.07,1,0,0,3,3,0
A.08,1,0,0,3,3,0
A.09,1,0,0,3,3,0
A.10,1,0,0,3,3,0
A.11,1,0,0,3,3,0
A.12,1,0,0,3,3,0
A.13,1,0,0,3,3,0
A.14,1,0,0,3,3,0
A.15,1,0,0,3,3,0
A.16,1,0,0,3,3,0
A.17,1,0,0,3,3,0
A.18,1,0,0,3,3,0
A.19,1,0,0,3,3,0
A.20,1,0,0,3,3,0
B.01,1,0,0,34,34,4
B.02,1,0,0,36,36,3
B.03,1,0,0,35,35,4
B.04,1,0,0,34,34,4
B.05,1,0,0,34,34,4
B.06,1,0,0,35,35,3
B.07,1,0,0,35,35,4
B.08,1,0,0,34,34,3
B.09,1,0,0,34,34,3
B.10,1,0,0,35,35,4
B.11,1,0,0,35,35,3
B.12,1,0,0,35,35,3
B.13,1,0,0,35,35,3
B.14,1,0,0,35,35,4
B.15,1,0,0,35,35,4
B.16,1,0,0,35,35,4
B.17,1,0,0,35,35,4
B.18,1,0,0,34,34,4
B.19,1,0,0,34,34,4
B.20,1,0,0,34,34,3
C.01,1,1,1,123,123,10
C.02,1,1,1,122,122,11
C.03,1,1,1,121,121,11
C.04,1,1,1,123,123,11
C.05,1,1,1,123,123,11
C.06,1,1,1,123,123,11
C.07,1,1,1,125,125,10
C.08,1,1,1,122,122,10
C.09,1,1,1,122,122,12
C.10,1,1,1,124,124,11
C.11,1,1,1,121,121,9
C.12,1,1,1,122,122,10
C.13,1,1,1,123,123,10
C.14,1,1,1,124,124,12
C.15,1,1,1,122,122,10
C.16,1,1,1,123,123,10
C.17,1,1,1,122,122,9
C.18,1,1,1,122,122,10
C.19,1,1,1,124,124,11
C.20,1,1,1,125,125,12
E.01,1,0,0,30,30,8
E.02,1,0,0,30,30,2
E.03,1,0,0,29,29,4
E.04,1,0,0,29,29,4
E.05,1,0,0,30,30,12
E.06,1,0,0,30,30,4
E.07,1,0,0,30,30,2
E.08,1,0,0,30,30,6
E.09,1,0,0,29,29,14
E.10,1,0,0,30,30,13
E.11,1,0,0,29,29,4
E.12,1,0,0,30,30,11
E.13,1,0,0,30,30,3
E.14,1,0,0,30,30,11
E.15,1,0,0,30,30,8
E.16,1,0,0,30,30,2
E.17,1,0,0,30,30,3
E.18,1,0,0,31,31,3
E.19,1,0,0,29,29,3
E.20,1,0,0,30,30,2
F.01,1,0,0,30,30,13
F.02,1,0,0,30,30,14
F.03,1,0,0,30,30,13
F.04,1,0,0,30,30,13
F.05,1,0,0,30,30,11
F.06,1,0,0,30,30,13
F.07,1,0,0,29,29,13
F.08,1,0,0,30,30,14
F.09,1,0,0,30,30,15
F.10,1,0,0,30,30,2
F.11,1,0,0,31,31,13
F.12,1,0,0,30,30,12
F.13,1,0,0,30,30,12
F.14,1,0,0,30,30,11
F.15,1,0,0,29,29,12
F.16,1,0,0,30,30,13
F.17,1,0,0,30,30,14
F.18,1,0,0,31,31,13
F.19,1,0,0,30,30,13
F.20,1,0,0,30,30,14
g10-g100,1,0,5,131,131,0
g10-g101,1,0,6,686,686,1
g10-g102,1,0,6,829,829,2
g10-g103,1,0,6,1147,1147,3
g10-g104,1,0,14,1397,1397,4
g10-g105,1,0,14,1404,1404,4
g10-g106,1,0,25,4955,4955,9
g10-g107,1,0,25,2978,2978,7
g10-g108,1,0,29,3669,3669,7
g10-g109,1,0,31,4210,4210,6
g10-g11,1,0,0,0,0,0
g10-g110,1,0,36,9934,9934,18
g10-g111,1,0,41,5766,5766,11
g10-g112,1,0,54,5942,5942,78
g10-g12,1,0,0,0,0,0
g10-g13,1,0,0,0,0,0
g10-g14,1,0,0,0,0,0
g10-g15,1,0,0,0,0,0
g10-g16,1,0,0,0,0,0
g10-g20,1,0,0,0,0,0
g10-g21,1,0,0,0,0,0
g10-g22,1,0,0,0,0,0
g10-g23,1,0,0,0,0,0
g10-g25,1,0,0,0,0,0
g10-g26,1,0,0,0,0,0
g10-g27,1,0,0,0,0,0
g10-g28,1,0,0,0,0,0
g10-g29,1,0,0,1,1,0
g10-g30,1,0,0,1,1,0
g10-g31,1,0,0,1,1,0
g10-g32,1,0,0,3,3,0
g10-g33,1,0,0,0,0,0
g10-g37,1,0,0,1,1,0
g10-g38,1,0,0,0,0,0
g10-g40,1,0,0,3,3,0
g10-g41,1,0,0,1,1,0
g10-g42,1,0,0,1,1,0
g10-g43,1,0,0,1,1,0
g10-g44,1,0,0,1,1,0
g10-g45,1,0,0,1,1,0
g10-g46,1,0,0,2,2,0
g10-g47,1,0,0,1,1,0
g10-g48,1,0,0,2,2,0
g10-g49,1,0,0,1,1,0
g10-g50,1,0,0,3,3,0
g10-g51,1,0,0,1,1,0
g10-g52,1,0,0,1,1,0
g10-g53,1,0,0,2,2,0
g10-g54,1,0,0,5,5,0
g10-g55,1,0,0,5,5,0
g10-g56,1,0,0,5,5,0
g10-g57,1,0,0,1,1,0
g10-g58-normed,1,0,0,3,3,0
g10-g59-normed,1,0,0,3,3,0
g10-g60-normed,1,0,0,5,5,0
g10-g61,1,0,0,5,5,0
g10-g62,1,0,0,7,7,0
g10-g63,1,0,0,23,23,0
g10-g64,1,0,0,51,51,4
g10-g65,1,0,0,27,27,0
g10-g66-normed,1,0,0,27,27,0
g10-g67,1,0,0,13,13,0
g10-g68,1,0,0,57,57,0
g10-g69,1,0,0,22,22,0
g10-g70,1,0,0,17,17,0
g10-g71,1,0,0,22,22,0
g10-g72,1,0,0,7,7,0
g10-g73-normed,1,0,0,29,29,0
g10-g74,1,0,0,19,19,0
g10-g75,1,0,0,32,32,4
g10-g76,1,0,0,155,155,15
g10-g77,1,0,0,319,319,19
g10-g78,1,0,0,67,67,0
g10-g79,1,0,0,41,41,0
g10-g80,1,0,1,21,21,0
g10-g81,1,0,1,207,207,1
g10-g82-normed,1,0,1,208,208,1
g10-g83,1,0,1,162,162,0
g10-g84,1,0,1,789,789,15
g10-g85,1,0,1,89,89,0
g10-g86-normed,1,0,1,90,90,0
g10-g87,1,0,1,129,129,2
g10-g88,1,0,1,142,142,0
g10-g89,1,0,1,111,111,0
g10-g90,1,0,2,266,266,1
g10-g91,1,0,2,165,165,9
g10-g92,1,0,3,228,228,8
g10-g93-normed,1,0,3,5658,5658,48
g10-g94,1,0,4,470,470,3
g10-g95,1,0,5,151,151,1
g10-g96,1,0,5,176,176,0
g10-g97,1,0,5,181,181,1
g10-g98,1,0,5,270,270,1
g10-g99,1,0,5,268,268,2
g11-g100,1,0,5,130,130,0
g11-g101,1,0,6,702,702,2
g11-g102,1,0,6,824,824,1
g11-g103,1,0,6,1085,1085,3
g11-g104,1,0,14,1402,1402,4
g11-g105,1,0,14,1400,1400,5
g11-g106,1,0,25,4939,4939,9
g11-g107,1,0,25,2952,2952,7
g11-g108,1,0,29,3662,3662,9
g11-g109,1,0,31,4206,4206,5
g11-g110,1,0,36,9763,9763,20
g11-g111,1,0,40,5664,5664,11
g11-g112,1,0,54,5959,5959,46
g11-g12,1,0,0,0,0,0
g11-g13,1,0,0,0,0,0
g11-g14,1,0,0,0,0,0
g11-g15,1,0,0,0,0,0
g11-g16,1,0,0,0,0,0
g11-g20,1,0,0,0,0,0
g11-g21,1,0,0,0,0,0
g11-g22,1,0,0,0,0,0
g11-g23,1,0,0,0,0,0
g11-g25,1,0,0,0,0,0
g11-g26,1,0,0,0,0,0
g11-g27,1,0,0,0,0,0
g11-g28,1,0,0,0,0,0
g11-g29,1,0,0,1,1,0
g11-g30,1,0,0,1,1,0
g11-g31,1,0,0,1,1,0
g11-g32,1,0,0,3,3,0
g11-g33,1,0,0,0,0,0
g11-g37,1,0,0,1,1,0
g11-g38,1,0,0,0,0,0
g11-g40,1,0,0,3,3,0
g11-g41,1,0,0,1,1,0
g11-g42,1,0,0,1,1,0
g11-g43,1,0,0,1,1,0
g11-g44,1,0,0,1,1,0
g11-g45,1,0,0,1,1,0
g11-g46,1,0,0,2,2,0
g11-g47,1,0,0,2,2,0
g11-g48,1,0,0,2,2,0
g11-g49,1,0,0,1,1,0
g11-g50,1,0,0,3,3,0
g11-g51,1,0,0,1,1,0
g11-g52,1,0,0,1,1,0
g11-g53,1,0,0,2,2,0
g11-g54,1,0,0,5,5,0
g11-g55,1,0,0,5,5,0
g11-g56,1,0,0,5,5,0
g11-g57,1,0,0,1,1,0
g11-g58-normed,1,0,0,3,3,0
g11-g59-normed,1,0,0,3,3,0
g11-g60-normed,1,0,0,5,5,0
g11-g61,1,0,0,5,5,0
g11-g62,1,0,0,8,8,0
g11-g63,1,0,0,23,23,0
g11-g64,1,0,0,51,51,4
g11-g65,1,0,0,27,27,0
g11-g66-normed,1,0,0,27,27,0
g11-g67,1,0,0,13,13,0
g11-g68,1,0,0,57,57,0
g11-g69,1,0,0,23,23,0
g11-g70,1,0,0,17,17,0
g11-g71,1,0,0,22,22,0
g11-g72,1,0,0,7,7,0
g11-g73-normed,1,0,0,29,29,0
g11-g74,1,0,0,19,19,0
g11-g75,1,0,0,32,32,4
g11-g76,1,0,0,156,156,14
g11-g77,1,0,0,319,319,19
g11-g78,1,0,0,69,69,0
g11-g79,1,0,0,42,42,0
g11-g80,1,0,1,21,21,0
g11-g81,1,0,1,204,204,0
g11-g82-normed,1,0,1,207,207,0
g11-g83,1,0,1,162,162,1
g11-g84,1,0,1,790,790,14
g11-g85,1,0,1,90,90,0
g11-g86-normed,1,0,1,88,88,0
g11-g87,1,0,1,128,128,2
g11-g88,1,0,1,141,141,2
g11-g89,1,0,1,110,110,0
g11-g90,1,0,2,262,262,1
g11-g91,1,0,2,162,162,6
g11-g92,1,0,3,227,227,4
g11-g93-normed,1,0,3,5720,5720,46
g11-g94,1,0,4,471,471,2
g11-g95,1,0,5,149,149,1
g11-g96,1,0,5,176,176,1
g11-g97,1,0,5,181,181,2
g11-g98,1,0,5,266,266,1
g11-g99,1,0,5,265,265,1
g12-g100,1,0,5,129,129,0
g12-g101,1,0,6,702,702,1
g12-g102,1,0,6,825,825,1
g12-g103,1,0,6,1138,1138,2
g12-g104,1,0,14,1378,1378,2
g12-g105,1,0,14,1400,1400,2
g12-g106,1,0,25,4961,4961,5
g12-g107,1,0,25,2988,2988,5
g12-g108,1,0,29,3589,3589,6
g12-g109,1,0,31,4210,4210,4
g12-g110,1,0,36,9852,9852,19
g12-g111,1,0,41,5716,5716,9
g12-g112,1,0,54,5998,5998,5
g12-g20,1,0,0,0,0,0
g12-g21,1,0,0,0,0,0
g12-g23,1,0,0,0,0,0
g12-g26,1,0,0,0,0,0
g12-g27,1,0,0,0,0,0
g12-g29,1,0,0,1,1,0
g12-g30,1,0,0,1,1,0
g12-g31,1,0,0,1,1,0
g12-g32,1,0,0,3,3,0
g12-g38,1,0,0,0,0,0
g12-g40,1,0,0,3,3,0
g12-g43,1,0,0,1,1,0
g12-g44,1,0,0,1,1,0
g12-g45,1,0,0,1,1,0
g12-g46,1,0,0,2,2,0
g12-g47,1,0,0,2,2,0
g12-g48,1,0,0,2,2,0
g12-g50,1,0,0,3,3,1
g12-g51,1,0,0,1,1,0
g12-g52,1,0,0,1,1,0
g12-g53,1,0,0,2,2,0
g12-g54,1,0,0,5,5,0
g12-g55,1,0,0,5,5,0
g12-g56,1,0,0,5,5,0
g12-g57,1,0,0,1,1,0
g12-g58-normed,1,0,0,3,3,0
g12-g59-normed,1,0,0,3,3,0
g12-g60-normed,1,0,0,6,6,0
g12-g61,1,0,0,5,5,0
g12-g62,1,0,0,8,8,0
g12-g63,1,0,0,23,23,0
g12-g64,1,0,0,51,51,5
g12-g65,1,0,0,27,27,0
g12-g66-normed,1,0,0,27,27,0
g12-g67,1,0,0,13,13,0
g12-g68,1,0,0,56,56,1
g12-g69,1,0,0,22,22,0
g12-g70,1,0,0,17,17,0
g12-g71,1,0,0,22,22,0
g12-g72,1,0,0,7,7,0
g12-g73-normed,1,0,0,29,29,1
