@relation FEATURE_RUNSTATUS_GRAPHS-2015

@attribute instance_id string
@attribute repetition numeric
@attribute cheap_pattern {ok, timeout, memout, presolved, crash, other}
@attribute cheap_target {ok, timeout, memout, presolved, crash, other}
@attribute distance_pattern {ok, timeout, memout, presolved, crash, other}
@attribute distance_target {ok, timeout, memout, presolved, crash, other}
@attribute lad_features {ok, timeout, memout, presolved, crash, other}

@data
A.01,1,ok,ok,ok,ok,ok
A.02,1,ok,ok,ok,ok,ok
A.03,1,ok,ok,ok,ok,ok
A.04,1,ok,ok,ok,ok,ok
A.05,1,ok,ok,ok,ok,ok
A.06,1,ok,ok,ok,ok,ok
A.07,1,ok,ok,ok,ok,ok
A.08,1,ok,ok,ok,ok,ok
A.09,1,ok,ok,ok,ok,ok
A.10,1,ok,ok,ok,ok,ok
A.11,1,ok,ok,ok,ok,ok
A.12,1,ok,ok,ok,ok,ok
A.13,1,ok,ok,ok,ok,ok
A.14,1,ok,ok,ok,ok,ok
A.15,1,ok,ok,ok,ok,ok
A.16,1,ok,ok,ok,ok,ok
A.17,1,ok,ok,ok,ok,ok
A.18,1,ok,ok,ok,ok,ok
A.19,1,ok,ok,ok,ok,ok
A.20,1,ok,ok,ok,ok,ok
B.01,1,ok,ok,ok,ok,ok
B.02,1,ok,ok,ok,ok,ok
B.03,1,ok,ok,ok,ok,ok
B.04,1,ok,ok,ok,ok,ok
B.05,1,ok,ok,ok,ok,ok
B.06,1,ok,ok,ok,ok,ok
B.07,1,ok,ok,ok,ok,ok
B.08,1,ok,ok,ok,ok,ok
B.09,1,ok,ok,ok,ok,ok
B.10,1,ok,ok,ok,ok,ok
B.11,1,ok,ok,ok,ok,ok
B.12,1,ok,ok,ok,ok,ok
B.13,1,ok,ok,ok,ok,ok
B.14,1,ok,ok,ok,ok,ok
B.15,1,ok,ok,ok,ok,ok
B.16,1,ok,ok,ok,ok,ok
B.17,1,ok,ok,ok,ok,ok
B.18,1,ok,ok,ok,ok,ok
B.19,1,ok,ok,ok,ok,ok
B.20,1,ok,ok,ok,ok,ok
C.01,1,ok,ok,ok,ok,ok
C.02,1,ok,ok,ok,ok,ok
C.03,1,ok,ok,ok,ok,ok
C.04,1,ok,ok,ok,ok,ok
C.05,1,ok,ok,ok,ok,ok
C.06,1,ok,ok,ok,ok,ok
C.07,1,ok,ok,ok,ok,ok
C.08,1,ok,ok,ok,ok,ok
C.09,1,ok,ok,ok,ok,ok
C.10,1,ok,ok,ok,ok,ok
C.11,1,ok,ok,ok,ok,ok
C.12,1,ok,ok,ok,ok,ok
C.13,1,ok,ok,ok,ok,ok
C.14,1,ok,ok,ok,ok,ok
C.15,1,ok,ok,ok,ok,ok
C.16,1,ok,ok,ok,ok,ok
C.17,1,ok,ok,ok,ok,ok
C.18,1,ok,ok,ok,ok,ok
C.19,1,ok,ok,ok,ok,ok
C.20,1,ok,ok,ok,ok,ok
E.01,1,ok,ok,ok,ok,presolved
E.02,1,ok,ok,ok,ok,presolved
E.03,1,ok,ok,ok,ok,presolved
E.04,1,ok,ok,ok,ok,presolved
E.05,1,ok,ok,ok,ok,presolved
E.06,1,ok,ok,ok,ok,presolved
E.07,1,ok,ok,ok,ok,presolved
E.08,1,ok,ok,ok,ok,presolved
E.09,1,ok,ok,ok,ok,presolved
E.10,1,ok,ok,ok,ok,ok
E.11,1,ok,ok,ok,ok,presolved
E.12,1,ok,ok,ok,ok,presolved
E.13,1,ok,ok,ok,ok,presolved
E.14,1,ok,ok,ok,ok,presolved
E.15,1,ok,ok,ok,ok,presolved
E.16,1,ok,ok,ok,ok,presolved
E.17,1,ok,ok,ok,ok,presolved
E.18,1,ok,ok,ok,ok,presolved
E.19,1,ok,ok,ok,ok,presolved
E.20,1,ok,ok,ok,ok,presolved
F.01,1,ok,ok,ok,ok,ok
F.02,1,ok,ok,ok,ok,ok
F.03,1,ok,ok,ok,ok,ok
F.04,1,ok,ok,ok,ok,ok
F.05,1,ok,ok,ok,ok,ok
F.06,1,ok,ok,ok,ok,ok
F.07,1,ok,ok,ok,ok,ok
F.08,1,ok,ok,ok,ok,ok
F.09,1,ok,ok,ok,ok,ok
F.10,1,ok,ok,ok,ok,presolved
F.11,1,ok,ok,ok,ok,ok
F.12,1,ok,ok,ok,ok,ok
F.13,1,ok,ok,ok,ok,ok
F.14,1,ok,ok,ok,ok,ok
F.15,1,ok,ok,ok,ok,ok
F.16,1,ok,ok,ok,ok,ok
F.17,1,ok,ok,ok,ok,ok
F.18,1,ok,ok,ok,ok,ok
F.19,1,ok,ok,ok,ok,ok
F.20,1,ok,ok,ok,ok,ok
g10-g100,1,ok,ok,ok,ok,presolved
g10-g101,1,ok,ok,ok,ok,presolved
g10-g102,1,ok,ok,ok,ok,presolved
g10-g103,1,ok,ok,ok,ok,ok
g10-g104,1,ok,ok,ok,ok,ok
g10-g105,1,ok,ok,ok,ok,ok
g10-g106,1,ok,ok,ok,ok,ok
g10-g107,1,ok,ok,ok,ok,ok
g10-g108,1,ok,ok,ok,ok,ok
g10-g109,1,ok,ok,ok,ok,presolved
g10-g11,1,ok,ok,ok,ok,ok
g10-g110,1,ok,ok,ok,ok,ok
g10-g111,1,ok,ok,ok,ok,ok
g10-g112,1,ok,ok,ok,ok,ok
g10-g12,1,ok,ok,ok,ok,ok
g10-g13,1,ok,ok,ok,ok,ok
g10-g14,1,ok,ok,ok,ok,ok
g10-g15,1,ok,ok,ok,ok,ok
g10-g16,1,ok,ok,ok,ok,ok
g10-g20,1,ok,ok,ok,ok,ok
