@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
agricola_p01.pddl,1,blind,850.47,ok
agricola_p01.pddl,1,Complementary1,110.74,ok
agricola_p01.pddl,1,Complementary2,51.6,ok
agricola_p01.pddl,1,DecStar,1800,timeout
agricola_p01.pddl,1,Delfi1,19.68,ok
agricola_p01.pddl,1,Delfi2,473.14,ok
agricola_p01.pddl,1,FDMS1,86.99,ok
agricola_p01.pddl,1,FDMS2,102.35,ok
agricola_p01.pddl,1,Metis1,1800,timeout
agricola_p01.pddl,1,Metis2,1800,timeout
agricola_p01.pddl,1,Planning-PDBs,52.17,ok
agricola_p01.pddl,1,Scorpion,1800,timeout
agricola_p01.pddl,1,symbolic-bidirectional,18.4,ok
agricola_p01.pddl,1,Symple-1,1380.56,ok
agricola_p01.pddl,1,Symple-2,1389.76,ok
agricola_p02.pddl,1,blind,485.83,ok
agricola_p02.pddl,1,Complementary1,140.62,ok
agricola_p02.pddl,1,Complementary2,206.59,ok
agricola_p02.pddl,1,DecStar,1800,timeout
agricola_p02.pddl,1,Delfi1,33.17,ok
agricola_p02.pddl,1,Delfi2,63.02,ok
agricola_p02.pddl,1,FDMS1,82.67,ok
agricola_p02.pddl,1,FDMS2,260.58,ok
agricola_p02.pddl,1,Metis1,1800,timeout
agricola_p02.pddl,1,Metis2,1800,timeout
agricola_p02.pddl,1,Planning-PDBs,209.93,ok
agricola_p02.pddl,1,Scorpion,1800,timeout
agricola_p02.pddl,1,symbolic-bidirectional,74.84,ok
agricola_p02.pddl,1,Symple-1,1800,timeout
agricola_p02.pddl,1,Symple-2,1800,timeout
agricola_p03.pddl,1,blind,1069.2,ok
agricola_p03.pddl,1,Complementary1,1127.93,ok
agricola_p03.pddl,1,Complementary2,1015.67,ok
agricola_p03.pddl,1,DecStar,1800,timeout
agricola_p03.pddl,1,Delfi1,77.54,ok
agricola_p03.pddl,1,Delfi2,130.51,ok
agricola_p03.pddl,1,FDMS1,122.64,ok
agricola_p03.pddl,1,FDMS2,335.37,ok
agricola_p03.pddl,1,Metis1,1800,timeout
agricola_p03.pddl,1,Metis2,1800,timeout
agricola_p03.pddl,1,Planning-PDBs,985.58,ok
agricola_p03.pddl,1,Scorpion,1511.23,ok
agricola_p03.pddl,1,symbolic-bidirectional,86.22,ok
agricola_p03.pddl,1,Symple-1,1800,timeout
agricola_p03.pddl,1,Symple-2,1800,timeout
agricola_p04.pddl,1,blind,1800,timeout
agricola_p04.pddl,1,Complementary1,200.52,ok
agricola_p04.pddl,1,Complementary2,122.95,ok
agricola_p04.pddl,1,DecStar,1800,timeout
agricola_p04.pddl,1,Delfi1,29.97,ok
agricola_p04.pddl,1,Delfi2,51.46,ok
agricola_p04.pddl,1,FDMS1,339.41,ok
agricola_p04.pddl,1,FDMS2,140.08,ok
agricola_p04.pddl,1,Metis1,1800,timeout
agricola_p04.pddl,1,Metis2,1800,timeout
agricola_p04.pddl,1,Planning-PDBs,124.08,ok
agricola_p04.pddl,1,Scorpion,1800,timeout
agricola_p04.pddl,1,symbolic-bidirectional,44.36,ok
agricola_p04.pddl,1,Symple-1,1800,timeout
agricola_p04.pddl,1,Symple-2,1800,timeout
agricola_p05.pddl,1,blind,1419.39,ok
agricola_p05.pddl,1,Complementary1,690.28,ok
agricola_p05.pddl,1,Complementary2,1144.97,ok
agricola_p05.pddl,1,DecStar,1800,timeout
agricola_p05.pddl,1,Delfi1,84.4,ok
agricola_p05.pddl,1,Delfi2,123.34,ok
agricola_p05.pddl,1,FDMS1,193.14,ok
agricola_p05.pddl,1,FDMS2,331.58,ok
agricola_p05.pddl,1,Metis1,1800,timeout
agricola_p05.pddl,1,Metis2,1800,timeout
agricola_p05.pddl,1,Planning-PDBs,1020.11,ok
agricola_p05.pddl,1,Scorpion,1800,timeout
agricola_p05.pddl,1,symbolic-bidirectional,44.79,ok
agricola_p05.pddl,1,Symple-1,1800,timeout
agricola_p05.pddl,1,Symple-2,1800,timeout
agricola_p06.pddl,1,blind,1800,timeout
agricola_p06.pddl,1,Complementary1,1242.44,ok
agricola_p06.pddl,1,Complementary2,1750.04,ok
agricola_p06.pddl,1,DecStar,1800,timeout
agricola_p06.pddl,1,Delfi1,97.32,ok
agricola_p06.pddl,1,Delfi2,162.96,ok
agricola_p06.pddl,1,FDMS1,400.58,ok
agricola_p06.pddl,1,FDMS2,529.28,ok
agricola_p06.pddl,1,Metis1,1800,timeout
agricola_p06.pddl,1,Metis2,1800,timeout
agricola_p06.pddl,1,Planning-PDBs,1800,timeout
agricola_p06.pddl,1,Scorpion,1800,timeout
agricola_p06.pddl,1,symbolic-bidirectional,256.88,ok
agricola_p06.pddl,1,Symple-1,1800,timeout
agricola_p06.pddl,1,Symple-2,1800,timeout
agricola_p07.pddl,1,blind,1800,timeout
agricola_p07.pddl,1,Complementary1,244.27,ok
agricola_p07.pddl,1,Complementary2,919.67,ok
agricola_p07.pddl,1,DecStar,1800,timeout
agricola_p07.pddl,1,Delfi1,74.26,ok
agricola_p07.pddl,1,Delfi2,102.02,ok
agricola_p07.pddl,1,FDMS1,758.5,ok
agricola_p07.pddl,1,FDMS2,265.16,ok
agricola_p07.pddl,1,Metis1,1800,timeout
agricola_p07.pddl,1,Metis2,1800,timeout
agricola_p07.pddl,1,Planning-PDBs,919.29,ok
agricola_p07.pddl,1,Scorpion,1800,timeout
agricola_p07.pddl,1,symbolic-bidirectional,68.95,ok
agricola_p07.pddl,1,Symple-1,1800,timeout
agricola_p07.pddl,1,Symple-2,1800,timeout
agricola_p08.pddl,1,blind,1800,timeout
agricola_p08.pddl,1,Complementary1,1462.84,ok
agricola_p08.pddl,1,Complementary2,1800,timeout
agricola_p08.pddl,1,DecStar,1800,timeout
agricola_p08.pddl,1,Delfi1,423.83,ok
agricola_p08.pddl,1,Delfi2,499.18,ok
agricola_p08.pddl,1,FDMS1,1800,timeout
agricola_p08.pddl,1,FDMS2,333.5,ok
agricola_p08.pddl,1,Metis1,1800,timeout
agricola_p08.pddl,1,Metis2,1800,timeout
agricola_p08.pddl,1,Planning-PDBs,1800,timeout
agricola_p08.pddl,1,Scorpion,1800,timeout
agricola_p08.pddl,1,symbolic-bidirectional,349.94,ok
agricola_p08.pddl,1,Symple-1,1800,timeout
agricola_p08.pddl,1,Symple-2,1800,timeout
agricola_p09.pddl,1,blind,1800,timeout
agricola_p09.pddl,1,Complementary1,1333.69,ok
agricola_p09.pddl,1,Complementary2,1800,timeout
agricola_p09.pddl,1,DecStar,1800,timeout
agricola_p09.pddl,1,Delfi1,975.96,ok
agricola_p09.pddl,1,Delfi2,1053.3,ok
agricola_p09.pddl,1,FDMS1,786.08,ok
agricola_p09.pddl,1,FDMS2,835.12,ok
agricola_p09.pddl,1,Metis1,1800,timeout
agricola_p09.pddl,1,Metis2,1800,timeout
agricola_p09.pddl,1,Planning-PDBs,1800,timeout
agricola_p09.pddl,1,Scorpion,1800,timeout
