@RELATION FEATURES_RUNSTATUS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL {ok, timeout, memout, not_applicable, crash, other}

@DATA
petri-net-alignment_p09.pddl,1,ok
caldera_p14.pddl,1,ok
spider_p15.pddl,1,ok
nurikabe_p09.pddl,1,ok
petri-net-alignment_p12.pddl,1,ok
organic-synthesis-split_p10.pddl,1,ok
caldera_p20.pddl,1,ok
data-network_p03.pddl,1,ok
snake_p11.pddl,1,ok
organic-synthesis_p03.pddl,1,ok
caldera-split_p04.pddl,1,ok
settlers_p14.pddl,1,ok
data-network_p08.pddl,1,ok
data-network_p05.pddl,1,ok
caldera-split_p09.pddl,1,ok
petri-net-alignment_p08.pddl,1,ok
spider_p04.pddl,1,ok
agricola_p03.pddl,1,ok
organic-synthesis_p15.pddl,1,ok
organic-synthesis_p08.pddl,1,ok
snake_p05.pddl,1,ok
petri-net-alignment_p02.pddl,1,ok
nurikabe_p01.pddl,1,ok
termes_p01.pddl,1,ok
settlers_p02.pddl,1,ok
agricola_p09.pddl,1,ok
settlers_p11.pddl,1,ok
settlers_p07.pddl,1,ok
spider_p03.pddl,1,ok
petri-net-alignment_p14.pddl,1,ok
organic-synthesis-split_p04.pddl,1,ok
termes_p05.pddl,1,ok
settlers_p08.pddl,1,ok
agricola_p13.pddl,1,ok
data-network_p15.pddl,1,ok
caldera-split_p19.pddl,1,ok
termes_p13.pddl,1,ok
caldera-split_p10.pddl,1,ok
caldera-split_p06.pddl,1,ok
organic-synthesis_p14.pddl,1,ok
nurikabe_p20.pddl,1,ok
termes_p02.pddl,1,ok
snake_p03.pddl,1,ok
caldera_p08.pddl,1,ok
caldera_p12.pddl,1,ok
spider_p06.pddl,1,ok
snake_p17.pddl,1,ok
settlers_p17.pddl,1,ok
settlers_p19.pddl,1,ok
nurikabe_p17.pddl,1,ok
nurikabe_p13.pddl,1,ok
spider_p20.pddl,1,ok
organic-synthesis-split_p02.pddl,1,ok
petri-net-alignment_p11.pddl,1,ok
caldera_p03.pddl,1,ok
petri-net-alignment_p19.pddl,1,ok
settlers_p13.pddl,1,ok
nurikabe_p19.pddl,1,ok
caldera-split_p13.pddl,1,ok
termes_p03.pddl,1,ok
caldera-split_p14.pddl,1,ok
caldera-split_p20.pddl,1,ok
caldera_p17.pddl,1,ok
nurikabe_p03.pddl,1,ok
organic-synthesis-split_p16.pddl,1,ok
agricola_p06.pddl,1,ok
organic-synthesis-split_p20.pddl,1,ok
agricola_p10.pddl,1,ok
nurikabe_p15.pddl,1,ok
petri-net-alignment_p16.pddl,1,ok
organic-synthesis_p13.pddl,1,ok
termes_p11.pddl,1,ok
snake_p14.pddl,1,ok
spider_p11.pddl,1,ok
settlers_p16.pddl,1,ok
settlers_p20.pddl,1,ok
caldera-split_p18.pddl,1,ok
data-network_p14.pddl,1,ok
snake_p08.pddl,1,ok
petri-net-alignment_p03.pddl,1,ok
termes_p18.pddl,1,ok
agricola_p02.pddl,1,ok
termes_p09.pddl,1,ok
spider_p14.pddl,1,ok
snake_p02.pddl,1,ok
caldera_p15.pddl,1,ok
organic-synthesis_p02.pddl,1,ok
agricola_p04.pddl,1,ok
caldera_p13.pddl,1,ok
nurikabe_p10.pddl,1,ok
termes_p08.pddl,1,ok
caldera_p07.pddl,1,ok
spider_p08.pddl,1,ok
settlers_p04.pddl,1,ok
organic-synthesis-split_p05.pddl,1,ok
nurikabe_p16.pddl,1,ok
petri-net-alignment_p01.pddl,1,ok
caldera_p19.pddl,1,ok
spider_p13.pddl,1,ok
spider_p19.pddl,1,ok
organic-synthesis-split_p03.pddl,1,ok
caldera-split_p17.pddl,1,ok
data-network_p16.pddl,1,ok
organic-synthesis-split_p19.pddl,1,ok
organic-synthesis_p05.pddl,1,ok
termes_p20.pddl,1,ok
organic-synthesis_p12.pddl,1,ok
caldera-split_p01.pddl,1,ok
termes_p17.pddl,1,ok
caldera_p18.pddl,1,ok
nurikabe_p18.pddl,1,ok
organic-synthesis-split_p08.pddl,1,ok
