@RELATION ALGORITHM_RUNS_Machine_Learning_UCI_WEKA_defaults

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE build_cpu_time NUMERIC 
@ATTRIBUTE build_memory NUMERIC
@ATTRIBUTE predictive_accuracy NUMERIC 
@ATTRIBUTE root_mean_squared_not_applicable NUMERIC 
@ATTRIBUTE mean_absolute_not_applicable NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable}

@DATA
abalone,1,weka.ADTree(1.2),?,?,?,?,?,not_applicable
abalone,1,weka.AODE(1.8.2.3),?,?,?,?,?,not_applicable
abalone,1,weka.Bagging(1.31.2.2),5.3800,49631300,0.2461,0.1710,0.0556,ok
abalone,2,weka.Bagging(1.31.2.2),6.6100,51515700,0.2600,0.1704,0.0554,ok
abalone,3,weka.Bagging(1.31.2.2),5.2900,51362400,0.2466,0.1708,0.0555,ok
abalone,4,weka.Bagging(1.31.2.2),5.3000,47555500,0.2420,0.1712,0.0557,ok
abalone,5,weka.Bagging(1.31.2.2),5.3900,51125200,0.2485,0.1708,0.0556,ok
abalone,6,weka.Bagging(1.31.2.2),6.3300,49796900,0.2425,0.1709,0.0556,ok
abalone,7,weka.Bagging(1.31.2.2),5.2900,51851500,0.2478,0.1706,0.0555,ok
abalone,8,weka.Bagging(1.31.2.2),5.5400,50205000,0.2459,0.1710,0.0557,ok
abalone,9,weka.Bagging(1.31.2.2),4.7100,47736800,0.2490,0.1709,0.0556,ok
abalone,10,weka.Bagging(1.31.2.2),4.7200,50311200,0.2507,0.1708,0.0556,ok
abalone,11,weka.Bagging(1.31.2.2),5.3400,52072200,0.2387,0.1713,0.0557,ok
abalone,12,weka.Bagging(1.31.2.2),6.5000,48121300,0.2442,0.1711,0.0557,ok
abalone,13,weka.Bagging(1.31.2.2),4.9800,46566200,0.2351,0.1714,0.0558,ok
abalone,14,weka.Bagging(1.31.2.2),4.8300,50632600,0.2528,0.1709,0.0556,ok
abalone,15,weka.Bagging(1.31.2.2),5.6000,49972900,0.2475,0.1707,0.0556,ok
abalone,16,weka.Bagging(1.31.2.2),7.5800,52800500,0.2485,0.1709,0.0556,ok
abalone,17,weka.Bagging(1.31.2.2),5.5600,53255600,0.2511,0.1708,0.0556,ok
abalone,18,weka.Bagging(1.31.2.2),5.8000,49770400,0.2492,0.1709,0.0556,ok
abalone,19,weka.Bagging(1.31.2.2),5.3000,51792500,0.2509,0.1710,0.0556,ok
abalone,20,weka.Bagging(1.31.2.2),5.5000,51251100,0.2475,0.1709,0.0556,ok
abalone,21,weka.Bagging(1.31.2.2),4.8200,51456200,0.2490,0.1709,0.0556,ok
abalone,1,weka.BayesNet(1.21.2.4),0.8500,771272,0.2483,0.1857,0.0543,ok
abalone,1,weka.DecisionStump(1.18),0.2100,96080,0.2100,0.1726,0.0595,ok
abalone,1,weka.Decorate(1.3.2.1),56.7000,161446000,0.2308,0.1783,0.0556,ok
abalone,2,weka.Decorate(1.3.2.1),65.4400,161216992,0.2294,0.1789,0.0557,ok
abalone,3,weka.Decorate(1.3.2.1),70.4100,163391008,0.2317,0.1788,0.0556,ok
abalone,4,weka.Decorate(1.3.2.1),63.7400,161218000,0.2274,0.1788,0.0557,ok
abalone,5,weka.Decorate(1.3.2.1),61.6900,160703008,0.2279,0.1788,0.0557,ok
abalone,6,weka.Decorate(1.3.2.1),64.4000,161200992,0.2272,0.1787,0.0557,ok
abalone,7,weka.Decorate(1.3.2.1),68.4200,165884992,0.2296,0.1789,0.0557,ok
abalone,8,weka.Decorate(1.3.2.1),63.7500,165640992,0.2308,0.1788,0.0557,ok
abalone,9,weka.Decorate(1.3.2.1),57.5700,158646000,0.2267,0.1786,0.0556,ok
abalone,10,weka.Decorate(1.3.2.1),64.2300,166056000,0.2303,0.1785,0.0556,ok
abalone,11,weka.Decorate(1.3.2.1),64.3900,164499008,0.2317,0.1789,0.0557,ok
abalone,12,weka.Decorate(1.3.2.1),73.5800,164450000,0.2332,0.1786,0.0556,ok
abalone,13,weka.Decorate(1.3.2.1),67.9100,160850000,0.2284,0.1789,0.0557,ok
abalone,14,weka.Decorate(1.3.2.1),60.8700,158392992,0.2282,0.1787,0.0557,ok
abalone,15,weka.Decorate(1.3.2.1),63.2000,164780992,0.2255,0.1787,0.0557,ok
abalone,16,weka.Decorate(1.3.2.1),63.0000,160740000,0.2286,0.1789,0.0556,ok
abalone,17,weka.Decorate(1.3.2.1),58.4800,165023008,0.2296,0.1789,0.0557,ok
abalone,18,weka.Decorate(1.3.2.1),61.9500,162382000,0.2289,0.1789,0.0556,ok
abalone,19,weka.Decorate(1.3.2.1),64.7900,161675008,0.2246,0.1794,0.0558,ok
abalone,20,weka.Decorate(1.3.2.1),60.7800,158632992,0.2317,0.1789,0.0557,ok
abalone,21,weka.Decorate(1.3.2.1),69.6200,164238000,0.2229,0.1792,0.0558,ok
