@RELATION FEATURE_VALUES_Machine_Learning_UCI_WEKA_defaults

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE DefaultAccuracy NUMERIC
@ATTRIBUTE EntropyClass NUMERIC
@ATTRIBUTE EquivalentNumberOfFeatures NUMERIC
@ATTRIBUTE LandMarker1NN NUMERIC
@ATTRIBUTE LandMarker1Rule NUMERIC
@ATTRIBUTE LandmarkerNaiveBayes NUMERIC
@ATTRIBUTE MStatisticDegreesOfFreedom NUMERIC
@ATTRIBUTE MutualInformationMean NUMERIC
@ATTRIBUTE NoiseToSignalRatio NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfSymbolicFeatures NUMERIC

@DATA
abalone,1,0.164951,3.60201,15.3942,0.203506,0.230087,0.237026,756,0.233984,10.0766,29,9,4177,0,0,7,2
adult,1,0.760718,0.793844,11.8134,0.798104,0.796568,0.823984,3,0.0671985,10.8134,2,15,48842,3620,6465,2,13
anneal,1,0.761693,1.18983,14.5379,0.991099,0.83633,0.865281,84,0.0818434,4.9334,6,39,898,0,0,6,33
anneal.ORIG,1,0.761693,1.18983,26.8392,0.949913,0.83633,0.750537,84,0.044332,5.31527,6,39,898,898,22175,6,33
arrhythmia,1,0.542035,2.40139,150.935,0.530966,0.584203,0.612995,255852,0.0159101,5.66588,16,280,452,384,408,206,74
audiology,1,0.252212,3.42195,24.8707,0.718577,0.465613,0.686561,0,0.13759,1.63432,24,70,226,222,317,0,70
autos,1,0.326829,2.27247,7.90721,0.452381,0.414762,0.383571,600,0.287393,4.12389,7,26,205,46,59,15,11
balance-scale,1,0.4608,1.31812,?,0.77788,0.363543,0.878469,20,?,?,3,5,625,0,0,4,1
baseball,1,0.906716,0.540098,1.96077,0.921642,0.906716,0.834328,240,0.275452,15.158,3,18,1340,20,20,15,3
braziltourism,1,0.771845,1.11209,13.9048,0.6259,0.75122,0.688328,60,0.0799786,15.408,7,9,412,49,96,4,5
breast-cancer,1,0.702797,0.877845,26.011,0.649754,0.671798,0.727463,0,0.033749,41.9197,2,10,286,9,9,0,10
breast-w,1,0.655222,0.929318,?,0.954265,0.908551,0.961387,45,?,?,2,10,699,16,16,9,1
bridges_version1,1,0.411215,2.32365,3.29275,0.635227,0.145455,0.6375,30,0.705688,2.23179,6,13,107,37,71,3,10
bridges_version2,1,0.411215,2.32365,3.7365,0.624545,0.145455,0.642727,0,0.621879,2.42247,6,13,107,37,71,0,13
car,1,0.700231,1.20574,10.5382,0.745745,0.700081,0.731352,0,0.114416,13.9338,4,7,1728,0,0,0,7
cmc,1,0.42702,1.53903,53.2749,0.369875,0.235875,0.389653,6,0.0288886,42.6363,3,10,1473,0,0,2,8
colic,1,0.630435,0.950338,18.1176,0.798724,0.815165,0.777027,28,0.0524539,19.5543,2,23,368,368,2647,7,16
colic.ORIG,1,0.663043,0.921876,14.0165,0.646547,0.684459,0.663288,28,0.065771,25.9606,2,28,368,361,1927,7,21
covertype,1,0.468164,1.86966,148.966,0.838649,0.640992,0.624904,630,0.0125509,147.966,7,55,110393,0,0,14,41
credit-a,1,0.555072,0.991231,10.9878,0.784058,0.855072,0.763768,21,0.0902123,12.6069,2,16,690,37,67,6,10
credit-g,1,0.7,0.881291,146.283,0.641,0.664,0.705,28,0.00602455,148.676,2,21,1000,1000,4113,7,14
cylinder-bands,1,0.577778,0.982474,7.79165,0.605556,0.487037,0.612963,171,0.126093,14.2113,2,40,540,263,999,18,22
dermatology,1,0.306011,2.4326,5.41639,0.929279,0.49467,0.975525,5,0.449118,1.74803,6,35,366,8,8,1,34
diabetes,1,0.651042,0.933134,?,0.699197,0.717447,0.753879,36,?,?,2,9,768,0,0,8,1
ecoli,1,0.425595,2.18875,?,0.726916,0.484492,0.757487,196,?,?,8,8,336,0,0,7,1
eucalyptus,1,0.29076086956522,?,?,?,?,?,?,?,?,5,20,736,95,448,14,?
glass,1,0.761682,1.12764,?,0.813929,0.497698,0.829167,135,?,?,7,10,214,0,0,9,1
haberman,1,0.735294,0.833765,23.2085,0.650645,0.735591,0.751935,3,0.035925,59.6873,2,4,306,0,0,2,2
hayes-roth_test,1,0.5,1.18562,?,0.5,0.566667,0.533333,20,?,?,4,5,28,0,0,4,1
hayes-roth_train,1,0.386364,1.54595,?,0.751099,0.402198,0.643956,20,?,?,4,5,132,0,0,4,1
heart-c,1,0.544554,0.994265,9.15564,0.765591,0.752043,0.831935,21,0.108596,9.12784,5,14,303,7,7,6,8
heart-h,1,0.639456,0.943134,7.57445,0.754023,0.811379,0.815057,21,0.124515,6.17785,5,14,294,293,782,6,8
heart-statlog,1,0.555556,0.991076,?,0.755556,0.722222,0.837037,91,?,?,2,14,270,0,0,13,1
hepatitis,1,0.793548,0.734645,14.1999,0.81,0.77,0.824167,21,0.0517359,14.0462,2,20,155,75,167,6,14
hypothyroid,1,0.922853,0.466618,202.585,0.911991,0.964477,0.954142,84,0.00230332,147.988,4,30,3772,3772,6064,7,23
ionosphere,1,0.641026,0.941829,?,0.843571,0.783413,0.794683,595,?,?,2,35,351,0,0,34,1
iris,1,0.333333,1.58496,?,0.946667,0.94,0.946667,20,?,?,3,5,150,0,0,4,1
kr-vs-kp,1,0.522215,0.998576,52.1404,0.672426,0.247932,0.665688,0,0.0191517,30.3908,2,37,3196,0,0,0,37
kropt,1,0.162283,3.50416,19.9972,0.00260157,0.0441711,0.00221024,0,0.175233,14.4501,18,7,28056,0,0,0,7
labor,1,0.649123,0.934849,9.28829,0.823333,0.773333,0.916667,36,0.100648,9.20275,2,17,57,56,326,8,9
letter,1,0.04065,4.69981,?,0.9588,0.1712,0.6403,3400,?,?,26,17,20000,0,0,16,1
liver-disorders,1,0.57971,0.981589,?,0.588403,0.56521,0.493025,21,?,?,2,7,345,0,0,6,1
