@RELATION CV_MAXSAT-PMS-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC

@DATA
normalized-fir07_area_delay.wcnf,1,1
b20-s_PathRelaxation_Set_FS_11.wcnf,1,1
ff4a1d84-d490-11df-9e6c-00163e3d3b7c_l3.wcnf,1,1
TWComp_pathfinder_N109.wcnf,1,1
b18-s_PathRelaxation_Set_FS_8.wcnf,1,1
SAT11__application__fuhs__AProVE11__AProVE11-09.cnf.wcnf.8.wcnf,1,1
15tree101p.wcnf,1,1
b21-s_PathRelaxation_FS_6.wcnf,1,1
4ede8d96-c17a-11df-a7c5-00163e3d3b7c_l3.wcnf,1,1
normalized-ii8e2.wcnf,1,1
TWComp_myciel5_N47.wcnf,1,1
b20-s_PathRelaxation_Set_FS_4.wcnf,1,1
SU3__simp-genos.haps.58.wcnf,1,1
b14_C-mbd14-0218.wcnf,1,1
b18-s_PathRelaxation_Set_FS_11.wcnf,1,1
normalized-f20c10b_009_area_delay.wcnf,1,1
TWComp_1en2_N69.wcnf,1,1
normalized-jac3.wcnf,1,1
cnf.16.p.8.wcnf,1,1
rand736_l3.wcnf,1,1
b22_C-mbd14-0208.wcnf,1,1
normalized-m100_300_10_20.r.wcnf,1,1
SU1__simp-genos.haps.27.wcnf,1,1
TWComp_queen7_7_N49.wcnf,1,1
cnf.12.t.9.wcnf,1,1
c1355_F57gat@1.wcnf,1,1
SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-18-step16.cnf.wcnf.1.wcnf,1,1
normalized-m200_500_10_10.r.wcnf,1,1
normalized-f51m.b.wcnf,1,1
c3540_F45@1.wcnf,1,1
SAT11__application__fuhs__AProVE11__AProVE11-12.cnf.wcnf.4.wcnf,1,1
rand290_l2.wcnf,1,1
rand411_l2.wcnf,1,1
normalized-ii16c1.wcnf,1,1
TWComp_1dj7_N73.wcnf,1,1
normalized-addm4.r.wcnf,1,1
