@RELATION FEATURE_COSTS_MAXSAT-PMS-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE base NUMERIC

@DATA
cnf.13.p.9.wcnf,1,0.42
cnf.19.p.10.wcnf,1,0.65
cnf.12.t.9.wcnf,1,0.36
cnf.8.p.9.wcnf,1,0.25
cnf.14.p.9.wcnf,1,0.43
cnf.20.p.10.wcnf,1,0.7
cnf.13.p.8.wcnf,1,0.38
cnf.17.d.10.wcnf,1,0.41
cnf.15.p.9.wcnf,1,0.46
cnf.10.p.9.wcnf,1,0.31
cnf.20.d.9.wcnf,1,0.48
cnf.11.p.10.wcnf,1,0.37
cnf.11.p.9.wcnf,1,0.33
cnf.14.t.7.wcnf,1,0.4
cnf.18.p.9.wcnf,1,0.6
cnf.9.p.9.wcnf,1,0.28
cnf.18.t.9.wcnf,1,0.59
cnf.20.d.10.wcnf,1,0.48
cnf.17.p.10.wcnf,1,0.55
cnf.19.p.9.wcnf,1,0.66
cnf.17.p.9.wcnf,1,0.56
cnf.18.p.8.wcnf,1,0.59
cnf.12.p.8.wcnf,1,0.39
cnf.18.p.10.wcnf,1,0.62
cnf.20.t.10.wcnf,1,0.7
cnf.19.d.10.wcnf,1,0.47
cnf.14.t.9.wcnf,1,0.46
cnf.16.p.8.wcnf,1,0.51
cnf.15.t.10.wcnf,1,0.51
cnf.14.d.10.wcnf,1,0.35
cnf.20.p.9.wcnf,1,0.65
cnf.20.t.8.wcnf,1,0.66
cnf.16.t.9.wcnf,1,0.52
cnf.16.p.10.wcnf,1,0.54
cnf.17.t.10.wcnf,1,0.56
cnf.8.p.10.wcnf,1,0.25
cnf.19.t.7.wcnf,1,0.6
cnf.16.p.9.wcnf,1,0.55
cnf.13.p.10.wcnf,1,0.41
cnf.9.p.10.wcnf,1,0.29
cnf.15.p.10.wcnf,1,0.49
cnf.14.p.10.wcnf,1,0.45
cnf.15.p.8.wcnf,1,0.46
cnf.17.d.9.wcnf,1,0.41
cnf.19.p.8.wcnf,1,0.63
cnf.10.p.10.wcnf,1,0.34
cnf.12.p.9.wcnf,1,0.39
cnf.17.t.8.wcnf,1,0.54
cnf.18.d.7.wcnf,1,0.4
cnf.12.p.10.wcnf,1,0.4
b21-s_PathRelaxation_FS_13.wcnf,1,0.05
b21-s_PathRelaxation_FS_3.wcnf,1,0.05
