@RELATION FEATURE_VALUES_MAXSAT-PMS-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE f_1 NUMERIC
@ATTRIBUTE f_2 NUMERIC
@ATTRIBUTE f_3 NUMERIC
@ATTRIBUTE f_4 NUMERIC
@ATTRIBUTE f_5 NUMERIC
@ATTRIBUTE f_6 NUMERIC
@ATTRIBUTE f_7 NUMERIC
@ATTRIBUTE f_8 NUMERIC
@ATTRIBUTE f_9 NUMERIC
@ATTRIBUTE f_10 NUMERIC
@ATTRIBUTE f_11 NUMERIC
@ATTRIBUTE f_12 NUMERIC
@ATTRIBUTE f_13 NUMERIC
@ATTRIBUTE f_14 NUMERIC
@ATTRIBUTE f_15 NUMERIC
@ATTRIBUTE f_16 NUMERIC
@ATTRIBUTE f_17 NUMERIC
@ATTRIBUTE f_18 NUMERIC
@ATTRIBUTE f_19 NUMERIC
@ATTRIBUTE f_20 NUMERIC
@ATTRIBUTE f_21 NUMERIC
@ATTRIBUTE f_22 NUMERIC
@ATTRIBUTE f_23 NUMERIC
@ATTRIBUTE f_24 NUMERIC
@ATTRIBUTE f_25 NUMERIC
@ATTRIBUTE f_26 NUMERIC
@ATTRIBUTE f_27 NUMERIC
@ATTRIBUTE f_28 NUMERIC
@ATTRIBUTE f_29 NUMERIC
@ATTRIBUTE f_30 NUMERIC
@ATTRIBUTE f_31 NUMERIC
@ATTRIBUTE f_32 NUMERIC
@ATTRIBUTE f_33 NUMERIC
@ATTRIBUTE f_34 NUMERIC
@ATTRIBUTE f_35 NUMERIC
@ATTRIBUTE f_36 NUMERIC
@ATTRIBUTE f_37 NUMERIC

@DATA
cnf.13.p.9.wcnf,1,87124.0,393887.0,0.01198,1.0,0.0,1.0,1.0,0.22119,3e-05,0.64596,1e-05,8e-05,7e-05,3e-05,0.36725,1e-05,8e-05,7e-05,0.35538,0.28302,0.22222,0.88889,0.66667,0.30908,0.96819,0.0,1.0,1.0,0.03386,0.7819,0.95207,2e-05,0.0,1e-05,7e-05,6e-05,0.7819
cnf.19.p.10.wcnf,1,132880.0,600905.0,0.01198,1.0,0.0,1.0,1.0,0.22113,2e-05,0.64499,1e-05,5e-05,5e-05,2e-05,0.36491,1e-05,5e-05,5e-05,0.35529,0.28303,0.22222,0.88889,0.66667,0.30962,0.96771,0.0,1.0,1.0,0.03374,0.78194,0.95207,1e-05,0.0,0.0,4e-05,4e-05,0.78194
cnf.12.t.9.wcnf,1,74960.0,341160.0,0.01219,1.0,0.0,1.0,1.0,0.21972,3e-05,0.64763,1e-05,9e-05,8e-05,3e-05,0.36924,1e-05,9e-05,8e-05,0.35216,0.27322,0.22222,0.71429,0.49206,0.30544,0.98441,0.0,1.0,1.0,0.0367,0.78051,0.95123,2e-05,0.0,1e-05,8e-05,7e-05,0.78051
cnf.8.p.9.wcnf,1,51700.0,233615.0,0.01199,1.0,0.0,1.0,1.0,0.2213,4e-05,0.64631,2e-05,0.00014,0.00012,4e-05,0.36636,2e-05,0.00014,0.00012,0.35521,0.28355,0.22222,0.88889,0.66667,0.30925,0.96827,0.0,1.0,1.0,0.03404,0.78189,0.95206,3e-05,0.0,1e-05,0.00011,0.0001,0.78189
cnf.14.p.9.wcnf,1,88600.0,400577.0,0.01198,1.0,0.0,1.0,1.0,0.22118,3e-05,0.64588,1e-05,8e-05,7e-05,3e-05,0.36546,1e-05,8e-05,7e-05,0.35537,0.28307,0.2,0.88889,0.68889,0.30907,0.9681,0.0,1.0,1.0,0.03386,0.78191,0.95207,2e-05,0.0,0.0,6e-05,6e-05,0.78191
cnf.20.p.10.wcnf,1,142474.0,644312.0,0.01198,1.0,0.0,1.0,1.0,0.22113,2e-05,0.64607,1e-05,5e-05,4e-05,2e-05,0.36656,1e-05,5e-05,4e-05,0.35527,0.28308,0.22222,0.88889,0.66667,0.30963,0.96788,0.0,1.0,1.0,0.03372,0.78194,0.95207,1e-05,0.0,0.0,4e-05,4e-05,0.78194
cnf.13.p.8.wcnf,1,79744.0,360497.0,0.01198,1.0,0.0,1.0,1.0,0.22121,3e-05,0.64612,1e-05,9e-05,8e-05,3e-05,0.36788,1e-05,9e-05,8e-05,0.35534,0.28322,0.22222,0.88889,0.66667,0.3091,0.96892,0.0,1.0,1.0,0.03388,0.7819,0.95207,2e-05,0.0,1e-05,7e-05,7e-05,0.7819
cnf.17.d.10.wcnf,1,83240.0,378880.0,0.01219,1.0,0.0,1.0,1.0,0.2197,3e-05,0.64745,1e-05,8e-05,7e-05,3e-05,0.36961,1e-05,8e-05,7e-05,0.35225,0.27338,0.22222,0.71429,0.49206,0.30551,0.98432,0.0,1.0,1.0,0.03669,0.78051,0.95122,2e-05,0.0,1e-05,7e-05,6e-05,0.78051
cnf.15.p.9.wcnf,1,95980.0,433965.0,0.01198,1.0,0.0,1.0,1.0,0.22117,2e-05,0.64603,1e-05,7e-05,6e-05,2e-05,0.36498,1e-05,7e-05,6e-05,0.35536,0.28309,0.18182,0.88889,0.70707,0.30907,0.96742,0.0,1.0,1.0,0.03384,0.7819,0.95207,2e-05,0.0,0.0,6e-05,6e-05,0.7819
cnf.10.p.9.wcnf,1,64246.0,290388.0,0.01198,1.0,0.0,1.0,1.0,0.22124,4e-05,0.64623,1e-05,0.00011,0.0001,4e-05,0.36643,2e-05,0.00011,9e-05,0.35528,0.28327,0.18182,0.88889,0.70707,0.30909,0.96911,0.0,1.0,1.0,0.03394,0.78192,0.95206,2e-05,0.0,1e-05,9e-05,8e-05,0.78192
