@RELATION ALGORITHM_RUNS_MAXSAT-WPMS-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,maxino16-c10,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,CCEHC2akms,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,mscg2015b,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,Optiriss6,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,mscg2015a,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,LMHS-2016,70.08,ok
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,ahms-ls-1.70,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,Open-WBO16,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,WMaxSatz+,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,WMaxSatz09,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,maxino16-dis,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,ahms-1.70,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,WPM3-2015-co,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,QMaxSAT14,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,CCLS2akms,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,Naps-1.02-ms,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,QMaxSAT16UC,18000,timeout
Rounded_BTWBNSL_AbaloneTWBound_4.wcnf,1,maxhs-b,18000,timeout
Rounded_BTWBNSL_Abalone_TWBound_2.wcnf,1,maxino16-c10,18000,timeout
Rounded_BTWBNSL_Abalone_TWBound_2.wcnf,1,CCEHC2akms,18000,timeout
Rounded_BTWBNSL_Abalone_TWBound_2.wcnf,1,mscg2015b,18000,timeout
Rounded_BTWBNSL_Abalone_TWBound_2.wcnf,1,Optiriss6,18000,timeout
Rounded_BTWBNSL_Abalone_TWBound_2.wcnf,1,mscg2015a,18000,timeout
Rounded_BTWBNSL_Abalone_TWBound_2.wcnf,1,LMHS-2016,87.00,ok
Rounded_BTWBNSL_Abalone_TWBound_2.wcnf,1,ahms-ls-1.70,18000,timeout
Rounded_BTWBNSL_Abalone_TWBound_2.wcnf,1,Open-WBO16,18000,timeout
