@RELATION CV_MAXSAT-WPMS-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE fold NUMERIC

@DATA
Rounded_BTWBNSL_asia_1000_1_3.scores_TWBound_4.wcnf,1,1
ped2.G.recomb10-0.10-10.wcnf,1,1
ped3.G.recomb10-0.20-11.wcnf,1,1
rand393_l1.wcnf,1,1
comp04.wcnf,1,1
Rounded_CorrelationClustering_Protein2_UNARY_N160.wcnf,1,1
Rounded_BTWBNSL_hailfinder_100_1_3.scores_TWBound_2.wcnf,1,1
rand213_l2.wcnf,1,1
Rounded_CorrelationClustering_Protein2_UNARY_N220.wcnf,1,1
WCNF_pathways_p02.wcnf,1,1
b2540c52-51b7-11e0-aa4f-00163e1e087d_l1.wcnf,1,1
test3.wcnf,1,1
rand874_l1.wcnf,1,1
mancoosi-test-i3000d0u98-70.wcnf,1,1
downcast-avrora.wcnf,1,1
comp13.wcnf,1,1
Rounded_CorrelationClustering_Protein3_BINARY_N300.wcnf,1,1
mancoosi-test-i1000d0u98-19.wcnf,1,1
ped2.B.recomb1-0.10-8.wcnf,1,1
Rounded_CorrelationClustering_Protein3_TRANSITIVE_N200.wcnf,1,1
Rounded_CorrelationClustering_BreastCancer_BINARY_N500_D0.200.wcnf,1,1
Rounded_CorrelationClustering_Protein4_UNARY_N230.wcnf,1,1
comp14.wcnf,1,1
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf,1,1
Rounded_BTWBNSL_alarm_100_1_3.scores_TWBound_3.wcnf,1,1
8222799a-9af8-11df-8b50-00163e46d37a_l2.wcnf,1,1
polysite-bloat.wcnf,1,1
ped2.G.recomb1-0.01-4.wcnf,1,1
Rounded_CorrelationClustering_Ionosphere_BINARY_N220_D0.200.wcnf,1,1
ped2.B.recomb1-0.20-12.wcnf,1,1
rand172_l1.wcnf,1,1
WCNF_pathways_p20.wcnf,1,1
507.wcsp.log.wcnf,1,1
505.wcsp.dir.wcnf,1,1
Rounded_CorrelationClustering_Protein4_TRANSITIVE_N170.wcnf,1,1
e599f3fc-360e-11e0-986e-00163e3d3b7c_l1.wcnf,1,1
Rounded_CorrelationClustering_Vowel_BINARY_N760_D0.200.wcnf,1,1
d023d256-3477-11e0-bdb2-00163e3d3b7c_l1.wcnf,1,1
mancoosi-test-i4000d0u98-77.wcnf,1,1
Rounded_CorrelationClustering_Protein3_TRANSITIVE_N300.wcnf,1,1
WCNF_pathways_p03.wcnf,1,1
404.wcsp.log.wcnf,1,1
Rounded_CorrelationClustering_Protein1_BINARY_N260.wcnf,1,1
ped2.G.recomb1-0.01-2.wcnf,1,1
rand954_l1.wcnf,1,1
ped2.G.recomb1-0.10-7.wcnf,1,1
Rounded_CorrelationClustering_Orl_BINARY_N340_D0.200.wcnf,1,1
Rounded_BTWBNSL_asia_100_1_3.scores_TWBound_3.wcnf,1,1
ped2.G.recomb5-0.01-4.wcnf,1,1
eeee44ce-5407-11df-b11f-00163e7a6f5e_l2.wcnf,1,1
ped2.G.recomb1-0.10-9.wcnf,1,1
ped2.G.recomb5-0.10-6.wcnf,1,1
mancoosi-test-i1000d0u98-0.wcnf,1,1
404.wcsp.dir.wcnf,1,1
Rounded_BTWBNSL_Voting_TWBound_3.wcnf,1,1
Rounded_CorrelationClustering_Protein2_TRANSITIVE_N240.wcnf,1,1
WCNF_pathways_p08.wcnf,1,1
Rounded_BTWBNSL_Housing_TWBound_2.wcnf,1,1
downcast-antlr.wcnf,1,1
Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200.wcnf,1,1
rand377_l2.wcnf,1,1
Rounded_CorrelationClustering_Ecoli_BINARY_N260_D0.200.wcnf,1,1
mancoosi-test-i2000d0u98-39.wcnf,1,1
rand547_l2.wcnf,1,2
comp06.wcnf,1,2
bf2030fvslack.wcnf,1,2
6b0d1da0-c730-11df-a7c5-00163e3d3b7c_l1.wcnf,1,2
408.wcsp.dir.wcnf,1,2
7bf50d1c-9b1b-11df-8b50-00163e46d37a_l1.wcnf,1,2
ItalyInstance4.xml.wcnf,1,2
test2.wcnf,1,2
mancoosi-test-i4000d0u98-85.wcnf,1,2
caefdef6-3477-11e0-84ef-00163e3d3b7c_l1.wcnf,1,2
Rounded_CorrelationClustering_Protein1_TRANSITIVE_N250.wcnf,1,2
Rounded_BTWBNSL_asia_100_1_3.scores_TWBound_4.wcnf,1,2
mancoosi-test-i4000d0u98-86.wcnf,1,2
Rounded_CorrelationClustering_Protein4_BINARY_N280.wcnf,1,2
Rounded_CorrelationClustering_Protein4_UNARY_N170.wcnf,1,2
mancoosi-test-i1000d0u98-22.wcnf,1,2
WCNF_pathways_p09.wcnf,1,2
rand892_l2.wcnf,1,2
Rounded_CorrelationClustering_Protein2_BINARY_N220.wcnf,1,2
a754ac72-95cc-11e0-9181-00163e1e087d_l2.wcnf,1,2
mancoosi-test-i1000d0u98-23.wcnf,1,2
mancoosi-test-i1000d0u98-9.wcnf,1,2
Rounded_CorrelationClustering_Protein1_TRANSITIVE_N190.wcnf,1,2
mancoosi-test-i1000d0u98-24.wcnf,1,2
ped2.B.recomb1-0.20-15.wcnf,1,2
ped2.G.recomb5-0.01-2.wcnf,1,2
mancoosi-test-i4000d0u98-97.wcnf,1,2
ped3.F.recomb10-0.20-15.wcnf,1,2
Rounded_CorrelationClustering_Protein4_TRANSITIVE_N230.wcnf,1,2
rand179_l1.wcnf,1,2
deb285a6-db9e-11df-8f4f-00163e3d3b7c_l2.wcnf,1,2
Rounded_CorrelationClustering_Protein4_UNARY_N250.wcnf,1,2
Rounded_CorrelationClustering_Protein2_UNARY_N180.wcnf,1,2
ped2.G.recomb1-0.01-3.wcnf,1,2
mancoosi-test-i3000d0u98-62.wcnf,1,2
42.wcsp.log.wcnf,1,2
mancoosi-test-i3000d0u98-57.wcnf,1,2
1403.wcsp.dir.wcnf,1,2
ped2.G.recomb10-0.20-12.wcnf,1,2
ped3.G.recomb10-0.10-9.wcnf,1,2
mancoosi-test-i4000d0u98-76.wcnf,1,2
WCNF_storage_p04.wcnf,1,2
Rounded_BTWBNSL_Abalone_TWBound_3.wcnf,1,2
Rounded_BTWBNSL_Horse.BIC_TWBound_3.wcnf,1,2
ped2.G.recomb1-0.20-15.wcnf,1,2
comp03.wcnf,1,2
caefdef6-3477-11e0-84ef-00163e3d3b7c_l2.wcnf,1,2
ped3.D.recomb10-0.20-15.wcnf,1,2
dds1.wcnf,1,2
7bf50d1c-9b1b-11df-8b50-00163e46d37a_l2.wcnf,1,2
c2164c84-b015-11df-8b50-00163e46d37a_l1.wcnf,1,2
Rounded_CorrelationClustering_Protein3_UNARY_N260.wcnf,1,2
mancoosi-test-i2000d0u98-37.wcnf,1,2
