@RELATION FEATURE_COSTS_MAXSAT-WPMS-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE base NUMERIC

@DATA
29.wcsp.log.wcnf,1,0.0
507.wcsp.log.wcnf,1,0.01
404.wcsp.log.wcnf,1,0.0
28.wcsp.log.wcnf,1,0.01
1502.wcsp.log.wcnf,1,0.0
503.wcsp.log.wcnf,1,0.0
412.wcsp.log.wcnf,1,0.01
1403.wcsp.log.wcnf,1,0.02
408.wcsp.log.wcnf,1,0.0
509.wcsp.log.wcnf,1,0.01
1504.wcsp.log.wcnf,1,0.01
414.wcsp.log.wcnf,1,0.02
42.wcsp.log.wcnf,1,0.0
1401.wcsp.log.wcnf,1,0.02
54.wcsp.log.wcnf,1,0.0
5.wcsp.log.wcnf,1,0.02
8.wcsp.log.wcnf,1,0.0
1506.wcsp.log.wcnf,1,0.03
1407.wcsp.log.wcnf,1,0.05
505.wcsp.log.wcnf,1,0.0
1405.wcsp.log.wcnf,1,0.04
5.wcsp.dir.wcnf,1,0.01
408.wcsp.dir.wcnf,1,0.0
505.wcsp.dir.wcnf,1,0.0
1502.wcsp.dir.wcnf,1,0.0
1407.wcsp.dir.wcnf,1,0.04
503.wcsp.dir.wcnf,1,0.0
54.wcsp.dir.wcnf,1,0.0
29.wcsp.dir.wcnf,1,0.0
1403.wcsp.dir.wcnf,1,0.02
1504.wcsp.dir.wcnf,1,0.0
412.wcsp.dir.wcnf,1,0.0
1405.wcsp.dir.wcnf,1,0.03
42.wcsp.dir.wcnf,1,0.0
404.wcsp.dir.wcnf,1,0.0
8.wcsp.dir.wcnf,1,0.0
509.wcsp.dir.wcnf,1,0.01
414.wcsp.dir.wcnf,1,0.01
28.wcsp.dir.wcnf,1,0.0
507.wcsp.dir.wcnf,1,0.01
1401.wcsp.dir.wcnf,1,0.01
1506.wcsp.dir.wcnf,1,0.02
ar-1.wcnf,1,0.34
pa-3.wcnf,1,32.16
pa-2.wcnf,1,41.01
ar-2.wcnf,1,3.44
rc-1.wcnf,1,1.05
ar-3.wcnf,1,0.15
rc-2.wcnf,1,1.06
pa-1.wcnf,1,3.51
rc-3.wcnf,1,1.04
Rounded_CorrelationClustering_Protein4_UNARY_N210.wcnf,1,1.38
Rounded_CorrelationClustering_Protein1_BINARY_N300.wcnf,1,0.29
Rounded_CorrelationClustering_Protein3_UNARY_N260.wcnf,1,3.94
Rounded_CorrelationClustering_Orl_BINARY_N240_D0.200.wcnf,1,0.27
Rounded_CorrelationClustering_Protein2_BINARY_N220.wcnf,1,0.18
Rounded_CorrelationClustering_Protein1_BINARY_N340.wcnf,1,0.36
Rounded_CorrelationClustering_Protein1_TRANSITIVE_N290.wcnf,1,15.12
Rounded_CorrelationClustering_Ecoli_BINARY_N240_D0.200.wcnf,1,0.67
Rounded_CorrelationClustering_Protein3_UNARY_N200.wcnf,1,1.99
Rounded_CorrelationClustering_Protein2_UNARY_N100.wcnf,1,0.33
Rounded_CorrelationClustering_Orl_BINARY_N300_D0.200.wcnf,1,0.44
Rounded_CorrelationClustering_Protein3_BINARY_N400.wcnf,1,0.56
Rounded_CorrelationClustering_Protein1_UNARY_N190.wcnf,1,1.35
Rounded_CorrelationClustering_Protein1_UNARY_N270.wcnf,1,3.79
Rounded_CorrelationClustering_Vowel_BINARY_N720_D0.200.wcnf,1,2.59
