@RELATION FEATURE_RUNSTATUS_MAXSAT-WPMS-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE base {ok,timeout,memout,presolved,crash,unknown,other}

@DATA
29.wcsp.log.wcnf,1,ok
507.wcsp.log.wcnf,1,ok
404.wcsp.log.wcnf,1,ok
28.wcsp.log.wcnf,1,ok
1502.wcsp.log.wcnf,1,ok
503.wcsp.log.wcnf,1,ok
412.wcsp.log.wcnf,1,ok
1403.wcsp.log.wcnf,1,ok
408.wcsp.log.wcnf,1,ok
509.wcsp.log.wcnf,1,ok
1504.wcsp.log.wcnf,1,ok
414.wcsp.log.wcnf,1,ok
42.wcsp.log.wcnf,1,ok
1401.wcsp.log.wcnf,1,ok
54.wcsp.log.wcnf,1,ok
5.wcsp.log.wcnf,1,ok
8.wcsp.log.wcnf,1,ok
1506.wcsp.log.wcnf,1,ok
1407.wcsp.log.wcnf,1,ok
505.wcsp.log.wcnf,1,ok
1405.wcsp.log.wcnf,1,ok
5.wcsp.dir.wcnf,1,ok
408.wcsp.dir.wcnf,1,ok
505.wcsp.dir.wcnf,1,ok
1502.wcsp.dir.wcnf,1,ok
1407.wcsp.dir.wcnf,1,ok
503.wcsp.dir.wcnf,1,ok
54.wcsp.dir.wcnf,1,ok
29.wcsp.dir.wcnf,1,ok
1403.wcsp.dir.wcnf,1,ok
1504.wcsp.dir.wcnf,1,ok
412.wcsp.dir.wcnf,1,ok
1405.wcsp.dir.wcnf,1,ok
42.wcsp.dir.wcnf,1,ok
404.wcsp.dir.wcnf,1,ok
8.wcsp.dir.wcnf,1,ok
509.wcsp.dir.wcnf,1,ok
414.wcsp.dir.wcnf,1,ok
28.wcsp.dir.wcnf,1,ok
507.wcsp.dir.wcnf,1,ok
1401.wcsp.dir.wcnf,1,ok
1506.wcsp.dir.wcnf,1,ok
ar-1.wcnf,1,ok
pa-3.wcnf,1,ok
pa-2.wcnf,1,ok
ar-2.wcnf,1,ok
rc-1.wcnf,1,ok
ar-3.wcnf,1,ok
rc-2.wcnf,1,ok
pa-1.wcnf,1,ok
rc-3.wcnf,1,ok
Rounded_CorrelationClustering_Protein4_UNARY_N210.wcnf,1,ok
Rounded_CorrelationClustering_Protein1_BINARY_N300.wcnf,1,ok
Rounded_CorrelationClustering_Protein3_UNARY_N260.wcnf,1,ok
Rounded_CorrelationClustering_Orl_BINARY_N240_D0.200.wcnf,1,ok
Rounded_CorrelationClustering_Protein2_BINARY_N220.wcnf,1,ok
Rounded_CorrelationClustering_Protein1_BINARY_N340.wcnf,1,ok
Rounded_CorrelationClustering_Protein1_TRANSITIVE_N290.wcnf,1,ok
Rounded_CorrelationClustering_Ecoli_BINARY_N240_D0.200.wcnf,1,ok
Rounded_CorrelationClustering_Protein3_UNARY_N200.wcnf,1,ok
Rounded_CorrelationClustering_Protein2_UNARY_N100.wcnf,1,ok
