@RELATION FEATURE_VALUES_MaxSAT-2012-pms

@ATTRIBUTE instance_id STRING

@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE numVars NUMERIC
@ATTRIBUTE numClauses NUMERIC
@ATTRIBUTE perc_soft NUMERIC
@ATTRIBUTE soft_mean NUMERIC
@ATTRIBUTE soft_std NUMERIC
@ATTRIBUTE soft_min NUMERIC
@ATTRIBUTE soft_max NUMERIC
@ATTRIBUTE var_clauses_ratio NUMERIC
@ATTRIBUTE vcg_var_mean NUMERIC
@ATTRIBUTE vcg_var_std NUMERIC
@ATTRIBUTE vcg_var_min NUMERIC
@ATTRIBUTE vcg_var_max NUMERIC
@ATTRIBUTE vcg_var_spread NUMERIC
@ATTRIBUTE vcg_cls_mean NUMERIC
@ATTRIBUTE vcg_cls_std NUMERIC
@ATTRIBUTE vcg_cls_min NUMERIC
@ATTRIBUTE vcg_cls_max NUMERIC
@ATTRIBUTE vcg_cls_spread NUMERIC
@ATTRIBUTE pnr_var_mean NUMERIC
@ATTRIBUTE pnr_var_std NUMERIC
@ATTRIBUTE pnr_var_min NUMERIC
@ATTRIBUTE pnr_var_max NUMERIC
@ATTRIBUTE pnr_var_spread NUMERIC
@ATTRIBUTE pnr_cls_mean NUMERIC
@ATTRIBUTE pnr_cls_std NUMERIC
@ATTRIBUTE pnr_cls_min NUMERIC
@ATTRIBUTE pnr_cls_max NUMERIC
@ATTRIBUTE pnr_cls_spread NUMERIC
@ATTRIBUTE unary NUMERIC
@ATTRIBUTE binary NUMERIC
@ATTRIBUTE trinary NUMERIC
@ATTRIBUTE horn_mean NUMERIC
@ATTRIBUTE horn_std NUMERIC
@ATTRIBUTE horn_min NUMERIC
@ATTRIBUTE horn_max NUMERIC
@ATTRIBUTE horn_spread NUMERIC
@ATTRIBUTE horn NUMERIC

@DATA
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,220,5854,0.03758,1,0,1,1,0.03758,0.00892,0.2011,0.00495,0.01332,0.00837,0.00892,0.09692,0.00455,0.00909,0.00455,0.02001,0.21993,0.01282,0.03448,0.02166,0.03758,5.061,0,1,1,0.03758,1,1,0.00892,0,0.00495,0.01332,0.00837,1
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,220,5794,0.03797,1,0,1,1,0.03797,0.00892,0.18789,0.00518,0.01346,0.00828,0.00892,0.09741,0.00455,0.00909,0.00455,0.02009,0.20184,0.01282,0.03333,0.02051,0.03797,5.03304,0,1,1,0.03797,1,1,0.00892,0,0.00518,0.01346,0.00828,1
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,220,5833,0.03772,1,0,1,1,0.03772,0.00892,0.20152,0.00394,0.01406,0.01011,0.00892,0.09708,0.00455,0.00909,0.00455,0.02023,0.26179,0.0122,0.04348,0.03128,0.03772,5.05087,0,1,1,0.03772,1,1,0.00892,0,0.00394,0.01406,0.01011,1
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,220,5793,0.03798,1,0,1,1,0.03798,0.00892,0.20415,0.00501,0.01571,0.0107,0.00892,0.09742,0.00455,0.00909,0.00455,0.02019,0.20837,0.01099,0.03448,0.02349,0.03798,5.03356,0,1,1,0.03798,1,1,0.00892,0,0.00501,0.01571,0.0107,1
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,220,5821,0.03779,1,0,1,1,0.03779,0.00892,0.24191,0.00464,0.01374,0.0091,0.00892,0.0972,0.00455,0.00909,0.00455,0.02046,0.2512,0.0125,0.03704,0.02454,0.03779,5.0461,0,1,1,0.03779,1,1,0.00892,0,0.00464,0.01374,0.0091,1
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,325,10924,0.02975,1,0,1,1,0.02975,0.00606,0.15467,0.00394,0.00906,0.00513,0.00606,0.08623,0.00308,0.00615,0.00308,0.01547,0.15722,0.0101,0.02326,0.01315,0.02975,5.7107,0,1,1,0.02975,1,1,0.00606,0,0.00394,0.00906,0.00513,1
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,325,10943,0.0297,1,0,1,1,0.0297,0.00606,0.18913,0.00375,0.00932,0.00557,0.00606,0.08616,0.00308,0.00615,0.00308,0.01561,0.1858,0.0098,0.02439,0.01459,0.0297,5.71612,0,1,1,0.0297,1,1,0.00606,0,0.00375,0.00932,0.00557,1
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,325,11005,0.02953,1,0,1,1,0.02953,0.00606,0.20472,0.00282,0.009,0.00618,0.00606,0.08593,0.00308,0.00615,0.00308,0.01571,0.23296,0.0101,0.03226,0.02216,0.02953,5.73374,0,1,1,0.02953,1,1,0.00606,0,0.00282,0.009,0.00618,1
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,325,10762,0.0302,1,0,1,1,0.0302,0.00606,0.20203,0.00288,0.0092,0.00632,0.00606,0.08687,0.00308,0.00615,0.00308,0.01602,0.22086,0.0101,0.03226,0.02216,0.0302,5.66725,0,1,1,0.0302,1,1,0.00606,0,0.00288,0.0092,0.00632,1
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,325,10833,0.03,1,0,1,1,0.03,0.00606,0.18128,0.00332,0.00914,0.00582,0.00606,0.0866,0.00308,0.00615,0.00308,0.01577,0.19648,0.0101,0.02778,0.01768,0.03,5.68472,0,1,1,0.03,1,1,0.00606,0,0.00332,0.00914,0.00582,1
