@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,ahms-1.68,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,maxino-kdyn,8.147,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,QMSAT15UC,101.361,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,WPM3-2015-co,2.831,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,LMHS-C,30.692,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,CCEHC2akms,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,CCLS2akms,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,Open-WBO,40.788,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,WMaxSatz+,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,ratselfax-cnf,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,ILP-2015,80.866,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,QMSAT14,47.949,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,optiriss-sel,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,msUZK-pp,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,msUZK-nopp,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,ahms-ls-1.68,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,toysat,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,Open-WBO-R,20.621,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,ahms-1.55,1801.0,timeout
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,LMHS-I,190.437,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,Open-WBO-L,59.252,ok
pms_industrial/tpr/One_path/b21-s_PathRelaxation_FS_22.wcnf,1,maxino-k16,4.404,ok
