@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE f_1 NUMERIC
@ATTRIBUTE f_2 NUMERIC
@ATTRIBUTE f_3 NUMERIC
@ATTRIBUTE f_4 NUMERIC
@ATTRIBUTE f_5 NUMERIC
@ATTRIBUTE f_6 NUMERIC
@ATTRIBUTE f_7 NUMERIC
@ATTRIBUTE f_8 NUMERIC
@ATTRIBUTE f_9 NUMERIC
@ATTRIBUTE f_10 NUMERIC
@ATTRIBUTE f_11 NUMERIC
@ATTRIBUTE f_12 NUMERIC
@ATTRIBUTE f_13 NUMERIC
@ATTRIBUTE f_14 NUMERIC
@ATTRIBUTE f_15 NUMERIC
@ATTRIBUTE f_16 NUMERIC
@ATTRIBUTE f_17 NUMERIC
@ATTRIBUTE f_18 NUMERIC
@ATTRIBUTE f_19 NUMERIC
@ATTRIBUTE f_20 NUMERIC
@ATTRIBUTE f_21 NUMERIC
@ATTRIBUTE f_22 NUMERIC
@ATTRIBUTE f_23 NUMERIC
@ATTRIBUTE f_24 NUMERIC
@ATTRIBUTE f_25 NUMERIC
@ATTRIBUTE f_26 NUMERIC
@ATTRIBUTE f_27 NUMERIC
@ATTRIBUTE f_28 NUMERIC
@ATTRIBUTE f_29 NUMERIC
@ATTRIBUTE f_30 NUMERIC
@ATTRIBUTE f_31 NUMERIC
@ATTRIBUTE f_32 NUMERIC
@ATTRIBUTE f_33 NUMERIC
@ATTRIBUTE f_34 NUMERIC
@ATTRIBUTE f_35 NUMERIC
@ATTRIBUTE f_36 NUMERIC
@ATTRIBUTE f_37 NUMERIC

@DATA
pms_industrial/protein_ins/1knt_.5pti_.g.wcnf.t.wcnf,1,2236,2120178,0.00003,1.00000,0.00000,1.00000,1.00000,0.00105,0.00089,0.12970,0.00018,0.00105,0.00087,0.00088,0.09938,0.00089,0.01878,0.01789,0.00054,0.23775,0.00045,0.00256,0.00212,0.00003,192.86029,0.00000,1.00000,1.00000,0.00000,0.99997,0.99997,0.00089,0.00000,0.00018,0.00105,0.00087,0.99997
pms_industrial/protein_ins/3ebx_.6ebx_.g.wcnf.t.wcnf,1,1768,1336318,0.00004,1.00000,0.00000,1.00000,1.00000,0.00132,0.00113,0.11957,0.00048,0.00132,0.00084,0.00113,0.10115,0.00113,0.02206,0.02093,0.00067,0.16093,0.00057,0.00154,0.00098,0.00004,161.86826,0.00000,1.00000,1.00000,0.00000,0.99996,0.99996,0.00113,0.00000,0.00048,0.00132,0.00084,0.99996
pms_industrial/protein_ins/2knt_.5pti_.g.wcnf.t.wcnf,1,2184,2019581,0.00003,1.00000,0.00000,1.00000,1.00000,0.00108,0.00092,0.13078,0.00019,0.00108,0.00089,0.00094,0.09540,0.00092,0.01877,0.01786,0.00056,0.23834,0.00046,0.00258,0.00213,0.00003,183.46304,0.00000,1.00000,1.00000,0.00000,0.99997,0.99997,0.00092,0.00000,0.00019,0.00108,0.00089,0.99997
pms_industrial/protein_ins/3ebx_.1era_.g.wcnf.t.wcnf,1,2548,2767223,0.00002,1.00000,0.00000,1.00000,1.00000,0.00092,0.00079,0.11997,0.00035,0.00092,0.00058,0.00076,0.09883,0.00078,0.01727,0.01648,0.00047,0.14833,0.00039,0.00105,0.00065,0.00002,206.32907,0.00000,1.00000,1.00000,0.00000,0.99998,0.99998,0.00078,0.00000,0.00035,0.00092,0.00058,0.99998
pms_industrial/protein_ins/6ebx_.1era_.g.wcnf.t.wcnf,1,1666,1187921,0.00004,1.00000,0.00000,1.00000,1.00000,0.00140,0.00120,0.11857,0.00038,0.00140,0.00102,0.00121,0.10106,0.00120,0.02101,0.01981,0.00071,0.16566,0.00060,0.00219,0.00159,0.00004,154.13441,0.00000,1.00000,1.00000,0.00000,0.99996,0.99996,0.00120,0.00000,0.00038,0.00140,0.00102,0.99996
pms_industrial/protein_ins/1bpi_.2knt_.g.wcnf.t.wcnf,1,2436,2519247,0.00003,1.00000,0.00000,1.00000,1.00000,0.00097,0.00082,0.13007,0.00015,0.00097,0.00082,0.00083,0.09054,0.00082,0.01724,0.01642,0.00050,0.25496,0.00041,0.00262,0.00221,0.00003,198.39929,0.00000,1.00000,1.00000,0.00000,0.99997,0.99997,0.00082,0.00000,0.00015,0.00097,0.00082,0.99997
pms_industrial/protein_ins/1knt_.2knt_.g.wcnf.t.wcnf,1,1806,1389449,0.00004,1.00000,0.00000,1.00000,1.00000,0.00130,0.00111,0.12745,0.00018,0.00130,0.00112,0.00110,0.09783,0.00111,0.01993,0.01883,0.00067,0.25636,0.00055,0.00410,0.00354,0.00004,158.93924,0.00000,1.00000,1.00000,0.00000,0.99996,0.99996,0.00111,0.00000,0.00017,0.00130,0.00112,0.99996
pms_industrial/protein_ins/sandiaprotein.g.wcnf.t.wcnf,1,2279,2210831,0.00003,1.00000,0.00000,1.00000,1.00000,0.00103,0.00088,0.12752,0.00016,0.00103,0.00087,0.00086,0.09807,0.00088,0.01887,0.01799,0.00053,0.22988,0.00044,0.00287,0.00243,0.00003,193.57349,0.00000,1.00000,1.00000,0.00000,0.99997,0.99997,0.00088,0.00000,0.00016,0.00103,0.00087,0.99997
pms_industrial/protein_ins/1vii_.1cph_.g.wcnf.t.wcnf,1,171,12967,0.00100,1.00000,0.00000,1.00000,1.00000,0.01319,0.01176,0.11163,0.00709,0.01319,0.00609,0.01176,0.17559,0.01170,0.08187,0.07018,0.00665,0.13314,0.00585,0.01087,0.00502,0.00100,31.56678,0.00000,1.00000,1.00000,0.00000,0.99900,0.99900,0.01168,0.00000,0.00702,0.01311,0.00609,0.99900
pms_industrial/protein_ins/1bpi_.5pti_.g.wcnf.t.wcnf,1,3016,3848496,0.00002,1.00000,0.00000,1.00000,1.00000,0.00078,0.00066,0.13410,0.00018,0.00078,0.00060,0.00065,0.08945,0.00066,0.01691,0.01625,0.00040,0.22939,0.00033,0.00142,0.00108,0.00002,232.81572,0.00000,1.00000,1.00000,0.00000,0.99998,0.99998,0.00066,0.00000,0.00018,0.00078,0.00060,0.99998
