@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute runtime numeric
@attribute runstatus {ok,timeout,memout,not_applicable,crash,other}

@data
aes-key-recovery/AES1-30-5.wcnf,1,UWrMaxSAT,1.61377,ok
aes-key-recovery/AES1-30-5.wcnf,1,Open.WBO.ms,36.4261,ok
aes-key-recovery/AES1-30-5.wcnf,1,maxino2018,0.87518,ok
aes-key-recovery/AES1-30-5.wcnf,1,Open.WBO.g,23.1264,ok
aes-key-recovery/AES1-30-5.wcnf,1,Open.WBO.ms.pre,35.1631,ok
aes-key-recovery/AES1-30-5.wcnf,1,MaxHS,2.94729,ok
aes-key-recovery/AES1-30-5.wcnf,1,QMaxSAT2018,265.286,ok
aes-key-recovery/AES1-40-6.wcnf,1,UWrMaxSAT,1.32562,ok
aes-key-recovery/AES1-40-6.wcnf,1,Open.WBO.ms,42.5883,ok
aes-key-recovery/AES1-40-6.wcnf,1,maxino2018,1.17687,ok
aes-key-recovery/AES1-40-6.wcnf,1,Open.WBO.g,29.9838,ok
aes-key-recovery/AES1-40-6.wcnf,1,Open.WBO.ms.pre,42.5893,ok
aes-key-recovery/AES1-40-6.wcnf,1,MaxHS,2.97116,ok
aes-key-recovery/AES1-40-6.wcnf,1,QMaxSAT2018,3600,timeout
aes-key-recovery/AES1-40-7.wcnf,1,UWrMaxSAT,1.35866,ok
aes-key-recovery/AES1-40-7.wcnf,1,Open.WBO.ms,35.333,ok
aes-key-recovery/AES1-40-7.wcnf,1,maxino2018,1.19019,ok
aes-key-recovery/AES1-40-7.wcnf,1,Open.WBO.g,23.0123,ok
aes-key-recovery/AES1-40-7.wcnf,1,Open.WBO.ms.pre,42.2254,ok
aes-key-recovery/AES1-40-7.wcnf,1,MaxHS,2.91805,ok
aes-key-recovery/AES1-40-7.wcnf,1,QMaxSAT2018,2516.42,ok
aes-key-recovery/AES1-60-17.wcnf,1,UWrMaxSAT,1.45244,ok
aes-key-recovery/AES1-60-17.wcnf,1,Open.WBO.ms,39.1599,ok
aes-key-recovery/AES1-60-17.wcnf,1,maxino2018,1.2506,ok
aes-key-recovery/AES1-60-17.wcnf,1,Open.WBO.g,24.5277,ok
aes-key-recovery/AES1-60-17.wcnf,1,Open.WBO.ms.pre,50.8725,ok
aes-key-recovery/AES1-60-17.wcnf,1,MaxHS,4.08291,ok
aes-key-recovery/AES1-60-17.wcnf,1,QMaxSAT2018,3600,timeout
aes-key-recovery/AES1-70-24.wcnf,1,UWrMaxSAT,3.31442,ok
aes-key-recovery/AES1-70-24.wcnf,1,Open.WBO.ms,51.747,ok
aes-key-recovery/AES1-70-24.wcnf,1,maxino2018,3.43387,ok
aes-key-recovery/AES1-70-24.wcnf,1,Open.WBO.g,38.0745,ok
aes-key-recovery/AES1-70-24.wcnf,1,Open.WBO.ms.pre,42.0947,ok
aes-key-recovery/AES1-70-24.wcnf,1,MaxHS,93.7757,ok
aes-key-recovery/AES1-70-24.wcnf,1,QMaxSAT2018,3600,timeout
aes-key-recovery/AES1-76-37.wcnf,1,UWrMaxSAT,21.248,ok
aes-key-recovery/AES1-76-37.wcnf,1,Open.WBO.ms,238.068,ok
aes-key-recovery/AES1-76-37.wcnf,1,maxino2018,91.4986,ok
aes-key-recovery/AES1-76-37.wcnf,1,Open.WBO.g,371.773,ok
aes-key-recovery/AES1-76-37.wcnf,1,Open.WBO.ms.pre,176.699,ok
aes-key-recovery/AES1-76-37.wcnf,1,MaxHS,194.154,ok
aes-key-recovery/AES1-76-37.wcnf,1,QMaxSAT2018,3600,timeout
aes-key-recovery/AES2-50-52.wcnf,1,UWrMaxSAT,1.57344,ok
aes-key-recovery/AES2-50-52.wcnf,1,Open.WBO.ms,37.1459,ok
aes-key-recovery/AES2-50-52.wcnf,1,maxino2018,1.68346,ok
aes-key-recovery/AES2-50-52.wcnf,1,Open.WBO.g,24.0763,ok
aes-key-recovery/AES2-50-52.wcnf,1,Open.WBO.ms.pre,33.6422,ok
aes-key-recovery/AES2-50-52.wcnf,1,MaxHS,12.9145,ok
