@RELATION ALGORITHM_RUNS_MIP-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
30_70_45_095_100,1,SCIP-cpx,106,ok
30_70_45_095_100,1,Gurobi,3,ok
30_70_45_095_100,1,XPRESS,2,ok
30_70_45_095_100,1,CBC,99,ok
30_70_45_095_100,1,CPLEX,2,ok
30n20b8,1,SCIP-cpx,69,ok
30n20b8,1,Gurobi,3,ok
30n20b8,1,XPRESS,22,ok
30n20b8,1,CBC,610,ok
30n20b8,1,CPLEX,3,ok
50v-10,1,SCIP-cpx,72000,timeout
50v-10,1,Gurobi,1527,ok
50v-10,1,XPRESS,1642,ok
50v-10,1,CBC,72000,timeout
50v-10,1,CPLEX,451,ok
a1c1s1,1,SCIP-cpx,72000,timeout
a1c1s1,1,Gurobi,160,ok
a1c1s1,1,XPRESS,2258,ok
a1c1s1,1,CBC,72000,timeout
a1c1s1,1,CPLEX,299,ok
acc-tight4,1,SCIP-cpx,152,ok
acc-tight4,1,Gurobi,16,ok
acc-tight4,1,XPRESS,14,ok
acc-tight4,1,CBC,185,ok
acc-tight4,1,CPLEX,11,ok
acc-tight5,1,SCIP-cpx,46,ok
acc-tight5,1,Gurobi,10,ok
acc-tight5,1,XPRESS,17,ok
acc-tight5,1,CBC,104,ok
acc-tight5,1,CPLEX,8,ok
acc-tight6,1,SCIP-cpx,46,ok
acc-tight6,1,Gurobi,11,ok
acc-tight6,1,XPRESS,9,ok
acc-tight6,1,CBC,118,ok
acc-tight6,1,CPLEX,5,ok
aflow40b,1,SCIP-cpx,266,ok
aflow40b,1,Gurobi,81,ok
aflow40b,1,XPRESS,31,ok
aflow40b,1,CBC,645,ok
aflow40b,1,CPLEX,34,ok
air04,1,SCIP-cpx,20,ok
air04,1,Gurobi,5,ok
air04,1,XPRESS,11,ok
air04,1,CBC,47,ok
air04,1,CPLEX,4,ok
app1-2,1,SCIP-cpx,2689,ok
app1-2,1,Gurobi,46,ok
app1-2,1,XPRESS,48,ok
app1-2,1,CBC,72000,timeout
app1-2,1,CPLEX,19,ok
ash608gpia-3col,1,SCIP-cpx,60,ok
ash608gpia-3col,1,Gurobi,1,ok
ash608gpia-3col,1,XPRESS,46,ok
ash608gpia-3col,1,CBC,383,ok
ash608gpia-3col,1,CPLEX,2,ok
atlanta-ip,1,SCIP-cpx,72000,timeout
atlanta-ip,1,Gurobi,1022,ok
atlanta-ip,1,XPRESS,660,ok
