@RELATION FEATURE_COSTS_MIP-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE base NUMERIC

@DATA
30_70_45_095_100,1,20.0734
30n20b8,1,15.3321
50v-10,1,19.02
a1c1s1,1,19.5371
acc-tight4,1,16.8384
acc-tight5,1,19.707
acc-tight6,1,20.4471
aflow40b,1,19.131
air04,1,18.4045
app1-2,1,21.2794
ash608gpia-3col,1,1.87555
atlanta-ip,1,76.5048
bab5,1,18.3832
beasleyC3,1,19.6315
berlin_5_8_0,1,18.8727
biella1,1,18.7976
bienst2,1,19.5269
binkar10_1,1,9.70587
bley_xl1,1,87.4323
blp-ar98,1,10.7398
blp-ic97,1,17.9741
bnatt350,1,17.5458
bnatt400,1,18.7264
buildingenergy,1,75.3836
co-100,1,6.86809
core2536-691,1,27.0307
cov1075,1,7.09567
csched007,1,19.2963
csched008,1,18.2747
csched010,1,19.3152
danoint,1,19.5503
dfn-gwin-UUM,1,18.5417
eil33-2,1,18.1634
eilA101-2,1,17.6743
eilB101,1,18.6348
enlight13,1,0.016185
enlight14,1,0.018371
enlight15,1,0.019148
enlight16,1,0.017233
enlight9,1,0.009109
ex10,1,663.033
ex9,1,157.653
glass4,1,19.3538
gmu-35-40,1,17.4099
gmu-35-50,1,19.0337
go19,1,18.7983
ic97_potential,1,18.8598
iis-100-0-cov,1,17.5595
iis-bupa-cov,1,18.8299
iis-pima-cov,1,19.0771
k16x240,1,19.2775
lectsched-1,1,17.9548
lectsched-2,1,12.4278
lectsched-3,1,18.1915
lectsched-4-obj,1,14.3198
leo1,1,18.8147
leo2,1,14.754
lotsize,1,15.0162
m100n500k4r1,1,18.4991
macrophage,1,10.8917
map06,1,31.1337
map10,1,34.3277
map14,1,35.6439
map18,1,34.6153
map20,1,33.6157
markshare_5_0,1,18.8364
maxgasflow,1,19.4132
mc11,1,19.5238
mcsched,1,19.2444
mik-250-1-100-1,1,11.4108
mine-166-5,1,18.7575
mine-90-10,1,18.5972
momentum1,1,18.2846
msc98-ip,1,47.891
mspp16,1,93.8494
mzzv11,1,35.0555
n3div36,1,12.4449
n3seq24,1,38.1504
n4-3,1,19.5291
n9-3,1,19.1543
neos-1109824,1,10.4873
neos-1171692,1,10.4408
neos-1171737,1,19.4379
neos-1224597,1,0.308648
neos-1337307,1,18.1358
neos-1396125,1,16.9245
neos13,1,12.839
neos-1426635,1,19.1364
neos-1426662,1,18.5379
neos-1436709,1,18.8599
neos-1440225,1,19.3065
neos-1440460,1,19.2001
neos-1442119,1,19.1721
neos-1442657,1,18.238
neos15,1,19.158
neos-1601936,1,18.0715
neos-1605061,1,40.4813
neos-1605075,1,30.8024
neos-1616732,1,12.4298
neos-1620770,1,18.2003
neos16,1,4.30242
neos18,1,14.6077
neos-476283,1,33.8504
neos-506422,1,17.2171
neos-506428,1,18.9392
neos-555424,1,18.3133
neos-631710,1,1031.54
neos-686190,1,16.6302
neos-693347,1,26.5636
neos6,1,11.7144
neos-738098,1,19.0327
neos-777800,1,10.112
neos-785912,1,18.7749
neos788725,1,19.127
neos808444,1,1.86302
neos-820146,1,16.3661
neos-820157,1,16.6383
neos-824661,1,9.24636
neos-824695,1,3.45687
neos-826650,1,16.8596
neos-826694,1,13.2882
neos-826812,1,4.51263
neos-826841,1,18.4757
neos-849702,1,13.1345
neos858960,1,19.3763
neos-859770,1,14.2303
neos-885086,1,10.5224
neos-885524,1,11.4099
neos-911880,1,18.8729
neos-916792,1,16.9894
neos-932816,1,6.1605
neos-933638,1,18.8268
neos-933966,1,18.6772
neos-934278,1,18.5275
neos-935627,1,17.8171
neos-935769,1,18.7695
neos-937511,1,18.4644
neos-941262,1,18.9662
neos-941313,1,13.3493
neos-942830,1,19.4093
neos-957389,1,2.11955
net12,1,22.7576
netdiversion,1,54.4255
newdano,1,17.8201
nobel-eu-DBE,1,17.2694
noswot,1,19.4642
ns1116954,1,41.701
ns1158817,1,92.6745
ns1208400,1,19.1182
ns1606230,1,27.171
ns1644855,1,2190.87
ns1685374,1,416.895
ns1686196,1,2.95456
ns1688347,1,18.7757
ns1696083,1,14.7229
ns1702808,1,18.6902
ns1745726,1,2.20804
ns1758913,1,89.7509
ns1766074,1,19.3447
ns1769397,1,15.0925
ns1830653,1,18.1527
ns1952667,1,14.8096
ns2081729,1,18.7975
ns2118727,1,242.393
ns894244,1,21.5479
ns894788,1,18.6368
nu60-pr9,1,19.3342
opm2-z7-s2,1,20.9489
opm2-z10-s2,1,86.9945
opm2-z11-s8,1,185.561
p2m2p1m1p0n100,1,4.65283
p80x400b,1,18.826
pg5_34,1,18.5421
pg,1,18.5494
pigeon-10,1,0.53391
pigeon-11,1,0.441061
pigeon-12,1,0.715779
pigeon-13,1,0.663844
pigeon-19,1,4.24622
pw-myciel4,1,19.4327
qiu,1,12.024
rail01,1,130.797
rail02,1,1296.15
rail507,1,15.2073
ran14x18-disj-8,1,18.9281
ran14x18,1,19.0624
ran16x16,1,19.1838
reblock166,1,17.4115
reblock420,1,12.9965
reblock67,1,18.0183
rmatr100-p10,1,19.5621
rmatr100-p5,1,19.5017
rmatr200-p5,1,78.5226
rmine6,1,19.3341
rocII-4-11,1,17.5324
rococoB10-011000,1,19.4487
rococoC10-001000,1,18.9551
rococoC11-011100,1,19.7183
roll3000,1,15.8921
satellites1-25,1,17.0564
satellites2-60-fs,1,50.0078
sp97ar,1,13.0541
sp98ic,1,15.6226
sp98ir,1,17.7908
tanglegram1,1,1.96824
tanglegram2,1,0.26925
timtab1,1,19.145
toll-like,1,19.6008
triptim1,1,85.3753
triptim3,1,104.557
uct-subprob,1,19.3592
umts,1,18.4222
unitcal_7,1,16.429
vpphard2,1,75.5626
vpphard,1,51.2756
wachplan,1,18.2858
zib54-UUE,1,19.4623
seymour,1,18.3445
