@RELATION FEATURE_VALUES_MIP-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE probtype NUMERIC
@ATTRIBUTE n_vars NUMERIC
@ATTRIBUTE n_constr NUMERIC
@ATTRIBUTE n_nzcnt NUMERIC
@ATTRIBUTE nq_vars NUMERIC
@ATTRIBUTE nq_constr NUMERIC
@ATTRIBUTE nq_nzcnt NUMERIC
@ATTRIBUTE lp_avg NUMERIC
@ATTRIBUTE lp_l2_avg NUMERIC
@ATTRIBUTE lp_linf NUMERIC
@ATTRIBUTE lp_objval NUMERIC
@ATTRIBUTE num_b_variables NUMERIC
@ATTRIBUTE num_i_variables NUMERIC
@ATTRIBUTE num_c_variables NUMERIC
@ATTRIBUTE num_s_variables NUMERIC
@ATTRIBUTE num_n_variables NUMERIC
@ATTRIBUTE ratio_b_variables NUMERIC
@ATTRIBUTE ratio_i_variables NUMERIC
@ATTRIBUTE ratio_c_variables NUMERIC
@ATTRIBUTE ratio_s_variables NUMERIC
@ATTRIBUTE ratio_n_variables NUMERIC
@ATTRIBUTE num_i+_variables NUMERIC
@ATTRIBUTE ratio_i+_variables NUMERIC
@ATTRIBUTE num_unbounded_disc NUMERIC
@ATTRIBUTE ratio_unbounded_disc NUMERIC
@ATTRIBUTE support_size_avg NUMERIC
@ATTRIBUTE support_size_median NUMERIC
@ATTRIBUTE support_size_varcoef NUMERIC
@ATTRIBUTE support_size_q90mq10 NUMERIC
@ATTRIBUTE rhs_c_0_avg NUMERIC
@ATTRIBUTE rhs_c_0_varcoef NUMERIC
@ATTRIBUTE rhs_c_1_avg NUMERIC
@ATTRIBUTE rhs_c_1_varcoef NUMERIC
@ATTRIBUTE rhs_c_2_avg NUMERIC
@ATTRIBUTE rhs_c_2_varcoef NUMERIC
@ATTRIBUTE vcg_constr_deg0_avg NUMERIC
@ATTRIBUTE vcg_constr_deg0_median NUMERIC
@ATTRIBUTE vcg_constr_deg0_varcoef NUMERIC
@ATTRIBUTE vcg_constr_deg0_q90mq10 NUMERIC
@ATTRIBUTE vcg_var_deg0_avg NUMERIC
@ATTRIBUTE vcg_var_deg0_median NUMERIC
@ATTRIBUTE vcg_var_deg0_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg0_q90mq10 NUMERIC
@ATTRIBUTE vcg_constr_weight0_avg NUMERIC
@ATTRIBUTE vcg_constr_weight0_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight0_avg NUMERIC
@ATTRIBUTE vcg_var_weight0_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized0_avg NUMERIC
@ATTRIBUTE A_ij_normalized0_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs0_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs0_varcoef NUMERIC
@ATTRIBUTE obj_coefs0_avg NUMERIC
@ATTRIBUTE obj_coefs0_std NUMERIC
@ATTRIBUTE obj_coef_per_constr0_avg NUMERIC
@ATTRIBUTE obj_coef_per_constr0_std NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr0_avg NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr0_std NUMERIC
@ATTRIBUTE vcg_constr_deg1_avg NUMERIC
@ATTRIBUTE vcg_constr_deg1_median NUMERIC
@ATTRIBUTE vcg_constr_deg1_varcoef NUMERIC
@ATTRIBUTE vcg_constr_deg1_q90mq10 NUMERIC
@ATTRIBUTE vcg_var_deg1_avg NUMERIC
@ATTRIBUTE vcg_var_deg1_median NUMERIC
@ATTRIBUTE vcg_var_deg1_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg1_q90mq10 NUMERIC
@ATTRIBUTE vcg_constr_weight1_avg NUMERIC
@ATTRIBUTE vcg_constr_weight1_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight1_avg NUMERIC
@ATTRIBUTE vcg_var_weight1_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized1_avg NUMERIC
@ATTRIBUTE A_ij_normalized1_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs1_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs1_varcoef NUMERIC
@ATTRIBUTE obj_coefs1_avg NUMERIC
@ATTRIBUTE obj_coefs1_std NUMERIC
@ATTRIBUTE obj_coef_per_constr1_avg NUMERIC
@ATTRIBUTE obj_coef_per_constr1_std NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr1_avg NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr1_std NUMERIC
@ATTRIBUTE vcg_constr_deg2_avg NUMERIC
@ATTRIBUTE vcg_constr_deg2_median NUMERIC
@ATTRIBUTE vcg_constr_deg2_varcoef NUMERIC
@ATTRIBUTE vcg_constr_deg2_q90mq10 NUMERIC
@ATTRIBUTE vcg_var_deg2_avg NUMERIC
@ATTRIBUTE vcg_var_deg2_median NUMERIC
@ATTRIBUTE vcg_var_deg2_varcoef NUMERIC
@ATTRIBUTE vcg_var_deg2_q90mq10 NUMERIC
@ATTRIBUTE vcg_constr_weight2_avg NUMERIC
@ATTRIBUTE vcg_constr_weight2_varcoef NUMERIC
@ATTRIBUTE vcg_var_weight2_avg NUMERIC
@ATTRIBUTE vcg_var_weight2_varcoef NUMERIC
@ATTRIBUTE A_ij_normalized2_avg NUMERIC
@ATTRIBUTE A_ij_normalized2_varcoef NUMERIC
@ATTRIBUTE a_normalized_varcoefs2_avg NUMERIC
@ATTRIBUTE a_normalized_varcoefs2_varcoef NUMERIC
@ATTRIBUTE obj_coefs2_avg NUMERIC
@ATTRIBUTE obj_coefs2_std NUMERIC
@ATTRIBUTE obj_coef_per_constr2_avg NUMERIC
@ATTRIBUTE obj_coef_per_constr2_std NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr2_avg NUMERIC
@ATTRIBUTE obj_coef_per_sqr_constr2_std NUMERIC
@ATTRIBUTE mipgap NUMERIC
@ATTRIBUTE nodecnt NUMERIC
@ATTRIBUTE clqcnt NUMERIC
@ATTRIBUTE covcnt NUMERIC
@ATTRIBUTE itcnt_max NUMERIC
@ATTRIBUTE numnewsolution_sum NUMERIC
@ATTRIBUTE newin_sum NUMERIC
@ATTRIBUTE nodeleft_avg NUMERIC
@ATTRIBUTE nodeleft_varcoef NUMERIC
@ATTRIBUTE diffObj_avg NUMERIC
@ATTRIBUTE diffObj_median NUMERIC
@ATTRIBUTE diffObj_varcoef NUMERIC
@ATTRIBUTE diffObj_q90mq10 NUMERIC
@ATTRIBUTE numfeas NUMERIC
@ATTRIBUTE iinf_avg NUMERIC
@ATTRIBUTE iinf_median NUMERIC
@ATTRIBUTE iinf_varcoef NUMERIC
@ATTRIBUTE iinf_q90mq10 NUMERIC
@ATTRIBUTE diffBestInt_avg NUMERIC
@ATTRIBUTE diffBestInt_median NUMERIC
@ATTRIBUTE diffBestInt_varcoef NUMERIC
@ATTRIBUTE diffBestInt_q90mq10 NUMERIC
@ATTRIBUTE diffBestObjUp_avg NUMERIC
@ATTRIBUTE diffBestObjUp_median NUMERIC
@ATTRIBUTE diffBestObjUp_varcoef NUMERIC
@ATTRIBUTE diffBestObjUp_q90mq10 NUMERIC
@ATTRIBUTE numcuts_sum NUMERIC
@ATTRIBUTE diffGap_avg NUMERIC
@ATTRIBUTE diffGap_median NUMERIC
@ATTRIBUTE diffGap_varcoef NUMERIC
@ATTRIBUTE diffGap_q90mq10 NUMERIC
@ATTRIBUTE pre_t NUMERIC
@ATTRIBUTE rel_t NUMERIC
@ATTRIBUTE new_row NUMERIC
@ATTRIBUTE new_col NUMERIC
@ATTRIBUTE new_nonzero NUMERIC
@ATTRIBUTE clique_table NUMERIC
@ATTRIBUTE cliqueCuts NUMERIC
@ATTRIBUTE impliedBoundCuts NUMERIC
@ATTRIBUTE flowCuts NUMERIC
@ATTRIBUTE mixedIntegerRoundingCuts NUMERIC
@ATTRIBUTE gomoryFractionalCuts NUMERIC

@DATA
30_70_45_095_100,1,1,10976,12526,46640,0,0,0,0.145149,0.21666,0.5,3,10975,0,1,0,0,0.999909,0,9.11079e-05,0,0,10975,0.999909,0,0,2,2,0,0,-512,-512,-512,-512,0.491218,2.25098,3.72346,2,1.10847,10,4.24966,4,0.241941,2,2.0554,2.35038,2.34588,0.539713,0.336965,0.121625,0.0266184,3.99997,2.34743,1.12395,0.53529,0.182751,1.11475,0.457047,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,0,0,6152,0,0,0,0,0,3.72346,2,1.10847,10,4.24927,4,0.24214,2,2.0554,2.35038,2.34566,0.539822,0.336965,0.121625,0.0266184,3.99997,2.90771,58.7068,0.535241,0.182814,1.11465,0.45715,1,0,0,0,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0.05,-512,12507,10961,46592,26439,0,0,0,0,0
30n20b8,1,1,18380,576,109706,0,0,0,0.450623,8.05005,186.854,1.56641,11036,7344,0,0,0,0.600435,0.399565,0,0,0,18380,1,0,0,1.91534,2,2.86476,1,0,0,0.333333,1.41421,-512,-512,190.462,141,1.02056,635,5.96877,3,0.707482,8,7145.97,2.86776,223.943,0.552627,1,0,0.41628,0.468841,0.00821545,0.827958,3.85702e-05,0.00388713,0.000562913,0.0567308,0,0,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,-512,-512,190.462,141,1.02056,635,5.96877,3,0.707482,8,7145.97,2.86776,223.943,0.552627,1,0,0.41628,0.468841,0.00821545,0.827958,3.85702e-05,0.00388713,0.000562913,0.0567308,0.918443,0,19,0,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0.04,-512,406,4761,40636,2653,19,131,0,195,1
50v-10,1,1,2013,233,2745,0,0,0,0.00608289,0.0530937,1.11111,2879.07,1464,183,366,0,0,0.727273,0.0909091,0.181818,0,0,1647,0.818182,0,0,25.4444,2,2.60611,211,0,0,0,1.95559e+12,-512,-512,7.06867,9,0.522708,9,1,1,0,0,-513.657,-0.522708,-72.6667,-0.901513,-512,-512,0.708055,0.522708,136.078,132.245,136.078,132.245,136.078,132.245,4.71245,2,1.17418,12,3,3,0,0,1.57082,0.522708,1,0,5.42101e-20,7.4239e+06,0.0584076,3.36186,0,0,0,0,0,0,11.7811,11,0.206562,3,1.36364,1,0.565685,2,-512.086,-0.522708,-59.2727,-1.1087,5.42101e-20,7.4239e+06,0.919537,0.407736,111.336,130.628,111.336,130.628,111.336,130.628,0.0604981,2489,0,0,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0,-512,233,2013,2745,-512,0,0,3,216,6
a1c1s1,1,1,3648,3312,10178,0,0,0,0.0303277,0.0365095,0.0625,997.53,192,0,3456,0,0,0.0526316,0,0.947368,0,0,192,0.0526316,0,0,2,2,0,0,141.24,5.11929,0.592147,5.61637,-512,-512,0.342995,0,1.79709,1,5.91667,4,0.972035,6,2.28502,15.2054,39.4167,1.21363,0.026,0.850276,0.000603865,57.5413,119.167,72.1062,26.2219,20.7947,53.4395,34.1144,2.73007,2,0.933963,3,2.61632,2,0.451067,2,-134.306,-1.65329,-128.71,-1.68913,0.0147206,9.0892,0.31677,1.45352,0.394757,0.924544,0.209715,0.50601,0.286362,0.674453,3.07307,2,0.866801,2,2.79002,2,0.680374,2,-132.021,-1.72211,-119.861,-1.79535,0.0158822,7.99427,0.321744,1.45049,6.64591,31.2705,1.57878,7.53256,3.0839,14.2322,0.208271,142,12,1,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0.01,-512,2284,2619,8157,29,12,64,412,254,53
acc-tight4,1,1,1620,3285,17073,0,0,0,0.0849456,0.160542,0.498706,0,1620,0,0,0,0,1,0,0,0,0,1620,1,0,0,2,2,0,0,1.55238,0.989919,1.30303,0.667567,0.0132159,11.1853,5.19726,2,1.15207,8,10.5389,8,0.514333,8,3.50411,1.9796,7.10556,0.508834,0.646552,0.433852,0.00327341,20.8739,0.000617284,0.0248375,0.000123457,0.00496751,0.000276058,0.0111077,0,0,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,-512,-512,5.19726,2,1.15207,8,10.5389,8,0.514333,8,3.50411,1.9796,7.10556,0.508834,0.646552,0.433852,0.00327341,20.8739,0.000617284,0.0248375,0.000123457,0.00496751,0.000276058,0.0111077,1,8,0,0,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0.01,-512,1989,1620,14562,6854,0,0,0,0,0
acc-tight5,1,1,1339,3052,16134,0,0,0,0.0830001,0.152918,0.499187,0,1339,0,0,0,0,1,0,0,0,0,1339,1,0,0,2,2,0,0,1.51718,0.893002,1.28159,0.642883,0.0173757,9.60591,5.28637,2,1.06507,12,12.0493,11,0.435158,9,3.77195,1.74368,8.59746,0.411531,0.646713,0.414203,0.0493972,3.79838,0.000746826,0.0273179,3.73413e-05,0.0013659,0.000166995,0.00610847,0,0,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,-512,-512,5.28637,2,1.06507,12,12.0493,11,0.435158,9,3.77195,1.74368,8.59746,0.411531,0.646713,0.414203,0.0493972,3.79838,0.000746826,0.0273179,3.73413e-05,0.0013659,0.000166995,0.00610847,1,71,0,0,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0.03,-512,1773,1235,12310,5219,0,0,0,0,2
acc-tight6,1,1,1335,3047,16108,0,0,0,0.0809619,0.148948,0.5,0,1335,0,0,0,0,1,0,0,0,0,1335,1,0,0,2,2,0,0,1.50818,0.894264,1.28159,0.642883,0.0197605,9.77812,5.28651,2,1.06707,12,12.0659,11,0.432359,9,3.76961,1.74751,8.60375,0.411125,0.646821,0.413967,0.0486423,3.91912,0.000749064,0.0273588,7.49064e-05,0.00273588,0.000236875,0.0086516,0,0,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,-512,-512,5.28651,2,1.06707,12,12.0659,11,0.432359,9,3.76961,1.74751,8.60375,0.411125,0.646821,0.413967,0.0486423,3.91912,0.000749064,0.0273588,7.49064e-05,0.00273588,0.000236875,0.0086516,1,39,0,0,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0.03,-512,1771,1219,12207,5143,0,1,0,0,0
aflow40b,1,1,2728,1442,6783,0,0,0,0.00604672,0.0447846,0.5,1005.66,1364,0,1364,0,0,0.5,0,0.5,0,0,1364,0.5,0,0,2,2,0,0,0,0,3.37179,0.913632,-512,-512,1.89182,1,2.92144,0,2,2,0,0,-52.1096,-0.591275,-55.0894,-0.477925,1,0,0.00206335,11.896,169.089,118.48,84.5444,59.2402,119.564,83.7783,2.81207,1,3.92856,0,2.97287,3,0.0546444,0,0.971567,0.506962,1.02713,0.158161,0.00337397,99.7667,0.00278414,9.53069,0,0,0,0,0,0,4.70388,2,2.54969,0,2.48644,2,0.201017,1,-51.138,-0.601043,-27.0312,-1.24571,0.338614,1.60921,0.905248,0.219618,84.5444,119.023,42.2722,59.5117,59.7819,84.1622,0.0732647,317,0,9,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0.01,-512,1405,2691,6709,39,0,38,56,47,2
air04,1,1,8904,823,72965,0,0,0,0.00587857,0.0420144,0.497437,55535.4,8904,0,0,0,0,1,0,0,0,0,8904,1,0,0,2,2,0,0,-512,-512,1,0,-512,-512,88.6574,75,0.648956,144,8.19463,8,0.275334,6,88.6574,0.648956,8.19463,0.275334,1,0,0.29603,1.52798,576.724,267.554,72.718,38.0866,202.431,93.3848,0,0,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,0,0,-512,-512,-512,-512,-512,-512,88.6574,75,0.648956,144,8.19463,8,0.275334,6,88.6574,0.648956,8.19463,0.275334,1,0,0.29603,1.52798,576.724,267.554,72.718,38.0866,202.431,93.3848,0.00553033,210,34,0,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,0.05,-512,614,7564,48620,8219,34,0,0,0,0
app1-2,1,1,26871,53467,199175,0,0,0,0.00278678,0.0181076,0.1451,-264.602,13300,0,13571,0,0,0.494957,0,0.505043,0,0,13300,0.494957,0,0,2,2,0,0,0.5,1,7.51823e-05,115.326,0.0196176,7.06746,0.746255,1,4.71456,1,3,3,0,0,0.497506,7.08911,2.00001,0,1,0,0.0346943,14.1691,0.02,0.14,0.00666667,0.0466667,0.011547,0.080829,2.97894,2,0.58151,4,11.7364,4,21.6998,0,-0.097328,-1.78462,-0.383453,-83.1442,9.39761e-05,7.52397e+08,0.351045,1.73834,0,0,0,0,0,0,3.72519,3,0.965009,4,7.41227,4,24.4248,1,0.400178,8.85814,0.79626,28.4939,0.428602,124710,0.540414,1.11749,0.00989915,0.0990008,0.00329972,0.0330003,0.00571528,0.0571581,1,0,0,0,-512,0,0,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,2.04,-512,22881,11573,147017,91493,0,0,0,0,0
