@relation ALGORITHMS_MUSIC_2016
@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute Number_of_true_positives numeric
@attribute Number_of_true_negatives numeric
@attribute Number_of_false_positives numeric
@attribute Number_of_false_negatives numeric
@attribute Accuracy numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Specificity numeric
@attribute F_measure numeric
@attribute Youden_s_index numeric
@attribute Positive_likelihood numeric
@attribute Negative_likelihood numeric
@attribute Discriminant_power numeric
@attribute Geometric_means numeric
@attribute Absolute_error numeric
@attribute Relative_error numeric
@attribute Mean_squared_error numeric
@attribute Balanced_relative_error numeric
@attribute Standard_correlation_coefficient numeric
@attribute Spearman_s_rank_correlation_coefficient numeric
@attribute Kendall_s_tau_rank_correlation_coefficient numeric
@attribute runstatus {ok, timeout, memout, not_applicable, crash, other}

@data
5001,1,J48,44.6,211.1,22.4,21.9,0.852333,0.665195,0.669966,0.904247,0.666779,0.574214,7.21065,0.36546,0.711017,0.778228,44.3,0.147667,0.147667,0.212893,0.572482,0.572482,-0.0562537,"ok"
5001,1,RandomForest,36.2,232.7,0.8,30.3,0.896333,0.979913,0.545177,0.996575,0.69957,0.541753,0,0.456298,0,0.736722,31.1,0.103667,0.103667,0.229124,0.684018,0.684018,0.000310653,"ok"
5001,1,KNN,23.4,227.2,6.3,43.1,0.835333,0.789448,0.353932,0.973098,0.48493,0.32703,15.392,0.663989,0.731274,0.583951,49.4,0.164667,0.164667,0.336485,0.452508,0.452508,-0.14712,"ok"
5001,1,NaiveBayes,52.8,128.5,105,13.7,0.604333,0.335246,0.794552,0.550476,0.470283,0.345028,1.7772,0.373332,0.375529,0.660633,118.7,0.395667,0.395667,0.327486,0.286957,0.286957,-0.308062,"ok"
5001,1,SupportVectorMachine,37.8,231.1,2.4,28.7,0.896333,0.940792,0.56671,0.989735,0.705868,0.556444,0,0.43772,0,0.748241,31.1,0.103667,0.103667,0.221778,0.679158,0.679158,0.00466732,"ok"
5002,1,J48,15.5,249,17.1,18.4,0.881667,0.475397,0.452774,0.936043,0.452893,0.388817,8.06523,0.584689,0.608396,0.643141,35.5,0.118333,0.118333,0.305591,0.393882,0.393882,-0.122335,"ok"
5002,1,RandomForest,8.7,266,0.1,25.2,0.915667,0.991667,0.252681,0.999615,0.394418,0.252296,0,0.747599,0,0.49084,25.3,0.0843333,0.0843333,0.373852,0.466642,0.466642,-0.0960921,"ok"
5002,1,KNN,2.6,263,3.1,31.3,0.885333,0.468413,0.0793077,0.988377,0.133667,0.0676843,9.24767,0.931583,0.478536,0.272468,34.4,0.114667,0.114667,0.466158,0.15477,0.15477,-0.174055,"ok"
5002,1,NaiveBayes,25.1,153.3,112.8,8.8,0.594667,0.183183,0.733931,0.57657,0.291733,0.310501,1.74952,0.465327,0.325649,0.649788,121.6,0.405333,0.405333,0.344749,0.199723,0.199723,-0.349922,"ok"
5002,1,SupportVectorMachine,11.8,265.6,0.5,22.1,0.924667,0.959642,0.34904,0.998117,0.51009,0.347156,0,0.652228,0,0.588743,22.6,0.0753333,0.0753333,0.326422,0.55241,0.55241,-0.065561,"ok"
5003,1,J48,44.5,208.6,23.3,23.6,0.843667,0.657489,0.652617,0.89935,0.653475,0.551967,6.83562,0.386355,0.683269,0.765436,46.9,0.156333,0.156333,0.224017,0.553481,0.553481,-0.071301,"ok"
5003,1,RandomForest,32.4,231.1,0.8,35.7,0.878333,0.977944,0.477644,0.996532,0.639194,0.474176,0,0.524063,0,0.688572,36.5,0.121667,0.121667,0.262912,0.63157,0.63157,-0.0433944,"ok"
5003,1,KNN,23,214,17.9,45.1,0.79,0.561509,0.337357,0.922364,0.420818,0.259721,4.53756,0.7187,0.434262,0.556444,63,0.21,0.21,0.37014,0.316859,0.316859,-0.218193,"ok"
5003,1,NaiveBayes,50.3,124,107.9,17.8,0.581,0.318002,0.738194,0.53452,0.444188,0.272714,1.59242,0.490853,0.283517,0.627604,125.7,0.419,0.419,0.363643,0.228933,0.228933,-0.337992,"ok"
5003,1,SupportVectorMachine,36.9,228.6,3.3,31.2,0.885,0.919385,0.542032,0.985732,0.678578,0.527764,0,0.464532,0,0.729021,34.5,0.115,0.115,0.236118,0.648331,0.648331,-0.0177653,"ok"
5004,1,J48,15.6,241.1,20.8,22.5,0.855667,0.430489,0.40755,0.920861,0.414439,0.328412,5.47595,0.644161,0.501552,0.609797,43.3,0.144333,0.144333,0.335794,0.335405,0.335405,-0.161933,"ok"
5004,1,RandomForest,6.8,261.7,0.2,31.3,0.895,0.97,0.18021,0.999251,0.30151,0.17946,0,0.820396,0,0.42136,31.5,0.105,0.105,0.41027,0.391098,0.391098,-0.136012,"ok"
5004,1,KNN,3.4,256.1,5.8,34.7,0.865,0.415397,0.094561,0.977997,0.147204,0.0725578,5.89602,0.925772,0.396146,0.299412,40.5,0.135,0.135,0.463721,0.142111,0.142111,-0.197885,"ok"
5004,1,NaiveBayes,26.1,174.6,87.3,12,0.669,0.230199,0.685429,0.66673,0.343309,0.352159,2.06423,0.470685,0.36018,0.674446,99.3,0.331,0.331,0.323921,0.241532,0.241532,-0.313215,"ok"
5004,1,SupportVectorMachine,8.2,260.9,1,29.9,0.897,0.903391,0.218074,0.996221,0.345787,0.214295,0,0.784789,0,0.462043,30.9,0.103,0.103,0.392852,0.409388,0.409388,-0.126939,"ok"
5005,1,J48,67.2,216.8,7.7,8.3,0.946667,0.897564,0.891121,0.965816,0.893473,0.856937,30.4497,0.112617,1.33447,0.927499,16,0.0533333,0.0533333,0.0715315,0.858652,0.858652,0.210015,"ok"
5005,1,RandomForest,64,224.3,0.2,11.5,0.961,0.996898,0.847728,0.999103,0.915587,0.846831,0,0.15243,0,0.919947,11.7,0.039,0.039,0.0765846,0.89591,0.89591,0.236166,"ok"
5005,1,KNN,40.9,213.2,11.3,34.6,0.847,0.785284,0.543534,0.949807,0.639651,0.493341,13.1818,0.480701,0.766085,0.717325,45.9,0.153,0.153,0.253329,0.563718,0.563718,-0.0715582,"ok"
5005,1,NaiveBayes,66.4,142,82.5,9.1,0.694667,0.44496,0.882285,0.632234,0.589534,0.514519,2.41233,0.186337,0.623756,0.746535,91.6,0.305333,0.305333,0.24274,0.44397,0.44397,-0.203069,"ok"
5005,1,SupportVectorMachine,63,223.2,1.3,12.5,0.954,0.980727,0.835133,0.994105,0.901682,0.829238,0,0.165834,0,0.910972,13.8,0.046,0.046,0.0853812,0.876873,0.876873,0.214018,"ok"
5006,1,J48,31.6,251.9,8,8.5,0.945,0.7974,0.793917,0.969235,0.792227,0.763152,28.6316,0.212672,0,0.875787,16.5,0.055,0.055,0.118424,0.762707,0.762707,0.0671176,"ok"
5006,1,RandomForest,27.2,259.7,0.2,12.9,0.956333,0.992875,0.681045,0.999223,0.806307,0.680268,0,0.319232,0,0.824033,13.1,0.0436667,0.0436667,0.159866,0.801388,0.801388,0.0710466,"ok"
5006,1,KNN,4.7,255.4,4.5,35.4,0.867,0.536605,0.118268,0.982613,0.191685,0.10088,9.99682,0.89738,0.516675,0.338737,39.9,0.133,0.133,0.44956,0.202747,0.202747,-0.189107,"ok"
5006,1,NaiveBayes,33.3,174.6,85.3,6.8,0.693,0.281016,0.831661,0.671938,0.418423,0.503599,2.54576,0.24972,0.568522,0.746811,92.1,0.307,0.307,0.248201,0.349811,0.349811,-0.263988,"ok"
5006,1,SupportVectorMachine,26.6,259.4,0.5,13.5,0.953333,0.981773,0.664434,0.998079,0.787974,0.662514,0,0.336174,0,0.812034,14,0.0466667,0.0466667,0.168743,0.784088,0.784088,0.0622409,"ok"
5007,1,J48,27.7,204.8,33.6,33.9,0.775,0.45098,0.449193,0.859049,0.447667,0.308241,3.20667,0.64031,0.385711,0.619532,67.5,0.225,0.225,0.345879,0.308187,0.308187,-0.22824,"ok"
5007,1,RandomForest,23.3,230.7,7.7,38.3,0.846667,0.753728,0.379061,0.967769,0.501009,0.346829,13.9134,0.6417,0.715089,0.603493,46,0.153333,0.153333,0.326585,0.459228,0.459228,-0.13446,"ok"
5007,1,KNN,18.3,214.1,24.3,43.3,0.774667,0.428742,0.298169,0.897939,0.351052,0.196108,2.94719,0.781726,0.315298,0.516515,67.6,0.225333,0.225333,0.401946,0.225855,0.225855,-0.258038,"ok"
5007,1,NaiveBayes,48.9,156,82.4,12.7,0.683,0.372865,0.793984,0.654488,0.504514,0.448473,2.33299,0.315676,0.482876,0.720064,95.1,0.317,0.317,0.275764,0.364508,0.364508,-0.249552,"ok"
5007,1,SupportVectorMachine,25.6,229.9,8.5,36,0.851667,0.755732,0.422535,0.96441,0.53485,0.386946,15.1925,0.598472,0.739348,0.634267,44.5,0.148333,0.148333,0.306527,0.487669,0.487669,-0.117523,"ok"
5008,1,J48,11.5,252.7,17.2,18.6,0.880667,0.392706,0.369339,0.936389,0.376426,0.305728,6.15613,0.673564,0.515602,0.581454,35.8,0.119333,0.119333,0.347136,0.313481,0.313481,-0.143744,"ok"
5008,1,RandomForest,1.6,269.3,0.6,28.5,0.903,0,0.0518246,0.997764,0,0.0495883,0,0.950398,0,0.182207,29.1,0.097,0.097,0.475206,0,0,-0.153501,"ok"
5008,1,KNN,1.6,265.3,4.6,28.5,0.889667,0.259405,0.0499072,0.982997,0,0.032904,3.56055,0.96663,-99999,0.195668,33.1,0.110333,0.110333,0.483548,0.0723114,0.0723114,-0.174968,"ok"
5008,1,NaiveBayes,27.9,154.1,115.8,2.2,0.606667,0.195395,0.928074,0.571191,0.320552,0.499266,2.18985,0.125873,0.708568,0.727114,118,0.393333,0.393333,0.250367,0.299632,0.299632,-0.316159,"ok"
5008,1,SupportVectorMachine,0.7,269,0.9,29.4,0.899,0,0.0230117,0.99664,0,0.0196519,0,0.980247,0,0.116328,30.3,0.101,0.101,0.490174,0,0,-0.164356,"ok"
5009,1,J48,47.5,207.4,22,23.1,0.849667,0.683148,0.674434,0.904212,0.676633,0.578645,7.35282,0.36013,0.721931,0.780036,45.1,0.150333,0.150333,0.210677,0.580335,0.580335,-0.0511689,"ok"
5009,1,RandomForest,40.9,227.9,1.5,29.7,0.896,0.965029,0.579254,0.99341,0.722928,0.572664,0,0.42363,0,0.757908,31.2,0.104,0.104,0.213668,0.697165,0.697165,0.0176229,"ok"
5009,1,KNN,23.9,218.7,10.7,46.7,0.808667,0.688714,0.34024,0.953337,0.45152,0.293577,7.39549,0.691688,0.563881,0.565859,57.4,0.191333,0.191333,0.353212,0.386721,0.386721,-0.184618,"ok"
5009,1,NaiveBayes,57.8,121.9,107.5,12.8,0.599,0.349938,0.818171,0.531403,0.489544,0.349574,1.75762,0.34473,0.399598,0.658749,120.3,0.401,0.401,0.325213,0.298407,0.298407,-0.302575,"ok"
5009,1,SupportVectorMachine,47.4,226.7,2.7,23.2,0.913667,0.94721,0.671071,0.988213,0.78443,0.659284,0,0.332746,0,0.813895,25.9,0.0863333,0.0863333,0.170358,0.750162,0.750162,0.0727553,"ok"
5010,1,J48,27,243.9,13.4,15.7,0.903,0.668809,0.637716,0.948036,0.648119,0.585752,13.4726,0.382148,0.847736,0.774571,29.1,0.097,0.097,0.207124,0.595509,0.595509,-0.0334232,"ok"
5010,1,RandomForest,21.6,257,0.3,21.1,0.928667,0.987138,0.501341,0.998821,0.661697,0.500162,0,0.499206,0,0.705736,21.4,0.0713333,0.0713333,0.249919,0.673447,0.673447,-0.00919123,"ok"
5010,1,KNN,6.9,249.5,7.8,35.8,0.854667,0.452994,0.160301,0.969615,0.234738,0.129915,5.64177,0.865985,0.419467,0.385403,43.6,0.145333,0.145333,0.435042,0.205331,0.205331,-0.197264,"ok"
5010,1,NaiveBayes,34.2,150.9,106.4,8.5,0.617,0.243636,0.795511,0.586717,0.371358,0.382228,1.94592,0.352453,0.420246,0.682619,114.9,0.383,0.383,0.308886,0.268992,0.268992,-0.317301,"ok"
5010,1,SupportVectorMachine,20.5,256.1,1.2,22.2,0.922,0.943837,0.482901,0.995322,0.635966,0.478223,0,0.519651,0,0.69081,23.4,0.078,0.078,0.260888,0.641456,0.641456,-0.0257208,"ok"
5011,1,J48,50.5,213.3,17,19.2,0.879333,0.749821,0.725842,0.925972,0.735778,0.651813,10.6865,0.296215,0.852361,0.819249,36.2,0.120667,0.120667,0.174093,0.658916,0.658916,0.011762,"ok"
5011,1,RandomForest,47.5,227.6,2.7,22.2,0.917,0.947193,0.682443,0.988229,0.792015,0.670673,77.7751,0.321251,1.27983,0.82069,24.9,0.083,0.083,0.164664,0.758229,0.758229,0.079259,"ok"
5011,1,KNN,35.1,211.7,18.6,34.6,0.822667,0.646736,0.498197,0.919317,0.561943,0.417515,6.28171,0.546164,0.582569,0.674765,53.2,0.177333,0.177333,0.291243,0.459583,0.459583,-0.134141,"ok"
5011,1,NaiveBayes,45.7,200.7,29.6,24,0.821333,0.603258,0.651396,0.871455,0.625076,0.522851,5.19918,0.400057,0.614255,0.752425,53.6,0.178667,0.178667,0.238574,0.509243,0.509243,-0.104725,"ok"
5011,1,SupportVectorMachine,48.8,226.3,4,20.9,0.917,0.925604,0.701302,0.982484,0.796945,0.683785,53.7718,0.304046,1.20031,0.829533,24.9,0.083,0.083,0.158107,0.75797,0.75797,0.0832079,"ok"
5012,1,J48,21.9,250.5,11.9,15.7,0.908,0.656586,0.58589,0.954633,0.614885,0.540522,17.0472,0.434238,0.843064,0.746509,27.6,0.092,0.092,0.229739,0.56677,0.56677,-0.048112,"ok"
5012,1,RandomForest,15.6,260.9,1.5,22,0.921667,0.914736,0.412609,0.994241,0.56229,0.40685,0,0.590781,0,0.635746,23.5,0.0783333,0.0783333,0.296575,0.579745,0.579745,-0.0515338,"ok"
5012,1,KNN,7,254.6,7.8,30.6,0.872,0.476679,0.18834,0.970387,0.266845,0.158727,7.7321,0.836766,0.490499,0.422752,38.4,0.128,0.128,0.420636,0.240724,0.240724,-0.173789,"ok"
5012,1,NaiveBayes,24.5,217.8,44.6,13.1,0.807667,0.355516,0.650563,0.829856,0.458122,0.480419,3.92685,0.42133,0.533284,0.733968,57.7,0.192333,0.192333,0.25979,0.378258,0.378258,-0.186594,"ok"
5012,1,SupportVectorMachine,18,261.1,1.3,19.6,0.930333,0.933806,0.480038,0.99505,0.629995,0.475088,0,0.522537,0,0.688754,20.9,0.0696667,0.0696667,0.262456,0.638759,0.638759,-0.0242267,"ok"
5013,1,J48,38.4,177.9,43.1,40.6,0.721,0.470674,0.485833,0.80468,0.477124,0.290513,2.50846,0.638645,0.327046,0.623986,83.7,0.279,0.279,0.354743,0.287576,0.287576,-0.264979,"ok"
5013,1,RandomForest,26.2,218,3,52.8,0.814,0.897356,0.332359,0.986492,0.483712,0.318851,0,0.676889,0,0.571583,55.8,0.186,0.186,0.340575,0.472644,0.472644,-0.158672,"ok"
5013,1,KNN,23.2,185.7,35.3,55.8,0.696333,0.396801,0.295321,0.84061,0.336085,0.135931,1.89624,0.838815,0.188731,0.495863,91.1,0.303667,0.303667,0.432034,0.150051,0.150051,-0.329377,"ok"
5013,1,NaiveBayes,60.9,113.3,107.7,18.1,0.580667,0.361668,0.770469,0.512374,0.491236,0.282843,1.59567,0.451173,0.304678,0.627328,125.8,0.419333,0.419333,0.358579,0.250989,0.250989,-0.326284,"ok"
5013,1,SupportVectorMachine,28.3,208.3,12.7,50.7,0.788667,0.691987,0.359746,0.942608,0.469527,0.302354,6.45281,0.678689,0.536369,0.579858,63.4,0.211333,0.211333,0.348823,0.386316,0.386316,-0.195599,"ok"
5014,1,J48,13.9,233.5,26.2,26.4,0.824667,0.353449,0.346594,0.899352,0.345394,0.245946,3.60369,0.726995,0.376987,0.557019,52.6,0.175333,0.175333,0.377027,0.247738,0.247738,-0.213015,"ok"
5014,1,RandomForest,0.7,259,0.7,39.6,0.865667,0.466667,0.0163912,0.997304,0,0.013695,0,0.98628,0,0.0983311,40.3,0.134333,0.134333,0.493153,0.0661773,0.0661773,-0.20707,"ok"
5014,1,KNN,2.9,250.5,9.2,37.4,0.844667,0.231392,0.0761437,0.96452,0,0.0406635,2.29261,0.957958,-99999,0.2524,46.6,0.155333,0.155333,0.479668,0.0643223,0.0643223,-0.229079,"ok"
5014,1,NaiveBayes,34.9,141.1,118.6,5.4,0.586667,0.227661,0.86725,0.54323,0.359588,0.41048,1.90902,0.244269,0.498196,0.685641,124,0.413333,0.413333,0.29476,0.279314,0.279314,-0.323006,"ok"
5014,1,SupportVectorMachine,0.2,259.6,0.1,40.1,0.866,0,0.00529617,0.999615,0,0.00491155,0,0.99509,0,0.0325205,40.2,0.134,0.134,0.497544,0,0,-0.208349,"ok"
5015,1,J48,33,194.3,37.6,35.1,0.757667,0.467541,0.483438,0.837737,0.474418,0.321175,3.03802,0.616878,0.379475,0.635079,72.7,0.242333,0.242333,0.339412,0.31773,0.31773,-0.23341,"ok"
5015,1,RandomForest,20.6,228.1,3.8,47.5,0.829,0.846757,0.302342,0.983574,0.444608,0.285916,0,0.709548,0,0.544185,51.3,0.171,0.171,0.357042,0.438543,0.438543,-0.163884,"ok"
5015,1,KNN,14.6,211.7,20.2,53.5,0.754333,0.417909,0.216248,0.912765,0.282997,0.129013,2.53696,0.858802,0.251273,0.441154,73.7,0.245667,0.245667,0.435494,0.166584,0.166584,-0.289118,"ok"
5015,1,NaiveBayes,44.1,149.9,82,24,0.646667,0.349515,0.648735,0.646096,0.453584,0.294831,1.84336,0.5444,0.293376,0.646724,106,0.353333,0.353333,0.352585,0.249535,0.249535,-0.31307,"ok"
5015,1,SupportVectorMachine,20,227.4,4.5,48.1,0.824667,0.815111,0.292094,0.980689,0.427177,0.272784,27.3557,0.721967,0.781718,0.532274,52.6,0.175333,0.175333,0.363608,0.416558,0.416558,-0.17256,"ok"
5016,1,J48,12.4,238.4,24.4,24.8,0.836,0.340794,0.3303,0.907152,0.331599,0.237452,3.78251,0.737986,0.380858,0.54473,49.2,0.164,0.164,0.381274,0.240869,0.240869,-0.204489,"ok"
5016,1,RandomForest,2.1,262.2,0.6,35.1,0.881,0.791667,0.0597035,0.997674,0.108777,0.0573773,0,0.942542,0,0.231997,35.7,0.119,0.119,0.471311,0.189455,0.189455,-0.179283,"ok"
5016,1,KNN,1.6,257.3,5.5,35.6,0.863,0.219524,0.0437818,0.979161,0,0.0229424,2.24185,0.976621,-99999,0.193762,41.1,0.137,0.137,0.488529,0.0483198,0.0483198,-0.211013,"ok"
5016,1,NaiveBayes,33,140.9,121.9,4.2,0.579667,0.21193,0.880668,0.53612,0.339932,0.416788,1.90189,0.221645,0.541304,0.686303,126.1,0.420333,0.420333,0.291606,0.275278,0.275278,-0.326759,"ok"
5016,1,SupportVectorMachine,0.5,262.4,0.4,36.7,0.876333,0,0.0148734,0.998482,0,0.0133552,0,0.986656,0,0.0736911,37.1,0.123667,0.123667,0.493322,0,0,-0.193798,"ok"
5017,1,J48,59,170.3,35.2,35.5,0.764333,0.62494,0.622141,0.828641,0.622611,0.450782,3.77188,0.457035,0.502631,0.717192,70.7,0.235667,0.235667,0.274609,0.451552,0.451552,-0.158536,"ok"
5017,1,RandomForest,45.2,203.2,2.3,49.3,0.828,0.952656,0.479209,0.988806,0.635665,0.468016,0,0.526644,0,0.687229,51.6,0.172,0.172,0.265992,0.594813,0.594813,-0.0741998,"ok"
5017,1,KNN,34.6,181.6,23.9,59.9,0.720667,0.595434,0.366833,0.883767,0.450535,0.2506,3.24689,0.715756,0.360007,0.567422,83.8,0.279333,0.279333,0.3747,0.29452,0.29452,-0.265084,"ok"
5017,1,NaiveBayes,71.7,114.1,91.4,22.8,0.619333,0.439513,0.75684,0.555939,0.554904,0.312779,1.71537,0.440305,0.328487,0.648359,114.2,0.380667,0.380667,0.343611,0.29206,0.29206,-0.297539,"ok"
5017,1,SupportVectorMachine,50,198.2,7.3,44.5,0.827333,0.874682,0.528158,0.964364,0.656837,0.492522,18.5429,0.489117,0.842417,0.712756,51.8,0.172667,0.172667,0.253739,0.583009,0.583009,-0.0695851,"ok"
5018,1,J48,22.1,201.4,39.7,36.8,0.745,0.356425,0.378779,0.83535,0.365134,0.214129,2.29785,0.74321,0.268813,0.5602,76.5,0.255,0.255,0.392936,0.207762,0.207762,-0.282796,"ok"
5018,1,RandomForest,6.6,240.8,0.3,52.3,0.824667,0.966667,0.112425,0.998785,0.198576,0.11121,0,0.888606,0,0.329631,52.6,0.175333,0.175333,0.444395,0.290822,0.290822,-0.223928,"ok"
5018,1,KNN,3.9,227.5,13.6,55,0.771333,0.209544,0.0648221,0.943703,0,0.0085253,1.1434,0.99093,-99999,0.225785,68.6,0.228667,0.228667,0.495737,0.011689,0.011689,-0.308722,"ok"
5018,1,NaiveBayes,40.3,123.6,117.5,18.6,0.546333,0.254695,0.688085,0.5126,0.370351,0.200685,1.40985,0.60578,0.205398,0.592346,136.1,0.453667,0.453667,0.399657,0.158194,0.158194,-0.373138,"ok"
5018,1,SupportVectorMachine,7.2,240.7,0.4,51.7,0.826333,0.950992,0.124553,0.998339,0.218301,0.122892,0,0.876907,0,0.348789,52.1,0.173667,0.173667,0.438554,0.305405,0.305405,-0.219058,"ok"
5019,1,J48,65.7,142.3,48.4,43.6,0.693333,0.5748,0.600483,0.745937,0.586419,0.34642,2.38341,0.535347,0.357916,0.668172,92,0.306667,0.306667,0.32679,0.343495,0.343495,-0.247156,"ok"
5019,1,RandomForest,45.9,178.7,12,63.4,0.748667,0.7937,0.422387,0.936943,0.549443,0.35933,7.16879,0.616699,0.577813,0.627749,75.4,0.251333,0.251333,0.320335,0.436955,0.436955,-0.187538,"ok"
5019,1,KNN,46.6,131.8,58.9,62.7,0.594667,0.442221,0.425823,0.69107,0.433277,0.116893,1.39361,0.83261,0.12206,0.541843,121.6,0.405333,0.405333,0.441553,0.11822,0.11822,-0.385455,"ok"
5019,1,NaiveBayes,79.6,87.4,103.3,29.7,0.556667,0.434882,0.727785,0.457969,0.54402,0.185754,1.34639,0.596759,0.195817,0.577012,133,0.443333,0.443333,0.407123,0.182998,0.182998,-0.36226,"ok"
5019,1,SupportVectorMachine,52.3,171.7,19,57,0.746667,0.737102,0.477965,0.900418,0.578591,0.378383,5.2152,0.580047,0.516404,0.655576,76,0.253333,0.253333,0.310809,0.429379,0.429379,-0.18711,"ok"
5020,1,J48,19.3,198.9,41.3,40.5,0.727333,0.317507,0.322595,0.82808,0.318483,0.150675,1.88691,0.818077,0.198034,0.515444,81.8,0.272667,0.272667,0.424663,0.149321,0.149321,-0.312332,"ok"
5020,1,RandomForest,4,239.9,0.3,55.8,0.813,0.9375,0.0664334,0.998759,0.122291,0.065192,0,0.934714,0,0.249355,56.1,0.187,0.187,0.467404,0.213721,0.213721,-0.248353,"ok"
5020,1,KNN,5,227.1,13.1,54.8,0.773667,0.276843,0.0842967,0.945651,0.126678,0.0299478,1.60902,0.968439,0.102003,0.274879,67.9,0.226333,0.226333,0.485026,0.0494843,0.0494843,-0.300651,"ok"
5020,1,NaiveBayes,38.2,128.1,112.1,21.6,0.554333,0.253424,0.637113,0.532932,0.361765,0.170045,1.36976,0.682319,0.169111,0.581521,133.7,0.445667,0.445667,0.414977,0.135872,0.135872,-0.380349,"ok"
5020,1,SupportVectorMachine,3.4,239.9,0.3,56.4,0.811,0.957143,0.0567062,0.998729,0.105857,0.055435,0,0.944501,0,0.23223,56.7,0.189,0.189,0.472283,0.200362,0.200362,-0.253041,"ok"
5021,1,J48,84,182.6,17.3,16.1,0.888667,0.829465,0.839608,0.913119,0.833198,0.752728,9.965,0.175139,0.978895,0.874915,33.4,0.111333,0.111333,0.123636,0.750621,0.750621,0.118382,"ok"
5021,1,RandomForest,78.2,198.3,1.6,21.9,0.921667,0.979961,0.781249,0.991968,0.86924,0.773217,0,0.220636,0,0.880228,23.5,0.0783333,0.0783333,0.113392,0.825021,0.825021,0.185702,"ok"
5021,1,KNN,48,175.6,24.3,52.1,0.745333,0.664872,0.480044,0.878889,0.556006,0.358933,4.08985,0.591747,0.459307,0.648961,76.4,0.254667,0.254667,0.320534,0.395514,0.395514,-0.203861,"ok"
5021,1,NaiveBayes,84.5,115.3,84.6,15.6,0.666,0.498917,0.842263,0.577496,0.625813,0.419759,2.00181,0.274711,0.480053,0.69734,100.2,0.334,0.334,0.29012,0.399168,0.399168,-0.228926,"ok"
5021,1,SupportVectorMachine,75.8,197.7,2.2,24.3,0.911667,0.971041,0.757226,0.989101,0.850534,0.746327,0,0.245626,0,0.865205,26.5,0.0883333,0.0883333,0.126836,0.801799,0.801799,0.157596,"ok"
5022,1,J48,45.1,225.5,14.2,15.2,0.902,0.760043,0.749388,0.940774,0.752924,0.690162,13.3364,0.266477,0.937399,0.838759,29.4,0.098,0.098,0.154919,0.693113,0.693113,0.0370578,"ok"
5022,1,RandomForest,38.1,239.3,0.4,22.2,0.924667,0.98895,0.630104,0.998341,0.769155,0.628446,0,0.37052,0,0.792784,22.6,0.0753333,0.0753333,0.185777,0.753452,0.753452,0.0586469,"ok"
5022,1,KNN,8.1,227.7,12,52.2,0.786,0.40933,0.13511,0.949837,0.201307,0.0849468,2.90152,0.910717,0.265157,0.356241,64.2,0.214,0.214,0.457527,0.136897,0.136897,-0.273726,"ok"
5022,1,NaiveBayes,49.3,154.6,85.1,11,0.679667,0.366831,0.817794,0.644849,0.506026,0.462644,2.31466,0.283065,0.510613,0.725727,96.1,0.320333,0.320333,0.268678,0.372736,0.372736,-0.248996,"ok"
5022,1,SupportVectorMachine,37,239,0.7,23.3,0.92,0.980943,0.613059,0.997087,0.753362,0.610145,0,0.388076,0,0.78118,24,0.08,0.08,0.194927,0.737219,0.737219,0.0448606,"ok"
5023,1,J48,40,155.6,51,53.4,0.652,0.441448,0.428462,0.753925,0.432833,0.182387,1.7819,0.759492,0.200571,0.567244,104.4,0.348,0.348,0.408806,0.184271,0.184271,-0.337982,"ok"
5023,1,RandomForest,31,192.8,13.8,62.4,0.746,0.692882,0.331712,0.933199,0.447507,0.264911,5.34605,0.716547,0.470444,0.555393,76.2,0.254,0.254,0.367545,0.344289,0.344289,-0.235764,"ok"
5023,1,KNN,28.8,166.4,40.2,64.6,0.650667,0.414128,0.30902,0.805315,0.353137,0.114335,1.60303,0.858792,0.143864,0.496458,104.8,0.349333,0.349333,0.442832,0.124123,0.124123,-0.360345,"ok"
5023,1,NaiveBayes,56.2,140.8,65.8,37.2,0.656667,0.460075,0.602745,0.680929,0.521407,0.283674,1.90257,0.584687,0.282891,0.640068,103,0.343333,0.343333,0.358163,0.266759,0.266759,-0.299918,"ok"
5023,1,SupportVectorMachine,33.5,192.2,14.4,59.9,0.752333,0.699852,0.358911,0.930459,0.473298,0.28937,5.43945,0.689294,0.487105,0.577056,74.3,0.247667,0.247667,0.355315,0.365478,0.365478,-0.222511,"ok"
