@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute acc numeric
@attribute runstatus {ok,timeout,memout,not_applicable,crash,other}

@data
X1000_hypothyroid,1,1068_.trees.J48_1,0.997614,ok
X1002_kdd_ipums_la_98.small,1,1068_.trees.J48_1,0.897528,ok
X1003_primary.tumor,1,1068_.trees.J48_1,0.79351,ok
X1005_glass,1,1068_.trees.J48_1,0.803738,ok
X1006_lymph,1,1068_.trees.J48_1,0.817568,ok
X1009_white.clover,1,1068_.trees.J48_1,0.68254,ok
X1010_dermatology,1,1068_.trees.J48_1,0.983607,ok
X1011_ecoli,1,1068_.trees.J48_1,0.940476,ok
X1013_analcatdata_challenger,1,1068_.trees.J48_1,0.934783,ok
X1014_analcatdata_dmft,1,1068_.trees.J48_1,0.805521,ok
X1015_confidence,1,1068_.trees.J48_1,0.875,ok
X1017_arrhythmia,1,1068_.trees.J48_1,0.767699,ok
X1018_kdd_ipums_la_99.small,1,1068_.trees.J48_1,0.93374,ok
X1019_pendigits,1,1068_.trees.J48_1,0.989902,ok
X1020_mfeat.karhunen,1,1068_.trees.J48_1,0.971,ok
X1021_page.blocks,1,1068_.trees.J48_1,0.972958,ok
X1022_mfeat.pixel,1,1068_.trees.J48_1,0.9815,ok
X1023_soybean,1,1068_.trees.J48_1,0.97511,ok
X1025_analcatdata_germangss,1,1068_.trees.J48_1,0.8925,ok
X1026_grub.damage,1,1068_.trees.J48_1,0.767742,ok
X1036_sylva_agnostic,1,1068_.trees.J48_1,0.992497,ok
X1037_ada_prior,1,1068_.trees.J48_1,0.843928,ok
X1038_gina_agnostic,1,1068_.trees.J48_1,0.872837,ok
X1039_hiva_agnostic,1,1068_.trees.J48_1,0.962166,ok
X1040_sylva_prior,1,1068_.trees.J48_1,0.992914,ok
X1041_gina_prior2,1,1068_.trees.J48_1,0.75692,ok
X1042_gina_prior,1,1068_.trees.J48_1,0.873126,ok
X1043_ada_agnostic,1,1068_.trees.J48_1,0.833187,ok
X1044_eye_movements,1,1068_.trees.J48_1,0.659199,ok
X1045_kc1.top5,1,1068_.trees.J48_1,0.910345,ok
X1046_mozilla4,1,1068_.trees.J48_1,0.946671,ok
X1048_jEdit_4.2_4.3,1,1068_.trees.J48_1,0.674797,ok
X1049_pc4,1,1068_.trees.J48_1,0.89369,ok
X1050_pc3,1,1068_.trees.J48_1,0.872041,ok
X1053_jm1,1,1068_.trees.J48_1,0.798898,ok
X1054_mc2,1,1068_.trees.J48_1,0.664596,ok
X1055_cm1_req,1,1068_.trees.J48_1,0.775281,ok
X1056_mc1,1,1068_.trees.J48_1,0.993873,ok
X1057_usp05.ft,1,1068_.trees.J48_1,0.861111,ok
X1059_ar1,1,1068_.trees.J48_1,0.917355,ok
X1060_ar3,1,1068_.trees.J48_1,0.873016,ok
X1061_ar4,1,1068_.trees.J48_1,0.803738,ok
X1062_ar5,1,1068_.trees.J48_1,0.861111,ok
X1063_kc2,1,1068_.trees.J48_1,0.816092,ok
X1064_ar6,1,1068_.trees.J48_1,0.811881,ok
X1065_kc3,1,1068_.trees.J48_1,0.893013,ok
X1066_kc1.binary,1,1068_.trees.J48_1,0.675862,ok
X1067_kc1,1,1068_.trees.J48_1,0.839734,ok
X1068_pc1,1,1068_.trees.J48_1,0.93147,ok
X1069_pc2,1,1068_.trees.J48_1,0.995885,ok
X1071_mw1,1,1068_.trees.J48_1,0.913151,ok
X1073_jEdit_4.0_4.2,1,1068_.trees.J48_1,0.733577,ok
X1074_desharnais,1,1068_.trees.J48_1,0.62963,ok
X1075_datatrieve,1,1068_.trees.J48_1,0.892308,ok
X10_lymph,1,1068_.trees.J48_1,0.783784,ok
X1101_lymphoma_2classes,1,1068_.trees.J48_1,0.755556,ok
X1102_lymphoma_9classes,1,1068_.trees.J48_1,0.739583,ok
X1104_leukemia,1,1068_.trees.J48_1,0.791667,ok
X1107_tumors_C,1,1068_.trees.J48_1,0.533333,ok
X1109_lymphoma_11classes,1,1068_.trees.J48_1,0.666667,ok
X1115_teachingAssistant,1,1068_.trees.J48_1,0.529801,ok
X119_BNG.cmc.nominal.55296.,1,1068_.trees.J48_1,0.522551,ok
X11_balance.scale,1,1068_.trees.J48_1,0.768,ok
X12_mfeat.factors,1,1068_.trees.J48_1,0.8895,ok
X137_BNG.tic.tac.toe.,1,1068_.trees.J48_1,0.785449,ok
X13_breast.cancer,1,1068_.trees.J48_1,0.748252,ok
X14_mfeat.fourier,1,1068_.trees.J48_1,0.7625,ok
X151_electricity,1,1068_.trees.J48_1,0.908126,ok
X15_breast.w,1,1068_.trees.J48_1,0.945637,ok
X163_lung.cancer,1,1068_.trees.J48_1,0.40625,ok
X16_mfeat.karhunen,1,1068_.trees.J48_1,0.8095,ok
X171_primary.tumor,1,1068_.trees.J48_1,0.433628,ok
X172_shuttle.landing.control,1,1068_.trees.J48_1,0.6,ok
X173_solar.flare,1,1068_.trees.J48_1,0.978328,ok
X174_solar.flare,1,1068_.trees.J48_1,0.99531,ok
X179_adult,1,1068_.trees.J48_1,0.851255,ok
X181_yeast,1,1068_.trees.J48_1,0.565364,ok
X182_satimage,1,1068_.trees.J48_1,0.862208,ok
X183_abalone,1,1068_.trees.J48_1,0.207086,ok
X184_kropt,1,1068_.trees.J48_1,0.564692,ok
X186_braziltourism,1,1068_.trees.J48_1,0.762136,ok
X187_wine,1,1068_.trees.J48_1,0.938202,ok
X188_eucalyptus,1,1068_.trees.J48_1,0.616848,ok
X18_mfeat.morphological,1,1068_.trees.J48_1,0.7245,ok
X1_anneal,1,1068_.trees.J48_1,0.985523,ok
X20_mfeat.pixel,1,1068_.trees.J48_1,0.782,ok
X21_car,1,1068_.trees.J48_1,0.916667,ok
X22_mfeat.zernike,1,1068_.trees.J48_1,0.7085,ok
X23_cmc,1,1068_.trees.J48_1,0.5241,ok
X24_mushroom,1,1068_.trees.J48_1,1,ok
X251_BNG.breast.w.,1,1068_.trees.J48_1,0.98199,ok
X255_BNG.cmc.,1,1068_.trees.J48_1,0.561379,ok
X26_nursery,1,1068_.trees.J48_1,0.971296,ok
X275_meta_all.arff,1,1068_.trees.J48_1,0.521127,ok
X276_meta_batchincremental.arff,1,1068_.trees.J48_1,0.594595,ok
X277_meta_ensembles.arff,1,1068_.trees.J48_1,0.594595,ok
X278_meta_instanceincremental.arff,1,1068_.trees.J48_1,0.810811,ok
X279_meta_stream_intervals.arff,1,1068_.trees.J48_1,0.991055,ok
X27_colic,1,1068_.trees.J48_1,0.853261,ok
X28_optdigits,1,1068_.trees.J48_1,0.90427,ok
X292_Australian,1,1068_.trees.J48_1,0.847826,ok
X29_credit.a,1,1068_.trees.J48_1,0.85942,ok
X2_anneal,1,1068_.trees.J48_1,0.912027,ok
X300_isolet,1,1068_.trees.J48_1,0.840451,ok
X30_page.blocks,1,1068_.trees.J48_1,0.970035,ok
X31_credit.g,1,1068_.trees.J48_1,0.709,ok
X32_pendigits,1,1068_.trees.J48_1,0.965793,ok
X333_monks.problems.1,1,1068_.trees.J48_1,0.98741,ok
X334_monks.problems.2,1,1068_.trees.J48_1,0.630616,ok
X335_monks.problems.3,1,1068_.trees.J48_1,0.98917,ok
X336_SPECT,1,1068_.trees.J48_1,0.805243,ok
X337_SPECTF,1,1068_.trees.J48_1,0.845272,ok
X338_grub.damage,1,1068_.trees.J48_1,0.387097,ok
X339_pasture,1,1068_.trees.J48_1,0.638889,ok
X340_squash.stored,1,1068_.trees.J48_1,0.634615,ok
X342_squash.unstored,1,1068_.trees.J48_1,0.75,ok
X343_white.clover,1,1068_.trees.J48_1,0.650794,ok
X346_aids,1,1068_.trees.J48_1,0.62,ok
X34_postoperative.patient.data,1,1068_.trees.J48_1,0.7,ok
X350_webdata_wXa,1,1068_.trees.J48_1,0.819333,ok
X357_vehicle_sensIT,1,1068_.trees.J48_1,0.836239,ok
X35_dermatology,1,1068_.trees.J48_1,0.934426,ok
X36_segment,1,1068_.trees.J48_1,0.963203,ok
X375_JapaneseVowels,1,1068_.trees.J48_1,0.891878,ok
X378_ipums_la_99.small,1,1068_.trees.J48_1,0.811511,ok
X37_diabetes,1,1068_.trees.J48_1,0.74349,ok
X381_ipums_la_98.small,1,1068_.trees.J48_1,0.779158,ok
X382_ipums_la_97.small,1,1068_.trees.J48_1,0.453768,ok
X383_tr45.wc,1,1068_.trees.J48_1,0.907246,ok
X384_tr21.wc,1,1068_.trees.J48_1,0.8125,ok
X387_tr11.wc,1,1068_.trees.J48_1,0.797101,ok
X388_tr23.wc,1,1068_.trees.J48_1,0.931373,ok
X389_fbis.wc,1,1068_.trees.J48_1,0.731222,ok
X38_sick,1,1068_.trees.J48_1,0.985684,ok
X391_re0.wc,1,1068_.trees.J48_1,0.74867,ok
X392_oh0.wc,1,1068_.trees.J48_1,0.811565,ok
X397_tr12.wc,1,1068_.trees.J48_1,0.817891,ok
X39_ecoli,1,1068_.trees.J48_1,0.821429,ok
X3_kr.vs.kp,1,1068_.trees.J48_1,0.994681,ok
X400_tr41.wc,1,1068_.trees.J48_1,0.91344,ok
X401_oh10.wc,1,1068_.trees.J48_1,0.721905,ok
X40_sonar,1,1068_.trees.J48_1,0.677885,ok
X41_glass,1,1068_.trees.J48_1,0.67757,ok
X42_soybean,1,1068_.trees.J48_1,0.925329,ok
X43_haberman,1,1068_.trees.J48_1,0.718954,ok
X444_analcatdata_boxing2,1,1068_.trees.J48_1,0.810606,ok
X446_prnn_crabs,1,1068_.trees.J48_1,0.93,ok
X448_analcatdata_boxing1,1,1068_.trees.J48_1,0.833333,ok
X44_spambase,1,1068_.trees.J48_1,0.92719,ok
X450_analcatdata_lawsuit,1,1068_.trees.J48_1,0.981061,ok
X451_irish,1,1068_.trees.J48_1,1,ok
X452_analcatdata_broadwaymult,1,1068_.trees.J48_1,0.477193,ok
X458_analcatdata_authorship,1,1068_.trees.J48_1,0.956005,ok
X459_analcatdata_asbestos,1,1068_.trees.J48_1,0.722892,ok
X461_analcatdata_creditscore,1,1068_.trees.J48_1,0.99,ok
X464_prnn_synth,1,1068_.trees.J48_1,0.852,ok
X465_analcatdata_cyyoung8092,1,1068_.trees.J48_1,0.835052,ok
X466_schizo,1,1068_.trees.J48_1,0.826471,ok
X468_confidence,1,1068_.trees.J48_1,0.777778,ok
X469_analcatdata_dmft,1,1068_.trees.J48_1,0.205772,ok
X470_profb,1,1068_.trees.J48_1,0.660714,ok
X472_lupus,1,1068_.trees.J48_1,0.781609,ok
