@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
X1000_hypothyroid,1,4
X1002_kdd_ipums_la_98.small,1,3
X1003_primary.tumor,1,4
X1005_glass,1,10
X1006_lymph,1,3
X1009_white.clover,1,2
X1010_dermatology,1,3
X1011_ecoli,1,7
X1013_analcatdata_challenger,1,4
X1014_analcatdata_dmft,1,4
X1015_confidence,1,2
X1017_arrhythmia,1,3
X1018_kdd_ipums_la_99.small,1,9
X1019_pendigits,1,4
X1020_mfeat.karhunen,1,9
X1021_page.blocks,1,6
X1022_mfeat.pixel,1,10
X1023_soybean,1,9
X1025_analcatdata_germangss,1,8
X1026_grub.damage,1,9
X1036_sylva_agnostic,1,7
X1037_ada_prior,1,1
X1038_gina_agnostic,1,8
X1039_hiva_agnostic,1,4
X1040_sylva_prior,1,1
X1041_gina_prior2,1,2
X1042_gina_prior,1,6
X1043_ada_agnostic,1,2
X1044_eye_movements,1,6
X1045_kc1.top5,1,4
X1046_mozilla4,1,1
X1048_jEdit_4.2_4.3,1,5
X1049_pc4,1,5
X1050_pc3,1,8
X1053_jm1,1,2
X1054_mc2,1,3
X1055_cm1_req,1,8
X1056_mc1,1,5
X1057_usp05.ft,1,3
X1059_ar1,1,4
X1060_ar3,1,4
X1061_ar4,1,10
X1062_ar5,1,10
X1063_kc2,1,4
X1064_ar6,1,9
X1065_kc3,1,7
X1066_kc1.binary,1,5
X1067_kc1,1,1
X1068_pc1,1,3
X1069_pc2,1,6
X1071_mw1,1,2
X1073_jEdit_4.0_4.2,1,6
X1074_desharnais,1,1
X1075_datatrieve,1,8
X10_lymph,1,10
X1101_lymphoma_2classes,1,3
X1102_lymphoma_9classes,1,5
X1104_leukemia,1,4
X1107_tumors_C,1,7
X1109_lymphoma_11classes,1,8
X1115_teachingAssistant,1,3
X119_BNG.cmc.nominal.55296.,1,2
X11_balance.scale,1,7
X12_mfeat.factors,1,9
X137_BNG.tic.tac.toe.,1,3
X13_breast.cancer,1,2
X14_mfeat.fourier,1,6
X151_electricity,1,5
X15_breast.w,1,2
X163_lung.cancer,1,4
X16_mfeat.karhunen,1,7
X171_primary.tumor,1,2
X172_shuttle.landing.control,1,10
X173_solar.flare,1,5
X174_solar.flare,1,6
X179_adult,1,4
X181_yeast,1,10
X182_satimage,1,2
X183_abalone,1,8
X184_kropt,1,7
X186_braziltourism,1,4
X187_wine,1,5
