@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute CfsSubsetEval {ok, timeout, memout, presolved, crash, other, unknown}
@attribute DecisionStump {ok, timeout, memout, presolved, crash, other, unknown}
@attribute DefaultAccuracy {ok, timeout, memout, presolved, crash, other, unknown}
@attribute EquivalentNumberOfAtts {ok, timeout, memout, presolved, crash, other, unknown}
@attribute Hoeffding {ok, timeout, memout, presolved, crash, other, unknown}
@attribute J48 {ok, timeout, memout, presolved, crash, other, unknown}
@attribute kNN1 {ok, timeout, memout, presolved, crash, other, unknown}
@attribute Statistics {ok, timeout, memout, presolved, crash, other, unknown}
@attribute NaiveBayes {ok, timeout, memout, presolved, crash, other, unknown}
@attribute NoiseToSignalRatio {ok, timeout, memout, presolved, crash, other, unknown}
@attribute Counting {ok, timeout, memout, presolved, crash, other, unknown}
@attribute RandomTree {ok, timeout, memout, presolved, crash, other, unknown}
@attribute REPTree {ok, timeout, memout, presolved, crash, other, unknown}

@data
X1000_hypothyroid,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1002_kdd_ipums_la_98.small,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1003_primary.tumor,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1005_glass,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1006_lymph,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1009_white.clover,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1010_dermatology,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1011_ecoli,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1013_analcatdata_challenger,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1014_analcatdata_dmft,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1015_confidence,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1017_arrhythmia,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1018_kdd_ipums_la_99.small,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1019_pendigits,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1020_mfeat.karhunen,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1021_page.blocks,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1022_mfeat.pixel,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1023_soybean,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1025_analcatdata_germangss,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1026_grub.damage,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1036_sylva_agnostic,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1037_ada_prior,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1038_gina_agnostic,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1039_hiva_agnostic,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1040_sylva_prior,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1041_gina_prior2,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1042_gina_prior,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1043_ada_agnostic,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1044_eye_movements,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1045_kc1.top5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1046_mozilla4,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1048_jEdit_4.2_4.3,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1049_pc4,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1050_pc3,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1053_jm1,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1054_mc2,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1055_cm1_req,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1056_mc1,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X1057_usp05.ft,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
