@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute ClassEntropy numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute DefaultAccuracy numeric
@attribute Dimensionality numeric
@attribute EquivalentNumberOfAtts numeric
@attribute HoeffdingAdwin.changes numeric
@attribute HoeffdingAdwin.warnings numeric
@attribute HoeffdingDDM.changes numeric
@attribute HoeffdingDDM.warnings numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxAttributeEntropy numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxMutualInformation numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanMutualInformation numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinAttributeEntropy numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinMutualInformation numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinorityClassPerentage numeric
@attribute MinorityClassSize numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute NaiveBayesAdwin.changes numeric
@attribute NaiveBayesAdwin.warnings numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesDdm.changes numeric
@attribute NaiveBayesDdm.warnings numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NoiseToSignalRatio numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1AttributeEntropy numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2MutualInformation numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3AttributeEntropy numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3MutualInformation numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute StdvNominalAttDistinctValues numeric

@data
X1000_hypothyroid,1,0.977775,0.027041,0.814758,0.977775,0.027041,0.814758,0.977775,0.027041,0.814758,0.392047,0.983953,0.020944,0.868449,0.922853,0.007953,234.832519,0,0,0,3,0.988171,0.005037,0.964457,0.988171,0.005037,0.964457,0.988171,0.005037,0.964457,0.664985,0.085101,0.347929,92.28526,3481,1.52069,11281.768225,26074559.210526,0.011951,5,103.694375,21111483.86778,0.337555,28.351958,-11345.172669,0.001669,2.090909,0.93836,9426.365926,-0,-2.004386,-91638847.147731,0,1,7.71474,291,-75.962778,0,0,0,0.912811,0,3,0.050106,0.547691,201.19237,21,2,30,3772,3772,6064,7,23,70,100,5.358784,23.333333,76.666667,0.09874,-1.198346,-0,0.000029,-0.035512,1,0.259375,-0.88351,0,0.000364,0.052147,1,0.475932,0.678038,8.674,0.002109,0.745201,4.080037,0.945993,0.015642,0.889279,0.945993,0.015642,0.889279,0.945993,0.015642,0.889279,0.9934,0.006363,0.954889,0.9934,0.006363,0.954889,0.9934,0.006363,0.954889,0.683763
X1002_kdd_ipums_la_98.small,1,0.728749,0.107816,0.028217,0.728749,0.107816,0.028217,0.728749,0.107816,0.028217,0.48674,0.817256,0.105678,0,0.894322,0.007482,25.88627,0,0,0,7,0.814336,0.106613,0.083447,0.814336,0.106613,0.083447,0.814336,0.106613,0.083447,0.588559,0.151102,0.174371,89.432198,6694,2.91985,11281.768225,26074559.210526,0.117222,15,103.694375,21111483.86778,1.107434,28.266,-10964.583268,0.018803,5.897436,0.938706,9893.72719,-0,-2.004386,-91638847.147731,0,1,10.567802,791,-75.962778,0,0,0,0.780906,1,98,0.543487,0.112486,57.896585,9,2,56,7485,7369,32427,16,40,16.071429,98.450234,7.736187,28.571429,71.428571,0.606428,-1.19824,-0,0.001478,-0.035512,1,1.018529,-0.878224,0,0.006712,0.052697,1,1.550181,0.672127,8.956963,0.019153,0.750697,4.218488,0.599464,0.152705,0.139861,0.599464,0.152705,0.139861,0.599464,0.152705,0.139861,0.8278,0.108216,0.018077,0.8278,0.108216,0.018077,0.8278,0.108216,0.018077,3.625893
X1003_primary.tumor,1,0.750817,0.218289,0.334765,0.750817,0.218289,0.334765,0.750817,0.218289,0.334765,0.807753,0.717204,0.253687,0.383454,0.752212,0.053097,22.563962,0,0,0,2,0.786625,0.215339,0.328531,0.786625,0.215339,0.328531,0.786625,0.215339,0.328531,0.787792,0.188791,0.454353,75.221239,255,1.233794,0,0,0.176434,3,0,0,0.761106,0,0,0.035798,2.176471,0,0,0.145069,0,0,0.000607,2,24.778761,84,0,0,0,0,0.854727,0,2,0.182891,0.480344,20.260924,15,2,18,339,207,225,0,18,83.333333,61.061947,3.687316,0,100,0.513401,0,0,0.003641,0,0,0.843447,0,0,0.015154,0,0,0.961335,0,0,0.029905,0,0,0.755619,0.221239,0.384397,0.755619,0.221239,0.384397,0.755619,0.221239,0.384397,0.781116,0.19469,0.417253,0.781116,0.19469,0.417253,0.781116,0.19469,0.417253,0.392953
X1005_glass,1,0.635727,0.336449,0.219295,0.635727,0.336449,0.219295,0.635727,0.336449,0.219295,0.938575,0.667143,0.32243,0.182483,0.64486,0.046729,?,0,0,0,0,0.705473,0.257009,0.420026,0.705473,0.257009,0.420026,0.705473,0.257009,0.420026,0.730168,0.233645,0.474356,64.485981,138,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,27.877057,-10809.160487,?,-1,0.92887,9753.957544,?,-2.004386,-91638847.147731,?,-1,35.514019,76,-75.962778,0,0,0,0.604817,0,0,0.443925,0.066661,?,1,2,10,214,0,0,9,1,10,0,0,90,10,?,-1.197264,-0,?,-0.035789,1,?,-0.870774,0.000659,?,0.051499,1,?,0.638777,9.703077,?,0.742699,4.646532,0.71005,0.271028,0.41519,0.71005,0.271028,0.41519,0.71005,0.271028,0.41519,0.590961,0.383178,0.178003,0.590961,0.383178,0.178003,0.590961,0.383178,0.178003,-1
X1006_lymph,1,0.825134,0.209459,0.57009,0.825134,0.209459,0.57009,0.825134,0.209459,0.57009,0.993536,0.784503,0.202703,0.594076,0.547297,0.128378,14.874375,0,0,0,0,0.826976,0.195946,0.604059,0.826976,0.195946,0.604059,0.826976,0.195946,0.604059,0.814446,0.195946,0.602003,54.72973,81,2.527126,11281.768225,26074559.210526,0.310969,8,103.694375,21111483.86778,1.117406,27.865723,-10802.518338,0.066795,2.933333,0.929709,9747.965569,0.274803,-2.004386,-91638847.147731,0.003841,2,45.27027,67,-75.962778,0,0,0,0.905288,0,0,0.175676,0.639903,15.728861,10,2,19,148,0,0,3,16,52.631579,0,0,15.789474,84.210526,0.740448,-1.197223,-0,0.013413,-0.035769,1,0.991553,-0.868576,0.00073,0.026635,0.051834,1,1.608259,0.638777,9.683808,0.089438,0.744005,4.637186,0.803206,0.216216,0.56026,0.803206,0.216216,0.56026,0.803206,0.216216,0.56026,0.810761,0.216216,0.553292,0.810761,0.216216,0.553292,0.810761,0.216216,0.553292,1.624221
X1009_white.clover,1,0.634211,0.412698,0.193103,0.634211,0.412698,0.193103,0.634211,0.412698,0.193103,0.969063,0.607368,0.444444,0.152738,0.603175,0.507937,10.34364,0,0,0,1,0.684211,0.349206,0.25,0.684211,0.349206,0.25,0.684211,0.349206,0.25,0.675789,0.31746,0.345794,60.31746,38,2.807355,11281.768225,26074559.210526,0.205184,7,103.694375,21111483.86778,1.839016,27.721308,-10735.773403,0.093687,4,0.931436,9688.655188,1.378783,-2.004386,-91638847.147731,0.001128,3,39.68254,25,-75.962778,0,0,0,0.752632,0,1,0.31746,0.362993,18.629387,1,2,32,63,0,0,27,5,3.125,0,0,84.375,15.625,1.430328,-1.196834,-0,0.015128,-0.035682,1,1.584963,-0.854162,0.001227,0.084218,0.052701,1,2.501757,0.670503,9.885863,0.181714,0.750188,4.815583,0.589474,0.396825,0.187726,0.589474,0.396825,0.187726,0.589474,0.396825,0.187726,0.49,0.396825,0,0.49,0.396825,0,0.49,0.396825,0,2
X1010_dermatology,1,0.967572,0.02459,0.94196,0.994288,0.005464,0.98707,0.99993,0.005464,0.987134,0.888515,0.967572,0.02459,0.94196,0.693989,0.095628,4.581974,0,0,0,0,0.969664,0.021858,0.94828,0.969664,0.021858,0.94828,0.969664,0.021858,0.94828,0.98079,0.013661,0.967593,69.398907,254,1.970305,11281.768225,26074559.210526,0.782096,4,103.694375,21111483.86778,1.197873,27.71552,-10733.581284,0.193915,3.909091,0.931261,9686.686663,0.39381,-2.004386,-91638847.147731,0.004216,2,30.601093,112,-75.962778,0,0,0,1,0,0,0.005464,0.987198,5.177301,2,2,35,366,8,8,1,34,5.714286,2.185792,0.062451,2.857143,97.142857,0.927138,-1.196825,-0,0.042832,-0.035682,1,1.247561,-0.852986,0.001235,0.114485,0.05279,1,1.527945,0.669691,9.889338,0.296178,0.749933,4.819803,0.947905,0.04918,0.884785,0.947905,0.04918,0.884785,0.947905,0.04918,0.884785,0.969066,0.02459,0.94196,0.969066,0.02459,0.94196,0.969066,0.02459,0.94196,0.384353
X1011_ecoli,1,0.940034,0.074405,0.847128,0.940034,0.074405,0.847128,0.940034,0.074405,0.847128,0.983967,0.874506,0.175595,0.648186,0.574405,0.02381,?,0,0,1,0,0.940034,0.074405,0.847128,0.940034,0.074405,0.847128,0.940034,0.074405,0.847128,0.951303,0.047619,0.902605,57.440476,193,?,11281.768225,26074559.210526,?,-1,103.694375,21111483.86778,-1,27.748679,-10718.312321,?,-1,0.935035,9672.907797,?,-2.004386,-91638847.147731,?,-1,42.559524,143,-75.962778,0,0,0,0.98826,1,1,0.044643,0.908277,?,1,2,8,336,0,0,7,1,12.5,0,0,87.5,12.5,?,-1.196787,-0,?,-0.035608,1,?,-0.85181,0.001555,?,0.052991,1,?,0.673474,9.88325,?,0.750762,4.81119,0.910377,0.08631,0.822991,0.910377,0.08631,0.822991,0.910377,0.08631,0.822991,0.943657,0.068452,0.861376,0.943657,0.068452,0.861376,0.943657,0.068452,0.861376,-1
X1013_analcatdata_challenger,1,0.54565,0.065217,0,0.581395,0.065217,0,0.424634,0.065217,0,0.347817,0.62963,0.065217,0,0.934783,0.021739,19.521002,0,0,0,2,0.470284,0.065217,0,0.470284,0.065217,0,0.470284,0.065217,0,0.542205,0.086957,-0.033708,93.478261,129,1.214295,11281.768225,26074559.210526,0.017818,3,103.694375,21111483.86778,1.214295,27.759014,-10711.621051,0.017818,3,0.937422,9667.475438,1.214295,-2.004386,-91638847.147731,0.017818,3,6.521739,9,-75.962778,0,0,0,0.605512,1,1,0.086957,-0.033708,67.151546,1,2,3,138,0,0,1,2,33.333333,0,0,33.333333,66.666667,1.214295,-1.196779,-0,0.017818,-0.035645,1,1.214295,-0.85102,0.001582,0.017818,0.053145,1,1.214295,0.677188,9.893795,0.017818,0.751119,4.821903,0.463394,0.086957,-0.033708,0.463394,0.086957,-0.033708,0.463394,0.086957,-0.033708,0.470284,0.065217,0,0.470284,0.065217,0,0.470284,0.065217,0,0
X1014_analcatdata_dmft,1,0.498387,0.194479,0,0.498387,0.194479,0,0.498387,0.194479,0,0.710748,0.525033,0.194479,0,0.805521,0.006274,125.920094,2,0,2,1,0.498387,0.194479,0,0.498387,0.194479,0,0.498387,0.194479,0,0.46323,0.291092,-0.046915,80.55207,642,3.083003,0,0,0.010296,9,0,0,2.016975,0,0,0.005644,5.25,0,0,0.99959,0,0,0.000163,2,19.44793,155,0,0,2,0,0.519365,2,1,0.194479,0,356.338472,2,2,5,797,0,0,0,5,40,0,0,0,100,1.108793,0,0,0.000899,0,0,1.992654,0,0,0.00606,0,0,2.949479,0,0,0.009974,0,0,0.448744,0.326223,-0.072701,0.448744,0.326223,-0.072701,0.448744,0.326223,-0.072701,0.507768,0.199498,-0.009882,0.507768,0.199498,-0.009882,0.507768,0.199498,-0.009882,3.304038
