@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE Dimensionality NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE MajorityClassPercentage NUMERIC
@ATTRIBUTE PercentageOfNumericFeatures NUMERIC
@ATTRIBUTE MajorityClassSize NUMERIC
@ATTRIBUTE PercentageOfBinaryFeatures NUMERIC
@ATTRIBUTE PercentageOfSymbolicFeatures NUMERIC
@ATTRIBUTE MinorityClassSize NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfSymbolicFeatures NUMERIC
@ATTRIBUTE NumberOfBinaryFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC

@DATA
3585,1,8.0,137.0,0.058394160583941604,0.0,0.0,68.61313868613139,37.5,94.0,50.0,62.5,43.0,0.0,3.0,0.0,5.0,4.0,2.0
3,1,37.0,3196.0,0.011576971214017523,0.0,0.0,0.522215269086358,0.0,1669.0,0.9459459459459459,1.0,1527.0,0.0,0.0,0.0,37.0,35.0,2.0
3587,1,11.0,200.0,0.055,0.0,0.0,51.5,90.9090909090909,103.0,9.090909090909092,9.090909090909092,97.0,0.0,10.0,0.0,1.0,1.0,2.0
6,1,17.0,20000.0,0.00085,0.0,0.0,0.04065,0.9411764705882353,813.0,0.0,0.058823529411764705,734.0,0.0,16.0,0.0,1.0,0.0,26.0
11,1,5.0,625.0,0.008,0.0,0.0,0.4608,0.8,288.0,0.0,0.2,49.0,0.0,4.0,0.0,1.0,0.0,3.0
12,1,217.0,2000.0,0.1085,0.0,0.0,10.0,99.53917050691244,200.0,0.0,0.4608294930875576,200.0,0.0,216.0,0.0,1.0,0.0,10.0
3595,1,4.0,44.0,0.09090909090909091,0.0,0.0,61.36363636363637,75.0,27.0,25.0,25.0,17.0,0.0,3.0,0.0,1.0,1.0,2.0
14,1,77.0,2000.0,0.0385,0.0,0.0,0.1,0.987012987012987,200.0,0.0,0.012987012987012988,200.0,0.0,76.0,0.0,1.0,0.0,10.0
15,1,10.0,699.0,0.01430615164520744,16.0,0.0022889842632331904,0.6552217453505007,0.9,458.0,0.1,0.1,241.0,0.022889842632331903,9.0,16.0,1.0,1.0,2.0
16,1,65.0,2000.0,0.0325,0.0,0.0,10.0,98.46153846153847,200.0,0.0,1.5384615384615385,200.0,0.0,64.0,0.0,1.0,0.0,10.0
3597,1,5.0,96.0,0.052083333333333336,0.0,0.0,51.041666666666664,80.0,49.0,20.0,20.0,47.0,0.0,4.0,0.0,1.0,1.0,2.0
18,1,7.0,2000.0,0.0035,0.0,0.0,0.1,0.8571428571428571,200.0,0.0,0.14285714285714285,200.0,0.0,6.0,0.0,1.0,0.0,10.0
3599,1,7.0,209.0,0.03349282296650718,0.0,0.0,73.20574162679426,85.71428571428571,153.0,14.285714285714285,14.285714285714285,56.0,0.0,6.0,0.0,1.0,1.0,2.0
20,1,241.0,2000.0,0.1205,0.0,0.0,10.0,0.0,200.0,0.0,100.0,200.0,0.0,0.0,0.0,241.0,0.0,10.0
21,1,7.0,1728.0,0.004050925925925926,0.0,0.0,70.02314814814815,0.0,1210.0,0.0,100.0,65.0,0.0,0.0,0.0,7.0,0.0,4.0
22,1,48.0,2000.0,0.024,0.0,0.0,10.0,97.91666666666666,200.0,0.0,2.083333333333333,200.0,0.0,47.0,0.0,1.0,0.0,10.0
23,1,10.0,1473.0,0.006788866259334691,0.0,0.0,42.701968771215206,20.0,629.0,30.0,80.0,333.0,0.0,2.0,0.0,8.0,3.0,3.0
3602,1,4.0,111.0,0.036036036036036036,0.0,0.0,52.25225225225225,75.0,58.0,25.0,25.0,53.0,0.0,3.0,0.0,1.0,1.0,2.0
25,1,28.0,368.0,0.07608695652173914,1927.0,18.701475155279503,63.04347826086957,25.0,232.0,17.857142857142858,75.0,136.0,98.09782608695652,7.0,361.0,21.0,5.0,2.0
