@RELATION ALGORITHM_FEATURES_OPENML-WEKA-2017-ALGO

@ATTRIBUTE algorithm STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Lines..Average. NUMERIC
@ATTRIBUTE Lines..Total. NUMERIC
@ATTRIBUTE Size..Average. NUMERIC
@ATTRIBUTE Size..Total. NUMERIC
@ATTRIBUTE Number.of.files NUMERIC
@ATTRIBUTE Cyclomatic..Average. NUMERIC
@ATTRIBUTE Cyclomatic..Total. NUMERIC
@ATTRIBUTE Max.Indent..Average. NUMERIC
@ATTRIBUTE Max.Indent..Total. NUMERIC
@ATTRIBUTE nb_nodes NUMERIC
@ATTRIBUTE nb_edges NUMERIC
@ATTRIBUTE degree_min NUMERIC
@ATTRIBUTE degree_max NUMERIC
@ATTRIBUTE degree_mean NUMERIC
@ATTRIBUTE degree_variance NUMERIC
@ATTRIBUTE degree_entropy NUMERIC
@ATTRIBUTE transitivity NUMERIC
@ATTRIBUTE clustering_min NUMERIC
@ATTRIBUTE clustering_max NUMERIC
@ATTRIBUTE clustering_mean NUMERIC
@ATTRIBUTE clustering_variance NUMERIC
@ATTRIBUTE path_min NUMERIC
@ATTRIBUTE paths_max NUMERIC
@ATTRIBUTE path_mean NUMERIC
@ATTRIBUTE path_variance NUMERIC
@ATTRIBUTE path_entropy NUMERIC

@DATA
X2361_weka.OneR,1,14.92,373,21196,21196,1,2.40909090909,53,1.90909090909,42,1653,1652,1,8,1.99879007864489,0.917674079998359,1.19016224967671,0,0,0,0,0,3,29,17.0973630831643,23.3685499431059,2.94733882488481
X2362_weka.J48,1,7.35185185185,397,24996,24996,1,0.615384615385,32,1.21153846154,63,731,730,1,8,1.99726402188782,0.901362367183254,1.1767361305762,0,0,0,0,0,3,23,14.3824884792627,18.4039511862093,2.74621303982451
X2364_weka.IBk,1,12.9756097561,532,31936,31936,1,2.02564102564,79,1.5641025641,61,1500,1499,1,8,1.99866666666667,0.923280409161663,1.21193580978027,0,0,0,0,0,3,33,17.4628820960699,30.6605448482127,3.05078969949556
X2367_weka.REPTree,1,19.3,1158,56437,56437,1,2.9649122807,169,2.19298245614,125,4755,4754,1,8,1.99957939011567,0.840975843243633,1.18474085317616,0,0,0,0,0,3,38,21.4323335771763,34.6658058974296,3.13328372262692
X2368_weka.RandomTree,1,17.8529411765,607,31089,31089,1,3.03125,97,2.21875,71,3171,3170,1,8,1.9993692841375,0.849841873365386,1.1802399162655,0,0,0,0,0,3,36,20.1545253863135,37.2423938628907,3.15301737974923
X2369_weka.RandomForest,1,7.64285714286,214,14087,14087,1,0.5,13,1.19230769231,31,492,491,1,8,1.99593495934959,1.03053333995662,1.18530639181322,0,0,0,0,0,3,23,13.1948051948052,18.955266955267,2.80208041471487
X2370_weka.LMT,1,7.4,333,25056,25056,1,0.418604651163,18,1.18604651163,51,438,437,1,8,1.99543378995434,1.02057406768858,1.23102485462957,0,0,0,0,0,3,20,12.4206896551724,14.2315134099617,2.60291042330321
X2373_weka.JRip,1,14.5769230769,1137,64631,64631,1,2.45833333333,177,1.48611111111,107,4453,4452,1,8,1.99955086458567,0.948337623928385,1.18897607286793,0,0,0,0,0,3,63,21.5059435364042,71.5720836072184,3.36001971331364
X2381_weka.NaiveBayes,1,23.56,589,32138,32138,1,4.30434782609,99,2.30434782609,53,3120,3119,1,8,1.99935897435897,0.836806257758486,1.17556733464328,0,0,0,0,0,3,39,22.9494949494949,46.0929519918284,3.27853454990365
X2647_weka.Logistic,1,16.9333333333,508,28025,28025,1,2.88888888889,78,1.55555555556,42,2278,2277,1,8,1.99912203687445,0.899428302184343,1.18188574896767,0,0,0,0,0,3,38,18.3253731343284,31.3199830444192,3.08654559246539
X2869_weka.SMO_PolyKernel,1,20.2166666667,1213,62430,62430,1,3.98245614035,227,2.01754385965,115,4674,4673,1,8,1.99957210098417,0.875240561566867,1.1918225582653,0,0,0,0,0,3,36,19.9390420899855,27.5736234826135,3.05903133992322
X2891_weka.HyperPipes,1,12,180,11658,11658,1,2.25,27,2.08333333333,25,939,938,1,8,1.99787007454739,0.904046631289014,1.19325966506051,0,0,0,0,0,3,27,15.4785714285714,26.5443420378904,3.00247900412131
X2893_weka.OLM,1,14.8043478261,681,44778,44778,1,2.52272727273,111,2,88,1306,1305,1,8,1.99846860643185,0.948656656868095,1.21864797749008,0,0,0,0,0,3,26,15.8814814814815,17.307700770077,2.76750357012905
X2897_weka.ConjunctiveRule,1,15.7704918033,962,52647,52647,1,2.60714285714,146,1.55357142857,87,4350,4349,1,8,1.99954022988506,0.897677415603534,1.19284311819106,0,0,0,0,0,3,31,19.559375,24.9081215793589,2.99240230230901
