@relation CV_OPENML-WEKA-2017-ALGO
@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric
@data
10067,1,1
10069,1,2
2097,1,4
2098,1,1
125879,1,10
125878,1,1
125875,1,9
125874,1,6
125877,1,8
125876,1,4
125871,1,4
125870,1,8
125873,1,6
10055,1,3
10054,1,9
10053,1,2
10050,1,8
1701,1,2
1702,1,9
1705,1,1
125849,1,5
125914,1,6
125915,1,2
125913,1,10
125910,1,7
125911,1,5
10070,1,1
10041,1,6
10045,1,10
10046,1,2
10047,1,9
1713,1,5
125855,1,6
1710,1,1
1717,1,7
125852,1,9
1715,1,5
125850,1,4
1719,1,10
125859,1,5
125905,1,6
125906,1,10
125901,1,8
125902,1,8
7535,1,9
7536,1,3
125909,1,8
7532,1,2
1728,1,10
1727,1,8
1722,1,4
1723,1,10
1720,1,2
1721,1,2
1731,1,7
1730,1,5
1735,1,1
1736,1,7
1740,1,3
125884,1,1
125885,1,1
125886,1,6
125887,1,3
125880,1,1
125881,1,10
1744,1,5
2102,1,4
125888,1,7
125889,1,9
1742,1,7
10084,1,3
10085,1,7
10086,1,10
10080,1,3
10082,1,7
10083,1,6
125892,1,3
125891,1,3
125890,1,8
125897,1,8
125894,1,6
1757,1,8
125899,1,10
125898,1,10
1752,1,4
10071,1,4
125857,1,5
10072,1,3
10075,1,2
10074,1,4
10077,1,8
10076,1,5
10079,1,2
1711,1,7
125854,1,7
125853,1,9
125851,1,9
1714,1,6
125868,1,6
125869,1,5
125866,1,4
125867,1,9
125865,1,7
1764,1,3
125861,1,9
