@RELATION ALGORITHM_RUNS_OPENML-WEKA-2017

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2097,1,8990_weka.MultilayerPerceptron,0.883826,ok
2097,1,8994_weka.MultilayerPerceptron,0.887714,ok
2097,1,8995_weka.MultilayerPerceptron,0.895334,ok
2097,1,2869_weka.SMO_PolyKernel,0.868429,ok
2097,1,2361_weka.OneR,0.591913,ok
2097,1,2362_weka.J48,0.862986,ok
2097,1,2364_weka.IBk,0.90311,ok
2097,1,2367_weka.REPTree,0.864697,ok
2097,1,2368_weka.RandomTree,0.847278,ok
2097,1,2369_weka.RandomForest,0.91633,ok
2097,1,2370_weka.LMT,0.877449,ok
2097,1,2371_weka.HoeffdingTree,0.796267,ok
2097,1,2882_weka.SMO_RBFKernel,0.832037,ok
2097,1,2373_weka.JRip,0.86563,ok
2097,1,2889_weka.IBk,0.903421,ok
2097,1,2891_weka.HyperPipes,0.478538,ok
2097,1,2381_weka.NaiveBayes,0.795334,ok
2097,1,2893_weka.OLM,0.412597,ok
2097,1,2894_weka.FURIA,0.893002,ok
2097,1,6352_weka.BayesNet,0.820529,ok
2097,1,2897_weka.ConjunctiveRule,0.436236,ok
2097,1,2898_weka.SimpleCart,0.87465,ok
2097,1,6355_weka.AdaBoostM1_NaiveBayes,0.795334,ok
2097,1,2900_weka.LADTree,0.831415,ok
2097,1,2647_weka.Logistic,0.859565,ok
2097,1,2903_weka.AdaBoostM1_DecisionStump,0.437947,ok
2097,1,2904_weka.AdaBoostM1_J48,0.904977,ok
2097,1,2906_weka.Bagging_REPTree,0.893468,ok
2097,1,6250_weka.DecisionTable,0.821462,ok
2097,1,6378_weka.LogitBoost_DecisionStump,0.854588,ok
2098,1,8990_weka.MultilayerPerceptron,0.27029,ok
2098,1,8994_weka.MultilayerPerceptron,0.269811,ok
2098,1,8995_weka.MultilayerPerceptron,0.27029,ok
2098,1,2869_weka.SMO_PolyKernel,0.249222,ok
2098,1,2361_weka.OneR,0.239885,ok
2098,1,2362_weka.J48,0.201819,ok
2098,1,2364_weka.IBk,0.198947,ok
2098,1,2367_weka.REPTree,0.255686,ok
2098,1,2368_weka.RandomTree,0.194158,ok
2098,1,2369_weka.RandomForest,0.234618,ok
2098,1,2370_weka.LMT,0.271008,ok
2098,1,2371_weka.HoeffdingTree,0.237491,ok
2098,1,2882_weka.SMO_RBFKernel,0.201101,ok
2098,1,2373_weka.JRip,0.183864,ok
2098,1,2889_weka.IBk,0.242758,ok
2098,1,2891_weka.HyperPipes,0.045008,ok
2098,1,2381_weka.NaiveBayes,0.238927,ok
2098,1,2893_weka.OLM,0.115633,ok
2098,1,2894_weka.FURIA,0.20565,ok
2098,1,6352_weka.BayesNet,0.24587,ok
2098,1,2897_weka.ConjunctiveRule,0.208044,ok
2098,1,2898_weka.SimpleCart,0.259756,ok
2098,1,6355_weka.AdaBoostM1_NaiveBayes,0.238927,ok
2098,1,2900_weka.LADTree,0.263826,ok
2098,1,2647_weka.Logistic,0.277711,ok
2098,1,2903_weka.AdaBoostM1_DecisionStump,0.209241,ok
2098,1,2904_weka.AdaBoostM1_J48,0.213311,ok
2098,1,2906_weka.Bagging_REPTree,0.244913,ok
2098,1,6250_weka.DecisionTable,0.258559,ok
2098,1,6378_weka.LogitBoost_DecisionStump,0.259756,ok
2102,1,8990_weka.MultilayerPerceptron,0.622283,ok
2102,1,8994_weka.MultilayerPerceptron,0.650815,ok
2102,1,8995_weka.MultilayerPerceptron,0.612772,ok
2102,1,2869_weka.SMO_PolyKernel,0.642663,ok
2102,1,2361_weka.OneR,0.584239,ok
2102,1,2362_weka.J48,0.631793,ok
2102,1,2364_weka.IBk,0.509511,ok
2102,1,2367_weka.REPTree,0.442935,ok
2102,1,2368_weka.RandomTree,0.519022,ok
2102,1,2369_weka.RandomForest,0.57337,ok
2102,1,2370_weka.LMT,0.657609,ok
2102,1,2371_weka.HoeffdingTree,0.53125,ok
2102,1,2882_weka.SMO_RBFKernel,0.471467,ok
2102,1,2373_weka.JRip,0.597826,ok
2102,1,2889_weka.IBk,0.538043,ok
2102,1,2891_weka.HyperPipes,0.298913,ok
2102,1,2381_weka.NaiveBayes,0.546196,ok
2102,1,2893_weka.OLM,0.294837,ok
2102,1,2894_weka.FURIA,0.618207,ok
2102,1,6352_weka.BayesNet,0.546196,ok
2102,1,2897_weka.ConjunctiveRule,0.506793,ok
2102,1,2898_weka.SimpleCart,0.642663,ok
