@relation dd
@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute acc numeric
@attribute runstatus {ok, timeout, memout, not_applicable, crash, other}

@data
"1000_hypothyroid",1,"trees.J48_c1",0.997614,"ok"
"1002_kdd_ipums_la_98-small",1,"trees.J48_c1",0.897528,"ok"
"1004_kdd_synthetic_control",1,"trees.J48_c1",0.993333,"ok"
"1005_glass",1,"trees.J48_c1",0.803738,"ok"
"1006_lymph",1,"trees.J48_c1",0.817568,"ok"
"1007_bridges",1,"trees.J48_c1",0.766355,"ok"
"1009_white-clover",1,"trees.J48_c1",0.68254,"ok"
"1010_dermatology",1,"trees.J48_c1",0.983607,"ok"
"1011_ecoli",1,"trees.J48_c1",0.940476,"ok"
"1012_flags",1,"trees.J48_c1",0.664948,"ok"
"1013_analcatdata_challenger",1,"trees.J48_c1",0.934783,"ok"
"1014_analcatdata_dmft",1,"trees.J48_c1",0.805521,"ok"
"1015_confidence",1,"trees.J48_c1",0.875,"ok"
"1016_vowel",1,"trees.J48_c1",0.987879,"ok"
"1017_arrhythmia",1,"trees.J48_c1",0.767699,"ok"
"1018_kdd_ipums_la_99-small",1,"trees.J48_c1",0.93374,"ok"
"1019_pendigits",1,"trees.J48_c1",0.989902,"ok"
"1020_mfeat-karhunen",1,"trees.J48_c1",0.971,"ok"
"1021_page-blocks",1,"trees.J48_c1",0.972958,"ok"
"1022_mfeat-pixel",1,"trees.J48_c1",0.9815,"ok"
"1025_analcatdata_germangss",1,"trees.J48_c1",0.8925,"ok"
"1026_grub-damage",1,"trees.J48_c1",0.767742,"ok"
"1036_sylva_agnostic",1,"trees.J48_c1",0.992497,"ok"
"1037_ada_prior",1,"trees.J48_c1",0.843928,"ok"
"1038_gina_agnostic",1,"trees.J48_c1",0.872837,"ok"
"1039_hiva_agnostic",1,"trees.J48_c1",0.962166,"ok"
"1040_sylva_prior",1,"trees.J48_c1",0.992914,"ok"
"1041_gina_prior2",1,"trees.J48_c1",0.75692,"ok"
"1042_gina_prior",1,"trees.J48_c1",0.873126,"ok"
"1043_ada_agnostic",1,"trees.J48_c1",0.833187,"ok"
"1044_eye_movements",1,"trees.J48_c1",0.659199,"ok"
"1045_kc1-top5",1,"trees.J48_c1",0.910345,"ok"
"1046_mozilla4",1,"trees.J48_c1",0.946671,"ok"
"1048_jEdit_4.2_4.3",1,"trees.J48_c1",0.674797,"ok"
"1049_pc4",1,"trees.J48_c1",0.89369,"ok"
"1050_pc3",1,"trees.J48_c1",0.872041,"ok"
"1053_jm1",1,"trees.J48_c1",0.798898,"ok"
"1054_mc2",1,"trees.J48_c1",0.664596,"ok"
"1055_cm1_req",1,"trees.J48_c1",0.775281,"ok"
"1056_mc1",1,"trees.J48_c1",0.993873,"ok"
"1059_ar1",1,"trees.J48_c1",0.917355,"ok"
