@relation R_data_frame

@attribute instance_id STRING
@attribute repetition numeric
@attribute ClassCount {ok, timeout, memout, not_applicable, crash, other}
@attribute ClassEntropy {ok, timeout, memout, not_applicable, crash, other}
@attribute DecisionStumpAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute DecisionStumpErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute DecisionStumpKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute DefaultAccuracy {ok, timeout, memout, not_applicable, crash, other}
@attribute DefaultTargetNominal {ok, timeout, memout, not_applicable, crash, other}
@attribute DefaultTargetNumerical {ok, timeout, memout, not_applicable, crash, other}
@attribute Dimensionality {ok, timeout, memout, not_applicable, crash, other}
@attribute EquivalentNumberOfAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute HoeffdingAdwin.changes {ok, timeout, memout, not_applicable, crash, other}
@attribute HoeffdingAdwin.warnings {ok, timeout, memout, not_applicable, crash, other}
@attribute HoeffdingDDM.changes {ok, timeout, memout, not_applicable, crash, other}
@attribute HoeffdingDDM.warnings {ok, timeout, memout, not_applicable, crash, other}
@attribute IncompleteInstanceCount {ok, timeout, memout, not_applicable, crash, other}
@attribute InstanceCount {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.00001.AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.00001.ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.00001.kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.00001.Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.0001.AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.0001.ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.0001.kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.0001.Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.001.AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.001.ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.001.kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute J48.001.Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute JRipAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute JRipErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute JRipKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_1NAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_1NErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_1NKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_2NAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_2NErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_2NKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_3NAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_3NErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute kNN_3NKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute MajorityClassSize {ok, timeout, memout, not_applicable, crash, other}
@attribute MaxNominalAttDistinctValues {ok, timeout, memout, not_applicable, crash, other}
@attribute MeanAttributeEntropy {ok, timeout, memout, not_applicable, crash, other}
@attribute MeanKurtosisOfNumericAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute MeanMeansOfNumericAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute MeanMutualInformation {ok, timeout, memout, not_applicable, crash, other}
@attribute MeanNominalAttDistinctValues {ok, timeout, memout, not_applicable, crash, other}
@attribute MeanSkewnessOfNumericAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute MeanStdDevOfNumericAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute MinNominalAttDistinctValues {ok, timeout, memout, not_applicable, crash, other}
@attribute MinorityClassSize {ok, timeout, memout, not_applicable, crash, other}
@attribute NaiveBayesAdwin.changes {ok, timeout, memout, not_applicable, crash, other}
@attribute NaiveBayesAdwin.warnings {ok, timeout, memout, not_applicable, crash, other}
@attribute NaiveBayesAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute NaiveBayesDdm.changes {ok, timeout, memout, not_applicable, crash, other}
@attribute NaiveBayesDdm.warnings {ok, timeout, memout, not_applicable, crash, other}
@attribute NaiveBayesErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute NaiveBayesKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute NBAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute NBErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute NBKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute NBTreeAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute NBTreeErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute NBTreeKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute NegativePercentage {ok, timeout, memout, not_applicable, crash, other}
@attribute NoiseToSignalRatio {ok, timeout, memout, not_applicable, crash, other}
@attribute NumAttributes {ok, timeout, memout, not_applicable, crash, other}
@attribute NumberOfClasses {ok, timeout, memout, not_applicable, crash, other}
@attribute NumberOfFeatures {ok, timeout, memout, not_applicable, crash, other}
@attribute NumberOfInstances {ok, timeout, memout, not_applicable, crash, other}
@attribute NumberOfInstancesWithMissingValues {ok, timeout, memout, not_applicable, crash, other}
@attribute NumberOfMissingValues {ok, timeout, memout, not_applicable, crash, other}
@attribute NumberOfNumericFeatures {ok, timeout, memout, not_applicable, crash, other}
@attribute NumberOfSymbolicFeatures {ok, timeout, memout, not_applicable, crash, other}
@attribute NumBinaryAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute NumMissingValues {ok, timeout, memout, not_applicable, crash, other}
@attribute NumNominalAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute NumNumericAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute PercentageOfBinaryAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute PercentageOfMissingValues {ok, timeout, memout, not_applicable, crash, other}
@attribute PercentageOfNominalAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute PercentageOfNumericAtts {ok, timeout, memout, not_applicable, crash, other}
@attribute PositivePercentage {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth1AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth1ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth1Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth2AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth2ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth2Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth3AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth3ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute RandomTreeDepth3Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth1AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth1ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth1Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth2AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth2ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth2Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth3AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth3ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute REPTreeDepth3Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute SimpleLogisticAUC {ok, timeout, memout, not_applicable, crash, other}
@attribute SimpleLogisticErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute SimpleLogisticKappa {ok, timeout, memout, not_applicable, crash, other}
@attribute StdvNominalAttDistinctValues {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe1AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe1ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe1Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe2AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe2ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe2Kappa {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe3AUC {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe3ErrRate {ok, timeout, memout, not_applicable, crash, other}
@attribute SVMe3Kappa {ok, timeout, memout, not_applicable, crash, other}

@data
1000_hypothyroid,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1002_kdd_ipums_la_98-small,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1004_kdd_synthetic_control,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1005_glass,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1006_lymph,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1007_bridges,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1009_white-clover,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1010_dermatology,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1011_ecoli,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1012_flags,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1013_analcatdata_challenger,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
1014_analcatdata_dmft,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
