@relation R_data_frame

@attribute instance_id {1000_hypothyroid,1002_kdd_ipums_la_98-small,1004_kdd_synthetic_control,1005_glass,1006_lymph,1007_bridges,1009_white-clover,1010_dermatology,1011_ecoli,1012_flags,1013_analcatdata_challenger,1014_analcatdata_dmft,1015_confidence,1016_vowel,1017_arrhythmia,1018_kdd_ipums_la_99-small,1019_pendigits,1020_mfeat-karhunen,1021_page-blocks,1022_mfeat-pixel,1025_analcatdata_germangss,1026_grub-damage,1036_sylva_agnostic,1037_ada_prior,1038_gina_agnostic,1039_hiva_agnostic,1040_sylva_prior,1041_gina_prior2,1042_gina_prior,1043_ada_agnostic,1044_eye_movements,1045_kc1-top5,1046_mozilla4,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1053_jm1,1054_mc2,1055_cm1_req,1056_mc1,1059_ar1,1060_ar3,1061_ar4,1062_ar5,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1074_desharnais,1075_datatrieve,10_lymph,1115_teachingAssistant,1117_desharnais,1118_chess,1119_adult-census,1121_badges2,'119_BNG(cmc,nominal,55296)',11_balance-scale,12_mfeat-factors,14_mfeat-fourier,151_electricity,15_breast-w,16_mfeat-karhunen,173_solar-flare,174_solar-flare,181_yeast,182_satimage,183_abalone,185_baseball,186_braziltourism,187_wine,188_eucalyptus,18_mfeat-morphological,1_anneal,20_mfeat-pixel,21_car,22_mfeat-zernike,23_cmc,255_BNG(cmc),25_colic,26_nursery,275_meta_all.arff,276_meta_batchincremental.arff,277_meta_ensembles.arff,278_meta_instanceincremental.arff,279_meta_stream_intervals.arff,27_colic,285_flags,28_optdigits,292_Australian,29_credit-a,2_anneal,307_vowel,30_page-blocks,310_mammography,311_oil_spill,312_scene,313_spectrometer,314_thyroid_sick,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,337_SPECTF,338_grub-damage,339_pasture,33_cylinder-bands,340_squash-stored,342_squash-unstored,343_white-clover,346_aids,35_dermatology,36_segment,373_UNIX_user_data,375_JapaneseVowels,377_synthetic_control,37_diabetes,38_sick,39_ecoli,3_kr-vs-kp,40_sonar,41_glass,43_haberman,443_analcatdata_broadway,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,453_analcatdata_bondrate,454_analcatdata_halloffame,455_cars,457_prnn_cushings,458_analcatdata_authorship,459_analcatdata_asbestos,461_analcatdata_creditscore,462_analcatdata_challenger,463_backache,464_prnn_synth,465_analcatdata_cyyoung8092,466_schizo,467_analcatdata_japansolvent,468_confidence,469_analcatdata_dmft,46_splice,470_profb,472_lupus,475_analcatdata_germangss,476_analcatdata_bankruptcy,477_fl2000,478_collins,479_analcatdata_cyyoung9302,480_prnn_viruses,481_biomed,488_colleges_aaup,48_tae,49_heart-c,4_labor,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,57_hypothyroid,59_ionosphere,5_arrhythmia,60_waveform-5000,61_iris,62_zoo,679_rmftsa_sleepdata,682_sleuth_ex2016,683_sleuth_ex2015,685_visualizing_livestock,694_diggle_table_a2,6_letter,713_vineyard,714_fruitfly,715_fri_c3_1000_25,716_fri_c3_100_50,717_rmftsa_ladata,718_fri_c4_1000_100,719_veteran,720_abalone,721_pwLinear,722_pol,723_fri_c4_1000_25,724_analcatdata_vineyard,725_bank8FM,726_fri_c2_100_5,728_analcatdata_supreme,729_visualizing_slope,730_fri_c1_250_5,731_baskball,732_fri_c0_250_50,733_machine_cpu,734_ailerons,735_cpu_small,736_visualizing_environmental,737_space_ga,738_pharynx,739_sleep,740_fri_c3_1000_10,741_rmftsa_sleepdata,742_fri_c4_500_100,743_fri_c1_1000_5,744_fri_c3_250_5,745_auto_price,746_fri_c1_250_25,747_servo,748_analcatdata_wildcat,749_fri_c3_500_5,750_pm10,751_fri_c4_1000_10,752_puma32H,753_wisconsin,754_fri_c0_100_5,755_sleuth_ex1605,756_autoPrice,757_meta,758_analcatdata_election2000,759_analcatdata_olympic2000,760_analcatdata_uktrainacc,761_cpu_act,762_fri_c2_100_10,763_fri_c0_250_10,764_analcatdata_apnea3,765_analcatdata_apnea2,766_fri_c1_500_50,767_analcatdata_apnea1,768_fri_c3_100_25,769_fri_c1_250_50,770_strikes,771_analcatdata_michiganacc,772_quake,773_fri_c0_250_25,774_disclosure_x_bias,775_fri_c2_100_25,776_fri_c0_250_5,777_sleuth_ex1714,778_bodyfat,779_fri_c1_500_25,780_rabe_265,782_rabe_266,783_fri_c3_100_10,784_newton_hema,785_wind_correlations,786_cleveland,787_witmer_census_1980,788_triazines,789_fri_c1_100_10,790_elusage,791_diabetes_numeric,792_fri_c2_500_5,793_fri_c3_250_10,794_fri_c2_250_25,795_disclosure_x_tampered,796_cpu,797_fri_c4_1000_50,798_cholesterol,799_fri_c0_1000_5,800_pyrim,801_chscase_funds,802_pbcseq,803_delta_ailerons,804_hutsof99_logis,805_fri_c4_500_50,806_fri_c3_1000_50,807_kin8nm,808_fri_c0_100_10,810_pbc,811_rmftsa_ctoarrivals,812_fri_c1_100_25,813_fri_c3_1000_5,814_chscase_vine2,815_chscase_vine1,816_puma8NH,817_diggle_table_a1,818_diggle_table_a2,819_delta_elevators,820_chatfield_4,821_house_16H,822_cal_housing,823_houses,824_fri_c1_500_10,825_boston_corrected,826_sensory,827_disclosure_x_noise,828_fri_c4_100_100,829_fri_c1_100_5,830_fri_c2_250_10,831_autoMpg,832_fri_c3_250_25,833_bank32nh,834_fri_c4_250_100,835_analcatdata_vehicle,836_sleuth_case1102,837_fri_c1_1000_50,838_fri_c4_500_25,839_kdd_el_nino-small,840_autoHorse,841_stock,842_analcatdata_runshoes,843_house_8L,844_breastTumor,845_fri_c0_1000_10,846_elevators,847_wind,848_schlvote,849_fri_c0_1000_25,850_fri_c0_100_50,851_tecator,852_analcatdata_gsssexsurvey,853_housing,854_fishcatch,855_fri_c4_500_10,857_bolts,858_hungarian,859_analcatdata_gviolence,860_vinnie,861_auto93,862_sleuth_ex2016,863_fri_c4_250_10,864_sleuth_ex2015,865_analcatdata_neavote,866_fri_c2_1000_50,867_visualizing_livestock,868_fri_c4_100_25,869_fri_c2_500_10,870_fri_c1_500_5,871_pollen,872_boston,873_fri_c3_250_50,874_rabe_131,875_analcatdata_chlamydia,876_fri_c1_100_50,877_fri_c2_250_50,878_fri_c4_100_10,879_fri_c2_500_25,880_mu284,882_pollution,884_fri_c0_500_5,885_transplant,886_no2,887_mbagrade,888_fri_c0_500_50,889_fri_c0_100_25,890_cloud,891_sleuth_case1202,892_sleuth_case1201,893_visualizing_hamster,894_rabe_148,895_chscase_geyser1,896_fri_c3_500_25,897_colleges_aaup,898_hip,899_analcatdata_negotiation,900_chscase_census6,902_sleuth_case2002,903_fri_c2_1000_25,904_fri_c0_1000_50,905_chscase_adopt,906_chscase_census5,907_chscase_census4,908_chscase_census3,909_chscase_census2,910_fri_c1_1000_10,911_fri_c2_250_5,912_fri_c2_1000_5,913_fri_c2_1000_10,914_balloon,915_plasma_retinol,916_fri_c3_100_5,917_fri_c1_1000_25,918_fri_c4_250_50,919_rabe_166,920_fri_c2_500_50,921_analcatdata_seropositive,922_fri_c2_100_50,923_visualizing_soil,924_humandevel,925_visualizing_galaxy,926_fri_c0_500_25,927_hutsof99_child_witness,928_rabe_97,929_rabe_176,930_colleges_usnews,931_disclosure_z,932_fri_c4_100_50,933_fri_c4_250_25,934_socmob,935_fri_c1_250_10,936_fri_c3_500_10,937_fri_c3_500_50,938_sleuth_ex1221,939_chscase_whale,941_lowbwt,942_chscase_health,943_fri_c0_500_10,944_echoMonths,945_kidney,946_visualizing_ethanol,947_arsenic-male-bladder,948_quake,949_arsenic-female-bladder,950_arsenic-female-lung,951_arsenic-male-lung,952_prnn_fglass,954_spectrometer,955_tae,956_molecular-biology_promoters,957_braziltourism,958_segment,959_nursery,961_analcatdata_broadwaymult,962_mfeat-morphological,963_heart-h,964_pasture,965_zoo,966_analcatdata_halloffame,967_cars,968_analcatdata_birthday,969_iris,970_analcatdata_authorship,971_mfeat-fourier,972_squash-stored,973_wine,974_hayes-roth,975_autos,976_kdd_JapaneseVowels,977_letter,978_mfeat-factors,979_waveform-5000,980_optdigits,982_heart-c,983_cmc,984_analcatdata_draft,985_squash-unstored,987_collins,988_fl2000,989_anneal,990_eucalyptus,991_car,992_analcatdata_broadway,993_kdd_ipums_la_97-small,994_vehicle,995_mfeat-zernike,996_prnn_fglass,997_balance-scale,998_analcatdata_bondrate,9_autos}
@attribute repetition numeric
@attribute ClassCount numeric
@attribute ClassEntropy numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute DefaultAccuracy numeric
@attribute DefaultTargetNominal {FALSE,TRUE}
@attribute DefaultTargetNumerical {FALSE,TRUE}
@attribute Dimensionality numeric
@attribute EquivalentNumberOfAtts numeric
@attribute HoeffdingAdwin.changes numeric
@attribute HoeffdingAdwin.warnings numeric
@attribute HoeffdingDDM.changes numeric
@attribute HoeffdingDDM.warnings numeric
@attribute IncompleteInstanceCount numeric
@attribute InstanceCount numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.kappa numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.kappa numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.kappa numeric
@attribute J48.001.Kappa numeric
@attribute JRipAUC numeric
@attribute JRipErrRate numeric
@attribute JRipKappa numeric
@attribute kNN_1NAUC numeric
@attribute kNN_1NErrRate numeric
@attribute kNN_1NKappa numeric
@attribute kNN_2NAUC numeric
@attribute kNN_2NErrRate numeric
@attribute kNN_2NKappa numeric
@attribute kNN_3NAUC numeric
@attribute kNN_3NErrRate numeric
@attribute kNN_3NKappa numeric
@attribute MajorityClassSize numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanMutualInformation numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinorityClassSize numeric
@attribute NaiveBayesAdwin.changes numeric
@attribute NaiveBayesAdwin.warnings numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesDdm.changes numeric
@attribute NaiveBayesDdm.warnings numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NBAUC numeric
@attribute NBErrRate numeric
@attribute NBKappa numeric
@attribute NBTreeAUC numeric
@attribute NBTreeErrRate numeric
@attribute NBTreeKappa numeric
@attribute NegativePercentage numeric
@attribute NoiseToSignalRatio numeric
@attribute NumAttributes numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute NumBinaryAtts numeric
@attribute NumMissingValues numeric
@attribute NumNominalAtts numeric
@attribute NumNumericAtts numeric
@attribute PercentageOfBinaryAtts numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNominalAtts numeric
@attribute PercentageOfNumericAtts numeric
@attribute PositivePercentage numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute SimpleLogisticAUC numeric
@attribute SimpleLogisticErrRate numeric
@attribute SimpleLogisticKappa numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute SVMe1AUC numeric
@attribute SVMe1ErrRate numeric
@attribute SVMe1Kappa numeric
@attribute SVMe2AUC numeric
@attribute SVMe2ErrRate numeric
@attribute SVMe2Kappa numeric
@attribute SVMe3AUC numeric
@attribute SVMe3ErrRate numeric
@attribute SVMe3Kappa numeric

@data
1000_hypothyroid,1,?,?,?,?,?,0.922853,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3481,?,?,?,?,?,?,?,?,?,291,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,30,3772,3772,6064,7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1002_kdd_ipums_la_98-small,1,?,?,?,?,?,0.894322,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6694,?,?,?,?,?,?,?,?,?,791,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,56,7485,7369,32427,16,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1004_kdd_synthetic_control,1,?,?,?,?,?,0.833333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,500,?,?,?,?,?,?,?,?,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,62,600,0,0,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1005_glass,1,2,0.938575,0.667143,0.32243,0.182483,0.64486,?,?,0.046729,-1,0,0,0,0,0,214,0.697225,0.252336,?,0.421737,0.697225,0.252336,?,0.421737,0.679777,0.257009,?,0.420026,0.662281,0.313084,0.334169,0.730168,0.233645,0.474356,0.773789,0.247664,0.482242,0.785088,0.252336,0.428826,138,-1,-1,9.591524,11.265852,-1,-1,1.63715,0.689541,-1,76,0,0,0.604817,0,0,0.443925,0.066661,?,?,?,0.708762,0.271028,0.408276,0.64486,-1,10,2,10,214,0,0,9,?,0,0,0,9,0,0,0,0.9,0.35514,0.568173,0.373832,0.174064,0.678776,0.345794,0.270902,0.703518,0.28972,0.327726,0.5,0.35514,0,0.575706,0.359813,0.12379,0.590961,0.383178,0.178003,0.606693,0.383178,0.076032,-1,0.615179,0.359813,0.112081,0.744851,0.32243,0.276815,0.747235,0.299065,0.318878
1006_lymph,1,?,?,?,?,?,0.547297,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,81,?,?,?,?,?,?,?,?,?,67,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,19,148,0,0,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1007_bridges,1,?,?,?,?,?,0.588785,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,?,44,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,13,107,37,71,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1009_white-clover,1,?,?,?,?,?,0.603175,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38,?,?,?,?,?,?,?,?,?,25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,32,63,0,0,27,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1010_dermatology,1,?,?,?,?,?,0.693989,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,254,?,?,?,?,?,?,?,?,?,112,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,35,366,8,8,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1011_ecoli,1,2,0.983967,0.874506,0.175595,0.648186,0.574405,?,?,0.02381,-1,0,0,1,0,0,336,0.940034,0.074405,?,0.847128,0.940034,0.074405,?,0.847128,0.940034,0.074405,?,0.847128,0.961738,0.047619,0.902428,0.951303,0.047619,0.902605,0.951303,0.047619,0.902605,0.951303,0.047619,0.902605,193,-1,-1,51.026716,0.499566,-1,-1,3.58404,0.143729,-1,143,0,0,0.98826,1,1,0.044643,0.908277,?,?,?,0.962789,0.074405,0.846289,0.574405,-1,8,2,8,336,0,0,7,?,0,0,0,7,0,0,0,0.875,0.425595,0.910377,0.08631,0.822991,0.910377,0.08631,0.822991,0.910377,0.08631,0.822991,0.943657,0.068452,0.861376,0.943657,0.068452,0.861376,0.943657,0.068452,0.861376,0.988152,0.044643,0.908444,-1,0.952208,0.047619,0.902781,0.952208,0.047619,0.902781,0.952208,0.047619,0.902781
1012_flags,1,?,?,?,?,?,0.64433,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,125,?,?,?,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,30,194,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1013_analcatdata_challenger,1,2,0.347817,0.62963,0.065217,0,0.934783,?,?,0.021739,19.521002,0,0,0,2,0,138,0.470284,0.065217,?,0,0.470284,0.065217,?,0,0.470284,0.065217,?,0,0.470284,0.065217,0,0.542205,0.086957,-0.033708,0.484496,0.086957,-0.033708,0.490095,0.086957,-0.033708,129,3,1.214295,-0.038449,69.565217,0.017818,3,-0.608061,6.927104,3,9,0,0,0.605512,1,1,0.086957,-0.033708,?,?,?,0.424634,0.065217,0,0.934783,67.151546,3,2,3,138,0,0,1,?,0,0,1,1,0,0,0.333333,0.333333,0.065217,0.62963,0.065217,0,0.667528,0.086957,-0.033708,0.593023,0.086957,-0.033708,0.470284,0.065217,0,0.470284,0.065217,0,0.470284,0.065217,0,0.5,0.065217,0,0,0.469273,0.065217,0,0.539621,0.065217,0,0.583549,0.065217,0
1014_analcatdata_dmft,1,?,?,?,?,?,0.805521,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,642,?,?,?,?,?,?,?,?,?,155,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,5,797,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1015_confidence,1,?,?,?,?,?,0.833333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,4,72,0,0,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1016_vowel,1,?,?,?,?,?,0.909091,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,900,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,14,990,0,0,10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1017_arrhythmia,1,?,?,?,?,?,0.542035,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,245,?,?,?,?,?,?,?,?,?,207,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,280,452,384,408,206,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1018_kdd_ipums_la_99-small,1,2,0.343991,0.799729,0.064224,0,0.935776,?,?,0.006445,31.781988,0,0,3,43,8844,8844,0.5,0.064224,?,0,0.5,0.064224,?,0,0.5,0.064224,?,0,0.58759,0.068521,0.223732,0.567946,0.093849,0.147969,0.599884,0.066373,0.06289,0.635998,0.074401,0.123865,8276,17,1.126266,3.611338,84686.378517,0.010823,6.219512,1.111546,101572.027708,1,568,2,0,0.80175,6,20,0.535957,0.080344,?,?,?,0.78906,0.069426,0.123453,0.935776,103.057988,57,2,57,8844,8844,34843,15,?,9,34843,41,15,0.157895,0.069118,0.719298,0.263158,0.064224,0.626721,0.064224,0,0.734824,0.064224,0,0.769834,0.065242,0.00998,0.5,0.064224,0,0.5,0.064224,0,0.5,0.064224,0,0.883932,0.065242,0.0711,3.927545,0.828925,0.064677,0.095645,0.726927,0.117707,0.218674,0.643471,0.092379,0.183947
1019_pendigits,1,2,0.481784,0.86856,0.104076,0,0.895924,?,?,0.001547,-1,0,0,3,7,0,10992,0.96957,0.014738,?,0.921516,0.96957,0.014738,?,0.921516,0.96957,0.014738,?,0.921516,0.966717,0.014647,0.922683,0.996161,0.002729,0.985466,0.996161,0.002729,0.985466,0.996161,0.002729,0.985466,9848,-1,-1,-0.501588,50.711046,-1,-1,-0.039189,29.774238,-1,1144,4,0,0.986864,1,10,0.027475,0.863142,?,?,?,0.995212,0.010462,0.944222,0.895924,-1,17,2,17,10992,0,0,16,?,0,0,0,16,0,0,0,0.941176,0.104076,0.965262,0.0131,0.929806,0.965262,0.0131,0.929806,0.965262,0.0131,0.929806,0.987478,0.019833,0.894629,0.987478,0.019833,0.894629,0.987478,0.019833,0.894629,0.999171,0.006914,0.962953,-1,0.982855,0.007187,0.961624,0.982855,0.007187,0.961624,0.982855,0.007187,0.961624
1020_mfeat-karhunen,1,?,?,?,?,?,0.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1800,?,?,?,?,?,?,?,?,?,200,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,65,2000,0,0,64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1021_page-blocks,1,?,?,?,?,?,0.89768,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4913,?,?,?,?,?,?,?,?,?,560,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,11,5473,0,0,10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1022_mfeat-pixel,1,?,?,?,?,?,0.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1800,?,?,?,?,?,?,?,?,?,200,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,241,2000,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1025_analcatdata_germangss,1,?,?,?,?,?,0.775,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,310,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,6,400,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1026_grub-damage,1,?,?,?,?,?,0.683871,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,106,?,?,?,?,?,?,?,?,?,49,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,9,155,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
