@relation algorithm_runs_OpenML_MetaLearning_2016

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute area_under_roc_curve numeric
@attribute predictive_accuracy numeric
@attribute precision numeric
@attribute recall numeric
@attribute kappa numeric
@attribute f_measure numeric
@attribute root_mean_squared_error numeric
@attribute root_relative_squared_error numeric
@attribute mean_absolute_error numeric
@attribute relative_absolute_error numeric
@attribute kb_relative_information_score numeric
@attribute runstatus {ok, timeout, memout, not_applicable, crash, other}

@data
1,1,378,0.998876,0.989978,0.990038,0.989978,0.974928,0.989608,0.092156,0.340169,0.017628,0.13125,3964.913527,ok
1,1,385,0.966767,0.973274,0.973093,0.973274,0.932592,0.972519,0.312118,1.206689,0.223348,1.660759,-120.466822,ok
1,1,387,0.861062,0.918708,0.870648,0.918708,0.768111,0.892631,0.317011,1.227687,0.226424,1.685891,-131.479362,ok
1,1,404,0.989017,0.989978,0.990094,0.989978,0.974899,0.98999,0.105657,0.390004,0.013859,0.098278,4027.406129,ok
1,1,405,1,0.996659,0.996764,0.996659,0.991665,0.996648,0.061244,0.237181,0.003825,0.028481,4231.902117,ok
1,1,406,1,0.996622,0.996721,0.996622,0.992307,0.996406,0.057583,0.212553,0.003347,0.023732,867.046512,ok
1,1,407,0.999957,0.995546,0.995661,0.995546,0.988883,0.995415,0.058124,0.223908,0.0035,0.026061,4257.095452,ok
1,1,411,1,1,1,1,1,1,0.056189,0.217605,0.003179,0.023668,4285.058028,ok
1,1,413,1,1,1,1,1,1,0.102553,0.378547,0.014562,0.103257,4172.65433,ok
1,1,417,0.989308,0.945434,0.95513,0.945434,0.872002,0.947787,0.141551,0.522496,0.026576,0.188455,3745.120226,ok
1,1,418,0.963619,0.859243,0.856035,0.859243,0.547865,0.822721,0.221414,0.81729,0.103727,0.735539,1887.886455,ok
1,1,419,0.999957,0.996622,0.996721,0.996622,0.99235,0.996643,0.064708,0.250594,0.016802,0.125106,4036.371309,ok
1,1,420,0.984683,0.976615,0.976502,0.976615,0.941195,0.976509,0.105403,0.408192,0.011337,0.084411,3967.831786,ok
1,1,422,1,1,1,1,1,1,0.050557,0.19579,0.00266,0.019809,4299.391412,ok
1,1,423,1,0.996622,0.996809,0.996622,0.992353,0.996666,0.072266,0.279865,0.005331,0.039694,4204.851294,ok
1,1,471,0.998275,0.994432,0.994579,0.994432,0.986129,0.994308,0.066581,0.257847,0.01183,0.088081,862.403462,ok
1,1,482,0.907699,0.836303,0.701563,0.836303,0.43469,0.762396,0.219538,0.850205,0.120067,0.893986,409.503013,ok
1,1,523,0.999658,0.992205,0.992223,0.992205,0.980468,0.992051,0.071905,0.278466,0.011117,0.082772,8494.402557,ok
1,1,524,0.999187,0.988864,0.988962,0.988864,0.97214,0.988504,0.072834,0.282065,0.012038,0.089633,8368.338488,ok
1,1,527,1,0.996622,0.996637,0.996622,0.992273,0.996574,0.069908,0.258046,0.014377,0.101948,4105.479255,ok
1,1,528,0.985939,0.954788,0.945702,0.954788,0.883717,0.95008,0.134138,0.497835,0.048684,0.362488,3214.025314,ok
1,1,531,0.795212,0.836303,0.701563,0.836303,0.43469,0.762396,0.239574,0.902209,0.065878,0.467148,2107.015102,ok
1,1,532,0.99956,0.993318,0.99333,0.993318,0.983293,0.993284,0.075152,0.279252,0.022012,0.163893,3938.143594,ok
1,1,534,0.998991,0.978842,0.978521,0.978842,0.946121,0.978024,0.311274,1.205469,0.223349,1.661787,-119.543966,ok
1,1,585,0.985212,0.988864,0.988803,0.988864,0.971925,0.988412,0.059309,0.229687,0.007361,0.054807,837.890425,ok
1,1,589,0.5,0.761693,0.580176,0.761693,0,0.658657,0.281844,1.091494,0.079436,0.591457,203.027594,ok
1,1,591,0.992129,0.98441,0.98521,0.98441,0.961495,0.984431,0.066576,0.257827,0.011973,0.089146,822.438694,ok
1,1,592,0.491457,0.761693,0.580176,0.761693,0,0.658657,0.258226,1.00003,0.134414,1.00081,-1.243922,ok
1,1,593,0.999534,0.992205,0.992211,0.992205,0.980549,0.992205,0.048733,0.188729,0.007349,0.054718,846.481517,ok
1,1,597,0.491457,0.761693,0.580176,0.761693,0,0.658657,0.258226,1.00003,0.134414,1.00081,-1.243922,ok
1,1,598,0.989915,0.945434,0.954312,0.945434,0.871521,0.94764,0.176053,0.681801,0.037716,0.280824,767.655636,ok
1,1,677,0.996843,0.993243,0.993305,0.993243,0.984455,0.992133,0.081713,0.316451,0.007007,0.052174,8554.418502,ok
1,1,1068,0.994494,0.988864,0.9887,0.988864,0.972097,0.988728,0.078615,0.30445,0.008116,0.06043,8434.788135,ok
1,1,1069,0.5,0.761693,0.580176,0.761693,0,0.658657,0.27123,1.001172,0.138354,1.00705,3.751948,ok
1,1,1070,0.981104,0.98441,0.984749,0.98441,0.961051,0.983242,0.091996,0.356272,0.008463,0.063015,8278.978657,ok
1,1,1071,0.658228,0.836303,0.701563,0.836303,0.43469,0.762396,0.246598,0.910251,0.060811,0.431214,4151.077722,ok
1,1,1073,0.994176,0.984744,0.98426,0.984744,0.961732,0.984326,0.088334,0.327047,0.0099,0.073716,8345.260841,ok
1,1,1074,0.911506,0.845212,0.977123,0.845212,0.674426,0.901006,0.284747,1.092514,0.081081,0.592562,5432.367469,ok
1,1,1076,0.987454,0.993243,0.993305,0.993243,0.98446,0.992966,0.081434,0.315368,0.009244,0.068831,8338.551841,ok
1,1,1077,0.995927,0.982739,0.982324,0.982739,0.956947,0.9824,0.102676,0.397634,0.017388,0.129467,8276.304119,ok
1,1,1078,0.983398,0.985523,0.985771,0.985523,0.963916,0.985415,0.104376,0.404215,0.01151,0.085697,8334.102907,ok
1,1,1079,0.999829,0.995768,0.995755,0.995768,0.989374,0.995709,0.066131,0.256106,0.017785,0.132426,8366.466079,ok
1,1,1080,0.989344,0.987751,0.987793,0.987751,0.969169,0.987295,0.106676,0.393767,0.012584,0.089234,8362.611592,ok
1,1,1082,1,1,1,1,1,1,0.063165,0.244621,0.00787,0.058594,8553.144362,ok
1,1,1084,0.995203,0.989978,0.989789,0.989978,0.974841,0.989836,0.087674,0.339535,0.009512,0.070823,8455.443319,ok
1,1,1087,0.82515,0.761693,0.753874,0.761693,0.186437,0.658657,0.457484,1.771698,0.226673,1.687743,3.751948,ok
1,1,1088,0.996943,0.993318,0.993284,0.993318,0.983226,0.993232,0.071975,0.278739,0.009319,0.069387,8505.026023,ok
1,1,1090,0.813166,0.788196,0.815789,0.788196,0.450333,0.770298,0.234418,0.865292,0.100336,0.72529,2958.588773,ok
1,1,1091,0.988262,0.993243,0.993305,0.993243,0.98446,0.992966,0.07733,0.299477,0.008156,0.060724,8356.786328,ok
1,1,1094,0.983661,0.98441,0.984782,0.98441,0.961044,0.983237,0.092372,0.357728,0.013045,0.09616,8238.483047,ok
1,1,1096,0.994051,0.989865,0.991216,0.989865,0.976948,0.990377,0.179649,0.695725,0.109342,0.814133,3530.300892,ok
1,1,1098,0.861992,0.844098,0.828124,0.844098,0.563933,0.810292,0.212272,0.795112,0.083889,0.624613,4211.047894,ok
1,1,1100,0.883084,0.978619,0.979919,0.978619,0.947087,0.978708,0.356449,1.38042,0.260231,1.937608,-196.553997,ok
1,1,1101,0.5,0.761693,0.580176,0.761693,0,0.658657,0.27123,1.001172,0.138354,1.00705,3.751948,ok
1,1,1103,0.939958,0.746622,0.877408,0.746622,0.573389,0.766186,0.283179,1.096665,0.166174,1.237287,-5.057861,ok
1,1,1104,0.985987,0.991425,0.991378,0.991425,0.978425,0.991346,0.106119,0.39171,0.011261,0.079854,8552.299341,ok
1,1,1105,0.992822,0.991425,0.991378,0.991425,0.978425,0.991346,0.119457,0.440944,0.024582,0.183028,8488.023983,ok
1,1,1106,0.987313,0.959911,0.959911,0.959911,0.897852,0.959399,0.140226,0.543054,0.028876,0.215003,7659.079887,ok
1,1,1108,0.983414,0.956125,0.94843,0.956125,0.889752,0.95218,0.134717,0.503909,0.047228,0.351646,6430.403201,ok
1,1,1112,0.778224,0.827703,0.846746,0.827703,0.523846,0.795059,0.434072,1.68103,0.188419,1.402913,979.970863,ok
1,1,1114,0.99689,0.993243,0.993305,0.993243,0.984455,0.992689,0.081708,0.31643,0.007007,0.052169,8576.670387,ok
1,1,1117,0.969115,0.904454,0.900446,0.904454,0.732135,0.877003,0.185866,0.719801,0.100988,0.751925,4215.710478,ok
1,1,1154,0.967696,0.876169,0.933718,0.876169,0.741555,0.891173,0.211452,0.794877,0.053943,0.382517,6096.782219,ok
1,1,1155,0.969502,0.872829,0.931352,0.872829,0.73585,0.888104,0.211113,0.803731,0.054131,0.385849,6020.433121,ok
1,1,1160,0.958637,0.961693,0.961302,0.961693,0.904365,0.961459,0.133013,0.515119,0.020692,0.154068,7799.815133,ok
1,1,1163,0.958637,0.961693,0.961302,0.961693,0.904365,0.961459,0.133013,0.515119,0.020692,0.154068,7799.815133,ok
1,1,1165,0.995689,0.987751,0.988036,0.987751,0.969666,0.987835,0.082914,0.307862,0.011551,0.086006,8399.131308,ok
1,1,1168,0.992319,0.963252,0.970157,0.963252,0.914918,0.965245,0.110787,0.429043,0.020969,0.156128,7878.589578,ok
1,1,1172,0.70077,0.85078,0.861743,0.85078,0.517777,0.824399,0.242175,0.937871,0.058649,0.436683,4711.044138,ok
1,1,1177,1,1,1,1,1,1,0.064477,0.249701,0.008723,0.06495,8504.205478,ok
1,1,1178,0.966767,0.973385,0.973093,0.973385,0.932592,0.972729,0.312118,1.206689,0.223348,1.660759,-120.466822,ok
1,1,1179,0.860318,0.91882,0.870781,0.91882,0.768344,0.892739,0.3182,1.227687,0.227177,1.685891,-137.386298,ok
1,1,1182,0.911471,0.836303,0.701563,0.836303,0.43469,0.762396,0.222627,0.829272,0.121529,0.90487,2198.181788,ok
1,1,1183,0.990414,0.972973,0.971359,0.972973,0.937997,0.970519,0.097957,0.379356,0.014144,0.105313,7966.769085,ok
1,1,1185,0.999119,0.989978,0.990038,0.989978,0.974928,0.989608,0.092156,0.340169,0.017628,0.13125,8306.904698,ok
1,1,1186,0.848701,0.836303,0.746815,0.836303,0.436186,0.774364,0.228496,0.843433,0.099435,0.708137,3205.288195,ok
1,1,1188,0.989248,0.988864,0.988803,0.988864,0.971925,0.988412,0.074292,0.28771,0.010977,0.081728,8420.006799,ok
1,1,1190,0.5,0.761693,0.580176,0.761693,0,0.658657,0.298268,1.100976,0.088964,0.63085,2030.275942,ok
1,1,1191,0.999914,0.995434,0.99546,0.995434,0.988565,0.99528,0.075508,0.292421,0.012327,0.091783,8640.260321,ok
1,1,1192,0.911471,0.836303,0.701563,0.836303,0.43469,0.762396,0.241833,0.894632,0.121528,0.904864,3890.975433,ok
1,1,1193,0.5,0.761693,0.580176,0.761693,0,0.658657,0.27123,1.001172,0.138354,1.00705,3.751948,ok
1,1,1194,0.998391,0.992205,0.992229,0.992205,0.980391,0.991828,0.1262,0.465833,0.048806,0.346084,7446.390827,ok
1,1,1196,0.999319,0.991091,0.991078,0.991091,0.97772,0.99103,0.070969,0.261961,0.015718,0.111456,8396.949361,ok
1,1,1197,0.989331,0.987751,0.987871,0.987751,0.969292,0.987246,0.076886,0.283802,0.006757,0.047913,8417.669938,ok
1,1,1200,0.9895,0.989865,0.990003,0.989865,0.976559,0.988722,0.081027,0.313794,0.013765,0.102493,8143.611432,ok
1,1,1244,0.995342,0.992205,0.992229,0.992205,0.980427,0.991827,0.101801,0.375769,0.015226,0.107971,8400.069483,ok
2,1,378,0.983375,0.937639,0.936776,0.937639,0.839979,0.936096,0.151342,0.586102,0.053396,0.397569,6708.170625,ok
2,1,385,0.873917,0.890869,0.891137,0.890869,0.728676,0.888796,0.315554,1.221549,0.225526,1.678669,-126.254611,ok
2,1,387,0.719842,0.824053,0.790778,0.824053,0.453294,0.77346,0.321128,1.239116,0.229204,1.700484,-144.834081,ok
2,1,404,0.920129,0.955457,0.956406,0.955457,0.882639,0.953432,0.140295,0.543322,0.0234,0.174233,3582.437887,ok
2,1,405,0.988563,0.949889,0.950287,0.949889,0.875414,0.950012,0.140656,0.544717,0.023123,0.163968,3686.098018,ok
2,1,406,0.998099,0.995546,0.9956,0.995546,0.988864,0.995529,0.077098,0.298578,0.006727,0.05009,4237.58216,ok
2,1,407,0.999957,0.994432,0.994486,0.994432,0.986018,0.994259,0.060009,0.232397,0.003686,0.027443,4257.539668,ok
2,1,411,0.987947,0.969595,0.969217,0.969595,0.92976,0.969035,0.133372,0.51651,0.018892,0.140666,3774.629601,ok
2,1,413,0.999889,0.989865,0.98979,0.989865,0.976829,0.989799,0.108164,0.402816,0.022165,0.165033,4082.910526,ok
2,1,417,0.972944,0.901782,0.920117,0.901782,0.778804,0.906007,0.235414,0.911688,0.125856,0.93709,3322.821827,ok
2,1,418,0.963619,0.859243,0.856035,0.859243,0.547865,0.822721,0.221414,0.81729,0.103727,0.735539,1887.886455,ok
2,1,419,0.975775,0.959459,0.959533,0.959459,0.90587,0.958888,0.14753,0.57134,0.033126,0.246647,3421.753918,ok
2,1,420,0.98698,0.956081,0.956286,0.956081,0.899593,0.955918,0.145543,0.563644,0.022774,0.169571,3676.569144,ok
2,1,422,0.990334,0.951002,0.952213,0.951002,0.884146,0.951275,0.133934,0.518686,0.024101,0.179447,3670.715754,ok
2,1,423,0.968763,0.908784,0.902088,0.908784,0.778793,0.900615,0.165792,0.642062,0.053859,0.40102,2966.135272,ok
2,1,471,0.997227,0.996659,0.996764,0.996659,0.991665,0.996648,0.063149,0.244556,0.011846,0.088203,867.141371,ok
2,1,482,0.908509,0.836303,0.762811,0.836303,0.43469,0.771805,0.225623,0.873769,0.120096,0.894202,399.457198,ok
2,1,523,0.985441,0.943318,0.943017,0.943318,0.85536,0.94219,0.147171,0.56995,0.055179,0.405596,6808.747265,ok
2,1,524,0.992188,0.961024,0.960404,0.961024,0.900347,0.960089,0.110122,0.406821,0.028119,0.199392,7645.922467,ok
2,1,527,0.993336,0.966216,0.966988,0.966216,0.92386,0.966393,0.122205,0.473261,0.030703,0.228607,3645.264642,ok
2,1,528,0.972541,0.924722,0.91961,0.924722,0.799532,0.912194,0.177047,0.65352,0.063209,0.448938,2870.18362,ok
2,1,531,0.795212,0.836303,0.701563,0.836303,0.43469,0.762396,0.235012,0.904635,0.065878,0.467148,2107.015102,ok
2,1,532,0.992239,0.952116,0.951944,0.952116,0.879125,0.951847,0.144018,0.557738,0.058869,0.438323,3040.464892,ok
2,1,534,0.967787,0.908686,0.902318,0.908686,0.754331,0.90239,0.314362,1.217428,0.225538,1.679291,-125.2225,ok
2,1,585,0.982948,0.94098,0.941148,0.94098,0.850621,0.93795,0.123453,0.478097,0.03491,0.25993,702.420144,ok
2,1,589,0.5,0.761693,0.580176,0.761693,0,0.658657,0.281844,1.091494,0.079436,0.591457,203.027594,ok
2,1,591,0.994425,0.987751,0.988246,0.987751,0.96952,0.987768,0.063149,0.244556,0.011846,0.088203,825.388352,ok
2,1,592,0.491503,0.761693,0.580176,0.761693,0,0.658657,0.258226,1.00003,0.134414,1.00081,-1.243922,ok
2,1,593,0.986424,0.949889,0.949702,0.949889,0.874026,0.949729,0.117529,0.455154,0.032619,0.242872,721.895311,ok
2,1,597,0.491457,0.761693,0.580176,0.761693,0,0.658657,0.258226,1.00003,0.134414,1.00081,-1.243922,ok
2,1,598,0.972944,0.893096,0.920117,0.893096,0.766633,0.89969,0.273705,1.059978,0.082554,0.614672,568.030074,ok
2,1,677,0.944016,0.880846,0.877028,0.880846,0.697773,0.876968,0.18556,0.718617,0.055518,0.413374,5929.390714,ok
2,1,1068,0.976638,0.930958,0.93007,0.930958,0.821787,0.929301,0.165157,0.639605,0.054175,0.403372,6733.310649,ok
2,1,1069,0.5,0.761693,0.580176,0.761693,0,0.658657,0.27123,1.001172,0.138354,1.00705,3.751948,ok
2,1,1070,0.966459,0.971047,0.972146,0.971047,0.929194,0.970072,0.124861,0.483548,0.01559,0.11608,7986.090401,ok
2,1,1071,0.658228,0.836303,0.701563,0.836303,0.43469,0.762396,0.246598,0.910251,0.060811,0.431214,4151.077722,ok
2,1,1073,0.968568,0.946548,0.946185,0.946548,0.861044,0.94542,0.148296,0.574305,0.043012,0.317058,6987.066106,ok
2,1,1074,0.644323,0.449889,0.83593,0.449889,0.219034,0.548661,0.496386,1.922354,0.246399,1.834621,-55.669516,ok
2,1,1076,0.962768,0.933185,0.934652,0.933185,0.834178,0.933301,0.165445,0.624896,0.045849,0.325116,7034.895303,ok
2,1,1077,0.980505,0.923163,0.921974,0.923163,0.798836,0.920805,0.160467,0.62144,0.051998,0.387161,6714.15204,ok
2,1,1078,0.965057,0.933185,0.934843,0.933185,0.849944,0.933224,0.167117,0.647195,0.044922,0.33448,6986.816311,ok
2,1,1079,0.992465,0.959459,0.959281,0.959459,0.90685,0.959178,0.136139,0.527226,0.052379,0.39,7030.01387,ok
2,1,1080,0.996814,0.975501,0.975596,0.975501,0.937109,0.975012,0.118678,0.459602,0.031812,0.236866,7587.833295,ok
2,1,1082,0.982272,0.957684,0.957864,0.957684,0.894344,0.957664,0.139832,0.541525,0.023509,0.175045,7713.545977,ok
2,1,1084,0.976818,0.930958,0.93007,0.930958,0.821787,0.929301,0.164584,0.637382,0.053776,0.400398,6758.741161,ok
2,1,1087,0.703143,0.76392,0.725775,0.76392,0.135948,0.663857,0.466633,1.807127,0.23273,1.732843,3.751948,ok
2,1,1088,0.92768,0.936526,0.93647,0.936526,0.836692,0.935224,0.168878,0.654012,0.040489,0.301469,7135.697558,ok
2,1,1090,0.862688,0.782405,0.798191,0.782405,0.450333,0.763893,0.231809,0.855659,0.098489,0.709637,3153.479387,ok
2,1,1091,0.956591,0.927617,0.927109,0.927617,0.815766,0.926808,0.167247,0.621732,0.040988,0.29277,7041.966453,ok
2,1,1094,0.950712,0.952116,0.951213,0.952116,0.878928,0.951579,0.142357,0.525473,0.030385,0.215459,7373.88756,ok
2,1,1096,0.994051,0.989865,0.991216,0.989865,0.976948,0.990377,0.179649,0.695725,0.109342,0.814133,3530.300892,ok
2,1,1098,0.666678,0.836303,0.701563,0.836303,0.43469,0.762396,0.228191,0.842304,0.096747,0.705104,2840.682814,ok
2,1,1100,0.885007,0.978619,0.979919,0.978619,0.947087,0.978708,0.339702,1.315562,0.247235,1.840841,-168.174611,ok
