@relation feature_values_OpenML_MetaLearning_2016

@attribute instance_id string
@attribute repetition numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute DefaultAccuracy numeric
@attribute MajorityClassSize numeric
@attribute MinorityClassSize numeric
@attribute NumberOfClasses numeric
@attribute Dimensionality numeric
@attribute IncompleteInstanceCount numeric
@attribute InstanceCount numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute NumAttributes numeric
@attribute NumBinaryAtts numeric
@attribute NumMissingValues numeric
@attribute NumNominalAtts numeric
@attribute NumNumericAtts numeric
@attribute PercentageOfBinaryAtts numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNominalAtts numeric
@attribute PercentageOfNumericAtts numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute HoeffdingAdwin.changes numeric
@attribute HoeffdingAdwin.warnings numeric
@attribute HoeffdingDDM.changes numeric
@attribute HoeffdingDDM.warnings numeric
@attribute NaiveBayesAdwin.changes numeric
@attribute NaiveBayesAdwin.warnings numeric
@attribute NaiveBayesDdm.changes numeric
@attribute NaiveBayesDdm.warnings numeric
@attribute ClassCount numeric
@attribute ClassEntropy numeric
@attribute EquivalentNumberOfAtts numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanMutualInformation numeric
@attribute NegativePercentage numeric
@attribute NoiseToSignalRatio numeric
@attribute PositivePercentage numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.Kappa numeric
@attribute JRipAUC numeric
@attribute JRipErrRate numeric
@attribute JRipKappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute SimpleLogisticAUC numeric
@attribute SimpleLogisticErrRate numeric
@attribute SimpleLogisticKappa numeric
@attribute kNN_1NAUC numeric
@attribute kNN_1NErrRate numeric
@attribute kNN_1NKappa numeric
@attribute kNN_2NAUC numeric
@attribute kNN_2NErrRate numeric
@attribute kNN_2NKappa numeric
@attribute kNN_3NAUC numeric
@attribute kNN_3NErrRate numeric
@attribute kNN_3NKappa numeric
@attribute NBTreeAUC numeric
@attribute NBTreeErrRate numeric
@attribute NBTreeKappa numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute SVMe1AUC numeric
@attribute SVMe1ErrRate numeric
@attribute SVMe1Kappa numeric
@attribute SVMe2AUC numeric
@attribute SVMe2ErrRate numeric
@attribute SVMe2Kappa numeric
@attribute SVMe3AUC numeric
@attribute SVMe3ErrRate numeric
@attribute SVMe3Kappa numeric

@data
1,1,39,898,0,0,6,0.761693,684,0,6,0.04343,0,898,10,4.60703,348.504268,3.21875,2.022468,405.17327,2,39,14,0,32,6,0.358974,0,0.820513,0.153846,2.059351,0,0,1,16,0,0,1,5,6,-1,-12.218452,-1,0.081843,0.761693,-13.218452,0,0.822828,0.228285,0.450333,0.788018,0.122494,0.927046,0.077951,0.927046,0.077951,0.759797,0.232739,0.289425,0.966686,0.067929,0.832483,0.992479,0.025612,0.935387,0.637186,0.789497,0.789497,0.969325,0.016704,0.957664,0.813071,0.230512,0.332838,0.890719,0.151448,0.586716,0.970195,0.070156,0.817465,0.996368,0.017817,0.95475,0.948265,0.030067,0.922629,0.954226,0.053452,0.863509,0.969375,0.047884,0.877579,0.990925,0.022272,0.944105,0.959422,0.138085,0.718556,0.992016,0.036748,0.906164,0.986101,0.021158,0.947425,0.985818,0.03118,0.921315
2,1,39,898,898,22175,6,0.761693,684,0,6,0.04343,898,898,9,4.60703,348.504268,2.3125,2.022468,405.17327,1,39,7,22175,32,6,0.179487,0.633173,0.820513,0.153846,2.070336,0,0,1,15,0,0,0,6,6,-1,-22.557085,-1,0.044332,0.761693,-23.557085,0,0.865274,0.228285,0.450333,0.593993,0.197105,0.593993,0.197105,0.593993,0.197105,0.569269,0.218263,0.141642,0.713366,0.19265,0.300865,0.822151,0.171492,0.418951,0.267904,0.267904,0.267904,0.910974,0.065702,0.828006,0.636958,0.238307,0,0.696573,0.242762,-0.005217,0.778991,0.229399,0.094364,0.944263,0.113586,0.703183,0.872195,0.063474,0.82611,0.903736,0.073497,0.79861,0.929521,0.083519,0.763167,0.993134,0.025612,0.934555,0.931591,0.246102,0.556959,0.930478,0.129176,0.658716,0.943381,0.108018,0.722908,0.93041,0.112472,0.708597
3,1,37,3196,0,0,0,0.522215,1669,1527,2,0.011577,0,3196,3,0,0,2.055556,0,0,2,37,34,0,36,0,0.918919,0,0.972973,0,0.232311,3,0,3,0,4,0,3,0,2,0.998576,52.140402,-1,0.019152,0.522215,-53.21478,0.477785,0.671403,33.948686,0.339644,0.989123,2.878598,0.989232,2.878598,0.99114,2.09637,0.671403,33.948686,0.339644,0.831345,24.530663,0.49744,0.935526,9.574468,0.806981,0.984326,0.984326,0.984326,0.991532,0.010951,0.978049,0.945136,0.054443,0.89085,0.945136,0.054443,0.89085,0.945136,0.054443,0.89085,0.993358,0.035357,0.929121,0.972843,0.069149,0.860968,0.972843,0.069149,0.860968,0.972843,0.069149,0.860968,0.995419,0.013141,0.973665,0.952042,0.121089,0.756971,0.955182,0.044743,0.910339,0.955182,0.044743,0.910339,0.955182,0.044743,0.910339
4,1,17,57,56,326,8,0.649123,37,20,2,0.298246,56,57,3,1.537657,9.412291,2.625,0.241415,2.23551,2,17,3,326,8,8,0.176471,0.336429,0.470588,0.470588,0.517549,0,0,1,1,0,0,0,0,2,0.934849,9.288287,1.038393,0.100648,0.649123,9.317054,0.350877,0.737838,31.578947,0.322325,0.705405,31.578947,0.805405,28.070175,0.805405,28.070175,0.528378,35.087719,0.106583,0.604054,21.052632,0.515581,0.604054,21.052632,0.515581,0.410853,0.410853,0.410853,0.805405,0.192982,0.590464,0.750071,0.298246,0.337662,0.750071,0.298246,0.337662,0.750071,0.298246,0.337662,0.963514,0.122807,0.720784,0.767568,0.210526,0.55814,0.767568,0.210526,0.55814,0.767568,0.210526,0.55814,0.954054,0.140351,0.698811,0.944595,0.070175,0.845946,0.809459,0.157895,0.641008,0.809459,0.157895,0.641008,0.809459,0.157895,0.641008
5,1,280,452,384,408,206,0.542035,245,0,16,0.619469,384,452,2,47.772658,14.348605,2,1.269808,9.970201,2,280,73,408,73,206,0.260714,0.003224,0.260714,0.735714,0,0,0,0,6,0,0,0,7,16,-1,-62.853128,-1,0.01591,0.542035,-63.853128,0,0.601558,43.362832,0.187535,0.754047,30.752212,0.759398,30.752212,0.758716,31.19469,0.560329,46.017699,0.080141,0.690255,40.707965,0.316615,0.728155,35.176991,0.416357,0.519053,0.518198,0.508597,0.771799,0.289823,0.53576,0.533606,0.45354,0.024426,0.536281,0.462389,0.045759,0.653429,0.429204,0.170069,0.867679,0.289823,0.532098,0.59857,0.464602,0.212779,0.626066,0.431416,0.15848,0.650652,0.411504,0.187726,0.76018,0.347345,0.438816,0.786228,0.396018,0.406572,0.819417,0.424779,0.423646,0.801422,0.438053,0.386371,0.805743,0.409292,0.409376
7,1,70,226,222,317,0,0.252212,57,1,24,0.309735,222,226,6,0,0,2.231884,0,0,2,70,61,317,69,0,0.871429,0.020038,0.985714,0,0.750391,0,0,1,3,0,0,1,3,24,3.421947,24.870653,0.318115,0.13759,0.252212,1.312057,0.004425,0.758368,53.539823,0.305939,0.90907,31.415929,0.910043,30.088496,0.90686,29.20354,0.748708,60.619469,0.219491,0.855664,40.707965,0.496513,0.893103,32.300885,0.608542,0.626837,0.642679,0.652979,0.877917,0.327434,0.606411,0.758368,0.535398,0.305939,0.791287,0.530973,0.329543,0.799261,0.482301,0.403679,0.952785,0.163717,0.80833,0.871837,0.265487,0.685827,0.893417,0.358407,0.570836,0.903893,0.40708,0.509438,0.92813,0.314159,0.626298,0.946542,0.380531,0.532923,0.950906,0.243363,0.70909,0.948416,0.243363,0.709722,0.927939,0.283186,0.660995
9,1,26,205,46,59,15,0.326829,67,0,7,0.126829,46,205,22,1.274879,1447.091008,6,0.791632,606.987934,2,26,4,59,10,15,0.153846,0.011069,0.384615,0.576923,6.110101,0,0,0,3,0,0,0,2,7,-1,-3.479562,1.392578,0.287393,0.326829,3.84556,0,0.693905,55.121951,0.21368,0.802955,39.512195,0.779546,42.439024,0.777229,41.463415,0.778192,48.780488,0.34653,0.785936,46.829268,0.374344,0.803721,43.902439,0.417632,0.478076,0.439768,0.454412,0.810688,0.312195,0.583016,0.669095,0.570732,0.189915,0.820073,0.439024,0.41514,0.817514,0.414634,0.442846,0.876917,0.312195,0.596556,0.825862,0.258537,0.666329,0.843924,0.380488,0.503771,0.857495,0.370732,0.517692,0.86288,0.282927,0.631672,0.836849,0.419512,0.462467,0.878486,0.263415,0.658555,0.894789,0.287805,0.629805,0.891943,0.273171,0.648036
10,1,19,148,0,0,3,0.547297,81,2,4,0.128378,0,148,8,9.427894,2.045045,2.933333,2.29505,1.018402,2,19,9,0,15,3,0.473684,0,0.789474,0.157895,1.624221,0,0,0,0,0,0,0,0,4,1.227678,9.376802,1.117406,0.130927,0.547297,7.534568,0.013514,0.771566,24.324324,0.531646,0.767368,28.378378,0.767368,28.378378,0.770866,27.702703,0.709749,35.135135,0.33148,0.746658,29.054054,0.430362,0.746658,29.054054,0.430362,0.434498,0.434498,0.45918,0.784214,0.222973,0.557448,0.763571,0.331081,0.355607,0.737868,0.277027,0.454022,0.718706,0.331081,0.353135,0.912502,0.182432,0.652673,0.827738,0.195946,0.623707,0.826357,0.236486,0.529647,0.862633,0.202703,0.598408,0.902341,0.209459,0.606821,0.908328,0.155405,0.701482,0.91229,0.162162,0.685357,0.910437,0.168919,0.680097,0.904391,0.175676,0.660969
11,1,5,625,0,0,4,0.4608,288,49,3,0.008,0,625,-1,-1.30272,3,-1,0,1.415346,-1,5,0,0,0,4,0,0,0,0.8,-1,0,0,1,9,0,0,0,10,3,1.318116,-1,-1,-1,0.4608,-1,0.0784,0.646919,37.6,0.302671,0.791595,25.28,0.791595,25.28,0.816028,24.48,0.652626,36.48,0.323442,0.707124,37.12,0.311573,0.772186,30.56,0.433234,0.531157,0.531157,0.545994,0.827829,0.2,0.62908,0.662177,0.3776,0.299703,0.741394,0.3648,0.323442,0.814085,0.2704,0.498516,0.973597,0.1216,0.776006,0.923201,0.1648,0.702793,0.93296,0.1504,0.727862,0.946492,0.1376,0.748798,0.870455,0.208,0.615552,0.963095,0.104,0.807122,0.980715,0.1072,0.812264,0.986285,0.0944,0.835034,0.982515,0.0944,0.834326
12,1,217,2000,0,0,216,0.1,200,200,10,0.1085,0,2000,-1,-0.318741,318.270389,-1,0.027533,49.581313,-1,217,0,0,0,216,0,0,0,0.995392,-1,16,0,9,4,3,0,1,0,10,3.321928,-1,-1,-1,0.1,-1,0.1,0.720747,80.65,0.103889,0.936843,14.05,0.937191,13.85,0.932915,13.9,0.720747,80.65,0.103889,0.851237,62.85,0.301667,0.919118,36.6,0.593333,0.843889,0.846111,0.845556,0.933277,0.1655,0.816111,0.709133,0.8055,0.105,0.821995,0.655,0.272222,0.88628,0.5005,0.443889,0.997056,0.0325,0.963889,0.975326,0.044,0.951111,0.983856,0.056,0.937778,0.986917,0.0465,0.948333,0.963985,0.1555,0.827222,0.991907,0.0765,0.915,0.995633,0.0365,0.959444,0.995628,0.0315,0.965,0.995952,0.033,0.963333
