@RELATION feature_values_premarshalling_astar_2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-max NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE bflb NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,16,5,0.3125,0.6,0.0625,625,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29
BF1_cpmp_16_5_48_10_29_12,1,16,5,0.3125,0.6,0.1875,0.5625,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29
BF1_cpmp_16_5_48_10_29_14,1,16,5,0.3125,0.6,0.1875,625,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29
BF1_cpmp_16_5_48_10_29_15,1,16,5,0.3125,0.6,0.0625,0.5,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29
BF1_cpmp_16_5_48_10_29_17,1,16,5,0.3125,0.6,125,0.5625,0,6,4.36364,1.55346,2,10,4.66667,2.44949,0.3625,29
BF1_cpmp_16_5_48_10_29_18,1,16,5,0.3125,0.6,0.0625,625,0,6,4.36364,1.55346,2,8,4.5,1.85742,0.3625,29
BF1_cpmp_16_5_48_10_29_19,1,16,5,0.3125,0.6,0.0625,0.5625,0,7,4.36364,1.77214,2,10,5.33333,2.10819,0.3625,29
BF1_cpmp_16_5_48_10_29_20,1,16,5,0.3125,0.6,125,625,0,6,4.36364,1.55346,2,10,4.9,2.66271,0.3625,29
BF1_cpmp_16_5_48_10_29_3,1,16,5,0.3125,0.6,125,0.75,0,6,4.36364,1.49379,2,9,4.33333,2.28522,0.3625,29
BF1_cpmp_16_5_48_10_29_4,1,16,5,0.3125,0.6,0.1875,625,0,6,4.36364,1.49379,2,9,5,2.09762,0.3625,29
BF1_cpmp_16_5_48_10_29_5,1,16,5,0.3125,0.6,125,0.5625,0,7,4.36364,1.72008,2,8,5,2,0.3625,29
BF1_cpmp_16_5_48_10_29_6,1,16,5,0.3125,0.6,0.25,0.75,0,6,4.36364,1.49379,2,7,3.91667,1.65622,0.3625,29
BF1_cpmp_16_5_48_10_29_7,1,16,5,0.3125,0.6,0.0625,625,0,5,4.36364,1.43164,2,8,4.3,2.05183,0.3625,29
BF1_cpmp_16_5_48_10_29_8,1,16,5,0.3125,0.6,125,0.5625,0,6,4.36364,1.55346,2,9,4.55556,2.00616,0.3625,29
BF1_cpmp_16_5_48_10_29_9,1,16,5,0.3125,0.6,125,0.75,0,6,4.36364,1.91988,2,8,4.66667,1.84089,0.3625,29
BF10_cpmp_16_8_77_16_58_13,1,16,8,0.5,0.601562,0.1875,625,0,6,4.52941,1.37702,2,12,8,3.4641,0.453125,58
BF10_cpmp_16_8_77_16_58_3,1,16,8,0.5,0.601562,0.1875,625,0,8,4.52941,1.57621,3,15,6.9,3.61801,0.453125,58
BF10_cpmp_16_8_77_16_58_8,1,16,8,0.5,0.601562,0.25,625,0,6,4.52941,1.33362,2,12,6.1,3.36006,0.453125,58
BF11_cpmp_16_8_77_31_47_10,1,16,8,0.5,0.601562,0,0.75,0,5,2.40625,0.896499,2,26,11.8333,7.32386,0.367188,49
BF11_cpmp_16_8_77_31_47_11,1,16,8,0.5,0.601562,0,0.9375,0,5,2.40625,1.34302,2,23,10.8667,6.05383,0.367188,49
BF11_cpmp_16_8_77_31_47_16,1,16,8,0.5,0.601562,0,875,0,5,2.40625,0.963696,2,17,10.2857,4.39852,0.367188,51
BF11_cpmp_16_8_77_31_47_6,1,16,8,0.5,0.601562,0,1,0,7,2.40625,1.19529,2,25,12.5,6.99107,0.367188,51
BF11_cpmp_16_8_77_31_47_7,1,16,8,0.5,0.601562,0,0.9375,0,5,2.40625,1.08568,2,26,11.7333,6.9519,0.367188,49
BF12_cpmp_16_8_77_31_58_14,1,16,8,0.5,0.601562,125,0.75,0,6,2.40625,1.08568,3,29,14.1667,7.74417,0.453125,58
BF17_cpmp_20_5_60_12_36_1,1,20,5,0.25,0.6,0.1,0.55,0,7,4.61538,1.54613,2,12,6.36364,3.11223,0.36,36
BF17_cpmp_20_5_60_12_36_10,1,20,5,0.25,0.6,0.15,0.6,0,8,4.61538,1.68881,2,11,6,2.48328,0.36,36
BF17_cpmp_20_5_60_12_36_11,1,20,5,0.25,0.6,0.05,0.65,0,7,4.61538,1.59511,2,10,4.61538,2.33826,0.36,37
BF17_cpmp_20_5_60_12_36_12,1,20,5,0.25,0.6,0.05,0.65,0,7,4.61538,1.59511,2,10,5.23077,2.69341,0.36,36
BF17_cpmp_20_5_60_12_36_15,1,20,5,0.25,0.6,0.25,0.65,0,8,4.61538,1.77757,2,11,5.92308,2.46394,0.36,36
BF17_cpmp_20_5_60_12_36_16,1,20,5,0.25,0.6,0.15,0.65,0,7,4.61538,1.54613,2,11,5.53846,2.70656,0.36,36
BF17_cpmp_20_5_60_12_36_17,1,20,5,0.25,0.6,0.15,0.65,0,6,4.61538,1.49556,3,10,5.46154,2.06119,0.36,36
BF17_cpmp_20_5_60_12_36_2,1,20,5,0.25,0.6,0.05,0.6,0,8,4.61538,1.82033,2,10,5.25,2.34965,0.36,36
BF17_cpmp_20_5_60_12_36_20,1,20,5,0.25,0.6,0.1,0.7,0,8,4.61538,1.77757,2,12,6.07143,3.26156,0.36,36
BF17_cpmp_20_5_60_12_36_3,1,20,5,0.25,0.6,0.05,0.65,0,7,4.61538,1.54613,2,10,5.30769,2.64239,0.36,37
BF17_cpmp_20_5_60_12_36_4,1,20,5,0.25,0.6,0.15,0.55,0,7,4.61538,1.68881,2,7,4.45455,1.97086,0.36,37
BF17_cpmp_20_5_60_12_36_5,1,20,5,0.25,0.6,0.05,0.75,0,7,4.61538,1.49556,2,11,5.73333,2.86279,0.36,37
BF17_cpmp_20_5_60_12_36_6,1,20,5,0.25,0.6,0.05,0.75,0,7,4.61538,1.49556,2,10,5,2.47656,0.36,36
BF17_cpmp_20_5_60_12_36_7,1,20,5,0.25,0.6,0.05,0.55,0,7,4.61538,1.59511,2,9,5.54545,2.31059,0.36,36
BF17_cpmp_20_5_60_12_36_8,1,20,5,0.25,0.6,0.1,0.75,0,8,4.61538,2.13175,2,11,4.93333,2.79205,0.36,36
BF18_cpmp_20_5_60_12_45_1,1,20,5,0.25,0.6,0.25,0.7,0,6,4.61538,1.4432,2,11,5.92857,3.15015,0.45,45
BF18_cpmp_20_5_60_12_45_12,1,20,5,0.25,0.6,0.3,0.6,0,7,4.61538,1.54613,2,11,5.33333,2.71825,0.45,45
BF18_cpmp_20_5_60_12_45_13,1,20,5,0.25,0.6,0.4,0.6,0,7,4.61538,1.68881,2,11,6.41667,2.8419,0.45,45
BF18_cpmp_20_5_60_12_45_14,1,20,5,0.25,0.6,0.35,0.65,0,7,4.61538,1.59511,3,12,7.30769,3.07307,0.45,45
BF18_cpmp_20_5_60_12_45_15,1,20,5,0.25,0.6,0.4,0.6,0,7,4.61538,1.59511,2,10,5.33333,2.65623,0.45,45
BF18_cpmp_20_5_60_12_45_16,1,20,5,0.25,0.6,0.3,0.6,0,7,4.61538,1.54613,2,12,5.83333,2.99537,0.45,45
BF18_cpmp_20_5_60_12_45_17,1,20,5,0.25,0.6,0.3,0.65,0,7,4.61538,1.59511,2,10,5.92308,3.19763,0.45,45
BF18_cpmp_20_5_60_12_45_18,1,20,5,0.25,0.6,0.3,0.6,0,7,4.61538,1.68881,2,11,6.58333,2.81242,0.45,45
BF18_cpmp_20_5_60_12_45_19,1,20,5,0.25,0.6,0.35,0.65,0,7,4.61538,1.54613,2,11,6.69231,2.99704,0.45,45
BF18_cpmp_20_5_60_12_45_2,1,20,5,0.25,0.6,0.3,0.6,0,7,4.61538,1.59511,4,12,7.08333,2.92855,0.45,45
BF18_cpmp_20_5_60_12_45_3,1,20,5,0.25,0.6,0.3,0.6,0,7,4.61538,1.73376,2,11,5.25,2.71186,0.45,45
BF18_cpmp_20_5_60_12_45_4,1,20,5,0.25,0.6,0.25,0.6,0,6,4.61538,1.4432,2,12,5.83333,2.85287,0.45,45
BF18_cpmp_20_5_60_12_45_5,1,20,5,0.25,0.6,0.3,0.6,0,9,4.61538,2.20274,2,9,5.16667,2.54406,0.45,45
BF18_cpmp_20_5_60_12_45_6,1,20,5,0.25,0.6,0.4,0.6,0,6,4.61538,1.49556,3,10,6.5,2.5658,0.45,45
BF18_cpmp_20_5_60_12_45_7,1,20,5,0.25,0.6,0.3,0.65,0,7,4.61538,1.54613,2,11,5.92308,3.04988,0.45,45
BF18_cpmp_20_5_60_12_45_8,1,20,5,0.25,0.6,0.35,0.6,0,8,4.61538,1.94297,2,12,5.5,2.81366,0.45,45
BF18_cpmp_20_5_60_12_45_9,1,20,5,0.25,0.6,0.3,0.6,0,6,4.61538,1.38888,2,11,7,2.41523,0.45,45
BF19_cpmp_20_5_60_24_36_1,1,20,5,0.25,0.6,0.1,0.7,0,5,2.4,0.979796,2,21,10.1429,5.9983,0.36,36
BF19_cpmp_20_5_60_24_36_10,1,20,5,0.25,0.6,0.15,0.7,0,6,2.4,1.13137,2,20,10.8571,5.70535,0.36,36
BF19_cpmp_20_5_60_24_36_11,1,20,5,0.25,0.6,0.1,0.5,0,5,2.4,0.938083,4,24,9.4,5.78273,0.36,36
BF19_cpmp_20_5_60_24_36_14,1,20,5,0.25,0.6,0,0.7,0,4,2.4,0.748331,2,16,8.21429,4.00319,0.36,36
BF19_cpmp_20_5_60_24_36_15,1,20,5,0.25,0.6,0.05,0.65,0,5,2.4,1.0583,2,21,7.76923,5.0559,0.36,36
BF19_cpmp_20_5_60_24_36_16,1,20,5,0.25,0.6,0.05,0.65,0,4,2.4,0.848528,3,17,9.23077,4.50903,0.36,37
BF19_cpmp_20_5_60_24_36_17,1,20,5,0.25,0.6,0.05,0.55,0,4,2.4,0.979796,2,19,8.36364,5.22708,0.36,36
BF19_cpmp_20_5_60_24_36_18,1,20,5,0.25,0.6,0.05,0.65,0,4,2.4,0.8,2,20,10.0769,5.10598,0.36,36
BF19_cpmp_20_5_60_24_36_2,1,20,5,0.25,0.6,0.05,0.6,0,5,2.4,0.979796,3,20,10.1667,4.82758,0.36,36
BF19_cpmp_20_5_60_24_36_20,1,20,5,0.25,0.6,0.2,0.55,0,4,2.4,1.0198,2,22,8.54545,6.21382,0.36,36
BF19_cpmp_20_5_60_24_36_3,1,20,5,0.25,0.6,0.2,0.7,0,6,2.4,1.2,2,22,10.0714,6.46379,0.36,36
BF19_cpmp_20_5_60_24_36_5,1,20,5,0.25,0.6,0.15,0.6,0,4,2.4,0.848528,2,23,10.75,6.70976,0.36,36
BF19_cpmp_20_5_60_24_36_6,1,20,5,0.25,0.6,0.1,0.6,0,4,2.4,0.938083,2,24,8.58333,6.03405,0.36,37
BF19_cpmp_20_5_60_24_36_7,1,20,5,0.25,0.6,0.15,0.55,0,4,2.4,1.0198,3,24,8.63636,5.80396,0.36,36
BF19_cpmp_20_5_60_24_36_8,1,20,5,0.25,0.6,0,0.75,0,4,2.4,0.848528,4,21,11.2667,4.9189,0.36,39
BF19_cpmp_20_5_60_24_36_9,1,20,5,0.25,0.6,0.05,0.65,0,5,2.4,0.894427,3,16,8.84615,4.12956,0.36,38
BF2_cpmp_16_5_48_10_36_1,1,16,5,0.3125,0.6,0.3125,625,0,7,4.36364,1.66639,2,10,4.8,2.6,0.45,36
BF2_cpmp_16_5_48_10_36_11,1,16,5,0.3125,0.6,0.25,625,0,6,4.36364,1.49379,2,8,4.6,2.2,0.45,36
BF2_cpmp_16_5_48_10_36_12,1,16,5,0.3125,0.6,0.25,625,0,9,4.36364,2.1436,2,9,5,2.44949,0.45,36
BF2_cpmp_16_5_48_10_36_13,1,16,5,0.3125,0.6,0.3125,0.6875,0,7,4.36364,1.87193,2,10,5.90909,2.4663,0.45,36
BF2_cpmp_16_5_48_10_36_14,1,16,5,0.3125,0.6,0.3125,625,0,7,4.36364,1.82272,2,8,4.9,2.02237,0.45,36
BF2_cpmp_16_5_48_10_36_15,1,16,5,0.3125,0.6,0.3125,625,0,7,4.36364,1.66639,2,10,5,2.79285,0.45,36
BF2_cpmp_16_5_48_10_36_17,1,16,5,0.3125,0.6,0.3125,0.6875,0,5,4.36364,1.43164,2,10,5.45455,2.38799,0.45,36
BF2_cpmp_16_5_48_10_36_18,1,16,5,0.3125,0.6,0.3125,625,0,6,4.36364,1.55346,2,10,5.4,2.90517,0.45,36
BF2_cpmp_16_5_48_10_36_19,1,16,5,0.3125,0.6,0.3125,625,0,6,4.36364,1.61091,2,8,5,2.40832,0.45,36
BF2_cpmp_16_5_48_10_36_2,1,16,5,0.3125,0.6,0.25,0.6875,0,7,4.36364,1.72008,2,9,5.90909,2.35312,0.45,36
BF2_cpmp_16_5_48_10_36_20,1,16,5,0.3125,0.6,0.25,625,0,7,4.36364,1.87193,2,10,5,2.40832,0.45,36
BF2_cpmp_16_5_48_10_36_3,1,16,5,0.3125,0.6,0.3125,625,0,6,4.36364,1.55346,2,7,4.5,1.74642,0.45,36
BF2_cpmp_16_5_48_10_36_4,1,16,5,0.3125,0.6,0.3125,625,0,7,4.36364,1.77214,2,9,5.8,2.4,0.45,36
BF2_cpmp_16_5_48_10_36_5,1,16,5,0.3125,0.6,0.3125,625,0,6,4.36364,1.55346,2,10,5.4,2.37487,0.45,36
BF2_cpmp_16_5_48_10_36_6,1,16,5,0.3125,0.6,0.3125,625,0,6,4.36364,1.55346,2,9,4.6,2.2891,0.45,36
BF2_cpmp_16_5_48_10_36_7,1,16,5,0.3125,0.6,375,625,0,8,4.36364,1.82272,2,9,4.9,2.34307,0.45,36
BF2_cpmp_16_5_48_10_36_8,1,16,5,0.3125,0.6,0.3125,625,0,6,4.36364,1.55346,2,8,5.2,1.93907,0.45,36
BF2_cpmp_16_5_48_10_36_9,1,16,5,0.3125,0.6,0.3125,625,0,7,4.36364,1.77214,2,8,5.1,2.3,0.45,36
BF20_cpmp_20_5_60_24_45_1,1,20,5,0.25,0.6,0.3,0.6,0,5,2.4,0.938083,2,23,10.6667,7.31817,0.45,45
BF20_cpmp_20_5_60_24_45_10,1,20,5,0.25,0.6,0.4,0.6,0,4,2.4,0.848528,3,22,11.75,5.86124,0.45,45
BF20_cpmp_20_5_60_24_45_11,1,20,5,0.25,0.6,0.35,0.65,0,7,2.4,1.49666,2,22,7.53846,5.28591,0.45,45
BF20_cpmp_20_5_60_24_45_12,1,20,5,0.25,0.6,0.3,0.65,0,5,2.4,1.09545,3,24,11,6.02559,0.45,45
BF20_cpmp_20_5_60_24_45_13,1,20,5,0.25,0.6,0.3,0.65,0,5,2.4,1.2,3,21,11.5385,5.87845,0.45,45
BF20_cpmp_20_5_60_24_45_14,1,20,5,0.25,0.6,0.35,0.6,0,4,2.4,0.979796,3,20,10.8333,5.66912,0.45,45
BF20_cpmp_20_5_60_24_45_15,1,20,5,0.25,0.6,0.3,0.6,0,4,2.4,0.8,2,21,9.66667,5.57275,0.45,45
BF20_cpmp_20_5_60_24_45_17,1,20,5,0.25,0.6,0.25,0.65,0,5,2.4,0.979796,6,23,13.6923,4.76178,0.45,45
BF20_cpmp_20_5_60_24_45_2,1,20,5,0.25,0.6,0.4,0.6,0,4,2.4,0.894427,4,22,12.0833,5.64887,0.45,45
BF20_cpmp_20_5_60_24_45_20,1,20,5,0.25,0.6,0.25,0.6,0,5,2.4,0.894427,3,21,12.5833,5.34569,0.45,45
BF20_cpmp_20_5_60_24_45_3,1,20,5,0.25,0.6,0.3,0.65,0,5,2.4,1.09545,2,22,10.6154,5.83805,0.45,45
BF20_cpmp_20_5_60_24_45_5,1,20,5,0.25,0.6,0.3,0.6,0,4,2.4,0.894427,7,21,12.6667,4.17,0.45,45
BF20_cpmp_20_5_60_24_45_6,1,20,5,0.25,0.6,0.3,0.6,0,4,2.4,1.0198,4,17,10,3937,0.45,45
BF20_cpmp_20_5_60_24_45_7,1,20,5,0.25,0.6,0.3,0.6,0,5,2.4,1.0198,2,22,9.33333,5.63225,0.45,45
BF20_cpmp_20_5_60_24_45_8,1,20,5,0.25,0.6,0.35,0.6,0,5,2.4,1.0198,3,19,9.41667,5.1228,0.45,45
BF20_cpmp_20_5_60_24_45_9,1,20,5,0.25,0.6,0.3,0.6,0,5,2.4,1.0583,2,23,13.1667,5.95586,0.45,45
BF21_cpmp_20_5_80_16_48_11,1,20,5,0.25,0.8,0,0.8,0,6,4.70588,1.22545,2,15,7375,3.72282,0.48,51
