@RELATION algorithm_runs_premarshalling_astar_2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
BF10_cpmp_16_8_77_16_58_13,1,astar-symmulgt-transmul,3600,memout
BF10_cpmp_16_8_77_16_58_13,1,astar-symmullt-transmul,3600,memout
BF10_cpmp_16_8_77_16_58_13,1,idastar-symmulgt-transmul,311.863,ok
BF10_cpmp_16_8_77_16_58_13,1,idastar-symmullt-transmul,3600,timeout
BF10_cpmp_16_8_77_16_58_3,1,astar-symmulgt-transmul,3600,memout
BF10_cpmp_16_8_77_16_58_3,1,astar-symmullt-transmul,3600,memout
BF10_cpmp_16_8_77_16_58_3,1,idastar-symmulgt-transmul,78.121,ok
BF10_cpmp_16_8_77_16_58_3,1,idastar-symmullt-transmul,600.402,ok
BF10_cpmp_16_8_77_16_58_8,1,astar-symmulgt-transmul,3600,memout
BF10_cpmp_16_8_77_16_58_8,1,astar-symmullt-transmul,3600,memout
BF10_cpmp_16_8_77_16_58_8,1,idastar-symmulgt-transmul,0.012,ok
BF10_cpmp_16_8_77_16_58_8,1,idastar-symmullt-transmul,60.72,ok
BF11_cpmp_16_8_77_31_47_10,1,astar-symmulgt-transmul,3600,memout
BF11_cpmp_16_8_77_31_47_10,1,astar-symmullt-transmul,92.986,ok
BF11_cpmp_16_8_77_31_47_10,1,idastar-symmulgt-transmul,2031.039,ok
BF11_cpmp_16_8_77_31_47_10,1,idastar-symmullt-transmul,141.857,ok
BF11_cpmp_16_8_77_31_47_11,1,astar-symmulgt-transmul,3600,memout
BF11_cpmp_16_8_77_31_47_11,1,astar-symmullt-transmul,3600,memout
BF11_cpmp_16_8_77_31_47_11,1,idastar-symmulgt-transmul,422.53,ok
BF11_cpmp_16_8_77_31_47_11,1,idastar-symmullt-transmul,3600,timeout
BF11_cpmp_16_8_77_31_47_16,1,astar-symmulgt-transmul,182.019,ok
BF11_cpmp_16_8_77_31_47_16,1,astar-symmullt-transmul,3600,memout
BF11_cpmp_16_8_77_31_47_16,1,idastar-symmulgt-transmul,66.988,ok
BF11_cpmp_16_8_77_31_47_16,1,idastar-symmullt-transmul,249.488,ok
BF11_cpmp_16_8_77_31_47_6,1,astar-symmulgt-transmul,3600,memout
BF11_cpmp_16_8_77_31_47_6,1,astar-symmullt-transmul,3600,memout
BF11_cpmp_16_8_77_31_47_6,1,idastar-symmulgt-transmul,3600,timeout
BF11_cpmp_16_8_77_31_47_6,1,idastar-symmullt-transmul,1121.786,ok
BF11_cpmp_16_8_77_31_47_7,1,astar-symmulgt-transmul,2.28,ok
BF11_cpmp_16_8_77_31_47_7,1,astar-symmullt-transmul,3600,memout
BF11_cpmp_16_8_77_31_47_7,1,idastar-symmulgt-transmul,14.481,ok
BF11_cpmp_16_8_77_31_47_7,1,idastar-symmullt-transmul,758.815,ok
BF12_cpmp_16_8_77_31_58_14,1,astar-symmulgt-transmul,3600,memout
BF12_cpmp_16_8_77_31_58_14,1,astar-symmullt-transmul,3600,memout
BF12_cpmp_16_8_77_31_58_14,1,idastar-symmulgt-transmul,2816.652,ok
BF12_cpmp_16_8_77_31_58_14,1,idastar-symmullt-transmul,1246.814,ok
BF17_cpmp_20_5_60_12_36_1,1,astar-symmulgt-transmul,0.052,ok
BF17_cpmp_20_5_60_12_36_1,1,astar-symmullt-transmul,0.332,ok
BF17_cpmp_20_5_60_12_36_1,1,idastar-symmulgt-transmul,0.004,ok
BF17_cpmp_20_5_60_12_36_1,1,idastar-symmullt-transmul,0.076,ok
BF17_cpmp_20_5_60_12_36_10,1,astar-symmulgt-transmul,3600,memout
BF17_cpmp_20_5_60_12_36_10,1,astar-symmullt-transmul,3600,memout
BF17_cpmp_20_5_60_12_36_10,1,idastar-symmulgt-transmul,0.004,ok
BF17_cpmp_20_5_60_12_36_10,1,idastar-symmullt-transmul,0.032,ok
BF17_cpmp_20_5_60_12_36_11,1,astar-symmulgt-transmul,1.096,ok
BF17_cpmp_20_5_60_12_36_11,1,astar-symmullt-transmul,3600,memout
BF17_cpmp_20_5_60_12_36_11,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_11,1,idastar-symmullt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_12,1,astar-symmulgt-transmul,10.053,ok
BF17_cpmp_20_5_60_12_36_12,1,astar-symmullt-transmul,0.024,ok
BF17_cpmp_20_5_60_12_36_12,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_12,1,idastar-symmullt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_15,1,astar-symmulgt-transmul,0.024,ok
BF17_cpmp_20_5_60_12_36_15,1,astar-symmullt-transmul,0.616,ok
BF17_cpmp_20_5_60_12_36_15,1,idastar-symmulgt-transmul,0.004,ok
BF17_cpmp_20_5_60_12_36_15,1,idastar-symmullt-transmul,0.004,ok
BF17_cpmp_20_5_60_12_36_16,1,astar-symmulgt-transmul,1.008,ok
BF17_cpmp_20_5_60_12_36_16,1,astar-symmullt-transmul,106.643,ok
BF17_cpmp_20_5_60_12_36_16,1,idastar-symmulgt-transmul,2602.087,ok
BF17_cpmp_20_5_60_12_36_16,1,idastar-symmullt-transmul,38.226,ok
BF17_cpmp_20_5_60_12_36_17,1,astar-symmulgt-transmul,33.774,ok
BF17_cpmp_20_5_60_12_36_17,1,astar-symmullt-transmul,22.953,ok
BF17_cpmp_20_5_60_12_36_17,1,idastar-symmulgt-transmul,0.004,ok
BF17_cpmp_20_5_60_12_36_17,1,idastar-symmullt-transmul,89.422,ok
BF17_cpmp_20_5_60_12_36_2,1,astar-symmulgt-transmul,0.044,ok
BF17_cpmp_20_5_60_12_36_2,1,astar-symmullt-transmul,0.08,ok
BF17_cpmp_20_5_60_12_36_2,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_2,1,idastar-symmullt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_20,1,astar-symmulgt-transmul,0.024,ok
BF17_cpmp_20_5_60_12_36_20,1,astar-symmullt-transmul,0.1,ok
BF17_cpmp_20_5_60_12_36_20,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_20,1,idastar-symmullt-transmul,67.956,ok
BF17_cpmp_20_5_60_12_36_3,1,astar-symmulgt-transmul,0.028,ok
BF17_cpmp_20_5_60_12_36_3,1,astar-symmullt-transmul,0.092,ok
BF17_cpmp_20_5_60_12_36_3,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_3,1,idastar-symmullt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_4,1,astar-symmulgt-transmul,171.987,ok
BF17_cpmp_20_5_60_12_36_4,1,astar-symmullt-transmul,0.032,ok
BF17_cpmp_20_5_60_12_36_4,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_4,1,idastar-symmullt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_5,1,astar-symmulgt-transmul,3600,memout
BF17_cpmp_20_5_60_12_36_5,1,astar-symmullt-transmul,2.64,ok
BF17_cpmp_20_5_60_12_36_5,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_5,1,idastar-symmullt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_6,1,astar-symmulgt-transmul,0.028,ok
BF17_cpmp_20_5_60_12_36_6,1,astar-symmullt-transmul,3600,memout
BF17_cpmp_20_5_60_12_36_6,1,idastar-symmulgt-transmul,0.004,ok
BF17_cpmp_20_5_60_12_36_6,1,idastar-symmullt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_7,1,astar-symmulgt-transmul,0.156,ok
BF17_cpmp_20_5_60_12_36_7,1,astar-symmullt-transmul,3600,memout
BF17_cpmp_20_5_60_12_36_7,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_7,1,idastar-symmullt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_8,1,astar-symmulgt-transmul,1.46,ok
BF17_cpmp_20_5_60_12_36_8,1,astar-symmullt-transmul,0.04,ok
BF17_cpmp_20_5_60_12_36_8,1,idastar-symmulgt-transmul,3600,timeout
BF17_cpmp_20_5_60_12_36_8,1,idastar-symmullt-transmul,1.9,ok
BF18_cpmp_20_5_60_12_45_1,1,astar-symmulgt-transmul,0.06,ok
BF18_cpmp_20_5_60_12_45_1,1,astar-symmullt-transmul,3600,memout
BF18_cpmp_20_5_60_12_45_1,1,idastar-symmulgt-transmul,3600,timeout
BF18_cpmp_20_5_60_12_45_1,1,idastar-symmullt-transmul,526.597,ok
BF18_cpmp_20_5_60_12_45_12,1,astar-symmulgt-transmul,3600,memout
BF18_cpmp_20_5_60_12_45_12,1,astar-symmullt-transmul,0.132,ok
BF18_cpmp_20_5_60_12_45_12,1,idastar-symmulgt-transmul,0.004,ok
BF18_cpmp_20_5_60_12_45_12,1,idastar-symmullt-transmul,36.754,ok
BF18_cpmp_20_5_60_12_45_13,1,astar-symmulgt-transmul,0.032,ok
BF18_cpmp_20_5_60_12_45_13,1,astar-symmullt-transmul,3600,memout
BF18_cpmp_20_5_60_12_45_13,1,idastar-symmulgt-transmul,3600,timeout
BF18_cpmp_20_5_60_12_45_13,1,idastar-symmullt-transmul,79.909,ok
BF18_cpmp_20_5_60_12_45_14,1,astar-symmulgt-transmul,88.109,ok
