@RELATION feature_runstatus_premarshalling_astar_2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE orig {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE lfa1 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE lfa2 {ok, timeout, memout, presolved, crash, other, unknown}

@DATA,
BF1_cpmp_16_5_48_10_29_1,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_12,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_14,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_15,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_17,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_18,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_19,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_20,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_3,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_4,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_5,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_6,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_7,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_8,1,ok,ok,ok
BF1_cpmp_16_5_48_10_29_9,1,ok,ok,ok
BF10_cpmp_16_8_77_16_58_13,1,ok,ok,ok
BF10_cpmp_16_8_77_16_58_3,1,ok,ok,ok
BF10_cpmp_16_8_77_16_58_8,1,ok,ok,ok
BF11_cpmp_16_8_77_31_47_10,1,ok,ok,ok
BF11_cpmp_16_8_77_31_47_11,1,ok,ok,ok
BF11_cpmp_16_8_77_31_47_16,1,ok,ok,ok
BF11_cpmp_16_8_77_31_47_6,1,ok,ok,ok
BF11_cpmp_16_8_77_31_47_7,1,ok,ok,ok
BF12_cpmp_16_8_77_31_58_14,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_1,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_10,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_11,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_12,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_15,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_16,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_17,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_2,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_20,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_3,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_4,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_5,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_6,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_7,1,ok,ok,ok
BF17_cpmp_20_5_60_12_36_8,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_1,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_12,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_13,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_14,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_15,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_16,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_17,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_18,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_19,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_2,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_3,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_4,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_5,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_6,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_7,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_8,1,ok,ok,ok
BF18_cpmp_20_5_60_12_45_9,1,ok,ok,ok
BF19_cpmp_20_5_60_24_36_1,1,ok,ok,ok
BF19_cpmp_20_5_60_24_36_10,1,ok,ok,ok
BF19_cpmp_20_5_60_24_36_11,1,ok,ok,ok
BF19_cpmp_20_5_60_24_36_14,1,ok,ok,ok
