@RELATION feature_values_premarshalling_astar_2013

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE overstowing-2cont-stack-pct NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-max NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE bflb NUMERIC
@ATTRIBUTE left-density NUMERIC
@ATTRIBUTE tier-weighted-groups NUMERIC
@ATTRIBUTE avg-l1-top-left-lg-group NUMERIC
@ATTRIBUTE cont-empty-grt-estack NUMERIC
@ATTRIBUTE pct-bottom-pct-on-top NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0
BF1_cpmp_16_5_48_10_29_12,1,16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0
BF1_cpmp_16_5_48_10_29_14,1,16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0
BF1_cpmp_16_5_48_10_29_15,1,16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0
BF1_cpmp_16_5_48_10_29_17,1,16,5,0.3125,0.6,0.125,0.5625,0.9,0,6,4.36364,1.55346,2,10,4.66667,2.44949,0.3625,29,0.471111,0.428914,0.569231,0.3375,0
BF1_cpmp_16_5_48_10_29_18,1,16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.5,1.85742,0.3625,29,0.151111,0.438952,0.615385,0.1375,0
BF1_cpmp_16_5_48_10_29_19,1,16,5,0.3125,0.6,0.0625,0.5625,0.818182,0,7,4.36364,1.77214,2,10,5.33333,2.10819,0.3625,29,0.648889,0.433775,0.528846,0.0625,0
BF1_cpmp_16_5_48_10_29_20,1,16,5,0.3125,0.6,0.125,0.625,0.769231,0,6,4.36364,1.55346,2,10,4.9,2.66271,0.3625,29,0.317778,0.436995,0.519231,0.2125,0
BF1_cpmp_16_5_48_10_29_3,1,16,5,0.3125,0.6,0.125,0.75,0.923077,0,6,4.36364,1.49379,2,9,4.33333,2.28522,0.3625,29,0.0666667,0.424242,0.740385,0.4,0
BF1_cpmp_16_5_48_10_29_4,1,16,5,0.3125,0.6,0.1875,0.625,0.909091,0,6,4.36364,1.49379,2,9,5,2.09762,0.3625,29,0.582222,0.414457,0.538462,0.25,0
BF1_cpmp_16_5_48_10_29_5,1,16,5,0.3125,0.6,0.125,0.5625,0.75,0,7,4.36364,1.72008,2,8,5,2,0.3625,29,0.495556,0.446907,0.5,0.2125,0
BF1_cpmp_16_5_48_10_29_6,1,16,5,0.3125,0.6,0.25,0.75,1,0,6,4.36364,1.49379,2,7,3.91667,1.65622,0.3625,29,0.277778,0.402399,0.429487,0.325,0
BF1_cpmp_16_5_48_10_29_7,1,16,5,0.3125,0.6,0.0625,0.625,0.909091,0,5,4.36364,1.43164,2,8,4.3,2.05183,0.3625,29,0.728889,0.428977,0.507692,0.1625,0
BF1_cpmp_16_5_48_10_29_8,1,16,5,0.3125,0.6,0.125,0.5625,0.9,0,6,4.36364,1.55346,2,9,4.55556,2.00616,0.3625,29,0.646667,0.415909,0.548077,0.35,0
BF1_cpmp_16_5_48_10_29_9,1,16,5,0.3125,0.6,0.125,0.75,0.923077,0,6,4.36364,1.91988,2,8,4.66667,1.84089,0.3625,29,0.553333,0.426894,0.884615,0.2,0
BF10_cpmp_16_8_77_16_58_13,1,16,8,0.5,0.601562,0.1875,0.625,0.909091,0,6,4.52941,1.37702,2,12,8,3.4641,0.453125,58,0.677778,0.401784,0.49375,0.289062,0.0625
BF10_cpmp_16_8_77_16_58_3,1,16,8,0.5,0.601562,0.1875,0.625,1,0,8,4.52941,1.57621,3,15,6.9,3.61801,0.453125,58,0.531944,0.392541,0.65625,0.296875,0
BF10_cpmp_16_8_77_16_58_8,1,16,8,0.5,0.601562,0.25,0.625,1,0,6,4.52941,1.33362,2,12,6.1,3.36006,0.453125,58,0.555556,0.375117,0.6875,0.304688,0.0625
BF11_cpmp_16_8_77_31_47_10,1,16,8,0.5,0.601562,0,0.75,0.8,0,5,2.40625,0.896499,2,26,11.8333,7.32386,0.367188,49,0.377778,0.441853,0.53125,0,0.0625
BF11_cpmp_16_8_77_31_47_11,1,16,8,0.5,0.601562,0,0.9375,0.9375,0,5,2.40625,1.34302,2,23,10.8667,6.05383,0.367188,49,0.513889,0.438422,0.8125,0,0
BF11_cpmp_16_8_77_31_47_16,1,16,8,0.5,0.601562,0,0.875,0.875,0,5,2.40625,0.963696,2,17,10.2857,4.39852,0.367188,51,0.4,0.481308,0.65625,0,0
BF11_cpmp_16_8_77_31_47_6,1,16,8,0.5,0.601562,0,1,1,0,7,2.40625,1.19529,2,25,12.5,6.99107,0.367188,51,0.266667,0.475875,0.359375,0,0
BF11_cpmp_16_8_77_31_47_7,1,16,8,0.5,0.601562,0,0.9375,0.9375,0,5,2.40625,1.08568,2,26,11.7333,6.9519,0.367188,49,0.505556,0.499464,0.625,0,0.125
BF12_cpmp_16_8_77_31_58_14,1,16,8,0.5,0.601562,0.125,0.75,1,0,6,2.40625,1.08568,3,29,14.1667,7.74417,0.453125,58,0.443056,0.407667,0.510417,0.226562,0.0625
BF17_cpmp_20_5_60_12_36_1,1,20,5,0.25,0.6,0.1,0.55,0.785714,0,7,4.61538,1.54613,2,12,6.36364,3.11223,0.36,36,0.581295,0.449188,0.666667,0.17,0.05
BF17_cpmp_20_5_60_12_36_10,1,20,5,0.25,0.6,0.15,0.6,1,0,8,4.61538,1.68881,2,11,6,2.48328,0.36,36,0.513669,0.441239,0.613333,0.15,0.05
BF17_cpmp_20_5_60_12_36_11,1,20,5,0.25,0.6,0.05,0.65,0.928571,0,7,4.61538,1.59511,2,10,4.61538,2.33826,0.36,37,0.405755,0.427051,0.480952,0.09,0
BF17_cpmp_20_5_60_12_36_12,1,20,5,0.25,0.6,0.05,0.65,1,0,7,4.61538,1.59511,2,10,5.23077,2.69341,0.36,36,0.168345,0.419701,0.42,0.14,0.1
BF17_cpmp_20_5_60_12_36_15,1,20,5,0.25,0.6,0.25,0.65,0.928571,0,8,4.61538,1.77757,2,11,5.92308,2.46394,0.36,36,0.690647,0.394017,0.633333,0.35,0
BF17_cpmp_20_5_60_12_36_16,1,20,5,0.25,0.6,0.15,0.65,0.866667,0,7,4.61538,1.54613,2,11,5.53846,2.70656,0.36,36,0.117986,0.435256,0.626667,0.3,0.05
BF17_cpmp_20_5_60_12_36_17,1,20,5,0.25,0.6,0.15,0.65,0.928571,0,6,4.61538,1.49556,3,10,5.46154,2.06119,0.36,36,0.433094,0.43265,0.672222,0.31,0.1
BF17_cpmp_20_5_60_12_36_2,1,20,5,0.25,0.6,0.05,0.6,0.8,0,8,4.61538,1.82033,2,10,5.25,2.34965,0.36,36,0.302158,0.443761,0.491667,0.19,0.1
BF17_cpmp_20_5_60_12_36_20,1,20,5,0.25,0.6,0.1,0.7,0.933333,0,8,4.61538,1.77757,2,12,6.07143,3.26156,0.36,36,0.546763,0.452735,0.670833,0.14,0.05
BF17_cpmp_20_5_60_12_36_3,1,20,5,0.25,0.6,0.05,0.65,0.8125,0,7,4.61538,1.54613,2,10,5.30769,2.64239,0.36,37,0.610072,0.440812,0.6,0.21,0
BF17_cpmp_20_5_60_12_36_4,1,20,5,0.25,0.6,0.15,0.55,0.733333,0,7,4.61538,1.68881,2,7,4.45455,1.97086,0.36,37,0.296403,0.394701,0.258333,0.24,0
BF17_cpmp_20_5_60_12_36_5,1,20,5,0.25,0.6,0.05,0.75,0.882353,0,7,4.61538,1.49556,2,11,5.73333,2.86279,0.36,37,0.398561,0.466966,0.526667,0.08,0
BF17_cpmp_20_5_60_12_36_6,1,20,5,0.25,0.6,0.05,0.75,1,0,7,4.61538,1.49556,2,10,5,2.47656,0.36,36,0.661871,0.427265,0.493333,0.11,0.05
BF17_cpmp_20_5_60_12_36_7,1,20,5,0.25,0.6,0.05,0.55,0.785714,0,7,4.61538,1.59511,2,9,5.54545,2.31059,0.36,36,0.156835,0.427479,0.44,0.18,0
BF17_cpmp_20_5_60_12_36_8,1,20,5,0.25,0.6,0.1,0.75,0.9375,0,8,4.61538,2.13175,2,11,4.93333,2.79205,0.36,36,0.425899,0.408889,0.666667,0.24,0
BF18_cpmp_20_5_60_12_45_1,1,20,5,0.25,0.6,0.25,0.7,1,0,6,4.61538,1.4432,2,11,5.92857,3.15015,0.45,45,0.538129,0.36953,0.46,0.39,0.05
BF18_cpmp_20_5_60_12_45_12,1,20,5,0.25,0.6,0.3,0.6,1,0,7,4.61538,1.54613,2,11,5.33333,2.71825,0.45,45,0.741007,0.345385,0.658333,0.3,0.05
BF18_cpmp_20_5_60_12_45_13,1,20,5,0.25,0.6,0.4,0.6,1,0,7,4.61538,1.68881,2,11,6.41667,2.8419,0.45,45,0.258993,0.357393,0.586667,0.4,0.15
BF18_cpmp_20_5_60_12_45_14,1,20,5,0.25,0.6,0.35,0.65,1,0,7,4.61538,1.59511,3,12,7.30769,3.07307,0.45,45,0.467626,0.380641,0.706667,0.4,0.05
BF18_cpmp_20_5_60_12_45_15,1,20,5,0.25,0.6,0.4,0.6,1,0,7,4.61538,1.59511,2,10,5.33333,2.65623,0.45,45,0.28777,0.331752,0.566667,0.4,0
BF18_cpmp_20_5_60_12_45_16,1,20,5,0.25,0.6,0.3,0.6,1,0,7,4.61538,1.54613,2,12,5.83333,2.99537,0.45,45,0.45036,0.378889,0.57619,0.36,0.05
BF18_cpmp_20_5_60_12_45_17,1,20,5,0.25,0.6,0.3,0.65,1,0,7,4.61538,1.59511,2,10,5.92308,3.19763,0.45,45,0.37554,0.403077,0.514286,0.37,0.05
BF18_cpmp_20_5_60_12_45_18,1,20,5,0.25,0.6,0.3,0.6,1,0,7,4.61538,1.68881,2,11,6.58333,2.81242,0.45,45,0.323741,0.38094,0.533333,0.4,0.05
BF18_cpmp_20_5_60_12_45_19,1,20,5,0.25,0.6,0.35,0.65,1,0,7,4.61538,1.54613,2,11,6.69231,2.99704,0.45,45,0.0935252,0.376154,0.558333,0.38,0.15
BF18_cpmp_20_5_60_12_45_2,1,20,5,0.25,0.6,0.3,0.6,1,0,7,4.61538,1.59511,4,12,7.08333,2.92855,0.45,45,0.379856,0.39312,0.393333,0.36,0.15
BF18_cpmp_20_5_60_12_45_3,1,20,5,0.25,0.6,0.3,0.6,1,0,7,4.61538,1.73376,2,11,5.25,2.71186,0.45,45,0.814388,0.362051,0.766667,0.39,0
BF18_cpmp_20_5_60_12_45_4,1,20,5,0.25,0.6,0.25,0.6,1,0,6,4.61538,1.4432,2,12,5.83333,2.85287,0.45,45,0.151079,0.385043,0.55,0.35,0.1
BF18_cpmp_20_5_60_12_45_5,1,20,5,0.25,0.6,0.3,0.6,1,0,9,4.61538,2.20274,2,9,5.16667,2.54406,0.45,45,0.258993,0.364231,0.622222,0.4,0.15
BF18_cpmp_20_5_60_12_45_6,1,20,5,0.25,0.6,0.4,0.6,1,0,6,4.61538,1.49556,3,10,6.5,2.5658,0.45,45,0.438849,0.365812,0.613333,0.4,0
BF18_cpmp_20_5_60_12_45_7,1,20,5,0.25,0.6,0.3,0.65,1,0,7,4.61538,1.54613,2,11,5.92308,3.04988,0.45,45,0.359712,0.379829,0.526667,0.37,0.05
BF18_cpmp_20_5_60_12_45_8,1,20,5,0.25,0.6,0.35,0.6,1,0,8,4.61538,1.94297,2,12,5.5,2.81366,0.45,45,0.699281,0.381581,0.55,0.4,0.1
BF18_cpmp_20_5_60_12_45_9,1,20,5,0.25,0.6,0.3,0.6,1,0,6,4.61538,1.38888,2,11,7,2.41523,0.45,45,0.143885,0.387778,0.486667,0.4,0.1
BF19_cpmp_20_5_60_24_36_1,1,20,5,0.25,0.6,0.1,0.7,0.933333,0,5,2.4,0.979796,2,21,10.1429,5.9983,0.36,36,0.505036,0.418044,0.85,0.2,0.1
BF19_cpmp_20_5_60_24_36_10,1,20,5,0.25,0.6,0.15,0.7,0.875,0,6,2.4,1.13137,2,20,10.8571,5.70535,0.36,36,0.342446,0.451756,0.622222,0.29,0
BF19_cpmp_20_5_60_24_36_11,1,20,5,0.25,0.6,0.1,0.5,0.769231,0,5,2.4,0.938083,4,24,9.4,5.78273,0.36,36,0.630216,0.393667,0.566667,0.2,0
BF19_cpmp_20_5_60_24_36_14,1,20,5,0.25,0.6,0,0.7,0.933333,0,4,2.4,0.748331,2,16,8.21429,4.00319,0.36,36,0.425899,0.419644,0.822222,0,0
BF19_cpmp_20_5_60_24_36_15,1,20,5,0.25,0.6,0.05,0.65,0.866667,0,5,2.4,1.0583,2,21,7.76923,5.0559,0.36,36,0.391367,0.394756,0.6,0.06,0
BF19_cpmp_20_5_60_24_36_16,1,20,5,0.25,0.6,0.05,0.65,0.928571,0,4,2.4,0.848528,3,17,9.23077,4.50903,0.36,37,0.346763,0.412489,0.416667,0.18,0
BF19_cpmp_20_5_60_24_36_17,1,20,5,0.25,0.6,0.05,0.55,0.916667,0,4,2.4,0.979796,2,19,8.36364,5.22708,0.36,36,0.0748201,0.407311,0.677778,0.12,0.1
BF19_cpmp_20_5_60_24_36_18,1,20,5,0.25,0.6,0.05,0.65,0.866667,0,4,2.4,0.8,2,20,10.0769,5.10598,0.36,36,0.277698,0.433467,0.777778,0.27,0
BF19_cpmp_20_5_60_24_36_2,1,20,5,0.25,0.6,0.05,0.6,1,0,5,2.4,0.979796,3,20,10.1667,4.82758,0.36,36,0.456115,0.424467,0.811111,0.06,0
BF19_cpmp_20_5_60_24_36_20,1,20,5,0.25,0.6,0.2,0.55,0.846154,0,4,2.4,1.0198,2,22,8.54545,6.21382,0.36,36,0.541007,0.387467,0.683333,0.4,0.15
BF19_cpmp_20_5_60_24_36_3,1,20,5,0.25,0.6,0.2,0.7,0.933333,0,6,2.4,1.2,2,22,10.0714,6.46379,0.36,36,0.581295,0.384267,0.716667,0.34,0
BF19_cpmp_20_5_60_24_36_5,1,20,5,0.25,0.6,0.15,0.6,1,0,4,2.4,0.848528,2,23,10.75,6.70976,0.36,36,0.215827,0.403089,0.716667,0.16,0.05
BF19_cpmp_20_5_60_24_36_6,1,20,5,0.25,0.6,0.1,0.6,0.8,0,4,2.4,0.938083,2,24,8.58333,6.03405,0.36,37,0.323741,0.393222,0.883333,0.18,0
BF19_cpmp_20_5_60_24_36_7,1,20,5,0.25,0.6,0.15,0.55,1,0,4,2.4,1.0198,3,24,8.63636,5.80396,0.36,36,0.421583,0.402044,0.633333,0.28,0.1
BF19_cpmp_20_5_60_24_36_8,1,20,5,0.25,0.6,0,0.75,0.9375,0,4,2.4,0.848528,4,21,11.2667,4.9189,0.36,39,0.497842,0.436444,0.622222,0,0
BF19_cpmp_20_5_60_24_36_9,1,20,5,0.25,0.6,0.05,0.65,1,0,5,2.4,0.894427,3,16,8.84615,4.12956,0.36,38,0.263309,0.405222,0.4,0.17,0
BF2_cpmp_16_5_48_10_36_1,1,16,5,0.3125,0.6,0.3125,0.625,1,0,7,4.36364,1.66639,2,10,4.8,2.6,0.45,36,0.197778,0.358081,0.538462,0.4,0
BF2_cpmp_16_5_48_10_36_11,1,16,5,0.3125,0.6,0.25,0.625,1,0,6,4.36364,1.49379,2,8,4.6,2.2,0.45,36,0.202222,0.368308,0.548077,0.3125,0
BF2_cpmp_16_5_48_10_36_12,1,16,5,0.3125,0.6,0.25,0.625,1,0,9,4.36364,2.1436,2,9,5,2.44949,0.45,36,0.493333,0.379419,0.602564,0.4,0
BF2_cpmp_16_5_48_10_36_13,1,16,5,0.3125,0.6,0.3125,0.6875,1,0,7,4.36364,1.87193,2,10,5.90909,2.4663,0.45,36,0.171111,0.402904,0.489011,0.35,0
BF2_cpmp_16_5_48_10_36_14,1,16,5,0.3125,0.6,0.3125,0.625,1,0,7,4.36364,1.82272,2,8,4.9,2.02237,0.45,36,0.555556,0.389141,0.740385,0.3625,0
BF2_cpmp_16_5_48_10_36_15,1,16,5,0.3125,0.6,0.3125,0.625,1,0,7,4.36364,1.66639,2,10,5,2.79285,0.45,36,0.402222,0.390593,0.638462,0.4,0
BF2_cpmp_16_5_48_10_36_17,1,16,5,0.3125,0.6,0.3125,0.6875,1,0,5,4.36364,1.43164,2,10,5.45455,2.38799,0.45,36,0.455556,0.391098,0.584615,0.3125,0
BF2_cpmp_16_5_48_10_36_18,1,16,5,0.3125,0.6,0.3125,0.625,1,0,6,4.36364,1.55346,2,10,5.4,2.90517,0.45,36,0.677778,0.39072,0.570513,0.4,0
BF2_cpmp_16_5_48_10_36_19,1,16,5,0.3125,0.6,0.3125,0.625,1,0,6,4.36364,1.61091,2,8,5,2.40832,0.45,36,0.42,0.362626,0.487179,0.35,0
BF2_cpmp_16_5_48_10_36_2,1,16,5,0.3125,0.6,0.25,0.6875,1,0,7,4.36364,1.72008,2,9,5.90909,2.35312,0.45,36,0.171111,0.417361,0.6,0.375,0
BF2_cpmp_16_5_48_10_36_20,1,16,5,0.3125,0.6,0.25,0.625,1,0,7,4.36364,1.87193,2,10,5,2.40832,0.45,36,0.277778,0.373422,0.384615,0.35,0
BF2_cpmp_16_5_48_10_36_3,1,16,5,0.3125,0.6,0.3125,0.625,1,0,6,4.36364,1.55346,2,7,4.5,1.74642,0.45,36,0.1,0.37178,0.448718,0.4,0
BF2_cpmp_16_5_48_10_36_4,1,16,5,0.3125,0.6,0.3125,0.625,1,0,7,4.36364,1.77214,2,9,5.8,2.4,0.45,36,0.277778,0.38529,0.519231,0.3625,0
BF2_cpmp_16_5_48_10_36_5,1,16,5,0.3125,0.6,0.3125,0.625,1,0,6,4.36364,1.55346,2,10,5.4,2.37487,0.45,36,0.16,0.387374,0.5,0.325,0
BF2_cpmp_16_5_48_10_36_6,1,16,5,0.3125,0.6,0.3125,0.625,1,0,6,4.36364,1.55346,2,9,4.6,2.2891,0.45,36,0.444444,0.369003,0.701923,0.3125,0
BF2_cpmp_16_5_48_10_36_7,1,16,5,0.3125,0.6,0.375,0.625,1,0,8,4.36364,1.82272,2,9,4.9,2.34307,0.45,36,0.677778,0.347412,0.384615,0.4,0
BF2_cpmp_16_5_48_10_36_8,1,16,5,0.3125,0.6,0.3125,0.625,1,0,6,4.36364,1.55346,2,8,5.2,1.93907,0.45,36,0.177778,0.357702,0.378205,0.4,0
BF2_cpmp_16_5_48_10_36_9,1,16,5,0.3125,0.6,0.3125,0.625,1,0,7,4.36364,1.77214,2,8,5.1,2.3,0.45,36,0.257778,0.367361,0.576923,0.3125,0
BF20_cpmp_20_5_60_24_45_1,1,20,5,0.25,0.6,0.3,0.6,1,0,5,2.4,0.938083,2,23,10.6667,7.31817,0.45,45,0.755396,0.337667,0.483333,0.39,0.1
