@RELATION feature_costs_proteus_2014
@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp NUMERIC
@ATTRIBUTE direct NUMERIC
@ATTRIBUTE directorder NUMERIC
@ATTRIBUTE support NUMERIC
@DATA
bool/routing/s3-3-3-4.xml,1,0.327,0.923,0.719,0.686
bool/routing/s3-3-3-3.xml,1,0.335,0.743,0.717,0.712
bool/routing/s3-3-3-1.xml,1,0.666,0.638,0.678,0.682
bool/routing/s4-4-3-10.xml,1,1.79,3.282,4.128,4.397
bool/routing/s4-4-3-7.xml,1,1.768,2.445,2.433,2.348
bool/routing/s4-4-3-6.xml,1,1.752,2.109,2.191,2.838
bool/routing/s4-4-3-3.xml,1,1.748,2.258,2.197,2.996
bool/routing/s3-3-3-2.xml,1,0.452,1.054,0.813,0.856
bool/routing/s4-4-3-2.xml,1,1.748,2.246,2.157,2.255
bool/routing/s4-4-3-8.xml,1,1.727,1.362,1.404,1.779
bool/routing/s4-4-3-9.xml,1,1.759,3.294,3.09,3.377
bool/routing/s4-4-3-4.xml,1,1.757,2.489,2.388,2.432
bool/routing/s3-3-3-5.xml,1,0.313,0.959,0.698,0.731
bool/routing/s4-4-3-5.xml,1,1.768,3.522,2.556,2.602
bool/routing/s4-4-3-1.xml,1,1.793,2.414,2.302,2.44
bool/ii/ii-16e2.xml,1,2.02,90.837,100.779,101.075
bool/ii/ii-8b1.xml,1,0.292,1.251,1.265,1.181
bool/ii/ii-32c1.xml,1,0.325,10.414,7.83,13.976
bool/ii/ii-8d1.xml,1,0.337,1.934,2.095,2.122
bool/ii/ii-16a1.xml,1,2.231,20.764,16.226,16.286
bool/ii/ii-32c3.xml,1,1.861,73.745,70.535,73.813
bool/ii/ii-8c2.xml,1,0.489,4.341,4.467,5.028
bool/ii/ii-32b4.xml,1,2.026,120.692,148.428,119.267
bool/ii/ii-16e1.xml,1,2.371,158.108,196.715,160.549
bool/ii/ii-32b2.xml,1,1.822,30.453,26.773,30.65
bool/ii/ii-32e5.xml,1,2.224,147.422,187.536,146.864
bool/ii/ii-32c2.xml,1,1.8,32.568,28.68,32.555
bool/ii/ii-8b3.xml,1,0.487,5.844,5.976,4.472
bool/ii/ii-8a2.xml,1,0.276,0.981,0.791,0.931
bool/ii/ii-8c1.xml,1,0.343,2.759,2.74,2.733
bool/ii/ii-16d1.xml,1,2.251,101.304,101.431,101.292
bool/ii/ii-16c1.xml,1,2.29,70.138,78.997,53.435
bool/ii/ii-8b4.xml,1,0.543,7.027,9.503,7.407
bool/ii/ii-8a1.xml,1,0.308,0.452,0.307,0.385
bool/ii/ii-32e1.xml,1,0.341,10.678,8.02,10.945
bool/ii/ii-32e3.xml,1,1.952,89.278,100.342,88.93
bool/ii/ii-16b2.xml,1,2.175,75.826,78.838,75.304
bool/ii/ii-32d2.xml,1,1.897,31.957,28.353,31.765
bool/ii/ii-32e2.xml,1,1.868,29.343,26.187,29.449
bool/ii/ii-8e2.xml,1,1.308,5.137,4.914,4.929
bool/ii/ii-16b1.xml,1,2.499,89.207,95.323,89.852
bool/ii/ii-32e4.xml,1,2.086,118.975,146.198,120.812
bool/ii/ii-16a2.xml,1,1.208,53.678,41.97,53.549
bool/ii/ii-32b3.xml,1,2.005,117.197,144.317,118.371
bool/ii/ii-8a3.xml,1,0.327,1.316,1.818,1.762
bool/ii/ii-8e1.xml,1,0.683,2.069,2.003,1.971
bool/ii/ii-8a4.xml,1,0.698,4.431,4.346,4.249
bool/ii/ii-16d2.xml,1,2.135,81.328,86.591,81.379
bool/ii/ii-32b1.xml,1,0.348,10.113,7.541,10.338
bool/ii/ii-8d2.xml,1,0.484,4.563,5.98,4.708
bool/ii/ii-32d3.xml,1,2.464,183.46,239.962,182.742
bool/ii/ii-16c2.xml,1,2.136,78.666,83.241,79.19
bool/ii/ii-32d1.xml,1,0.877,11.234,8.352,11.435
bool/ii/ii-8b2.xml,1,0.368,2.646,3.495,2.59
bool/ii/ii-32a1.xml,1,2.084,101.961,104.31,91.519
bool/ii/ii-32c4.xml,1,2.86,667.14,?,669.173
bool/mps/mps-neos16.xml,1,1.779,75.146,78.034,76.626
bool/mps/mps-p0282.xml,1,0.264,4.889,333.689,5.422
bool/mps/mps-gt2.xml,1,0.316,4.625,6.677,4.687
bool/mps/mps-air06.xml,1,6.169,77.039,?,76.06
bool/mps/mps-p6000.xml,1,14.904,85.223,85.226,84.938
bool/mps/mps-air03.xml,1,97.245,811.817,783.984,805.592
bool/mps/mps-neos18.xml,1,0.48,4.728,4.351,4.699
bool/mps/mps-aflow30a.xml,1,8.039,62.192,68.174,66.225
bool/mps/mps-diamond.xml,1,0.246,0.284,0.319,0.304
bool/mps/mps-10teams.xml,1,1.869,67.731,56.79,67.425
bool/mps/mps-p0548.xml,1,0.469,5.691,6.962,4.98
bool/mps/mps-p0291.xml,1,0.271,6.511,?,5.922
bool/mps/mps-stein15.xml,1,0.243,0.33,0.295,0.301
bool/mps/mps-opt1217.xml,1,0.284,4.541,6.082,4.553
bool/mps/mps-p2756.xml,1,0.569,7.021,9.476,7.766
bool/mps/mps-air04.xml,1,6.555,68.014,?,68.572
bool/mps/mps-mzzv11.xml,1,3.457,36.318,36.625,33.565
bool/mps/mps-mod008.xml,1,0.348,6.872,6.717,5.28
bool/mps/mps-p0201.xml,1,0.29,90.93,95.233,89.828
bool/mps/mps-neos5.xml,1,0.525,7.084,10.43,6.555
bool/mps/mps-vpm2.xml,1,1.805,7.627,9.758,9.989
bool/mps/mps-vpm1.xml,1,1.864,10.079,11.628,9.361
bool/mps/mps-seymour1.xml,1,23.194,123.122,105.242,114.78
bool/mps/mps-cracpb1.xml,1,0.685,9.684,10.387,9.547
bool/mps/mps-lp4l.xml,1,2.089,425.764,224.635,430.126
bool/mps/mps-stein45.xml,1,0.235,0.501,0.581,0.647
bool/mps/mps-bm23.xml,1,0.255,62.704,56.639,61.983
bool/mps/mps-air02.xml,1,81.124,?,710.121,?
bool/mps/mps-mitre.xml,1,2.395,18.614,16.472,18.555
bool/mps/mps-p0040.xml,1,0.258,4.432,7.551,4.673
bool/mps/mps-protfold.xml,1,2.269,177.059,183.196,173.819
bool/mps/mps-l152lav.xml,1,2.92,62.855,61.099,57.897
bool/mps/mps-sentoy.xml,1,0.26,5.074,6.799,5.649
bool/mps/mps-enigma.xml,1,0.919,4.883,6.979,4.238
bool/mps/mps-fit1d.xml,1,9.911,128.532,127.711,127.987
bool/mps/mps-seymour.xml,1,0.858,102.36,110.537,102.243
bool/mps/mps-p0033.xml,1,0.283,4.722,?,5.014
bool/mps/mps-lseu.xml,1,0.28,4.807,6.068,5.038
bool/mps/mps-neos1.xml,1,2.011,23.192,31.755,22.348
bool/mps/mps-mod010.xml,1,3.417,100.362,740.995,127.803
bool/mps/mps-aflow40b.xml,1,82.474,692.091,579.683,593.755
bool/mps/mps-air01.xml,1,0.802,101.429,129.371,101.06
bool/mps/mps-pipex.xml,1,0.292,5.307,248.793,5.51
bool/mps/mps-manna81.xml,1,2.068,385.145,671.755,383.225
bool/mps/mps-air05.xml,1,5.984,71.137,?,72.402
bool/mps/mps-stein9.xml,1,0.281,0.281,0.249,0.281
bool/mps/mps-stein27.xml,1,0.241,0.328,0.321,0.416
bool/mps/mps-mzzv42z.xml,1,3.812,40.751,39.695,37.523
bool/logic-synthesis/5xp1-b.xml,1,1.311,174.336,232.406,178.897
bool/logic-synthesis/ex5-pi.xml,1,2.515,296.327,422.259,295.043
bool/logic-synthesis/alu4-b.xml,1,1.181,179.356,239.966,179.516
bool/logic-synthesis/clip-b.xml,1,0.645,84.641,94.526,84.666
bool/logic-synthesis/e64-b.xml,1,0.407,27.337,21.015,27.578
bool/logic-synthesis/bench1-pi.xml,1,1.359,30.508,23.171,29.963
bool/logic-synthesis/e-am-pi.xml,1,1.848,200.894,276.789,199.926
bool/logic-synthesis/sao2-b.xml,1,0.45,77.679,91.027,77.423
bool/logic-synthesis/count-b.xml,1,0.742,93.259,107.024,93.112
bool/logic-synthesis/prom2-pi.xml,1,0.552,17.38,19.388,17.439
bool/logic-synthesis/max1024-pi.xml,1,0.401,5.088,5.311,5.139
bool/logic-synthesis/rot-b.xml,1,1.219,183.211,239.001,182.659
bool/logic-synthesis/f51m-b.xml,1,0.542,83.853,92.896,83.516
bool/logic-synthesis/9symml.xml,1,0.367,8.421,6.481,6.137
bool/logic-synthesis/jac3.xml,1,1.311,153.189,182.467,152.495
bool/logic-synthesis/apex4-a.xml,1,1.38,153.765,175.724,151.257
bool/logic-synthesis/9sym-b.xml,1,0.831,115.667,140.744,115.742
bool/uclid/ooo-tag14.xml,1,6.217,66.637,49.96,67.705
bool/uclid/ooo-burch-dill-2-accl.xml,1,1.846,116.373,168.022,134.465
bool/uclid/elf-rf6.xml,1,0.24,0.318,0.331,0.304
bool/uclid/ooo-tag10.xml,1,2.53,207.571,464.135,207.858
bool/uclid/ooo-rf7.xml,1,2.021,101.287,134.854,101.023
bool/uclid/blast-floppy1-8.xml,1,0.861,10.532,10.996,10.692
bool/uclid/22s-smv.xml,1,2.275,12.863,14.917,12.616
bool/uclid/dlx1c-rwmem1-ucl.xml,1,2.327,219.849,388.551,219.703
bool/uclid/ooo-rf6.xml,1,1.321,70.618,71.164,67.957
bool/uclid/elf-rf9.xml,1,3.666,30.504,30.948,30.373
bool/uclid/blast-tlan3.xml,1,5.338,40.914,53.096,42.506
bool/uclid/44s-smv.xml,1,1.725,99.91,114.351,99.815
bool/uclid/cache-inv10-ucl.xml,1,2.418,81.503,84.53,79.617
bool/uclid/ooo-tag12.xml,1,3.645,524.158,821.502,412.746
bool/uclid/43s-smv.xml,1,1.972,9.318,10.649,9.22
bool/uclid/25s-smv.xml,1,2.16,11.759,12.88,11.093
bool/uclid/cache-ibm-q-unbounded-Icl2arity-ucl.xml,1,4.333,37.284,33.777,32.53
bool/uclid/elf-rf8.xml,1,2.2,208.255,361.565,210.691
bool/uclid/ooo-burch-dill-3-accl.xml,1,2.113,204.452,362.868,208.767
bool/uclid/dlx1c-rwmem-ucl.xml,1,2.562,218.949,390.624,221.881
bool/uclid/blast-floppy1-6.xml,1,0.965,5.503,7.385,5.553
bool/uclid/cache-inv12-ucl.xml,1,4.183,111.848,120.596,109.292
bool/uclid/cache-inv8-ucl.xml,1,0.568,67.093,71.704,66.962
bool/uclid/ooo-rf8.xml,1,2.264,132.374,195.067,131.71
bool/uclid/ooo-burch-dill-4-accl.xml,1,2.06,10.176,?,9.662
bool/uclid/ooo-burch-dill-6-accl.xml,1,4.209,33.359,31.749,33.718
bool/uclid/blast-floppy1-2.xml,1,0.418,4.908,160.434,5.174
bool/uclid/blast-floppy1-3.xml,1,0.274,86.355,90.084,86.031
bool/uclid/ooo-rf10.xml,1,3.416,298.0,564.417,298.924
bool/uclid/ooo-tag8.xml,1,1.951,98.168,130.344,98.331
bool/uclid/dlx1c-ucl.xml,1,2.324,196.293,339.968,196.358
bool/uclid/37s-smv.xml,1,1.789,70.49,74.702,70.556
bool/uclid/46s-smv.xml,1,1.837,6.743,404.756,6.536
bool/uclid/blast-tlan2.xml,1,1.939,8.017,8.507,7.941
bool/uclid/blast-floppy1-4.xml,1,0.261,4.95,7.913,4.844
bool/uclid/ooo-burch-dill-8-accl.xml,1,3.868,31.983,32.35,31.971
bool/uclid/ooo-rf9.xml,1,2.717,179.169,289.778,180.359
bool/uclid/elf-rf7.xml,1,0.406,70.573,75.464,71.014
bool/uclid/blast-floppy1-7.xml,1,0.588,9.621,9.82,8.444
bool/par/par-32-4-c.xml,1,1.907,13.452,13.66,13.629
bool/par/par-16-4-c.xml,1,1.752,1.541,1.452,1.451
bool/par/par-16-1-c.xml,1,1.772,1.349,1.389,1.344
bool/par/par-16-5.xml,1,1.79,2.381,2.628,2.412
bool/par/par-16-4.xml,1,1.79,2.285,2.395,2.93
bool/par/par-8-5-c.xml,1,0.28,0.438,0.428,0.418
bool/par/par-16-2-c.xml,1,1.746,1.572,1.637,1.602
bool/par/par-8-2-c.xml,1,0.264,0.372,0.393,0.412
bool/par/par-16-3.xml,1,1.807,2.392,2.48,2.35
bool/par/par-32-3-c.xml,1,1.917,13.261,13.415,13.195
bool/par/par-32-2.xml,1,2.139,14.32,15.723,14.267
bool/par/par-16-5-c.xml,1,1.807,1.653,1.614,1.57
bool/par/par-8-1.xml,1,0.309,0.809,0.795,0.748
bool/par/par-32-4.xml,1,2.16,14.798,16.966,15.045
bool/par/par-32-1-c.xml,1,1.898,12.572,12.826,12.703
bool/par/par-32-3.xml,1,2.137,15.315,16.241,16.036
bool/par/par-32-1.xml,1,2.219,14.103,15.975,13.884
bool/par/par-8-1-c.xml,1,0.272,0.358,0.398,0.401
bool/par/par-16-3-c.xml,1,1.783,1.492,1.573,1.552
bool/par/par-32-2-c.xml,1,1.911,12.355,12.554,12.333
bool/par/par-8-2.xml,1,0.264,0.743,0.771,0.77
bool/par/par-32-5-c.xml,1,1.884,13.576,13.653,13.653
bool/par/par-8-4-c.xml,1,0.303,0.425,0.425,0.383
bool/par/par-32-5.xml,1,2.145,14.775,16.992,14.747
bool/par/par-8-3-c.xml,1,0.316,0.404,0.433,0.467
bool/par/par-8-5.xml,1,0.303,0.801,0.806,0.797
bool/par/par-16-2.xml,1,1.849,2.477,2.753,3.141
bool/par/par-8-4.xml,1,0.342,0.772,0.785,0.77
bool/par/par-16-1.xml,1,1.816,2.247,2.393,2.32
bool/par/par-8-3.xml,1,0.301,0.839,0.773,0.756
bool/fpga/fpga-11-9.xml,1,1.702,0.608,0.573,0.555
bool/fpga/fpga-13-11.xml,1,1.695,0.9,0.889,0.905
bool/fpga/fpga-40-40.xml,1,2.038,179.921,233.12,179.681
bool/fpga/fpga-35-35.xml,1,1.892,89.717,105.368,91.221
bool/fpga/fpga-40-39.xml,1,2.093,167.874,203.299,170.537
bool/fpga/fpga-35-33.xml,1,1.946,71.796,82.994,71.398
bool/fpga/fpga-25-25.xml,1,1.782,16.238,17.908,16.22
bool/fpga/fpga-45-43.xml,1,2.239,264.928,360.739,270.419
bool/fpga/fpga-15-14.xml,1,1.724,1.322,1.329,1.338
bool/fpga/fpga-20-20.xml,1,1.729,6.679,7.005,6.877
bool/fpga/fpga-12-11.xml,1,1.731,0.795,0.807,0.819
bool/fpga/fpga-20-18.xml,1,1.759,3.645,3.85,3.57
bool/fpga/fpga-13-12.xml,1,1.743,1.169,1.221,1.191
bool/fpga/fpga-40-38.xml,1,2.057,142.463,174.123,142.824
bool/fpga/fpga-30-30.xml,1,1.903,35.384,40.79,35.373
bool/fpga/fpga-11-11.xml,1,1.71,0.773,0.754,0.798
bool/fpga/fpga-35-34.xml,1,1.929,73.49,87.892,73.554
bool/fpga/fpga-15-15.xml,1,1.75,1.866,1.967,1.906
bool/fpga/fpga-45-45.xml,1,2.197,307.397,424.283,306.457
bool/fpga/fpga-10-9.xml,1,1.714,0.547,0.524,0.522
bool/fpga/fpga-14-12.xml,1,1.721,1.292,1.283,1.278
bool/fpga/fpga-13-13.xml,1,1.704,1.221,1.211,1.173
bool/fpga/fpga-10-8.xml,1,1.705,0.531,0.531,0.513
bool/fpga/fpga-10-10.xml,1,1.705,0.507,0.528,0.493
bool/fpga/fpga-30-28.xml,1,1.831,34.215,37.994,34.608
bool/fpga/fpga-11-10.xml,1,1.714,0.543,0.594,0.594
bool/fpga/fpga-15-13.xml,1,1.736,1.346,1.435,1.351
bool/fpga/fpga-25-23.xml,1,1.745,12.56,13.586,12.484
bool/fpga/fpga-20-19.xml,1,1.743,5.01,5.247,5.043
bool/fpga/fpga-14-14.xml,1,1.683,1.223,1.249,1.225
bool/fpga/fpga-25-24.xml,1,1.753,16.069,17.087,15.998
bool/fpga/fpga-12-12.xml,1,1.675,1.129,1.08,1.057
bool/fpga/fpga-30-29.xml,1,1.857,35.561,40.091,35.358
bool/fpga/fpga-45-44.xml,1,2.197,287.987,385.77,282.619
bool/fpga/fpga-14-13.xml,1,1.716,1.301,1.285,1.268
bool/fpga/fpga-12-10.xml,1,1.681,0.556,0.614,0.573
bool/mpsReduced/mps-red-markshare1-1.xml,1,0.326,5.09,6.701,5.224
bool/mpsReduced/mps-red-berlin-5-8_0.xml,1,2.6,21.006,23.74,21.551
bool/mpsReduced/mps-red-ran10x10c.xml,1,0.802,88.311,95.761,88.149
bool/mpsReduced/mps-red-mod013.xml,1,1.806,69.788,38.83,69.472
bool/mpsReduced/mps-red-flugpl.xml,1,0.293,4.832,5.937,4.964
bool/mpsReduced/mps-red-ran12x12.xml,1,0.669,117.044,128.428,116.35
bool/mpsReduced/mps-red-ran13x13.xml,1,0.802,134.391,157.559,135.369
bool/mpsReduced/mps-red-sc50a.xml,1,0.441,5.856,7.328,5.931
bool/mpsReduced/mps-red-testprob.xml,1,0.272,5.333,5.656,4.057
