@RELATION algorithm_runs_qbf_2011

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
adder-10-sat-shuffled,1,2clsQ,3600,memout
adder-10-sat-shuffled,1,quantor,3600,timeout
adder-10-sat-shuffled,1,QuBE,3600,memout
adder-10-sat-shuffled,1,sKizzo,18.72,ok
adder-10-sat-shuffled,1,sSolve,3600,timeout
adder-10-unsat-shuffled,1,2clsQ,3600,timeout
adder-10-unsat-shuffled,1,quantor,3600,memout
adder-10-unsat-shuffled,1,QuBE,3600,timeout
adder-10-unsat-shuffled,1,sKizzo,3600,memout
adder-10-unsat-shuffled,1,sSolve,3600,timeout
adder-12-sat-shuffled,1,2clsQ,3600,memout
adder-12-sat-shuffled,1,quantor,3600,memout
adder-12-sat-shuffled,1,QuBE,3600,memout
adder-12-sat-shuffled,1,sKizzo,124.35,ok
adder-12-sat-shuffled,1,sSolve,3600,timeout
adder-12-unsat-shuffled,1,2clsQ,3600,timeout
adder-12-unsat-shuffled,1,quantor,3600,memout
adder-12-unsat-shuffled,1,QuBE,3600,timeout
adder-12-unsat-shuffled,1,sKizzo,3600,memout
adder-12-unsat-shuffled,1,sSolve,3600,timeout
adder-14-sat-shuffled,1,2clsQ,3600,memout
adder-14-sat-shuffled,1,quantor,3600,memout
adder-14-sat-shuffled,1,QuBE,3600,memout
adder-14-sat-shuffled,1,sKizzo,743.1,ok
adder-14-sat-shuffled,1,sSolve,3600,timeout
adder-14-unsat-shuffled,1,2clsQ,3600,timeout
adder-14-unsat-shuffled,1,quantor,3600,memout
adder-14-unsat-shuffled,1,QuBE,3600,timeout
adder-14-unsat-shuffled,1,sKizzo,3600,memout
adder-14-unsat-shuffled,1,sSolve,3600,timeout
adder-16-unsat-shuffled,1,2clsQ,3600,timeout
adder-16-unsat-shuffled,1,quantor,3600,memout
adder-16-unsat-shuffled,1,QuBE,3600,timeout
adder-16-unsat-shuffled,1,sKizzo,3600,memout
adder-16-unsat-shuffled,1,sSolve,3600,timeout
Adder2-10-s-shuffled,1,2clsQ,3600,timeout
Adder2-10-s-shuffled,1,quantor,3600,timeout
Adder2-10-s-shuffled,1,QuBE,3600,timeout
Adder2-10-s-shuffled,1,sKizzo,69.53,ok
Adder2-10-s-shuffled,1,sSolve,3600,timeout
Adder2-4-s-shuffled,1,2clsQ,3600,timeout
Adder2-4-s-shuffled,1,quantor,0.1,ok
Adder2-4-s-shuffled,1,QuBE,3600,timeout
Adder2-4-s-shuffled,1,sKizzo,0.2,ok
Adder2-4-s-shuffled,1,sSolve,2746.18,ok
Adder2-6-c-shuffled,1,2clsQ,3600,timeout
Adder2-6-c-shuffled,1,quantor,3600,memout
Adder2-6-c-shuffled,1,QuBE,3600,timeout
Adder2-6-c-shuffled,1,sKizzo,3600,memout
Adder2-6-c-shuffled,1,sSolve,3600,timeout
Adder2-6-s-shuffled,1,2clsQ,3600,timeout
Adder2-6-s-shuffled,1,quantor,17.06,ok
Adder2-6-s-shuffled,1,QuBE,3600,timeout
Adder2-6-s-shuffled,1,sKizzo,1.37,ok
Adder2-6-s-shuffled,1,sSolve,3600,timeout
adder-4-sat-shuffled,1,2clsQ,3600,timeout
adder-4-sat-shuffled,1,quantor,0.1,ok
adder-4-sat-shuffled,1,QuBE,3600,timeout
adder-4-sat-shuffled,1,sKizzo,0.44,ok
adder-4-sat-shuffled,1,sSolve,3600,timeout
adder-6-sat-shuffled,1,2clsQ,3600,timeout
adder-6-sat-shuffled,1,quantor,17.23,ok
adder-6-sat-shuffled,1,QuBE,3600,timeout
adder-6-sat-shuffled,1,sKizzo,3.37,ok
adder-6-sat-shuffled,1,sSolve,3600,timeout
adder-8-sat-shuffled,1,2clsQ,3600,memout
adder-8-sat-shuffled,1,quantor,3600,timeout
adder-8-sat-shuffled,1,QuBE,3600,timeout
adder-8-sat-shuffled,1,sKizzo,9.6,ok
adder-8-sat-shuffled,1,sSolve,3600,timeout
adder-8-unsat-shuffled,1,2clsQ,3600,timeout
adder-8-unsat-shuffled,1,quantor,3600,memout
adder-8-unsat-shuffled,1,QuBE,3600,timeout
adder-8-unsat-shuffled,1,sKizzo,3600,memout
adder-8-unsat-shuffled,1,sSolve,3600,timeout
aim-100-1_6-yes1-3-50-shuffled,1,2clsQ,0.03,ok
aim-100-1_6-yes1-3-50-shuffled,1,quantor,3600,memout
aim-100-1_6-yes1-3-50-shuffled,1,QuBE,0.07,ok
aim-100-1_6-yes1-3-50-shuffled,1,sKizzo,0.43,ok
aim-100-1_6-yes1-3-50-shuffled,1,sSolve,3600,timeout
aim-100-1_6-yes1-3-90-shuffled,1,2clsQ,0.03,ok
aim-100-1_6-yes1-3-90-shuffled,1,quantor,3600,memout
aim-100-1_6-yes1-3-90-shuffled,1,QuBE,0.04,ok
aim-100-1_6-yes1-3-90-shuffled,1,sKizzo,0.13,ok
aim-100-1_6-yes1-3-90-shuffled,1,sSolve,585.79,ok
aim-100-2_0-yes1-2-50-shuffled,1,2clsQ,0.07,ok
aim-100-2_0-yes1-2-50-shuffled,1,quantor,3600,memout
aim-100-2_0-yes1-2-50-shuffled,1,QuBE,0.07,ok
aim-100-2_0-yes1-2-50-shuffled,1,sKizzo,0.21,ok
aim-100-2_0-yes1-2-50-shuffled,1,sSolve,29.2,ok
aim-100-2_0-yes1-2-90-shuffled,1,2clsQ,0.08,ok
aim-100-2_0-yes1-2-90-shuffled,1,quantor,3600,memout
aim-100-2_0-yes1-2-90-shuffled,1,QuBE,0.07,ok
aim-100-2_0-yes1-2-90-shuffled,1,sKizzo,0.49,ok
aim-100-2_0-yes1-2-90-shuffled,1,sSolve,3600,timeout
aim-100-3_4-yes1-1-90-shuffled,1,2clsQ,0.15,ok
aim-100-3_4-yes1-1-90-shuffled,1,quantor,3600,memout
aim-100-3_4-yes1-1-90-shuffled,1,QuBE,0.06,ok
aim-100-3_4-yes1-1-90-shuffled,1,sKizzo,0.14,ok
aim-100-3_4-yes1-1-90-shuffled,1,sSolve,3600,timeout
