@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
adder-6-sat-shuffled,1,1
aim-200-3_4-yes1-4-90-shuffled,1,1
aim-50-1_6-yes1-1-00-shuffled,1,1
aim-50-2_0-yes1-3-90-shuffled,1,1
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,1
BLOCKS3ii.5.2-shuffled,1,1
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,1
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,1
cmu.dme1.B-f2,1,1
connect_5x4_3_R-shuffled,1,1
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,1
Core1108_tbm_03.tex.module.000037,1,1
Core1108_tbm_03.tex.module.000057,1,1
Core1108_tbm_09.tex.module.000033,1,1
Core1108_tbm_21.tex.module.000027,1,1
eijk.S298.S-f2-shuffled,1,1
eijk.S641.S-f2,1,1
eijk.S713.S-f2,1,1
ev-pr-4x4-9-3-0-0-1-s-shuffled,1,1
ev-pr-6x6-13-5-0-1-2-lg-shuffled,1,1
jnh1-50-shuffled,1,1
k_branch_p-17-shuffled,1,1
k_branch_p-4-shuffled,1,1
k_d4_n-15-shuffled,1,1
k_d4_n-7-shuffled,1,1
k_dum_n-10-shuffled,1,1
k_grz_n-21-shuffled,1,1
k_grz_p-10-shuffled,1,1
k_lin_n-9-shuffled,1,1
k_path_n-10-shuffled,1,1
mutex-2-s,1,1
mutex-4-s,1,1
ncf_16_32_8_d.5,1,1
ncf_16_32_8_d.6,1,1
ncf_16_32_8_edau.9,1,1
ncf_16_32_8_u.7,1,1
ncf_8_16_4_d.6,1,1
ncf_8_16_4_d.7,1,1
ncf_8_16_4_edau.6,1,1
ncf_8_16_4_euad.4,1,1
ncf_8_16_4_euad.5,1,1
ncf_8_16_4_euad.6,1,1
ncf_8_16_4_euad.9,1,1
ncf_8_16_4_u.3,1,1
ncf_8_16_4_u.8,1,1
par8-3-c-00-shuffled,1,1
par8-4-c-90-shuffled,1,1
Qq2k3k3v100v100m1000s9,1,1
Qq2k3k3v100v100m1600s4,1,1
Qq2k3k3v100v100m1600s5,1,1
Qq2k3k3v100v100m2000s10,1,1
Qq2k3k3v100v100m400s8,1,1
Qq2k3k3v100v100m600s10,1,1
Qq2k3k3v100v100m600s1,1,1
Qq2k3k3v100v100m600s4,1,1
Qq2k3k3v100v100m800s10,1,1
Qq2k3k3v100v100m800s8,1,1
Qq2k3k3v20v20m240s7,1,1
Qq2k3k3v20v20m240s9,1,1
Qq2k3k3v20v20m280s7,1,1
Qq2k3k3v20v20m400s5,1,1
Qq2k3k3v50v50m1000s10,1,1
Qq2k3k3v50v50m1000s6,1,1
Qq2k3k3v50v50m1000s9,1,1
Qq2k3k3v50v50m300s6,1,1
Qq2k3k3v50v50m500s10,1,1
Qq2k3k3v50v50m500s2,1,1
Qq2k3k3v50v50m500s3,1,1
Qq2k3k3v50v50m500s4,1,1
Qq2k3k3v50v50m500s8,1,1
Qq2k3k3v50v50m800s2,1,1
Qq2k3k3v50v50m800s8,1,1
Qq2k3k3v50v50m900s9,1,1
rankfunc1_signed_32,1,1
rankfunc31_unsigned_16,1,1
rankfunc44_unsigned_32,1,1
rankfunc60_unsigned_32,1,1
ring_r7_ser---19_-shuffled,1,1
robots_1_5_2_9.8,1,1
robots_1_5_3_26.2,1,1
robots_1_5_3_62.2,1,1
robots_1_5_3_91.2,1,1
robots_1_5_4_24.8,1,1
robots_1_5_4_46.4,1,1
robots_1_5_4_73.2,1,1
robots_1_5_5_100.4,1,1
robots_1_5_5_31.2,1,1
robots_1_5_5_38.2,1,1
robots_1_5_5_61.2,1,1
S-adeu-1,1,1
S-adeu-6,1,1
sortnetsort8.v.stepl.008-shuffled,1,1
ssa7552-159-50-shuffled,1,1
stmt1_145_146,1,1
stmt16_0_1,1,1
stmt1_787_788,1,1
stmt18_258_260,1,1
stmt19_133_257,1,1
stmt19_137_313,1,1
stmt19_177_302,1,1
stmt19_217_250,1,1
stmt19_2_83,1,1
stmt29_21_275,1,1
stmt32_228_277,1,1
stmt3_969_973,1,1
stmt72_696_721,1,1
stmt9_445_446,1,1
T-adeu-0,1,1
T-adeu-5,1,1
T-adeu-6,1,1
T-adeu-8,1,1
T-edau-4,1,1
T-edau-8,1,1
test1_quant_squaring3,1,1
toilet_a_06_01.4-shuffled,1,1
toilet_a_10_10.2-shuffled,1,1
toilet_c_04_01.4-shuffled,1,1
toilet_c_10_05.9-shuffled,1,1
toilet_c_10_10.2-shuffled,1,1
Umbrella_tbm_05.tex.module.000043,1,1
Umbrella_tbm_14.tex.moduleQ2.2S.000002,1,1
Umbrella_tbm_25.tex.module.000106,1,1
Umbrella_tbm_26.tex.module.000041,1,1
Umbrella_tbm_29.tex.module.000009,1,1
Umbrella_tbm_29.tex.module.000078,1,1
vis.prodcell^05.E-f4-shuffled,1,1
vonNeumann-ripple-carry-15-c-shuffled,1,1
x240.7,1,1
x30.4,1,1
x60.2,1,1
x60.5,1,1
x60.8,1,1
adder-12-unsat-shuffled,1,2
Adder2-10-s-shuffled,1,2
adder-4-sat-shuffled,1,2
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,2
