@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute runtime numeric
@attribute runstatus {ok,timeout}

@data
applications/bomb/p10-10.pddl_planlen=10,1,bcghostq,14.6601,ok
applications/bomb/p10-10.pddl_planlen=11,1,bcghostq,17.2832,ok
applications/bomb/p10-10.pddl_planlen=13,1,bcghostq,17.6485,ok
applications/bomb/p10-10.pddl_planlen=14,1,bcghostq,19.0017,ok
applications/bomb/p10-10.pddl_planlen=15,1,bcghostq,20.4932,ok
applications/bomb/p10-10.pddl_planlen=16,1,bcghostq,22.2449,ok
applications/bomb/p10-10.pddl_planlen=17,1,bcghostq,23.7846,ok
applications/bomb/p10-10.pddl_planlen=18,1,bcghostq,25.6726,ok
applications/bomb/p10-10.pddl_planlen=20,1,bcghostq,26.6536,ok
applications/bomb/p10-10.pddl_planlen=4,1,bcghostq,7.72148,ok
applications/bomb/p10-10.pddl_planlen=5,1,bcghostq,13.1485,ok
applications/bomb/p10-10.pddl_planlen=6,1,bcghostq,42.736,ok
applications/bomb/p10-10.pddl_planlen=7,1,bcghostq,39.9148,ok
applications/bomb/p10-10.pddl_planlen=8,1,bcghostq,62.6786,ok
applications/bomb/p10-10.pddl_planlen=9,1,bcghostq,815.492,ok
applications/bomb/p10-1.pddl_planlen=11,1,bcghostq,0.677132,ok
applications/bomb/p10-1.pddl_planlen=12,1,bcghostq,0.665176,ok
applications/bomb/p10-1.pddl_planlen=17,1,bcghostq,11.1468,ok
applications/bomb/p10-1.pddl_planlen=18,1,bcghostq,5.47204,ok
applications/bomb/p10-1.pddl_planlen=21,1,bcghostq,0.708117,ok
applications/bomb/p10-1.pddl_planlen=23,1,bcghostq,0.754019,ok
applications/bomb/p10-1.pddl_planlen=24,1,bcghostq,0.773917,ok
applications/bomb/p10-1.pddl_planlen=25,1,bcghostq,0.806592,ok
applications/bomb/p10-1.pddl_planlen=26,1,bcghostq,0.848444,ok
applications/bomb/p10-1.pddl_planlen=28,1,bcghostq,0.914806,ok
applications/bomb/p10-1.pddl_planlen=4,1,bcghostq,0.161034,ok
applications/bomb/p10-1.pddl_planlen=5,1,bcghostq,0.195139,ok
applications/bomb/p10-1.pddl_planlen=6,1,bcghostq,0.224946,ok
applications/bomb/p10-1.pddl_planlen=7,1,bcghostq,0.261941,ok
applications/bomb/p10-1.pddl_planlen=9,1,bcghostq,0.396716,ok
applications/bomb/p10-5.pddl_planlen=11,1,bcghostq,900,timeout
applications/bomb/p10-5.pddl_planlen=12,1,bcghostq,900,timeout
applications/bomb/p10-5.pddl_planlen=13,1,bcghostq,900,timeout
applications/bomb/p10-5.pddl_planlen=16,1,bcghostq,6.36951,ok
applications/bomb/p10-5.pddl_planlen=17,1,bcghostq,6.56477,ok
applications/bomb/p10-5.pddl_planlen=18,1,bcghostq,6.87509,ok
applications/bomb/p10-5.pddl_planlen=19,1,bcghostq,7.33979,ok
applications/bomb/p10-5.pddl_planlen=2,1,bcghostq,0.679787,ok
applications/bomb/p10-5.pddl_planlen=24,1,bcghostq,8.97765,ok
applications/bomb/p10-5.pddl_planlen=25,1,bcghostq,9.36115,ok
applications/bomb/p10-5.pddl_planlen=4,1,bcghostq,4.63104,ok
applications/bomb/p10-5.pddl_planlen=5,1,bcghostq,5.43473,ok
applications/bomb/p10-5.pddl_planlen=6,1,bcghostq,5.95494,ok
applications/bomb/p10-5.pddl_planlen=8,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=10,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=13,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=16,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=18,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=20,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=21,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=22,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=25,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=27,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=28,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=31,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=33,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=35,1,bcghostq,363.764,ok
applications/bomb/p20-10.pddl_planlen=37,1,bcghostq,396.439,ok
applications/bomb/p20-10.pddl_planlen=38,1,bcghostq,316.495,ok
applications/bomb/p20-10.pddl_planlen=5,1,bcghostq,84.4561,ok
applications/bomb/p20-10.pddl_planlen=6,1,bcghostq,900,timeout
applications/bomb/p20-10.pddl_planlen=9,1,bcghostq,900,timeout
applications/bomb/p20-1.pddl_planlen=11,1,bcghostq,2.0162,ok
applications/bomb/p20-1.pddl_planlen=16,1,bcghostq,8.14742,ok
applications/bomb/p20-1.pddl_planlen=19,1,bcghostq,160.176,ok
applications/bomb/p20-1.pddl_planlen=20,1,bcghostq,170.994,ok
applications/bomb/p20-1.pddl_planlen=22,1,bcghostq,237.549,ok
applications/bomb/p20-1.pddl_planlen=24,1,bcghostq,900,timeout
applications/bomb/p20-1.pddl_planlen=25,1,bcghostq,900,timeout
applications/bomb/p20-1.pddl_planlen=26,1,bcghostq,900,timeout
applications/bomb/p20-1.pddl_planlen=27,1,bcghostq,900,timeout
applications/bomb/p20-1.pddl_planlen=28,1,bcghostq,900,timeout
applications/bomb/p20-1.pddl_planlen=32,1,bcghostq,900,timeout
applications/bomb/p20-1.pddl_planlen=4,1,bcghostq,0.330478,ok
applications/bomb/p20-1.pddl_planlen=41,1,bcghostq,4.2149,ok
applications/bomb/p20-1.pddl_planlen=42,1,bcghostq,3.91904,ok
applications/bomb/p20-1.pddl_planlen=43,1,bcghostq,4.42296,ok
applications/bomb/p20-1.pddl_planlen=44,1,bcghostq,4.26194,ok
applications/bomb/p20-1.pddl_planlen=45,1,bcghostq,4.3022,ok
applications/bomb/p20-1.pddl_planlen=49,1,bcghostq,4.84974,ok
applications/bomb/p20-1.pddl_planlen=6,1,bcghostq,0.493815,ok
applications/bomb/p20-1.pddl_planlen=8,1,bcghostq,0.731385,ok
applications/bomb/p20-1.pddl_planlen=9,1,bcghostq,0.930096,ok
applications/bomb/p20-20.pddl_planlen=10,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=12,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=14,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=18,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=2,1,bcghostq,43.4315,ok
applications/bomb/p20-20.pddl_planlen=20,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=23,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=24,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=26,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=27,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=3,1,bcghostq,213.648,ok
applications/bomb/p20-20.pddl_planlen=4,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=6,1,bcghostq,900,timeout
applications/bomb/p20-20.pddl_planlen=8,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=10,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=11,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=13,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=15,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=17,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=18,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=19,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=23,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=24,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=26,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=27,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=30,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=32,1,bcghostq,900,timeout
applications/bomb/p20-5.pddl_planlen=39,1,bcghostq,72.3236,ok
applications/bomb/p20-5.pddl_planlen=40,1,bcghostq,59.8653,ok
applications/bomb/p20-5.pddl_planlen=41,1,bcghostq,63.8837,ok
applications/bomb/p20-5.pddl_planlen=43,1,bcghostq,64.1227,ok
applications/bomb/p20-5.pddl_planlen=6,1,bcghostq,34.1232,ok
applications/bomb/p20-5.pddl_planlen=7,1,bcghostq,181.598,ok
applications/bomb/p5-10.pddl_planlen=11,1,bcghostq,4.71966,ok
applications/bomb/p5-10.pddl_planlen=13,1,bcghostq,5.23731,ok
applications/bomb/p5-10.pddl_planlen=3,1,bcghostq,1.56492,ok
applications/bomb/p5-10.pddl_planlen=6,1,bcghostq,2.49052,ok
applications/bomb/p5-10.pddl_planlen=7,1,bcghostq,2.89649,ok
applications/bomb/p5-10.pddl_planlen=9,1,bcghostq,3.8673,ok
applications/bomb/p5-5.pddl_planlen=10,1,bcghostq,1.30672,ok
applications/bomb/p5-5.pddl_planlen=11,1,bcghostq,1.44157,ok
applications/bomb/p5-5.pddl_planlen=12,1,bcghostq,1.52634,ok
applications/bomb/p5-5.pddl_planlen=15,1,bcghostq,1.85489,ok
applications/bomb/p5-5.pddl_planlen=2,1,bcghostq,0.265551,ok
applications/bomb/p5-5.pddl_planlen=3,1,bcghostq,0.461168,ok
applications/bomb/p5-5.pddl_planlen=5,1,bcghostq,0.635647,ok
