@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute EXIST_VARS numeric
@attribute FORALL_VARS numeric
@attribute TOTAL_VARS numeric
@attribute CLAUSES numeric
@attribute LITERALS numeric
@attribute EXIST_SET numeric
@attribute FORALL_SET numeric
@attribute TOTAL_SET numeric
@attribute UNARY_CLAUSES numeric
@attribute BINARY_CLAUSES numeric
@attribute TERNARY_MORE_CLAUSES numeric
@attribute POS_HORN numeric
@attribute NEG_HORN numeric
@attribute EXIST_LIT_PER_CLAUSE numeric
@attribute FORALL_LIT_PER_CLAUSE numeric
@attribute EXIST_VARS_PER_SET numeric
@attribute FORALL_POS_LITS_PER_CLAUSE numeric
@attribute FORALL_NEG_LITS_PER_CLAUSE numeric
@attribute OCCS_POS_NO_PER_VAR numeric
@attribute OCCS_FORALL_NO_PER_VAR numeric
@attribute OCCS_FORALL_POS_NO_PER_VAR numeric
@attribute W_OCCS_POS_NO_PER_VAR numeric
@attribute W_OCCS_FORALL_NO_PER_VAR numeric
@attribute W_OCCS_FORALL_POS_NO_PER_VAR numeric
@attribute W_PRODUCTS numeric
@attribute LITN_LIT numeric
@attribute LITEP_LIT numeric
@attribute LITEN_LITE numeric
@attribute LITEN_LITN numeric
@attribute LITFN_LIT numeric
@attribute LITFP_LITFN numeric
@attribute OCCP_OCCN numeric
@attribute OCCE_OCC numeric
@attribute OCCEN_OCC numeric
@attribute OCCFP_OCCF numeric
@attribute OCCEN_OCCE numeric
@attribute OCCEN_OCCN numeric
@attribute OCCFP_OCCFN numeric
@attribute TERMORE_CLAUSE numeric
@attribute NEG_HORN_CLAUSE numeric
@attribute WOCCN_WOCC numeric
@attribute WOCCEP_WOCC numeric
@attribute WOCCFN_WOCC numeric
@attribute WOCCEP_WOCCE numeric
@attribute WOCCEP_WOCCP numeric
@attribute WOCCFN_WOCCN numeric

@data
eval2012r2/C880.blif_0.10_0.20_0_0_out_exact,1,959,14,973,2484,5729,2,1,3,0,1846,638,1903,1423,2.288647,0.017713,479.5,0.008857,0.008857,2.632066,3.142857,1.571429,7.026721,6.285714,3.142857,25.586027,0.552976,0.443184,0.553386,0.993056,0.00384,1,0.808396,1.006806,0.557153,0.5,0.553386,1.007553,1,0.256844,0.572866,0.558761,0.444799,0.197354,0.440903,1.008069,0.353199
eval2012r2/ev-pr-6x6-5-5-0-1-2-lg,1,2146,14,2160,18072,67049,3,2,5,72,4128,13872,9085,8610,3.513336,0.196768,715.333333,0.098384,0.098384,16.443981,254,127,60.683796,762,381,6564.031221,0.470253,0.503229,0.468587,0.943609,0.026518,1,1.126514,0.953142,0.44663,0.5,0.468587,0.949765,1,0.767596,0.476428,0.437329,0.543295,3.532699,0.565679,0.965565,8.077897
eval2012r2/lights3_035_0_051,1,1274,35,1309,3523,8638,36,35,71,21,2231,1271,2731,2488,2.432018,0.019869,35.388889,0.009935,0.009935,3.119939,2,1,113.925898,72,36,576.186813,0.527205,0.468743,0.527428,0.992314,0.004052,1,0.896794,1.019146,0.537526,0.5,0.527428,1.019576,1,0.360772,0.706216,0.527166,0.481719,0.149413,0.472615,1.018791,0.283427
eval2012r2/s1269_d9_s,1,18007,4587,22594,56514,146617,2,1,3,37,39784,16693,33939,41085,1.567735,1.026613,9003.5,0.513306,0.513306,3.285828,12.648354,6.324177,7.167257,25.296708,12.648354,13.988727,0.493647,0.308498,0.489486,0.599196,0.197856,1,1.02574,0.758222,0.371139,0.5,0.489486,0.751832,1,0.295378,0.726988,0.484925,0.414735,0.908974,0.523894,0.805194,1.874463
eval2012r2/ev-pr-4x4-11-3-0-0-1-s,1,7214,240,7454,67639,222663,6,5,11,32,8285,59322,42769,20281,2.937107,0.354825,1202.333333,0.177412,0.177412,14.476657,100,50,133.931983,600,300,407.495703,0.515371,0.430736,0.517228,0.895428,0.053893,1,0.940351,0.921897,0.47683,0.5,0.517228,0.925218,1,0.877038,0.299842,0.438312,0.538518,1.258149,0.567126,0.958749,2.870441
eval2012r2/filesys_cdfs_namesup.c,1,59874,4352,64226,217127,570596,2,1,3,257,98866,118004,149795,152859,2.398624,0.229313,29937,0.114656,0.114656,4.226092,11.440717,5.720358,12.193131,22.881434,11.440717,298.13809,0.524313,0.432057,0.526638,0.916787,0.04363,1,0.907257,0.979084,0.515622,0.5,0.526638,0.983424,1,0.543479,0.704007,0.525232,0.476898,0.445471,0.473147,1.004485,0.848142
eval2012r2/uclid-pipe3b,1,5500,264,5764,15954,36956,3,3,6,1,10904,5049,14181,11872,2.005014,0.311395,1833.333333,0.155698,0.155698,3.005552,18.818182,9.409091,16.561416,51.272727,25.636364,66.464727,0.531226,0.401559,0.536076,0.873472,0.067215,1,0.882437,0.907117,0.486284,0.5,0.536076,0.915399,1,0.316472,0.744139,0.533814,0.453925,0.721636,0.463793,0.973698,1.35185
eval2012r2/ev-pr-8x8-9-7-0-1-2-lg,1,7213,32,7245,65100,256481,5,4,9,128,8604,56368,27952,30937,3.689109,0.250691,1442.6,0.125346,0.125346,19.417805,510,255,128.466253,2550,1275,23333.236795,0.451492,0.516693,0.448195,0.929533,0.031815,1,1.214881,0.940524,0.421538,0.5,0.448195,0.933657,1,0.865868,0.475223,0.40758,0.568964,5.879645,0.597484,0.960406,14.425757
eval2012r2/tlc03-nonuniform-depth-82,1,28803,166,28969,77916,178464,84,83,167,110,55064,22742,45627,48117,2.286206,0.004261,342.892857,0.00213,0.00213,3.141427,2,1,266.240671,168,84,960.553137,0.490071,0.508999,0.490052,0.998102,0.00093,1,1.040521,1.003892,0.49196,0.5,0.490052,1.003854,1,0.291878,0.61755,0.489965,0.512047,0.160918,0.510054,1.003945,0.328428
eval2012r2/b21_C_3_206,1,3231,39,3270,242896,495894,2,1,3,2056,234532,6308,241191,3903,2.016089,0.025501,1615.5,0.01275,0.01275,3.857492,158.820513,79.410256,6.904281,317.641026,158.820513,524.457134,0.974563,0.019192,0.980566,0.993592,0.006245,1,0.026101,0.999429,0.980006,0.5,0.980566,1.005585,1,0.02597,0.016069,0.956255,0.032127,1.006268,0.032524,0.734409,1.052301
