@RELATION ALGORITHM_RUNS_QBF-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE PAR10 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
C880.blif_0.10_1.00_0_1_inp_exact,1,qestos,0.12,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,ghostq-plain,0.29,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,depqbf-v3,0.08,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,aqua-f3v,0.05,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,caqe-minisat,0.39,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,hiqqer3,0.37,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,struqs-10,8.1,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,aqua-s3o,0.06,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,ghostq-cegar,0.31,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,iprover-QBF,18000,timeout
C880.blif_0.10_1.00_0_1_inp_exact,1,squeezebf+struqs,8.11,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,AIGSolve,24.28,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,depqbf-v1,0.05,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,hiqqer1,0.22,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,caqe-picosat,0.42,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,hiqqer1ldsq,0.21,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,qesto,0.14,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,qsts,0.05,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,rareqs,0.06,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,iprover-QBF-bloqqer,18000,timeout
C880.blif_0.10_1.00_0_1_inp_exact,1,xb-bid-qsts,0.45,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,xb-qsts,0.38,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,depqbf-v2,0.41,ok
C880.blif_0.10_1.00_0_1_inp_exact,1,aqua-s2v,0.05,ok
ev-pr-6x6-19-5-0-1-2-s,1,qestos,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,ghostq-plain,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,depqbf-v3,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,aqua-f3v,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,caqe-minisat,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,hiqqer3,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,struqs-10,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,aqua-s3o,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,ghostq-cegar,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,iprover-QBF,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,squeezebf+struqs,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,AIGSolve,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,depqbf-v1,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,hiqqer1,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,caqe-picosat,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,hiqqer1ldsq,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,qesto,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,qsts,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,rareqs,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,iprover-QBF-bloqqer,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,xb-bid-qsts,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,xb-qsts,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,depqbf-v2,18000,timeout
ev-pr-6x6-19-5-0-1-2-s,1,aqua-s2v,18000,timeout
ev-pr-6x6-9-5-0-1-2-lg,1,qestos,122.08,ok
ev-pr-6x6-9-5-0-1-2-lg,1,ghostq-plain,108.86,ok
ev-pr-6x6-9-5-0-1-2-lg,1,depqbf-v3,15.74,ok
ev-pr-6x6-9-5-0-1-2-lg,1,aqua-f3v,22.49,ok
ev-pr-6x6-9-5-0-1-2-lg,1,caqe-minisat,271.21,ok
